,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,2,78.85,8,2012-03-20,0,78.97,75.73,3,78.01,78.26,75.21,41,75.96,1.0,bull correction,204165500,138824658.0,1.4706717303780428,1.11,1
1,4,78.40,9,2012-03-21,1,79.33,78.26,4,78.43,78.26,75.96,45,79.05,1.0,bull confirmed,161010500,140074746.0,1.1494613026105363,1.96,1
2,0,77.99,9,2012-03-22,1,78.66,77.49,0,77.78,78.26,75.96,44,78.26,1.0,bull confirmed,155967700,141903118.0,1.099113974366652,1.37,1
3,0,77.56,9,2012-03-23,1,78.31,77.34,0,78.14,78.26,75.96,44,78.26,1.0,bull confirmed,107622200,142980138.0,0.7527073445683763,0.45,1
4,0,78.98,9,2012-03-26,1,79.00,77.46,0,78.04,78.26,75.96,44,78.26,1.0,bull confirmed,148935500,144895912.0,1.0278792406510406,1.52,1
5,1,79.96,9,2012-03-27,1,80.19,78.86,1,78.88,78.26,75.96,46,79.84,1.0,bull confirmed,151782400,146801452.0,1.0339298278875335,1.93,1
6,1,80.36,9,2012-03-28,1,80.86,79.41,1,80.46,78.26,75.96,47,80.63,1.0,bull confirmed,163865100,148864268.0,1.1007685202200437,0.88,1
7,0,79.36,9,2012-03-29,1,80.23,79.01,0,79.74,78.26,75.96,46,79.84,1.0,bull confirmed,152059600,150521504.0,1.0102184469270252,3.10,1
8,2,78.01,10,2012-03-30,0,79.45,77.80,3,79.21,80.63,75.96,44,78.26,1.0,bull correction,182759500,152868002.0,1.1955379648384492,4.78,1
9,0,80.50,10,2012-04-02,0,80.52,78.12,0,78.31,80.63,75.96,44,78.26,1.0,bull correction,149587900,153789888.0,0.9726770852450325,1.27,1
10,4,81.89,11,2012-04-03,1,82.26,81.00,5,81.62,80.63,78.26,49,82.26,1.0,bull confirmed,208639900,156432374.0,1.3337386288083821,-0.41,0
11,0,81.24,11,2012-04-04,1,81.44,80.28,0,81.24,80.63,78.26,48,81.44,1.0,bull confirmed,143245200,156559088.0,0.9149593411019359,-0.20,0
12,0,82.46,11,2012-04-05,1,82.58,81.12,0,81.58,80.63,78.26,49,82.26,1.0,bull confirmed,160324500,154974008.0,1.0345250927497467,-3.71,0
13,1,82.79,11,2012-04-09,1,83.26,81.36,1,81.47,80.63,78.26,50,83.08,1.0,bull confirmed,149384200,156341766.0,0.9554977138994324,-7.30,0
14,0,81.77,11,2012-04-10,1,83.80,81.46,0,83.27,80.63,78.26,50,83.08,1.0,bull confirmed,222431300,159291846.0,1.396375932513206,-2.43,0
