,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,0,66.71,5,2012-03-20,1,67.00,66.16,0,66.66,67.41,64.78,12,66.74,0.0,bear correction,4384000,4517682.0,0.9704091611583109,-0.30,0,-0.449707690001499,1
1,0,66.59,5,2012-03-21,1,66.97,66.40,0,66.63,67.41,64.78,12,66.74,0.0,bear correction,3644100,4501172.0,0.8095891470043802,-0.60,0,-0.9010361916203634,1
2,0,65.62,5,2012-03-22,1,66.28,65.13,0,66.24,67.41,64.78,11,66.08,0.0,bear correction,4921400,4507152.0,1.0919090370149487,0.14,1,0.21334958854007924,1
3,0,65.67,5,2012-03-23,1,66.00,65.47,0,65.74,67.41,64.78,10,65.43,0.0,bear correction,2518400,4495866.0,0.5601590438860945,0.35,1,0.5329678696512867,1
4,0,66.74,5,2012-03-26,1,66.79,66.11,0,66.16,67.41,64.78,12,66.74,0.0,bear correction,3715800,4491492.0,0.8272974770966975,-0.01,0,-0.014983518130056937,1
5,0,66.41,5,2012-03-27,1,66.80,66.40,0,66.68,67.41,64.78,12,66.74,0.0,bear correction,3510700,4468884.0,0.7855876321694634,-0.14,0,-0.21081162475530793,1
6,0,65.99,5,2012-03-28,1,66.84,65.60,0,66.57,67.41,64.78,12,66.74,0.0,bear correction,3412200,4463126.0,0.7645314069107616,-0.59,0,-0.8940748598272465,1
7,2,65.76,6,2012-03-29,0,65.83,64.76,3,65.49,66.74,64.78,9,64.78,0.0,bear confirmed,3587600,4451088.0,0.8060051834517763,-0.43,0,-0.6538929440389294,1
8,0,66.02,6,2012-03-30,0,66.08,65.50,0,65.98,66.74,64.78,11,66.08,0.0,bear confirmed,3203800,4407218.0,0.7269438453010493,-1.72,0,-2.605271129960618,0
9,4,66.73,7,2012-04-02,1,67.00,65.35,3,65.69,66.74,64.78,12,66.74,0.0,bear correction,4104600,4398264.0,0.9332318387436498,-4.05,0,-6.06923422748389,0
10,0,66.27,7,2012-04-03,1,66.68,65.83,0,66.58,66.74,64.78,11,66.08,0.0,bear correction,3485900,4386308.0,0.7947230335854208,-2.56,0,-3.862984759317942,0
11,0,65.40,7,2012-04-04,1,65.87,65.24,0,65.67,66.74,64.78,10,65.43,0.0,bear correction,2490500,4337264.0,0.5742099166663592,-0.15,0,-0.22935779816513763,1
