,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,1,17.71,7,2012-03-20,1,17.77,17.23,2,17.25,17.59,16.74,32,17.77,1.0,bull confirmed,61659600,43812868.0,1.407339962314268,0.29,1
1,0,17.65,7,2012-03-21,1,17.78,17.52,0,17.70,17.59,16.74,32,17.77,1.0,bull confirmed,39135200,43839342.0,0.8926958803350652,0.50,1
2,0,17.54,7,2012-03-22,1,17.71,17.45,0,17.52,17.59,16.74,31,17.59,1.0,bull confirmed,32211700,43573810.0,0.7392445140785256,0.56,1
3,0,17.67,7,2012-03-23,1,17.73,17.43,0,17.51,17.59,16.74,31,17.59,1.0,bull confirmed,27646700,43477100.0,0.6358910782917904,0.54,1
4,1,17.94,7,2012-03-26,1,17.96,17.78,1,17.82,17.59,16.74,33,17.95,1.0,bull confirmed,29098800,43437042.0,0.6699074950821927,0.30,1
5,0,18.00,7,2012-03-27,1,18.12,17.98,0,18.02,17.59,16.74,33,17.95,1.0,bull confirmed,44476400,43683696.0,1.0181464498791495,-0.01,0
6,1,18.15,7,2012-03-28,1,18.17,17.85,1,17.95,17.59,16.74,34,18.13,1.0,bull confirmed,39839300,43672426.0,0.9122300648010715,-0.56,0
7,0,18.10,7,2012-03-29,1,18.29,17.95,0,18.04,17.59,16.74,34,18.13,1.0,bull confirmed,36518000,43271316.0,0.8439308848383534,-0.63,0
8,0,18.21,7,2012-03-30,1,18.24,18.06,0,18.18,17.59,16.74,34,18.13,1.0,bull confirmed,35673900,42935152.0,0.8308786236508491,-0.96,0
9,1,18.24,7,2012-04-02,1,18.34,18.12,1,18.20,17.59,16.74,35,18.31,1.0,bull confirmed,30716500,42708548.0,0.7192119947510274,-1.35,0
10,0,17.99,7,2012-04-03,1,18.31,17.83,0,18.24,17.59,16.74,35,18.31,1.0,bull confirmed,64106700,42990420.0,1.4911857106769368,-0.69,0
11,2,17.59,8,2012-04-04,0,17.95,17.50,4,17.84,18.31,16.74,31,17.59,1.0,bull correction,43848100,43250812.0,1.0138098678933474,-0.25,0
12,3,17.47,8,2012-04-05,0,17.60,17.34,1,17.44,18.31,16.74,30,17.42,1.0,bull correction,30611900,43118950.0,0.7099407569061863,-0.32,0
13,3,17.25,8,2012-04-09,0,17.42,17.17,1,17.26,18.31,16.74,29,17.25,1.0,bull correction,26416300,42910906.0,0.6156080694264531,-0.20,0
14,3,16.89,8,2012-04-10,0,17.37,16.87,2,17.23,18.31,16.74,27,16.91,1.0,bull correction,44896400,42938042.0,1.0456089264619939,0.46,1
15,0,17.30,8,2012-04-11,0,17.32,16.96,0,17.01,18.31,16.74,28,17.08,1.0,bull correction,40610100,43122548.0,0.941737023517256,0.04,1
16,4,17.34,9,2012-04-12,1,17.52,17.27,3,17.36,18.31,16.91,30,17.42,1.0,bull confirmed,32041300,42950782.0,0.7460003871407975,-0.14,0
17,0,17.15,9,2012-04-13,1,17.32,17.10,0,17.30,18.31,16.91,29,17.25,1.0,bull confirmed,27901500,42367316.0,0.6585618971001137,0.06,1
18,2,17.05,10,2012-04-16,0,17.25,16.91,3,17.21,17.42,16.91,27,16.91,1.0,bull correction,35250100,42344214.0,0.8324655642445034,-0.04,0
19,0,17.35,10,2012-04-17,0,17.41,17.07,0,17.12,17.42,16.91,28,17.08,1.0,bull correction,28770700,41829808.0,0.6878037785877478,-0.57,0
20,0,17.34,10,2012-04-18,0,17.41,17.18,0,17.24,17.42,16.91,29,17.25,1.0,bull correction,27563400,41638238.0,0.6619732564091689,-0.50,0
21,4,17.20,11,2012-04-19,1,17.55,17.09,3,17.30,17.42,16.91,30,17.42,1.0,bull confirmed,34583500,41101460.0,0.8414177987837902,-0.26,0
22,0,17.21,11,2012-04-20,1,17.32,17.14,0,17.22,17.42,16.91,29,17.25,1.0,bull confirmed,34257200,39959620.0,0.857295439746424,0.06,1
23,0,17.01,11,2012-04-23,1,17.09,16.92,0,17.08,17.42,16.91,28,17.08,1.0,bull confirmed,27406400,37884604.0,0.7234178823672012,0.41,1
24,2,16.78,12,2012-04-24,0,17.15,16.72,4,17.08,17.42,16.91,26,16.74,0.0,bear confirmed,67526600,37972832.0,1.7782871712070356,0.49,1
25,0,16.84,12,2012-04-25,0,17.02,16.65,0,16.93,17.42,16.91,26,16.74,0.0,bear confirmed,48461800,37933536.0,1.2775450197946219,0.30,1
26,0,16.94,12,2012-04-26,0,17.00,16.74,0,16.83,17.42,16.91,26,16.74,0.0,bear confirmed,43037600,38157208.0,1.1279022301631714,0.10,1
27,4,17.27,13,2012-04-27,1,17.31,16.92,3,16.97,17.42,16.74,29,17.25,0.0,bear correction,47505900,38209712.0,1.2432938515736522,-0.75,0
28,1,17.42,13,2012-04-30,1,17.43,17.13,1,17.15,17.42,16.74,30,17.42,0.0,bear correction,36405500,38086652.0,0.9558598114636068,-0.93,0
29,0,17.27,13,2012-05-01,1,17.42,17.27,0,17.38,17.42,16.74,30,17.42,0.0,bear correction,31761800,37636894.0,0.8439006683176353,-1.10,0
30,0,17.14,13,2012-05-02,1,17.23,16.96,0,17.21,17.42,16.74,28,17.08,0.0,bear correction,32168300,37455802.0,0.8588335660253651,-0.91,0
31,0,17.04,13,2012-05-03,1,17.24,16.98,0,17.21,17.42,16.74,28,17.08,0.0,bear correction,29626200,37323942.0,0.7937586013824585,-2.51,0
32,2,16.52,14,2012-05-04,0,16.88,16.44,5,16.87,17.42,16.74,25,16.57,0.0,bear confirmed,41733900,37558460.0,1.1111717573084732,-2.26,0
33,0,16.49,14,2012-05-07,0,16.64,16.42,0,16.44,17.42,16.74,25,16.57,0.0,bear confirmed,34078500,37695620.0,0.9040440242128926,-2.05,0
34,3,16.17,14,2012-05-08,0,16.33,16.09,3,16.33,17.42,16.74,22,16.09,0.0,bear confirmed,52278000,37997776.0,1.3758173636267554,-1.88,0
35,0,16.23,14,2012-05-09,0,16.32,15.97,0,16.06,17.42,16.74,22,16.09,0.0,bear confirmed,78275200,38876298.0,2.0134427408700284,-1.81,0
36,3,14.53,14,2012-05-10,0,14.97,14.48,10,14.84,17.42,16.74,12,14.56,0.0,bear confirmed,198450600,41920714.0,4.73395085780266,-0.23,0
37,3,14.26,14,2012-05-11,0,14.68,14.26,2,14.48,17.42,16.74,10,14.28,0.0,bear confirmed,75215300,42562034.0,1.7671923292011844,-0.03,0
38,0,14.44,14,2012-05-14,0,14.54,14.15,0,14.17,17.42,16.74,10,14.28,0.0,bear confirmed,57497300,43162988.0,1.3320973052189993,-0.03,0
39,0,14.29,14,2012-05-15,0,14.48,14.27,0,14.46,17.42,16.74,10,14.28,0.0,bear confirmed,66148000,43846522.0,1.508625929326846,0.17,1
40,0,14.42,14,2012-05-16,0,14.60,14.35,0,14.54,17.42,16.74,11,14.42,0.0,bear confirmed,57794300,44267562.0,1.305567720219153,0.00,0
41,0,14.30,14,2012-05-17,0,14.52,14.30,0,14.42,17.42,16.74,11,14.42,0.0,bear confirmed,41625200,44405038.0,0.9373981393732846,-0.14,0
42,0,14.23,14,2012-05-18,0,14.38,14.15,0,14.35,17.42,16.74,10,14.28,0.0,bear confirmed,57520600,44822340.0,1.283302031977804,-0.12,0
43,0,14.41,14,2012-05-21,0,14.43,14.15,0,14.27,17.42,16.74,10,14.28,0.0,bear confirmed,37628500,45049422.0,0.8352715380010869,-0.07,0
44,0,14.46,14,2012-05-22,0,14.54,14.36,0,14.40,17.42,16.74,11,14.42,0.0,bear confirmed,42979200,45382682.0,0.9470396659236666,-0.30,0
45,0,14.42,14,2012-05-23,0,14.48,14.20,0,14.31,17.42,16.74,10,14.28,0.0,bear confirmed,42459500,45565352.0,0.9318374189230448,-0.31,0
46,3,14.16,14,2012-05-24,0,14.43,14.13,1,14.42,17.42,16.74,9,14.13,0.0,bear confirmed,52604300,45793630.0,1.148725270305062,-0.37,0
47,0,14.11,14,2012-05-25,0,14.31,14.10,0,14.22,17.42,16.74,9,14.13,0.0,bear confirmed,41838300,45529992.0,0.9189173589136584,-0.19,0
48,0,14.34,14,2012-05-29,0,14.38,14.16,0,14.27,17.42,16.74,10,14.28,0.0,bear confirmed,37091400,45144560.0,0.821613944182865,-0.41,0
49,0,14.16,14,2012-05-30,0,14.24,14.13,0,14.22,17.42,16.74,9,14.13,0.0,bear confirmed,36488300,45268796.0,0.8060364583144646,0.26,1
50,0,14.11,14,2012-05-31,0,14.27,14.05,0,14.14,17.42,16.74,9,14.13,0.0,bear confirmed,51969400,45074992.0,1.15295417024145,0.22,1
51,3,13.79,14,2012-06-01,0,13.96,13.78,2,13.90,17.42,16.74,7,13.86,0.0,bear confirmed,48493800,45262164.0,1.0713981770734602,0.67,1
52,0,13.92,14,2012-06-04,0,13.94,13.76,0,13.81,17.42,16.74,7,13.86,0.0,bear confirmed,29743500,45212800.0,0.6578557399674428,0.32,1
53,0,13.93,14,2012-06-05,0,14.07,13.81,0,13.88,17.42,16.74,7,13.86,0.0,bear confirmed,34648800,45352842.0,0.7639829936126163,0.58,1
54,4,14.42,15,2012-06-06,1,14.42,14.02,4,14.08,17.42,13.86,11,14.42,0.0,bear correction,33224400,45435354.0,0.7312455406422056,-0.03,0
55,1,14.33,15,2012-06-07,1,14.62,14.28,1,14.59,17.42,13.86,12,14.56,0.0,bear correction,34270300,45231232.0,0.7576689487476265,0.29,1
56,0,14.46,15,2012-06-08,1,14.50,14.25,0,14.31,17.42,13.86,11,14.42,0.0,bear correction,29773800,45029922.0,0.6612003458500327,0.32,1
57,0,14.24,15,2012-06-11,1,14.59,14.22,0,14.58,17.42,13.86,12,14.56,0.0,bear correction,31130800,44922178.0,0.6929940039861825,0.57,1
58,0,14.51,15,2012-06-12,1,14.55,14.27,0,14.32,17.42,13.86,11,14.42,0.0,bear correction,32713000,44862960.0,0.7291761399604484,0.34,1
59,0,14.39,15,2012-06-13,1,14.56,14.31,0,14.46,17.42,13.86,12,14.56,0.0,bear correction,39106800,45030766.0,0.8684462529462634,0.74,1
60,1,14.62,15,2012-06-14,1,14.72,14.34,1,14.41,17.42,13.86,13,14.71,0.0,bear correction,39580100,44540234.0,0.888637001772375,0.01,1
61,0,14.78,15,2012-06-15,1,14.84,14.63,0,14.66,17.42,13.86,13,14.71,0.0,bear correction,42601400,44515300.0,0.9570057935136908,0.02,1
62,1,14.81,15,2012-06-18,1,14.91,14.72,1,14.76,17.42,13.86,14,14.86,0.0,bear correction,35400800,44611078.0,0.7935428056681347,-0.17,0
63,1,14.85,15,2012-06-19,1,15.00,14.79,1,14.93,17.42,13.86,15,15.00,0.0,bear correction,41827300,44919298.0,0.93116548704746,-0.32,0
64,1,15.13,15,2012-06-20,1,15.24,14.95,1,15.01,17.42,13.86,16,15.15,0.0,bear correction,46238300,44946136.0,1.0287491676703866,-0.67,0
65,2,14.63,16,2012-06-21,0,15.16,14.58,3,15.13,15.15,13.86,13,14.71,0.0,bear confirmed,44123400,45016402.0,0.9801627415713944,-0.39,0
66,0,14.80,16,2012-06-22,0,14.86,14.65,0,14.67,15.15,13.86,13,14.71,0.0,bear confirmed,46489700,45305370.0,1.0261410512705227,0.04,1
67,3,14.64,16,2012-06-25,0,14.72,14.50,1,14.70,15.15,13.86,12,14.56,0.0,bear confirmed,33219000,45411720.0,0.7315071968205564,0.19,1
