,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,91.03,5,2012-03-20,1,91.74,90.91,0,91.74,89.07,84.75,33,90.86,1.0,bull confirmed,6158300,6988584.0,0.8811942447854959,-1.70,0
1,2,90.06,6,2012-03-21,0,90.98,89.59,4,90.93,93.61,84.75,32,89.96,1.0,bull correction,7549900,6997206.0,1.0789878131357002,-1.69,0
2,3,87.92,6,2012-03-22,0,89.29,87.65,2,89.17,93.61,84.75,30,88.19,1.0,bull correction,8282100,7010012.0,1.1814673070459794,1.25,1
3,0,88.76,6,2012-03-23,0,89.22,87.50,0,88.20,93.61,84.75,30,88.19,1.0,bull correction,6600300,6985968.0,0.9447939068716031,0.71,1
4,0,90.00,6,2012-03-26,0,90.11,89.16,0,89.49,93.61,84.75,32,89.96,1.0,bull correction,5311100,6854246.0,0.7748627638984653,0.38,1
5,0,89.33,6,2012-03-27,0,90.13,89.31,0,90.03,93.61,84.75,32,89.96,1.0,bull correction,4327700,6775462.0,0.6387313514561811,0.09,1
6,0,88.37,6,2012-03-28,0,89.26,87.80,0,88.94,93.61,84.75,30,88.19,1.0,bull correction,6816400,6773284.0,1.0063655975447066,-0.24,0
7,0,89.17,6,2012-03-29,0,89.32,87.56,0,87.70,93.61,84.75,30,88.19,1.0,bull correction,5793900,6757534.0,0.857398571727497,-1.75,0
8,0,89.47,6,2012-03-30,0,89.50,88.81,0,89.33,93.61,84.75,31,89.07,1.0,bull correction,6121000,6766632.0,0.9045859151199592,-3.10,0
9,0,90.38,6,2012-04-02,0,90.79,88.96,0,89.17,93.61,84.75,31,89.07,1.0,bull correction,5188400,6724708.0,0.7715427941257821,-5.71,0
10,0,89.42,6,2012-04-03,0,90.32,88.66,0,90.07,93.61,84.75,31,89.07,1.0,bull correction,4690300,6688380.0,0.701260992945975,-5.17,0
11,0,88.13,6,2012-04-04,0,88.68,87.65,0,88.67,93.61,84.75,30,88.19,1.0,bull correction,5430600,6696164.0,0.811001642134213,-2.51,0
12,3,87.42,6,2012-04-05,0,88.38,87.07,1,87.77,93.61,84.75,29,87.32,1.0,bull correction,5982700,6655404.0,0.8989236416001193,-3.31,0
13,3,86.37,6,2012-04-09,0,86.86,85.84,1,86.21,93.61,84.75,28,86.45,1.0,bull correction,4983400,6615064.0,0.7533411619298014,-1.65,0
14,3,84.67,6,2012-04-10,0,86.28,84.62,2,86.17,93.61,84.75,26,84.75,1.0,bull correction,8907500,6581584.0,1.353397601550022,1.81,1
15,0,84.25,6,2012-04-11,0,85.50,84.11,0,85.38,93.61,84.75,26,84.75,1.0,bull correction,8570100,6600672.0,1.298367802551013,2.03,1
16,3,85.62,6,2012-04-12,0,85.84,83.88,1,84.20,93.61,84.75,25,83.91,0.0,bear confirmed,6451900,6563308.0,0.983025632805896,-0.07,0
17,0,84.11,6,2012-04-13,0,85.43,84.06,0,85.37,93.61,84.75,26,84.75,0.0,bear confirmed,6847100,6543760.0,1.046355612064012,1.45,1
18,0,84.72,6,2012-04-16,0,85.33,84.43,0,84.81,93.61,84.75,26,84.75,0.0,bear confirmed,6065100,6547118.0,0.9263770715603415,0.77,1
19,4,86.48,7,2012-04-17,1,86.87,85.41,3,85.51,93.61,83.91,28,86.45,0.0,bear correction,5500900,6520764.0,0.8435974680267527,-0.50,0
20,0,86.28,7,2012-04-18,1,86.77,85.84,0,86.31,93.61,83.91,28,86.45,0.0,bear correction,4836200,6488616.0,0.7453361394787424,0.39,1
21,0,85.55,7,2012-04-19,1,86.49,85.28,0,86.18,93.61,83.91,28,86.45,0.0,bear correction,6768400,6503290.0,1.0407655202213033,3.10,1
22,0,85.56,7,2012-04-20,1,86.66,85.48,0,86.05,93.61,83.91,28,86.45,0.0,bear correction,5814700,6511910.0,0.8929331025766634,3.07,1
23,0,85.49,7,2012-04-23,1,85.73,84.20,0,84.45,93.61,83.91,27,85.60,0.0,bear correction,5590600,6528694.0,0.8563121506383972,3.44,1
24,0,85.98,7,2012-04-24,1,86.10,85.24,0,85.77,93.61,83.91,27,85.60,0.0,bear correction,4104400,6488046.0,0.6326095715104363,4.38,1
25,0,86.67,7,2012-04-25,1,86.70,85.64,0,86.43,93.61,83.91,28,86.45,0.0,bear correction,5308500,6500306.0,0.8166538621412592,2.65,1
