,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,40.43,5,2012-03-20,1,40.49,40.14,0,40.20,37.11,36.02,13,40.18,1.0,bull confirmed,6853900,9596202.0,0.7142304841019395,0.85,1
1,0,40.46,5,2012-03-21,1,41.02,40.46,0,40.60,37.11,36.02,15,40.99,1.0,bull confirmed,9582000,9544938.0,1.0038828958344204,0.22,1
2,0,40.48,5,2012-03-22,1,40.58,40.21,0,40.28,37.11,36.02,14,40.58,1.0,bull confirmed,8560200,9434724.0,0.9073079403276662,-0.27,0
3,0,40.81,5,2012-03-23,1,40.87,40.07,0,40.51,37.11,36.02,14,40.58,1.0,bull confirmed,8519000,9279952.0,0.9180004379332997,0.12,1
4,1,41.49,5,2012-03-26,1,41.52,41.06,1,41.08,37.11,36.02,16,41.40,1.0,bull confirmed,10850200,9295488.0,1.1672544787320471,-0.50,0
5,0,41.28,5,2012-03-27,1,41.61,41.22,0,41.50,37.11,36.02,16,41.40,1.0,bull confirmed,9343100,9284796.0,1.006279513303254,-0.80,0
6,0,40.68,5,2012-03-28,1,41.28,40.45,0,41.18,37.11,36.02,15,40.99,1.0,bull confirmed,9444300,9290826.0,1.0165188757167554,-0.54,0
7,2,40.21,6,2012-03-29,0,40.46,39.55,4,40.39,41.40,36.02,12,39.78,1.0,bull correction,10402500,9306986.0,1.1177087834880164,0.07,1
8,4,40.93,7,2012-03-30,1,41.00,40.30,3,40.69,41.40,39.78,15,40.99,1.0,bull confirmed,9096000,9334286.0,0.9744719628260801,-1.56,0
9,0,40.99,7,2012-04-02,1,41.14,40.50,0,40.76,41.40,39.78,15,40.99,1.0,bull confirmed,7653800,9329764.0,0.8203637305295182,-2.67,0
10,0,40.48,7,2012-04-03,1,40.90,40.12,0,40.83,41.40,39.78,14,40.58,1.0,bull confirmed,7996400,9347200.0,0.8554861348853132,-1.80,0
11,2,40.14,8,2012-04-04,0,40.19,39.72,3,40.11,40.99,39.78,12,39.78,1.0,bull correction,8560700,9330274.0,0.9175186066347033,-0.73,0
12,0,40.28,8,2012-04-05,0,40.37,39.90,0,40.05,40.99,39.78,13,40.18,1.0,bull correction,6340800,9256010.0,0.6850467966218705,-1.15,0
13,3,39.37,8,2012-04-09,0,39.52,39.23,1,39.39,40.99,39.78,11,39.39,0.0,bear confirmed,6813500,9249028.0,0.7366720048852701,-0.42,0
14,3,38.32,8,2012-04-10,0,39.39,38.22,3,39.15,40.99,39.78,8,38.23,0.0,bear confirmed,10682100,9270902.0,1.1522179826730992,1.58,1
15,0,38.68,8,2012-04-11,0,38.99,38.56,0,38.81,40.99,39.78,9,38.61,0.0,bear confirmed,6358400,9224406.0,0.6893018368879253,1.05,1
16,4,39.41,9,2012-04-12,1,39.46,38.57,3,38.74,40.99,38.23,11,39.39,0.0,bear correction,5538400,9054772.0,0.6116553790642105,-0.07,0
17,0,39.13,9,2012-04-13,1,39.47,38.99,0,39.30,40.99,38.23,11,39.39,0.0,bear correction,7311700,9022986.0,0.8103414989228621,0.47,1
18,0,38.95,9,2012-04-16,1,39.39,38.84,0,39.32,40.99,38.23,11,39.39,0.0,bear correction,6109300,8963636.0,0.6815649363718027,0.33,1
19,1,39.90,9,2012-04-17,1,39.96,39.16,1,39.16,40.99,38.23,12,39.78,0.0,bear correction,6550300,8862536.0,0.7390999596503754,-0.46,0
20,0,39.73,9,2012-04-18,1,39.84,39.57,0,39.72,40.99,38.23,12,39.78,0.0,bear correction,3781900,8707444.0,0.43432952310689565,0.19,1
21,0,39.34,9,2012-04-19,1,39.74,39.08,0,39.67,40.99,38.23,11,39.39,0.0,bear correction,7074200,8446782.0,0.8375023766447388,1.20,1
22,0,39.60,9,2012-04-20,1,40.05,39.49,0,39.49,40.99,38.23,12,39.78,0.0,bear correction,7773100,8168440.0,0.9516015297902659,0.93,1
23,0,39.28,9,2012-04-23,1,39.50,39.02,0,39.50,40.99,38.23,11,39.39,0.0,bear correction,6592100,8028662.0,0.8210708085606294,1.03,1
24,0,39.44,9,2012-04-24,1,39.67,39.24,0,39.30,40.99,38.23,11,39.39,0.0,bear correction,4954600,7925428.0,0.6251523577023222,1.50,1
25,0,39.92,9,2012-04-25,1,39.98,39.62,0,39.64,40.99,38.23,12,39.78,0.0,bear correction,4926300,7842638.0,0.6281432344575894,0.79,1
26,1,40.54,9,2012-04-26,1,40.73,39.91,2,39.96,40.99,38.23,14,40.58,0.0,bear correction,7713000,7832692.0,0.9847189191149097,0.42,1
27,0,40.53,9,2012-04-27,1,40.81,40.32,0,40.76,40.99,38.23,14,40.58,0.0,bear correction,6354200,7801952.0,0.8144372075090952,-0.39,0
28,0,40.31,9,2012-04-30,1,40.53,40.05,0,40.50,40.99,38.23,13,40.18,0.0,bear correction,6987200,7792406.0,0.8966678584252412,0.66,1
29,1,40.94,9,2012-05-01,1,41.22,40.34,1,40.37,40.99,38.23,15,40.99,0.0,bear correction,9316200,7823556.0,1.1907884343129902,0.48,1
30,0,40.71,9,2012-05-02,1,40.96,40.48,0,40.74,40.99,38.23,14,40.58,0.0,bear correction,8038200,7870818.0,1.0212661504814367,1.38,1
31,0,40.96,9,2012-05-03,1,41.26,40.66,0,40.71,40.99,38.23,15,40.99,0.0,bear correction,9353900,7934372.0,1.1789086773345137,1.38,1
32,0,40.14,9,2012-05-04,1,40.87,40.05,0,40.76,40.99,38.23,14,40.58,0.0,bear correction,7458800,7958128.0,0.9372555957883563,2.46,1
33,0,40.97,9,2012-05-07,1,41.09,40.49,0,40.81,40.99,38.23,15,40.99,0.0,bear correction,11780500,8070726.0,1.4596580282864269,1.26,1
34,1,41.42,9,2012-05-08,1,41.60,40.29,1,40.93,40.99,38.23,16,41.40,1.0,bull confirmed,19680900,8281698.0,2.3764329488952627,0.66,1
35,1,42.09,9,2012-05-09,1,42.82,41.52,3,41.57,40.99,38.23,19,42.65,1.0,bull confirmed,21348300,8570760.0,2.4908292846842053,0.06,1
36,0,42.34,9,2012-05-10,1,42.62,42.12,0,42.20,40.99,38.23,18,42.23,1.0,bull confirmed,14082900,8555244.0,1.6461131909271085,-0.89,0
37,0,42.60,9,2012-05-11,1,42.82,42.07,0,42.20,40.99,38.23,19,42.65,1.0,bull confirmed,9779300,8590912.0,1.138330831464692,-1.64,0
38,0,42.23,9,2012-05-14,1,42.54,42.06,0,42.23,40.99,38.23,18,42.23,1.0,bull confirmed,8059400,8650690.0,0.9316482269044435,-0.73,0
39,0,42.08,9,2012-05-15,1,42.82,42.00,0,42.29,40.99,38.23,19,42.65,1.0,bull confirmed,10168800,8668290.0,1.1731033456425661,-0.58,0
40,0,42.15,9,2012-05-16,1,42.59,42.13,0,42.21,40.99,38.23,18,42.23,1.0,bull confirmed,8399800,8627596.0,0.9735968165407838,-0.81,0
41,0,41.45,9,2012-05-17,1,42.29,41.42,0,42.21,40.99,38.23,18,42.23,1.0,bull confirmed,8475100,8641228.0,0.9807749546707945,0.10,1
42,2,40.96,10,2012-05-18,0,41.60,40.78,4,41.57,42.65,38.23,15,40.99,1.0,bull correction,10598200,8729916.0,1.2140093902392646,0.65,1
43,0,41.50,10,2012-05-21,0,41.52,40.68,0,40.96,42.65,38.23,15,40.99,1.0,bull correction,8309300,8758174.0,0.9487479924468274,1.02,1
44,0,41.50,10,2012-05-22,0,41.79,41.26,0,41.60,42.65,38.23,16,41.40,1.0,bull correction,6855400,8758592.0,0.7827057134297385,0.76,1
45,0,41.34,10,2012-05-23,0,41.57,40.97,0,41.36,42.65,38.23,15,40.99,1.0,bull correction,8875700,8635068.0,1.0278668332432357,1.40,1
46,0,41.55,10,2012-05-24,0,41.70,41.15,0,41.52,42.65,38.23,16,41.40,1.0,bull correction,9813200,8611506.0,1.1395451620192798,-0.04,0
47,0,41.61,10,2012-05-25,0,42.04,41.49,0,41.60,42.65,38.23,17,41.81,1.0,bull correction,8520700,8659448.0,0.9839772696827789,-0.09,0
48,4,42.52,11,2012-05-29,1,42.54,41.70,3,41.79,42.65,40.99,18,42.23,1.0,bull confirmed,10560000,8691606.0,1.214965335520271,-0.60,0
49,0,42.26,11,2012-05-30,1,42.52,41.94,0,42.09,42.65,40.99,18,42.23,1.0,bull confirmed,11208700,8788130.0,1.2754362987347707,0.31,1
50,1,42.74,11,2012-05-31,1,43.10,42.13,2,42.20,42.65,40.99,20,43.08,1.0,bull confirmed,14646500,8943982.0,1.6375815604280062,-0.08,0
51,2,41.51,12,2012-06-01,0,42.40,41.46,3,42.21,43.08,40.99,17,41.81,1.0,bull correction,14874500,9049832.0,1.6436216716509213,1.72,1
52,3,41.52,12,2012-06-04,0,41.78,41.27,1,41.58,43.08,40.99,16,41.40,1.0,bull correction,9480300,9068234.0,1.0454406006726338,1.30,1
53,0,41.92,12,2012-06-05,0,42.00,41.33,0,41.62,43.08,40.99,16,41.40,1.0,bull correction,11166600,9121186.0,1.2242486887121915,1.44,1
54,0,42.57,12,2012-06-06,0,42.64,42.07,0,42.09,43.08,40.99,18,42.23,1.0,bull correction,9494400,9094070.0,1.0440209939004208,0.65,1
55,4,42.66,13,2012-06-07,1,43.22,42.57,4,42.86,43.08,41.40,20,43.08,1.0,bull confirmed,10238900,9111986.0,1.1236738072249013,1.45,1
56,0,43.23,13,2012-06-08,1,43.24,42.62,0,42.73,43.08,41.40,20,43.08,1.0,bull confirmed,10716400,9137428.0,1.1728026748883822,0.80,1
57,1,42.82,13,2012-06-11,1,43.60,42.76,1,43.34,43.08,41.40,21,43.51,1.0,bull confirmed,7907400,9087526.0,0.8701378130857618,1.22,1
58,0,43.36,13,2012-06-12,1,43.39,42.62,0,42.78,43.08,41.40,20,43.08,1.0,bull confirmed,7742900,9060464.0,0.8545809574432391,1.06,1
59,0,43.22,13,2012-06-13,1,43.62,43.00,0,43.24,43.08,41.40,21,43.51,1.0,bull confirmed,7317600,9053740.0,0.8082405724043323,1.41,1
60,1,44.11,13,2012-06-14,1,44.36,43.20,1,43.38,43.08,41.40,22,43.95,1.0,bull confirmed,12553900,9144890.0,1.372777583984061,0.21,1
61,0,44.03,13,2012-06-15,1,44.35,43.87,0,44.33,43.08,41.40,22,43.95,1.0,bull confirmed,11198200,9197640.0,1.2175079694356379,0.35,1
62,0,44.04,13,2012-06-18,1,44.32,43.76,0,43.91,43.08,41.40,22,43.95,1.0,bull confirmed,8821100,9247246.0,0.9539164417168096,-0.38,0
63,1,44.42,13,2012-06-19,1,44.88,44.20,2,44.35,43.08,41.40,24,44.83,1.0,bull confirmed,8209000,9275156.0,0.8850524993865332,-0.20,0
64,0,44.63,13,2012-06-20,1,44.85,44.35,0,44.54,43.08,41.40,24,44.83,1.0,bull confirmed,7264700,9206808.0,0.7890574018704419,0.13,1
65,0,44.32,13,2012-06-21,1,44.78,44.15,0,44.69,43.08,41.40,23,44.39,1.0,bull confirmed,10077700,9281194.0,1.085819346088445,0.39,1
66,0,44.38,13,2012-06-22,1,44.43,43.86,0,44.31,43.08,41.40,23,44.39,1.0,bull confirmed,18881600,9548058.0,1.9775330229456085,0.97,1
67,0,43.66,13,2012-06-25,1,44.16,43.52,0,44.15,43.08,41.40,22,43.95,1.0,bull confirmed,6740600,9536636.0,0.706811080972368,1.89,1
68,0,44.22,13,2012-06-26,1,44.38,43.78,0,43.83,43.08,41.40,22,43.95,1.0,bull confirmed,7279900,9560048.0,0.7614919925088243,1.21,1
69,0,44.76,13,2012-06-27,1,44.95,44.16,0,44.20,43.08,41.40,24,44.83,1.0,bull confirmed,6023500,9549512.0,0.6307652160654911,0.22,1
70,0,44.71,13,2012-06-28,1,44.73,43.92,0,44.57,43.08,41.40,23,44.39,1.0,bull confirmed,6674200,9607358.0,0.6946967105837005,0.21,1
71,1,45.35,13,2012-06-29,1,45.77,45.08,2,45.36,43.08,41.40,26,45.73,1.0,bull confirmed,10300500,9671884.0,1.0649941624610055,-0.47,0
72,0,45.55,13,2012-07-02,1,45.58,45.10,0,45.46,43.08,41.40,25,45.28,1.0,bull confirmed,7275600,9661934.0,0.753016942570711,-1.27,0
73,0,45.43,13,2012-07-03,1,45.58,45.27,0,45.50,43.08,41.40,25,45.28,1.0,bull confirmed,3060800,9591308.0,0.31912227195706777,-1.23,0
74,0,44.98,13,2012-07-05,1,45.39,44.72,0,45.14,43.08,41.40,25,45.28,1.0,bull confirmed,7770100,9647618.0,0.8053905119377653,-0.65,0
75,0,44.92,13,2012-07-06,1,45.05,44.60,0,44.66,43.08,41.40,24,44.83,1.0,bull confirmed,5623100,9661554.0,0.5820078219300953,0.14,1
76,0,44.88,13,2012-07-09,1,45.05,44.65,0,44.94,43.08,41.40,24,44.83,1.0,bull confirmed,5596200,9619218.0,0.581772863448983,-0.13,0
77,2,44.28,14,2012-07-10,0,45.23,44.11,3,45.04,45.73,41.40,23,44.39,1.0,bull correction,8787500,9667884.0,0.9089372607284076,1.86,1
78,3,44.20,14,2012-07-11,0,44.50,43.92,1,44.36,45.73,41.40,22,43.95,1.0,bull correction,6501000,9658160.0,0.6731095778077812,1.94,1
79,0,44.33,14,2012-07-12,0,44.69,43.80,0,44.30,45.73,41.40,22,43.95,1.0,bull correction,8270700,9637250.0,0.8582012503566889,1.47,1
80,0,45.06,14,2012-07-13,0,45.24,44.30,0,44.32,45.73,41.40,23,44.39,1.0,bull correction,7187300,9620232.0,0.7471025646782739,0.37,1
81,0,44.75,14,2012-07-16,0,44.99,44.59,0,44.84,45.73,41.40,24,44.83,1.0,bull correction,5675200,9546658.0,0.5944698134153334,0.11,1
82,4,46.14,15,2012-07-17,1,46.67,45.25,6,45.29,45.73,43.95,28,46.65,1.0,bull confirmed,15909900,9715680.0,1.6375487871152612,-1.11,0
83,0,46.14,15,2012-07-18,1,46.44,45.78,0,45.94,45.73,43.95,27,46.19,1.0,bull confirmed,7677500,9633620.0,0.7969486029135465,-0.98,0
84,0,45.80,15,2012-07-19,1,46.39,45.56,0,46.18,45.73,43.95,27,46.19,1.0,bull confirmed,9330800,9426618.0,0.9898353789238091,0.68,1
85,0,45.43,15,2012-07-20,1,45.77,45.35,0,45.44,45.73,43.95,26,45.73,1.0,bull confirmed,8482300,9169298.0,0.9250762708333833,1.26,1
86,2,44.86,16,2012-07-23,0,44.94,44.34,5,44.66,46.65,43.95,23,44.39,1.0,bull correction,8333100,9054302.0,0.9203470350337332,1.70,1
87,0,45.03,16,2012-07-24,0,45.19,44.59,0,44.91,46.65,43.95,24,44.83,1.0,bull correction,8955100,9037818.0,0.9908475696235529,0.91,1
88,0,45.16,16,2012-07-25,0,45.48,44.89,0,45.19,46.65,43.95,25,45.28,1.0,bull correction,7034000,9017310.0,0.7800552492927492,0.78,1
89,4,46.48,17,2012-07-26,1,46.62,45.87,4,45.87,46.65,44.39,27,46.19,1.0,bull confirmed,10497100,9023876.0,1.1632584490301063,-0.68,0
90,1,46.69,17,2012-07-27,1,47.25,46.46,2,46.65,46.65,44.39,29,47.12,1.0,bull confirmed,16174800,9179376.0,1.7620805597243212,-0.16,0
91,0,46.56,17,2012-07-30,1,46.88,46.42,0,46.70,46.65,44.39,28,46.65,1.0,bull confirmed,8890600,9187686.0,0.9676647634671015,-0.14,0
92,0,45.94,17,2012-07-31,1,46.61,45.90,0,46.54,46.65,44.39,27,46.19,1.0,bull confirmed,10503000,9185782.0,1.1433974810201244,0.63,1
93,0,45.94,17,2012-08-01,1,45.94,45.94,0,45.94,46.65,44.39,26,45.73,1.0,bull confirmed,6780200,9155200.0,0.7405845858091576,1.27,1
94,2,45.80,18,2012-08-02,0,45.80,45.00,4,45.44,47.12,44.39,25,45.28,1.0,bull correction,9559000,9209272.0,1.0379756402026132,0.91,1
95,0,46.53,18,2012-08-03,0,46.63,46.15,0,46.57,47.12,44.39,27,46.19,1.0,bull correction,8187800,9195514.0,0.8904124337149615,-0.11,0
96,4,46.42,19,2012-08-06,1,46.75,46.42,3,46.72,47.12,45.28,28,46.65,1.0,bull confirmed,6353300,9126316.0,0.6961516563748176,0.20,1
97,0,46.57,19,2012-08-07,1,47.04,46.49,0,46.76,47.12,45.28,28,46.65,1.0,bull confirmed,13676500,9229432.0,1.4818355019030423,-0.11,0
98,1,47.21,19,2012-08-08,1,47.36,45.86,1,46.15,47.12,45.28,29,47.12,1.0,bull confirmed,14724900,9312730.0,1.5811582640106607,-0.56,0
99,0,46.71,19,2012-08-09,1,47.19,46.61,0,47.01,47.12,45.28,29,47.12,1.0,bull confirmed,10430300,9297162.0,1.1218799887535573,0.27,1
100,0,46.42,19,2012-08-10,1,46.67,46.11,0,46.66,47.12,45.28,28,46.65,1.0,bull confirmed,7449500,9153222.0,0.8138664177488539,0.76,1
101,0,46.62,19,2012-08-13,1,46.73,46.24,0,46.31,47.12,45.28,28,46.65,1.0,bull confirmed,4875000,8953232.0,0.5444961104548615,0.55,1
102,0,46.46,19,2012-08-14,1,46.89,46.31,0,46.68,47.12,45.28,28,46.65,1.0,bull confirmed,6365900,8890944.0,0.7159982112135674,-0.05,0
103,0,46.65,19,2012-08-15,1,46.72,46.42,0,46.42,47.12,45.28,28,46.65,1.0,bull confirmed,4887100,8765354.0,0.5575473620346652,-0.22,0
104,0,46.98,19,2012-08-16,1,47.14,46.56,0,46.74,47.12,45.28,29,47.12,1.0,bull confirmed,8285700,8741180.0,0.9478926186167085,-1.01,0
105,0,47.18,19,2012-08-17,1,47.26,46.99,0,47.08,47.12,45.28,29,47.12,1.0,bull confirmed,6354700,8663496.0,0.7335029646230575,-0.84,0
106,0,47.17,19,2012-08-20,1,47.30,46.89,0,47.05,47.12,45.28,29,47.12,1.0,bull confirmed,6937100,8587910.0,0.807775116413656,-0.77,0
107,0,46.41,19,2012-08-21,1,47.20,46.29,0,47.13,47.12,45.28,29,47.12,1.0,bull confirmed,7683200,8583426.0,0.8951204332628953,-0.01,0
108,0,46.43,19,2012-08-22,1,46.89,46.28,0,46.37,47.12,45.28,28,46.65,1.0,bull confirmed,6759400,8563756.0,0.7893031982695443,0.36,1
109,0,45.97,19,2012-08-23,1,46.43,45.84,0,46.38,47.12,45.28,27,46.19,1.0,bull confirmed,5428300,8525970.0,0.6366782899775627,0.24,1
110,0,46.34,19,2012-08-24,1,46.38,45.82,0,45.89,47.12,45.28,27,46.19,1.0,bull confirmed,5793700,8390766.0,0.6904852310265833,-0.09,0
111,0,46.40,19,2012-08-27,1,46.61,46.20,0,46.27,47.12,45.28,27,46.19,1.0,bull confirmed,6228800,8291378.0,0.7512382139615393,0.03,1
112,0,46.40,19,2012-08-28,1,46.61,46.08,0,46.22,47.12,45.28,27,46.19,1.0,bull confirmed,7962400,8274204.0,0.9623161333706541,1.09,1
113,0,46.79,19,2012-08-29,1,46.91,46.36,0,46.41,47.12,45.28,28,46.65,1.0,bull confirmed,7685100,8263726.0,0.9299800114379397,1.70,1
114,0,46.21,19,2012-08-30,1,46.54,46.16,0,46.49,47.12,45.28,27,46.19,1.0,bull confirmed,6697800,8252388.0,0.8116196184668002,2.17,1
115,0,46.25,19,2012-08-31,1,46.66,46.19,0,46.41,47.12,45.28,28,46.65,1.0,bull confirmed,6232500,8175484.0,0.7623401868317521,1.92,1
116,0,46.43,19,2012-09-04,1,46.59,46.03,0,46.30,47.12,45.28,27,46.19,1.0,bull confirmed,6988700,7937626.0,0.8804521654207442,1.78,1
117,1,47.49,19,2012-09-05,1,47.91,46.83,1,46.88,47.12,45.28,30,47.59,1.0,bull confirmed,16689300,8136600.0,2.0511392965120567,0.85,1
118,1,48.49,19,2012-09-06,1,48.50,47.35,1,47.40,47.12,45.28,31,48.06,1.0,bull confirmed,10124600,8193494.0,1.23568772980123,0.69,1
119,1,48.38,19,2012-09-07,1,48.62,48.30,1,48.50,47.12,45.28,32,48.54,1.0,bull confirmed,8923600,8251496.0,1.0814523814833092,0.57,1
120,0,48.17,19,2012-09-10,1,48.43,48.13,0,48.25,47.12,45.28,31,48.06,1.0,bull confirmed,7479300,8267598.0,0.9046521129837227,0.59,1
121,0,48.21,19,2012-09-11,1,48.31,48.08,0,48.12,47.12,45.28,31,48.06,1.0,bull confirmed,6631700,8194222.0,0.8093141728403258,0.31,1
122,0,48.34,19,2012-09-12,1,48.42,47.94,0,48.24,47.12,45.28,31,48.06,1.0,bull confirmed,7100200,8190714.0,0.866859714549916,0.93,1
123,1,49.18,19,2012-09-13,1,49.24,48.37,1,48.37,47.12,45.28,33,49.03,1.0,bull confirmed,11184700,8353192.0,1.338973173368935,0.06,1
124,0,48.95,19,2012-09-14,1,49.32,48.78,0,49.04,47.12,45.28,33,49.03,1.0,bull confirmed,9507000,8387930.0,1.1334143227232463,0.36,1
125,0,48.76,19,2012-09-17,1,49.02,48.58,0,48.92,47.12,45.28,32,48.54,1.0,bull confirmed,7852900,8432526.0,0.9312630639976681,0.72,1
126,0,48.52,19,2012-09-18,1,48.73,48.40,0,48.65,47.12,45.28,32,48.54,1.0,bull confirmed,7100800,8462618.0,0.839078403397152,0.60,1
127,0,49.27,19,2012-09-19,1,49.51,48.41,0,48.41,47.12,45.28,33,49.03,1.0,bull confirmed,7822500,8443318.0,0.9264722707352726,-0.71,0
128,0,49.24,19,2012-09-20,1,49.47,49.02,0,49.02,47.12,45.28,33,49.03,1.0,bull confirmed,8598300,8485264.0,1.013321447629679,-0.08,0
129,1,49.31,19,2012-09-21,1,49.92,49.30,1,49.50,47.12,45.28,34,49.52,1.0,bull confirmed,13229300,8584436.0,1.5410796935290798,-0.43,0
130,0,49.48,19,2012-09-24,1,49.60,49.19,0,49.24,47.12,45.28,34,49.52,1.0,bull confirmed,6148000,8563650.0,0.7179181774126686,-0.80,0
131,0,49.12,19,2012-09-25,1,49.93,49.12,0,49.45,47.12,45.28,34,49.52,1.0,bull confirmed,7421200,8598570.0,0.8630737436573755,-0.84,0
132,0,48.56,19,2012-09-26,1,49.18,48.40,0,49.01,47.12,45.28,33,49.03,1.0,bull confirmed,8017900,8440730.0,0.9499059915433855,0.50,1
133,0,49.16,19,2012-09-27,1,49.35,48.59,0,48.73,47.12,45.28,33,49.03,1.0,bull confirmed,5309400,8393368.0,0.6325708583252873,0.05,1
134,0,48.88,19,2012-09-28,1,49.11,48.66,0,49.00,47.12,45.28,33,49.03,1.0,bull confirmed,6695200,8340656.0,0.8027186350809816,0.64,1
135,0,48.68,19,2012-10-01,1,49.42,48.54,0,48.91,47.12,45.28,33,49.03,1.0,bull confirmed,6557200,8302154.0,0.7898191240490119,0.25,1
136,0,48.28,19,2012-10-02,1,48.85,48.12,0,48.74,47.12,45.28,32,48.54,1.0,bull confirmed,7243900,8280370.0,0.8748280572003425,-0.12,0
137,0,49.06,19,2012-10-03,1,49.26,48.33,0,48.36,47.12,45.28,33,49.03,1.0,bull confirmed,6626600,8233800.0,0.804804585974884,-1.18,0
138,0,49.21,19,2012-10-04,1,49.62,48.98,0,49.29,47.12,45.28,34,49.52,1.0,bull confirmed,6507800,8223276.0,0.7913877632223459,-2.14,0
139,0,49.52,19,2012-10-05,1,49.69,49.32,0,49.38,47.12,45.28,34,49.52,1.0,bull confirmed,5223200,8117798.0,0.6434257171710851,-2.22,0
140,0,48.93,19,2012-10-08,1,49.09,48.72,0,48.96,47.12,45.28,33,49.03,1.0,bull confirmed,5827900,7910860.0,0.7366961367032155,-1.44,0
141,0,48.16,19,2012-10-09,1,48.93,48.11,0,48.92,47.12,45.28,32,48.54,1.0,bull confirmed,8072100,7894490.0,1.0224979701031987,-0.25,0
142,2,47.88,20,2012-10-10,0,48.27,47.77,3,48.05,49.52,45.28,31,48.06,1.0,bull correction,6407900,7812588.0,0.8202019612451086,1.01,1
143,3,47.07,20,2012-10-11,0,48.21,46.94,2,47.99,49.52,45.28,29,47.12,1.0,bull correction,10118400,7879352.0,1.284166515215972,1.94,1
144,0,47.30,20,2012-10-12,0,47.45,47.14,0,47.26,49.52,45.28,30,47.59,1.0,bull correction,6135600,7810884.0,0.7855192830926692,1.22,1
145,0,47.49,20,2012-10-15,0,47.51,47.08,0,47.30,49.52,45.28,29,47.12,1.0,bull correction,6871200,7784552.0,0.8826712185877877,0.93,1
146,0,47.91,20,2012-10-16,0,48.15,47.76,0,47.84,49.52,45.28,31,48.06,1.0,bull correction,4997300,7757432.0,0.6441951408662042,-0.45,0
147,4,48.89,21,2012-10-17,1,48.99,47.99,3,48.06,49.52,47.12,32,48.54,1.0,bull confirmed,7787900,7639660.0,1.01940400489027,-1.53,0
148,1,49.01,21,2012-10-18,1,49.31,48.73,1,48.86,49.52,47.12,33,49.03,1.0,bull confirmed,6290600,7470974.0,0.8420053395982907,-2.02,0
149,0,48.52,21,2012-10-19,1,49.17,48.24,0,49.09,49.52,47.12,33,49.03,1.0,bull confirmed,8454800,7431464.0,1.1377031497427694,-1.70,0
150,0,48.42,21,2012-10-22,1,48.66,48.06,0,48.44,49.52,47.12,32,48.54,1.0,bull confirmed,6131800,7405110.0,0.8280498196515649,-2.49,0
151,2,47.46,22,2012-10-23,0,48.01,47.45,3,47.99,49.03,47.12,30,47.59,1.0,bull correction,8531000,7478230.0,1.1407779648392735,-0.92,0
152,0,47.36,22,2012-10-24,0,47.76,47.27,0,47.64,49.03,47.12,30,47.59,1.0,bull correction,6069500,7472302.0,0.8122664207094413,-0.74,0
153,3,46.99,22,2012-10-25,0,47.71,46.71,1,47.62,49.03,47.12,29,47.12,1.0,bull correction,6794100,7510442.0,0.9046205269942834,0.06,1
154,3,46.82,22,2012-10-26,0,47.25,46.30,1,47.08,49.03,47.12,28,46.65,0.0,bear confirmed,8359800,7511924.0,1.1128706839952054,0.37,1
155,3,45.93,22,2012-10-31,0,47.91,45.63,2,47.82,49.03,47.12,26,45.73,0.0,bear confirmed,20702900,7798888.0,2.654596398871224,0.89,1
156,0,46.54,22,2012-11-01,0,47.04,46.08,0,46.08,49.03,47.12,27,46.19,0.0,bear confirmed,10582900,7871804.0,1.344405932871296,0.25,1
157,4,46.62,23,2012-11-02,1,47.67,46.53,4,47.34,49.03,45.73,30,47.59,0.0,bear correction,14027500,7998690.0,1.7537246724151079,-2.62,0
158,0,47.05,23,2012-11-05,1,47.55,46.58,0,47.51,49.03,45.73,29,47.12,0.0,bear correction,9575100,8055004.0,1.1887144934999412,-2.69,0
159,0,47.19,23,2012-11-06,1,47.40,46.82,0,47.28,49.03,45.73,29,47.12,0.0,bear correction,7691200,8100262.0,0.9495001519703931,-2.35,0
160,0,46.82,23,2012-11-07,1,47.36,46.36,0,47.36,49.03,45.73,29,47.12,0.0,bear correction,8533200,8155052.0,1.0463697840308068,-2.72,0
161,0,46.79,23,2012-11-08,1,47.53,46.67,0,46.83,49.03,45.73,29,47.12,0.0,bear correction,11124200,8252960.0,1.3479042670750858,-2.41,0
162,2,44.00,24,2012-11-09,0,44.83,43.50,9,43.93,47.59,45.73,21,43.51,0.0,bear confirmed,34216900,8778050.0,3.8980069605436287,0.34,1
163,0,44.36,24,2012-11-12,0,44.53,43.91,0,44.40,47.59,45.73,22,43.95,0.0,bear confirmed,12344500,8871238.0,1.3915194249100296,0.43,1
