,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,1,117.73,15,2012-03-20,1,119.45,115.15,1,115.36,116.52,111.98,34,118.87,1.0,bull confirmed,8247000,7048742.0,1.169996007798271,0.29,1
1,0,117.70,15,2012-03-21,1,119.12,116.32,0,118.34,116.52,111.98,34,118.87,1.0,bull confirmed,4820500,7044788.0,0.6842647358586235,0.34,1
2,0,116.53,15,2012-03-22,1,117.31,115.92,0,116.58,116.52,111.98,32,116.52,1.0,bull confirmed,5028400,6991702.0,0.7191954119326024,-0.91,0
3,0,117.88,15,2012-03-23,1,118.46,116.32,0,117.58,116.52,111.98,33,117.69,1.0,bull confirmed,5160600,6950454.0,0.7424838722765448,-1.69,0
4,0,119.64,15,2012-03-26,1,119.77,118.12,0,118.88,116.52,111.98,34,118.87,1.0,bull confirmed,4444000,6902160.0,0.6438564159625393,-2.96,0
5,1,118.02,15,2012-03-27,1,120.25,117.90,1,120.13,116.52,111.98,35,120.05,1.0,bull confirmed,5447000,6858784.0,0.7941640967261835,-3.38,0
6,2,118.04,16,2012-03-28,0,118.87,115.92,3,117.80,120.05,111.98,32,116.52,1.0,bull correction,5187900,6801712.0,0.7627344409760366,-5.97,0
7,3,115.62,16,2012-03-29,0,118.27,114.80,1,117.39,120.05,111.98,31,115.37,1.0,bull correction,5538800,6553282.0,0.8451948199390779,-5.38,0
8,0,116.19,16,2012-03-30,0,117.21,114.84,0,116.48,120.05,111.98,31,115.37,1.0,bull correction,4651400,6416692.0,0.724890644587585,-6.87,0
9,0,116.68,16,2012-04-02,0,117.28,115.26,0,115.97,120.05,111.98,31,115.37,1.0,bull correction,4084700,6329592.0,0.6453338540619996,-9.66,0
10,3,114.64,16,2012-04-03,0,116.24,113.69,1,116.14,120.05,111.98,30,114.23,1.0,bull correction,5594800,6299652.0,0.888112549709095,-6.34,0
11,3,112.07,16,2012-04-04,0,113.63,111.97,2,112.87,120.05,111.98,28,111.98,1.0,bull correction,5633800,6321450.0,0.891219577786742,0.40,1
12,3,110.24,16,2012-04-05,0,112.65,109.89,1,111.59,120.05,111.98,27,110.87,0.0,bear confirmed,6103700,6284972.0,0.9711578667335352,-2.72,0
13,3,109.32,16,2012-04-09,0,110.23,108.06,2,108.42,120.05,111.98,25,108.68,0.0,bear confirmed,4043300,6227646.0,0.6492501339992671,0.66,1
14,3,107.02,16,2012-04-10,0,110.44,106.92,1,109.56,120.05,111.98,24,107.61,0.0,bear confirmed,5770400,6174982.0,0.9344804567851371,2.15,1
15,0,108.30,16,2012-04-11,0,109.32,107.96,0,108.71,120.05,111.98,25,108.68,0.0,bear confirmed,4177500,6131394.0,0.6813295638805792,-0.56,0
16,4,112.47,17,2012-04-12,1,112.49,108.37,4,108.90,120.05,107.61,28,111.98,0.0,bear correction,5514600,6081118.0,0.9068398278079788,-6.35,0
17,2,107.52,18,2012-04-13,0,112.19,107.33,4,112.09,111.98,107.61,24,107.61,0.0,bear confirmed,6368200,5981822.0,1.0645920256403483,-2.48,0
18,0,109.98,18,2012-04-16,0,110.62,107.40,0,109.41,111.98,107.61,24,107.61,0.0,bear confirmed,7137600,5992090.0,1.191170359590727,-5.58,0
19,4,109.17,19,2012-04-17,1,111.89,108.59,3,111.52,111.98,107.61,27,110.87,0.0,bear correction,12894400,6100888.0,2.113528391276811,-2.57,0
20,2,107.74,20,2012-04-18,0,109.10,106.71,3,107.21,110.87,107.61,24,107.61,0.0,bear confirmed,6637400,6165198.0,1.0765915385037106,-1.26,0
