,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,0,44.75,3,2012-03-20,1,44.86,44.01,0,44.01,43.08,41.81,16,44.83,1.0,bull confirmed,7629300,9605800.0,0.7942388973328613,0.60,1,1.3407821229050279,1
1,0,45.12,3,2012-03-21,1,45.25,44.69,0,44.75,43.08,41.81,16,44.83,1.0,bull confirmed,10347800,9665824.0,1.0705553918631252,0.11,1,0.24379432624113476,1
2,0,45.02,3,2012-03-22,1,45.20,44.71,0,44.83,43.08,41.81,16,44.83,1.0,bull confirmed,7195700,9659788.0,0.7449128283146587,0.21,1,0.46645935139937805,1
3,0,44.90,3,2012-03-23,1,44.93,44.18,0,44.75,43.08,41.81,16,44.83,1.0,bull confirmed,8655700,9668460.0,0.8952511568543491,0.69,1,1.5367483296213809,1
4,1,45.43,3,2012-03-26,1,45.45,45.04,1,45.05,43.08,41.81,17,45.28,1.0,bull confirmed,11740100,9734264.0,1.206059338435859,-0.13,0,-0.286154523442659,1
5,0,45.35,3,2012-03-27,1,45.63,45.31,0,45.36,43.08,41.81,17,45.28,1.0,bull confirmed,7785700,9728454.0,0.8003018773589308,-0.04,0,-0.08820286659316427,1
6,0,45.23,3,2012-03-28,1,45.54,44.95,0,45.21,43.08,41.81,17,45.28,1.0,bull confirmed,7982700,9733926.0,0.8200904753128389,-0.05,0,-0.11054609772275038,1
7,0,45.23,3,2012-03-29,1,45.26,44.77,0,44.86,43.08,41.81,16,44.83,1.0,bull confirmed,5491400,9580814.0,0.5731663301260206,0.64,1,1.414990050851205,1
8,0,45.59,3,2012-03-30,1,45.69,45.31,0,45.31,43.08,41.81,17,45.28,1.0,bull confirmed,7713000,9420616.0,0.8187362694753719,0.25,1,0.5483658697082694,1
9,0,45.30,3,2012-04-02,1,45.54,45.10,0,45.40,43.08,41.81,17,45.28,1.0,bull confirmed,8435800,9337548.0,0.9034277521250761,-0.57,0,-1.2582781456953642,1
10,0,45.31,3,2012-04-03,1,45.53,45.05,0,45.16,43.08,41.81,17,45.28,1.0,bull confirmed,8669600,9235356.0,0.9387402066579783,-0.22,0,-0.4855440300154491,1
11,0,45.18,3,2012-04-04,1,45.32,44.91,0,45.12,43.08,41.81,17,45.28,1.0,bull confirmed,6280000,9141896.0,0.6869472153260111,0.70,1,1.5493581230633025,1
12,1,45.87,3,2012-04-05,1,45.92,44.91,1,45.03,43.08,41.81,18,45.73,1.0,bull confirmed,9558500,9134466.0,1.0464213233701893,0.31,1,0.6758229779812513,1
13,0,45.84,3,2012-04-09,1,45.94,45.20,0,45.20,43.08,41.81,18,45.73,1.0,bull confirmed,8302700,9077032.0,0.9146932609690039,1.00,1,2.181500872600349,2
14,0,44.73,3,2012-04-10,1,46.09,44.73,0,45.60,43.08,41.81,18,45.73,1.0,bull confirmed,13245100,9183438.0,1.4422812023122495,2.42,1,5.410239213056115,2
15,0,45.09,3,2012-04-11,1,45.26,44.96,0,45.02,43.08,41.81,16,44.83,1.0,bull confirmed,7631100,9201568.0,0.8293260453001053,1.86,1,4.125083166999334,2
16,0,45.88,3,2012-04-12,1,45.93,45.00,0,45.18,43.08,41.81,18,45.73,1.0,bull confirmed,10472200,9204142.0,1.137770364690158,0.85,1,1.8526591107236268,1
17,1,46.18,3,2012-04-13,1,46.47,45.86,1,45.86,43.08,41.81,19,46.19,1.0,bull confirmed,10430600,9194626.0,1.1344235208696907,0.46,1,0.996102208748376,1
18,1,46.84,3,2012-04-16,1,46.99,46.16,1,46.62,43.08,41.81,20,46.65,1.0,bull confirmed,10239000,9220136.0,1.1105042268356995,-0.53,0,-1.1315115286080273,1
19,1,47.15,3,2012-04-17,1,47.26,46.45,1,46.94,43.08,41.81,21,47.12,1.0,bull confirmed,9054400,9192770.0,0.9849479536635857,-0.72,0,-1.5270413573700954,1
20,0,46.95,3,2012-04-18,1,47.09,46.67,0,47.00,43.08,41.81,20,46.65,1.0,bull confirmed,7051600,9171974.0,0.7688203215578239,0.09,1,0.19169329073482427,1
21,0,46.73,3,2012-04-19,1,47.10,46.48,0,46.94,43.08,41.81,20,46.65,1.0,bull confirmed,10894800,9195362.0,1.1848146924503897,0.28,1,0.5991868178900064,1
22,0,46.64,3,2012-04-20,1,47.06,46.45,0,46.94,43.08,41.81,20,46.65,1.0,bull confirmed,11027600,9264338.0,1.190327900385327,0.44,1,0.9433962264150944,1
23,0,46.31,3,2012-04-23,1,46.45,45.91,0,46.36,43.08,41.81,19,46.19,1.0,bull confirmed,6801100,9293226.0,0.7318341338088625,0.63,1,1.3603973223925718,1
24,0,46.43,3,2012-04-24,1,46.83,46.09,0,46.44,43.08,41.81,20,46.65,1.0,bull confirmed,6437400,9321452.0,0.6906005630882399,0.99,1,2.1322420848589276,2
25,0,47.04,3,2012-04-25,1,47.15,46.63,0,46.66,43.08,41.81,21,47.12,1.0,bull confirmed,6529100,9268354.0,0.7044508658171666,0.73,1,1.5518707482993197,1
26,0,47.01,3,2012-04-26,1,47.17,46.58,0,46.94,43.08,41.81,21,47.12,1.0,bull confirmed,7361400,9261240.0,0.7948611632999468,0.54,1,1.148691767708998,1
27,0,47.08,3,2012-04-27,1,47.48,46.48,0,47.13,43.08,41.81,21,47.12,1.0,bull confirmed,11022100,9331946.0,1.1811148500002036,0.01,1,0.021240441801189464,1
28,0,46.94,3,2012-04-30,1,47.09,46.74,0,47.03,43.08,41.81,20,46.65,1.0,bull confirmed,6800700,9318884.0,0.729776226423679,-0.37,0,-0.7882403067746059,1
29,1,47.42,3,2012-05-01,1,47.80,46.74,1,47.06,43.08,41.81,22,47.59,1.0,bull confirmed,8474800,9257262.0,0.9154758718074524,-1.55,0,-3.2686630113876003,0
30,0,47.77,3,2012-05-02,1,47.90,47.25,0,47.30,43.08,41.81,22,47.59,1.0,bull confirmed,10109100,9049930.0,1.1170362643688956,-2.36,0,-4.940339124973833,0
31,0,47.55,3,2012-05-03,1,47.92,47.34,0,47.76,43.08,41.81,22,47.59,1.0,bull confirmed,10470300,9026546.0,1.1599453434347977,-1.68,0,-3.533123028391167,0
32,0,47.09,3,2012-05-04,1,47.45,46.85,0,47.39,43.08,41.81,21,47.12,1.0,bull confirmed,8564700,9013198.0,0.9502398593706696,-1.47,0,-3.1216818857506903,0
33,0,46.57,3,2012-05-07,1,46.97,46.54,0,46.76,43.08,41.81,20,46.65,1.0,bull confirmed,8532000,8989224.0,0.9491364326887393,-1.37,0,-2.941808030921194,0
34,2,45.87,4,2012-05-08,0,46.47,45.14,5,46.42,47.59,41.81,17,45.28,1.0,bull correction,15807200,9109276.0,1.7352860973802968,-1.76,0,-3.8369304556354917,0
35,0,45.41,4,2012-05-09,0,45.65,45.18,0,45.48,47.59,41.81,17,45.28,1.0,bull correction,17577400,9301870.0,1.88966304624769,-1.21,0,-2.6646113190927108,0
36,0,45.87,4,2012-05-10,0,45.99,45.65,0,45.78,47.59,41.81,18,45.73,1.0,bull correction,16080300,9396504.0,1.7113066732052686,-3.26,0,-7.1070416394157405,0
37,0,45.62,4,2012-05-11,0,46.11,45.36,0,45.54,47.59,41.81,18,45.73,1.0,bull correction,10489700,9447480.0,1.1103172486207962,-2.98,0,-6.53222270933801,0
38,0,45.20,4,2012-05-14,0,45.84,45.06,0,45.44,47.59,41.81,17,45.28,1.0,bull correction,12329400,9575734.0,1.2875670940734152,-2.05,0,-4.535398230088496,0
39,3,44.11,4,2012-05-15,0,44.86,42.80,5,43.41,47.59,41.81,12,43.08,1.0,bull correction,28826600,9971374.0,2.890935592226307,-0.37,0,-0.8388120607571979,1
40,4,44.20,5,2012-05-16,1,44.70,44.18,3,44.32,47.59,43.08,15,44.39,1.0,bull confirmed,14756500,10084764.0,1.4632469336912595,-0.03,0,-0.06787330316742081,1
41,2,42.61,6,2012-05-17,0,44.13,42.60,4,44.12,44.39,43.08,11,42.65,0.0,bear confirmed,15699100,10185768.0,1.5412779870894369,2.44,1,5.726355315653603,2
42,0,42.64,6,2012-05-18,0,43.08,42.34,0,42.59,44.39,43.08,11,42.65,0.0,bear confirmed,12962200,10236352.0,1.266290959904466,2.16,1,5.065666041275797,2
43,3,43.15,6,2012-05-21,0,43.34,42.02,1,42.13,44.39,43.08,10,42.23,0.0,bear confirmed,12713000,10314628.0,1.2325214249122702,2.23,1,5.168018539976825,2
44,4,43.74,7,2012-05-22,1,44.03,43.21,4,43.49,44.39,42.23,14,43.95,0.0,bear correction,15028300,10426018.0,1.441422794397631,1.58,1,3.61225422953818,2
45,0,44.17,7,2012-05-23,1,44.22,43.35,0,43.48,44.39,42.23,14,43.95,0.0,bear correction,13489900,10478754.0,1.28735725640663,0.81,1,1.8338238623500114,1
46,1,45.05,7,2012-05-24,1,45.06,44.11,2,44.25,44.39,42.23,16,44.83,1.0,bull confirmed,9702000,10471266.0,0.9265355306607626,-1.33,0,-2.9522752497225304,0
47,1,44.80,7,2012-05-25,1,45.39,44.70,1,45.09,44.39,42.23,17,45.28,1.0,bull confirmed,9819200,10490266.0,0.9360296488192006,-0.35,0,-0.78125,1
48,0,45.38,7,2012-05-29,1,45.51,44.91,0,45.23,44.39,42.23,17,45.28,1.0,bull confirmed,8582600,10396574.0,0.8255219459795121,-0.78,0,-1.7188188629352137,1
49,0,45.32,7,2012-05-30,1,45.38,44.59,0,45.17,44.39,42.23,17,45.28,1.0,bull confirmed,11996300,10455936.0,1.147319570433484,0.81,1,1.7872903795233892,1
50,0,44.98,7,2012-05-31,1,45.37,44.81,0,45.23,44.39,42.23,17,45.28,1.0,bull confirmed,14217000,10587690.0,1.3427858201364038,1.73,1,3.8461538461538463,2
51,2,43.72,8,2012-06-01,0,44.90,43.68,3,44.53,45.28,42.23,14,43.95,1.0,bull correction,12638700,10633508.0,1.18857295259476,4.00,1,9.149130832570906,2
52,0,44.45,8,2012-06-04,0,44.56,43.53,0,43.68,45.28,42.23,14,43.95,1.0,bull correction,15969800,10808990.0,1.4774553404157096,2.36,1,5.30933633295838,2
53,0,44.60,8,2012-06-05,0,44.74,44.01,0,44.19,45.28,42.23,15,44.39,1.0,bull correction,9457500,10825026.0,0.8736699570051841,3.02,1,6.771300448430493,2
