,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,180.15,3,2012-03-20,1,180.81,179.67,0,180.58,161.81,157.06,47,180.53,1.0,bull confirmed,3695100,4637754.0,0.7967434236486023,2.59,1
1,0,180.54,3,2012-03-21,1,181.49,180.20,0,180.21,161.81,157.06,47,180.53,1.0,bull confirmed,3329900,4600328.0,0.723839691430698,2.29,1
2,0,181.24,3,2012-03-22,1,181.69,179.90,0,179.93,161.81,157.06,47,180.53,1.0,bull confirmed,3307800,4563264.0,0.7248758783186772,2.46,1
3,0,181.24,3,2012-03-23,1,181.66,180.42,0,181.60,161.81,157.06,47,180.53,1.0,bull confirmed,3036200,4541772.0,0.6685055964940556,2.79,1
4,0,183.26,3,2012-03-26,1,183.39,181.98,0,182.09,161.81,157.06,48,182.34,1.0,bull confirmed,3418200,4472516.0,0.7642678080972768,1.50,1
5,0,182.74,3,2012-03-27,1,184.04,182.58,0,183.86,161.81,157.06,48,182.34,1.0,bull confirmed,2704500,4421022.0,0.6117363813163562,2.04,1
6,0,182.83,3,2012-03-28,1,184.07,181.93,0,182.96,161.81,157.06,48,182.34,1.0,bull confirmed,3265700,4366268.0,0.7479385140811329,-1.09,0
7,0,183.70,3,2012-03-29,1,183.90,181.71,0,181.77,161.81,157.06,48,182.34,1.0,bull confirmed,3403700,4342330.0,0.7838418544882586,-2.47,0
8,1,184.03,3,2012-03-30,1,184.45,183.47,1,184.11,161.81,157.06,49,184.16,1.0,bull confirmed,3215200,4235290.0,0.7591451825022608,-3.27,0
9,0,184.76,3,2012-04-02,1,184.95,183.54,0,184.31,161.81,157.06,49,184.16,1.0,bull confirmed,3387900,4046054.0,0.8373343509503334,-6.30,0
10,0,184.78,3,2012-04-03,1,185.83,183.94,0,184.61,161.81,157.06,49,184.16,1.0,bull confirmed,4091500,4012850.0,1.019599536489029,-6.10,0
11,0,181.74,3,2012-04-04,1,182.56,180.98,0,181.89,161.81,157.06,48,182.34,1.0,bull confirmed,4404000,3994016.0,1.1026495637473661,-0.64,0
12,0,181.23,3,2012-04-05,1,181.41,180.34,0,180.94,161.81,157.06,47,180.53,1.0,bull confirmed,3809000,3983002.0,0.9563138557299243,-2.36,0
13,0,180.76,3,2012-04-09,1,181.84,179.38,0,180.28,161.81,157.06,47,180.53,1.0,bull confirmed,3326900,3969446.0,0.8381270333441997,-1.96,0
14,2,178.46,4,2012-04-10,0,181.46,178.32,3,180.76,184.16,157.06,46,178.74,1.0,bull correction,4132900,3984896.0,1.037141245342413,4.51,1
15,0,178.68,4,2012-04-11,0,180.21,178.57,0,179.92,184.16,157.06,46,178.74,1.0,bull correction,3366200,3965040.0,0.8489699977806024,-2.16,0
16,0,181.10,4,2012-04-12,0,181.31,178.73,0,178.87,184.16,157.06,46,178.74,1.0,bull correction,2929600,3927096.0,0.7459965328069392,-5.13,0
17,0,178.87,4,2012-04-13,0,180.50,178.87,0,180.21,184.16,157.06,47,180.53,1.0,bull correction,3767000,3900660.0,0.9657340039890685,-2.82,0
18,0,178.80,4,2012-04-16,0,181.67,178.80,0,180.58,184.16,157.06,47,180.53,1.0,bull correction,3826600,3899046.0,0.9814195575020146,-3.61,0
19,0,182.97,4,2012-04-17,0,183.14,180.06,0,180.43,184.16,157.06,47,180.53,1.0,bull correction,6065500,3929922.0,1.5434148565798507,-6.57,0
20,3,176.52,4,2012-04-18,0,179.99,176.40,1,178.55,184.16,157.06,45,176.97,1.0,bull correction,10153500,4060196.0,2.500741343521347,3.03,1
21,3,175.97,4,2012-04-19,0,177.51,174.22,1,176.43,184.16,157.06,44,175.22,1.0,bull correction,5762900,4106794.0,1.4032600612545942,5.35,1
22,0,176.05,4,2012-04-20,0,176.51,175.60,0,176.25,184.16,157.06,45,176.97,1.0,bull correction,4758200,4125882.0,1.153256443107195,6.36,1
23,0,175.19,4,2012-04-23,0,175.61,173.57,0,174.54,184.16,157.06,44,175.22,1.0,bull correction,3618800,4120730.0,0.8781939122437044,7.46,1
24,0,176.40,4,2012-04-24,0,178.59,175.41,0,175.57,184.16,157.06,45,176.97,1.0,bull correction,5626300,4165434.0,1.3507115945181223,7.06,1
25,0,179.55,4,2012-04-25,0,179.66,177.99,0,178.18,184.16,157.06,46,178.74,1.0,bull correction,4003400,4196326.0,0.9540250209349798,3.96,1
26,4,181.32,5,2012-04-26,1,181.88,179.40,3,179.40,184.16,175.22,47,180.53,1.0,bull confirmed,3302700,4194418.0,0.787403639789835,1.47,1
27,1,182.41,5,2012-04-27,1,183.61,181.62,1,182.11,184.16,175.22,48,182.34,1.0,bull confirmed,3496900,4183938.0,0.8357915437561455,-1.61,0
28,0,182.65,5,2012-04-30,1,183.42,181.98,0,182.32,184.16,175.22,48,182.34,1.0,bull confirmed,2773200,4168892.0,0.6652127231887993,-2.94,0
29,1,183.46,5,2012-05-01,1,184.28,182.32,1,182.74,184.16,175.22,49,184.16,1.0,bull confirmed,2715900,4148280.0,0.6547050825884463,-5.01,0
30,0,183.51,5,2012-05-02,1,183.70,182.50,0,182.55,184.16,175.22,48,182.34,1.0,bull confirmed,2360300,4129614.0,0.5715546295610195,-5.28,0
31,0,182.79,5,2012-05-03,1,184.27,182.18,0,183.70,184.16,175.22,49,184.16,1.0,bull confirmed,2826600,4120630.0,0.6859630687540498,-5.12,0
32,0,180.80,5,2012-05-04,1,182.67,180.28,0,182.11,184.16,175.22,48,182.34,1.0,bull confirmed,4023600,4040448.0,0.9958301653678008,-2.62,0
33,0,179.71,5,2012-05-07,1,180.61,178.96,0,179.90,184.16,175.22,47,180.53,1.0,bull confirmed,3373400,4040852.0,0.8348239430694319,-3.06,0
34,2,178.45,6,2012-05-08,0,179.85,176.89,4,179.30,184.16,175.22,45,176.97,1.0,bull correction,3881500,4043314.0,0.9599798581064938,-2.16,0
35,0,178.23,6,2012-05-09,0,179.80,176.31,0,177.13,184.16,175.22,45,176.97,1.0,bull correction,3742500,4054816.0,0.922976529637843,-1.33,0
36,0,177.67,6,2012-05-10,0,180.02,177.16,0,178.03,184.16,175.22,46,178.74,1.0,bull correction,3830500,4029084.0,0.9507123703551478,-2.40,0
37,0,178.18,6,2012-05-11,0,179.02,177.10,0,177.11,184.16,175.22,46,178.74,1.0,bull correction,2391500,4005708.0,0.5970230481103466,-4.69,0
38,0,176.65,6,2012-05-14,0,177.77,175.87,0,177.07,184.16,175.22,45,176.97,1.0,bull correction,3029200,3991744.0,0.7588663000432894,-1.49,0
39,0,176.29,6,2012-05-15,0,178.44,176.04,0,176.65,184.16,175.22,45,176.97,1.0,bull correction,2987400,3912732.0,0.7635074418590386,-1.97,0
40,0,176.90,6,2012-05-16,0,178.34,175.53,0,176.63,184.16,175.22,45,176.97,1.0,bull correction,5001000,3908458.0,1.279532746674008,-3.20,0
41,3,175.27,6,2012-05-17,0,177.84,175.05,1,176.85,184.16,175.22,44,175.22,1.0,bull correction,5626300,3954046.0,1.4229222421792767,-1.59,0
42,3,173.49,6,2012-05-18,0,176.06,172.86,1,176.06,184.16,175.22,43,173.49,0.0,bear confirmed,5737100,4005872.0,1.432172570666262,-1.40,0
43,0,175.16,6,2012-05-21,0,175.31,172.38,0,173.58,184.16,175.22,43,173.49,0.0,bear confirmed,3831700,4018942.0,0.9534101263466853,-1.15,0
44,0,174.32,6,2012-05-22,0,175.60,173.65,0,175.41,184.16,175.22,44,175.22,0.0,bear confirmed,3567100,4027890.0,0.88560015293367,-2.02,0
45,3,173.70,6,2012-05-23,0,174.03,171.12,1,173.18,184.16,175.22,42,171.77,0.0,bear confirmed,4100000,4012570.0,1.0217890279795743,-2.85,0
46,0,173.68,6,2012-05-24,0,173.85,171.83,0,173.59,184.16,175.22,43,173.49,0.0,bear confirmed,3569300,3991910.0,0.8941333847706987,-6.21,0
47,0,172.09,6,2012-05-25,0,173.60,171.83,0,172.81,184.16,175.22,43,173.49,0.0,bear confirmed,2901900,3977526.0,0.7295741121491097,-5.10,0
48,0,174.01,6,2012-05-29,0,175.44,172.91,0,172.91,184.16,175.22,43,173.49,0.0,bear confirmed,3618500,3857156.0,0.9381264330506726,-6.43,0
49,0,172.30,6,2012-05-30,0,173.13,171.62,0,172.54,184.16,175.22,42,171.77,0.0,bear confirmed,3602500,3853942.0,0.934757191467853,-0.48,0
50,3,170.85,6,2012-05-31,0,172.65,170.06,1,171.92,184.16,175.22,41,170.07,0.0,bear confirmed,9287500,3965790.0,2.341904135115576,1.37,1
51,3,167.47,6,2012-06-01,0,169.81,167.04,1,168.39,184.16,175.22,40,168.39,0.0,bear confirmed,5206400,4003320.0,1.3005205679286191,5.37,1
52,3,166.99,6,2012-06-04,0,167.74,165.63,1,166.81,184.16,175.22,39,166.72,0.0,bear confirmed,4624500,4029654.0,1.1476171403301623,3.52,1
53,0,167.58,6,2012-06-05,0,168.15,166.12,0,166.44,184.16,175.22,39,166.72,0.0,bear confirmed,3556500,4040060.0,0.8803087082865106,4.74,1
54,4,171.82,7,2012-06-06,1,171.83,168.30,3,168.98,184.16,166.72,42,171.77,0.0,bear correction,3641300,4044522.0,0.9003041644970654,-0.79,0
55,0,172.22,7,2012-06-07,1,173.45,171.77,0,172.96,184.16,166.72,42,171.77,0.0,bear correction,3701100,4064454.0,0.910602014440316,0.58,1
56,0,172.84,7,2012-06-08,1,172.84,170.68,0,171.57,184.16,166.72,42,171.77,0.0,bear correction,2479200,4048724.0,0.6123410733850961,3.50,1
57,1,170.51,7,2012-06-11,1,174.22,170.38,1,174.13,184.16,166.72,43,173.49,0.0,bear correction,3273300,4046116.0,0.808998061350688,5.12,1
58,0,172.32,7,2012-06-12,1,172.42,170.18,0,170.18,184.16,166.72,42,171.77,0.0,bear correction,3023700,4042286.0,0.7480173347457355,3.87,1
59,0,171.03,7,2012-06-13,1,172.88,170.36,0,172.15,184.16,166.72,42,171.77,0.0,bear correction,3247700,4039482.0,0.8039892243609453,5.03,1
60,0,172.80,7,2012-06-14,1,173.45,170.71,0,170.94,184.16,166.72,42,171.77,0.0,bear correction,3585000,4029352.0,0.8897212256462081,-1.51,0
61,1,176.34,7,2012-06-15,1,176.50,173.07,1,173.67,184.16,166.72,44,175.22,0.0,bear correction,6389000,4069052.0,1.57014459387592,-4.78,0
62,0,175.63,7,2012-06-18,1,176.82,174.64,0,174.99,184.16,166.72,44,175.22,0.0,bear correction,3378900,4060450.0,0.8321491460306124,-4.81,0
63,1,176.19,7,2012-06-19,1,177.13,176.08,1,176.10,184.16,166.72,45,176.97,0.0,bear correction,3297600,4059864.0,0.8122439569404295,-6.18,0
64,0,176.06,7,2012-06-20,1,176.91,174.93,0,175.99,184.16,166.72,44,175.22,0.0,bear correction,3378200,4044770.0,0.8352020015971242,-5.12,0
65,2,171.29,8,2012-06-21,0,176.66,171.11,3,176.32,176.97,166.72,42,171.77,0.0,bear confirmed,4316600,4063778.0,1.0622135362709282,-1.77,0
66,0,171.56,8,2012-06-22,0,172.61,171.14,0,171.71,176.97,166.72,42,171.77,0.0,bear confirmed,8823000,4181646.0,2.1099347003548363,1.67,1
67,3,170.82,8,2012-06-25,0,171.29,169.77,1,170.48,176.97,166.72,41,170.07,0.0,bear confirmed,3211600,4170538.0,0.7700685139423259,2.63,1
68,0,170.01,8,2012-06-26,0,171.54,168.95,0,171.42,176.97,166.72,41,170.07,0.0,bear confirmed,3435900,4162724.0,0.8253970236796867,3.53,1
69,0,170.94,8,2012-06-27,0,171.56,169.08,0,170.18,176.97,166.72,41,170.07,0.0,bear confirmed,2762700,4096668.0,0.6743773232295124,2.03,1
70,3,169.52,8,2012-06-28,0,170.13,167.31,1,169.37,176.97,166.72,40,168.39,0.0,bear confirmed,3967300,3972944.0,0.9985793910007289,0.01,1
71,0,173.23,8,2012-06-29,0,173.43,170.42,0,172.32,176.97,166.72,42,171.77,0.0,bear confirmed,5259600,3962878.0,1.3272172395920339,-5.24,0
72,4,173.45,9,2012-07-02,1,174.66,172.58,3,173.92,176.97,168.39,43,173.49,0.0,bear correction,2827000,3924254.0,0.7203916973773868,-8.48,0
73,0,173.54,9,2012-07-03,1,173.90,172.63,0,173.12,176.97,168.39,43,173.49,0.0,bear correction,1450400,3880886.0,0.3737290917589437,-9.46,0
74,0,172.97,9,2012-07-05,1,174.35,171.50,0,172.61,176.97,168.39,43,173.49,0.0,bear correction,2690200,3822164.0,0.7038421166648003,-10.81,0
75,2,169.53,10,2012-07-06,0,171.77,168.05,3,171.76,173.49,168.39,40,168.39,0.0,bear confirmed,4952900,3841154.0,1.2894302076927924,-4.78,0
76,3,167.99,10,2012-07-09,0,169.17,166.56,1,168.96,173.49,168.39,39,166.72,0.0,bear confirmed,3988100,3854862.0,1.0345636238080638,-4.32,0
77,3,164.97,10,2012-07-10,0,169.29,164.39,1,168.55,173.49,168.39,38,165.07,0.0,bear confirmed,4690300,3878730.0,1.2092360128186288,-2.31,0
78,3,164.08,10,2012-07-11,0,165.95,162.54,1,164.94,173.49,168.39,37,163.43,0.0,bear confirmed,5456100,3932388.0,1.3874775327358337,2.66,1
79,3,162.16,10,2012-07-12,0,163.32,161.07,1,163.19,173.49,168.39,36,161.81,0.0,bear confirmed,4931300,3976696.0,1.240049528553352,10.85,1
80,0,164.75,10,2012-07-13,0,165.03,162.11,0,162.49,173.49,168.39,37,163.43,0.0,bear confirmed,3933000,4008150.0,0.9812507016952958,5.71,1
81,0,163.67,10,2012-07-16,0,164.83,163.48,0,164.37,173.49,168.39,38,165.07,0.0,bear confirmed,3144400,4014506.0,0.7832595093892001,5.35,1
82,0,162.66,10,2012-07-17,0,165.00,162.26,0,164.50,173.49,168.39,37,163.43,0.0,bear confirmed,5158600,4037206.0,1.2777648700611264,5.93,1
83,4,166.74,11,2012-07-18,1,167.04,162.57,3,163.10,173.49,161.81,39,166.72,0.0,bear correction,8019500,4130128.0,1.9417073756551855,2.50,1
84,1,173.01,11,2012-07-19,1,174.35,170.92,4,171.30,173.49,161.81,43,173.49,0.0,bear correction,10395400,4260406.0,2.440002196973716,-1.23,0
85,0,170.46,11,2012-07-20,1,172.62,170.21,0,171.91,173.49,161.81,42,171.77,0.0,bear correction,4789700,4281350.0,1.1187359127378047,3.48,1
86,2,169.02,12,2012-07-23,0,169.44,166.69,4,168.09,173.49,161.81,39,166.72,0.0,bear confirmed,3904500,4282830.0,0.9116635495688599,5.18,1
87,0,168.59,12,2012-07-24,0,169.45,167.01,0,169.10,173.49,161.81,40,168.39,0.0,bear confirmed,3597100,4306942.0,0.8351865430275123,4.99,1
88,0,169.24,12,2012-07-25,0,170.74,167.68,0,168.56,173.49,161.81,40,168.39,0.0,bear confirmed,3833800,4323034.0,0.8868308692459972,3.63,1
89,4,171.78,13,2012-07-26,1,172.67,170.56,3,171.38,173.49,166.72,42,171.77,0.0,bear correction,3282900,4328944.0,0.7583604685114892,0.45,1
90,1,173.94,13,2012-07-27,1,174.85,171.78,1,172.80,173.49,166.72,43,173.49,0.0,bear correction,4177300,4312470.0,0.9686560138389368,1.89,1
91,1,174.20,13,2012-07-30,1,175.23,173.53,1,173.88,173.49,166.72,44,175.22,1.0,bull confirmed,2787000,4255684.0,0.6548888498300156,1.84,1
92,0,173.58,13,2012-07-31,1,175.00,173.49,0,174.04,173.49,166.72,43,173.49,1.0,bull confirmed,3507000,4211082.0,0.8328025908780688,3.50,1
93,0,172.87,13,2012-08-01,1,175.24,172.46,0,174.45,173.49,166.72,44,175.22,1.0,bull confirmed,2559300,4185634.0,0.6114485881947633,4.17,1
94,0,172.23,13,2012-08-02,1,174.13,170.96,0,171.97,173.49,166.72,43,173.49,1.0,bull confirmed,2812600,4170544.0,0.6743964336546983,4.26,1
95,0,175.83,13,2012-08-03,1,176.21,173.74,0,174.02,173.49,166.72,44,175.22,1.0,bull confirmed,3278100,4154106.0,0.7891228582034258,1.44,1
96,1,176.04,13,2012-08-06,1,177.09,175.83,1,176.04,173.49,166.72,45,176.97,1.0,bull confirmed,2337800,4129476.0,0.5661250967435093,0.98,1
97,0,177.08,13,2012-08-07,1,177.92,176.08,0,176.64,173.49,166.72,45,176.97,1.0,bull confirmed,3209400,4135626.0,0.7760372915732708,-0.70,0
98,0,177.04,13,2012-08-08,1,177.62,176.26,0,176.36,173.49,166.72,45,176.97,1.0,bull confirmed,2068300,4104622.0,0.5038953647863311,-0.56,0
