,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,23.68,7,2012-03-20,1,23.81,23.52,0,23.59,23.25,22.56,35,23.71,1.0,bull confirmed,22684900,44115536.0,0.5142156722293932,0.38,1
1,0,23.70,7,2012-03-21,1,23.80,23.64,0,23.71,23.25,22.56,35,23.71,1.0,bull confirmed,22212900,43610222.0,0.5093507664326955,0.02,1
2,0,23.80,7,2012-03-22,1,23.85,23.56,0,23.66,23.25,22.56,35,23.71,1.0,bull confirmed,23395100,43256906.0,0.5408408081706075,0.23,1
3,0,23.79,7,2012-03-23,1,23.88,23.62,0,23.84,23.25,22.56,35,23.71,1.0,bull confirmed,24899500,42611496.0,0.5843376163089885,0.20,1
4,1,24.06,7,2012-03-26,1,24.11,23.86,1,23.90,23.25,22.56,36,23.95,1.0,bull confirmed,32799700,42379080.0,0.7739596989835551,0.16,1
5,0,24.06,7,2012-03-27,1,24.13,23.95,0,24.10,23.25,22.56,36,23.95,1.0,bull confirmed,24365100,41600114.0,0.5856979141932159,-0.07,0
6,0,23.72,7,2012-03-28,1,24.11,23.72,0,24.00,23.25,22.56,36,23.95,1.0,bull confirmed,35152000,41094382.0,0.8553967303851899,0.11,1
7,0,24.03,7,2012-03-29,1,24.05,23.61,0,23.68,23.25,22.56,36,23.95,1.0,bull confirmed,39616000,40632962.0,0.9749719944118275,-0.08,0
8,1,23.99,7,2012-03-30,1,24.28,23.91,1,24.22,23.25,22.56,37,24.19,1.0,bull confirmed,43024400,40194524.0,1.0704045157992168,-0.30,0
9,0,24.22,7,2012-04-02,1,24.28,23.88,0,23.93,23.25,22.56,37,24.19,1.0,bull confirmed,28853500,38746144.0,0.7446805545346654,-0.80,0
10,0,23.99,7,2012-04-03,1,24.21,23.85,0,24.16,23.25,22.56,37,24.19,1.0,bull confirmed,34152500,38035924.0,0.8979011526051004,-0.23,0
11,0,23.83,7,2012-04-04,1,23.92,23.55,0,23.78,23.25,22.56,35,23.71,1.0,bull confirmed,30845100,37528418.0,0.8219131432611948,0.47,1
12,0,23.95,7,2012-04-05,1,23.98,23.72,0,23.78,23.25,22.56,36,23.95,1.0,bull confirmed,22033800,36873936.0,0.5975440213379988,0.02,1
13,0,23.69,7,2012-04-09,1,23.81,23.54,0,23.66,23.25,22.56,35,23.71,1.0,bull confirmed,22965500,36099682.0,0.6361690388297603,0.55,1
14,2,23.42,8,2012-04-10,0,23.77,23.39,3,23.64,24.19,22.56,34,23.48,1.0,bull correction,36272100,35813376.0,1.0128087338094012,0.87,1
15,0,23.76,8,2012-04-11,0,23.89,23.58,0,23.62,24.19,22.56,35,23.71,1.0,bull correction,26668200,35132858.0,0.7590671957288531,0.09,1
16,4,24.30,9,2012-04-12,1,24.34,23.83,3,23.87,24.19,23.48,37,24.19,1.0,bull confirmed,37053200,34967416.0,1.0596493604217136,-0.67,0
17,0,23.97,9,2012-04-13,1,24.22,23.96,0,24.19,24.19,23.48,37,24.19,1.0,bull confirmed,34480900,34730422.0,0.992815463054264,-0.42,0
18,0,24.24,9,2012-04-16,1,24.36,24.01,0,24.11,24.19,23.48,37,24.19,1.0,bull confirmed,37480000,34784416.0,1.077494013411063,-0.82,0
19,1,24.29,9,2012-04-17,1,24.56,24.24,1,24.28,24.19,23.48,38,24.43,1.0,bull confirmed,61288000,35166344.0,1.7428027206922618,-0.99,0
20,2,23.85,10,2012-04-18,0,23.99,23.43,4,23.53,24.43,23.48,34,23.48,1.0,bull correction,72249100,35875874.0,2.0138631326445178,-0.08,0
21,0,23.63,10,2012-04-19,0,23.97,23.42,0,23.78,24.43,23.48,34,23.48,1.0,bull correction,43035900,36074566.0,1.1929706929807555,0.45,1
22,0,23.55,10,2012-04-20,0,23.87,23.53,0,23.65,24.43,23.48,35,23.71,1.0,bull correction,38058500,36094294.0,1.0544187399814497,0.67,1
