,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,3,54.13,4,2012-06-01,0,54.59,54.07,1,54.36,56.36,54.70,1,54.16,0.0,bear confirmed,12061100,11776300.0,1.0241841665039104,1.05,1
1,0,54.62,4,2012-06-04,0,54.72,54.23,0,54.36,56.36,54.70,2,54.70,0.0,bear confirmed,9200000,11747874.0,0.7831204182135423,-0.19,0
2,0,54.51,4,2012-06-05,0,54.66,54.32,0,54.46,56.36,54.70,2,54.70,0.0,bear confirmed,9523400,11777092.0,0.8086376501092121,0.76,1
3,0,55.02,4,2012-06-06,0,55.02,54.23,0,54.40,56.36,54.70,2,54.70,0.0,bear confirmed,11562500,11838266.0,0.9767055411662485,1.45,1
4,0,55.02,4,2012-06-07,0,55.37,54.77,0,55.36,56.36,54.70,3,55.25,0.0,bear confirmed,12959300,11882976.0,1.0905769733103896,2.32,1
5,0,55.18,4,2012-06-08,0,55.23,54.61,0,54.80,56.36,54.70,2,54.70,0.0,bear confirmed,11249500,11901856.0,0.9451887167850124,2.66,1
6,0,54.43,4,2012-06-11,0,55.22,54.42,0,55.17,56.36,54.70,2,54.70,0.0,bear confirmed,12226400,11955318.0,1.022674595523097,3.66,1
7,0,55.27,4,2012-06-12,0,55.44,54.17,0,54.46,56.36,54.70,2,54.70,0.0,bear confirmed,26655400,12262272.0,2.173773343145544,3.19,1
8,4,56.47,5,2012-06-13,1,56.69,55.36,4,56.28,56.36,54.16,5,56.36,0.0,bear correction,98440200,14055358.0,7.003749032931071,2.23,1
9,1,57.34,5,2012-06-14,1,57.61,56.32,2,56.38,56.36,54.16,7,57.49,1.0,bull confirmed,34314900,14559088.0,2.35694021493654,0.83,1
10,0,57.84,5,2012-06-15,1,57.92,57.40,0,57.74,56.36,54.16,7,57.49,1.0,bull confirmed,25992800,14890298.0,1.7456198660362607,0.54,1
11,1,58.09,5,2012-06-18,1,58.17,57.67,1,57.67,56.36,54.16,8,58.07,1.0,bull confirmed,25750000,15246844.0,1.6888741040440893,0.17,1
12,1,58.46,5,2012-06-19,1,58.67,58.14,1,58.18,56.36,54.16,9,58.65,1.0,bull confirmed,23615400,15591884.0,1.5145956704141719,-0.26,0
13,0,58.70,5,2012-06-20,1,58.70,58.23,0,58.51,56.36,54.16,9,58.65,1.0,bull confirmed,21254600,15761112.0,1.3485469806952708,-0.14,0
14,0,58.17,5,2012-06-21,1,58.68,57.97,0,58.31,56.36,54.16,9,58.65,1.0,bull confirmed,24545300,16043336.0,1.5299374145127922,0.48,1
15,0,58.38,5,2012-06-22,1,58.68,58.28,0,58.41,56.36,54.16,9,58.65,1.0,bull confirmed,18965700,16160204.0,1.1736052341913505,0.81,1
16,0,58.26,5,2012-06-25,1,58.38,57.95,0,58.06,56.36,54.16,8,58.07,1.0,bull confirmed,13734500,16210362.0,0.8472667050865367,1.32,1
17,0,58.20,5,2012-06-26,1,58.43,58.19,0,58.32,56.36,54.16,8,58.07,1.0,bull confirmed,11100000,16222314.0,0.6842427042159337,1.42,1
18,0,58.56,5,2012-06-27,1,58.88,58.14,0,58.20,56.36,54.16,9,58.65,1.0,bull confirmed,17594200,16207740.0,1.0855430800346006,0.83,1
19,0,58.65,5,2012-06-28,1,58.70,58.21,0,58.45,56.36,54.16,9,58.65,1.0,bull confirmed,12110900,16038604.0,0.7551093598919207,0.61,1
20,1,59.19,5,2012-06-29,1,59.32,58.89,1,58.97,56.36,54.16,10,59.23,1.0,bull confirmed,18286000,16100544.0,1.1357380222680675,0.20,1
21,0,59.58,5,2012-07-02,1,59.58,59.00,0,59.07,56.36,54.16,10,59.23,1.0,bull confirmed,12552700,16065184.0,0.7813604873744365,-0.11,0
22,0,59.62,5,2012-07-03,1,59.68,59.33,0,59.54,56.36,54.16,10,59.23,1.0,bull confirmed,8902400,16040814.0,0.5549843044124818,-0.13,0
23,0,59.39,5,2012-07-05,1,59.71,59.39,0,59.51,56.36,54.16,10,59.23,1.0,bull confirmed,11857800,16097522.0,0.7366226926107012,-0.07,0
24,0,59.26,5,2012-07-06,1,59.47,59.02,0,59.15,56.36,54.16,10,59.23,1.0,bull confirmed,9758000,16069426.0,0.6072401092609033,0.85,1
25,0,59.39,5,2012-07-09,1,59.54,59.26,0,59.35,56.36,54.16,10,59.23,1.0,bull confirmed,12485900,16136360.0,0.7737742588787062,0.58,1
26,0,59.47,5,2012-07-10,1,59.67,59.35,0,59.55,56.36,54.16,10,59.23,1.0,bull confirmed,12851800,16178462.0,0.7943771169348484,0.99,1
27,0,59.49,5,2012-07-11,1,59.68,59.33,0,59.61,56.36,54.16,10,59.23,1.0,bull confirmed,12026100,16191738.0,0.7427306444805369,1.29,1
28,0,59.32,5,2012-07-12,1,59.68,59.09,0,59.25,56.36,54.16,10,59.23,1.0,bull confirmed,16484200,16319264.0,1.0101068283471608,1.60,1
29,1,60.11,5,2012-07-13,1,60.23,59.34,1,59.40,56.36,54.16,11,59.82,1.0,bull confirmed,13238800,16417046.0,0.8064057321883608,0.02,1
30,0,59.97,5,2012-07-16,1,60.21,59.90,0,59.99,56.36,54.16,11,59.82,1.0,bull confirmed,12921500,16466840.0,0.784698217751554,-0.29,0
31,1,60.46,5,2012-07-17,1,60.61,59.24,1,59.44,56.36,54.16,12,60.42,1.0,bull confirmed,24201900,16744852.0,1.4453337658642789,-1.45,0
32,0,60.78,5,2012-07-18,1,60.86,60.16,0,60.23,56.36,54.16,12,60.42,1.0,bull confirmed,15616200,16889420.0,0.9246143443646969,-1.61,0
33,1,60.92,5,2012-07-19,1,61.07,60.44,1,60.68,56.36,54.16,13,61.03,1.0,bull confirmed,13499500,16909572.0,0.7983348129686547,-0.69,0
34,0,60.13,5,2012-07-20,1,60.77,59.89,0,60.76,56.36,54.16,12,60.42,1.0,bull confirmed,13964600,16975876.0,0.8226143970420142,0.78,1
35,0,59.68,5,2012-07-23,1,59.85,59.27,0,59.70,56.36,54.16,11,59.82,1.0,bull confirmed,11771400,17057264.0,0.6901106766008898,1.17,1
36,2,59.01,6,2012-07-24,0,59.80,58.70,3,59.67,61.03,54.16,10,59.23,1.0,bull correction,12145700,16543686.0,0.7341592435929937,1.64,1
37,0,59.17,6,2012-07-25,0,59.60,59.04,0,59.29,61.03,54.16,10,59.23,1.0,bull correction,9882200,15947574.0,0.6196679193963922,1.62,1
