,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,39.54,11,2012-03-20,1,39.74,38.66,0,38.80,35.31,34.27,38,39.39,1.0,bull confirmed,34796200,34321004.0,1.013845632254814,0.45,1
1,1,39.32,11,2012-03-21,1,39.80,39.09,1,39.67,35.31,34.27,39,39.78,1.0,bull confirmed,27267900,34406326.0,0.7925257698250026,1.00,1
2,0,38.91,11,2012-03-22,1,39.30,38.70,0,38.97,35.31,34.27,37,39.00,1.0,bull confirmed,27457200,34236014.0,0.8019975689926987,0.89,1
3,0,39.35,11,2012-03-23,1,39.43,38.72,0,38.73,35.31,34.27,38,39.39,1.0,bull confirmed,30639300,34251742.0,0.894532605086188,0.72,1
4,1,40.23,11,2012-03-26,1,40.23,39.56,1,39.63,35.31,34.27,40,40.18,1.0,bull confirmed,33529400,34133916.0,0.9822898726299086,-0.03,0
5,0,39.99,11,2012-03-27,1,40.51,39.94,0,40.01,35.31,34.27,40,40.18,1.0,bull confirmed,33026400,33563014.0,0.9840117457865971,-0.15,0
6,0,40.32,11,2012-03-28,1,40.35,39.53,0,39.87,35.31,34.27,40,40.18,1.0,bull confirmed,29755800,33055828.0,0.9001680429847347,-1.37,0
7,0,39.80,11,2012-03-29,1,40.10,39.45,0,40.01,35.31,34.27,39,39.78,1.0,bull confirmed,32262300,32591032.0,0.9899134215817407,-0.91,0
8,0,40.07,11,2012-03-30,1,40.20,39.65,0,40.15,35.31,34.27,40,40.18,1.0,bull confirmed,25945800,32369940.0,0.8015399472473536,-1.57,0
9,0,40.20,11,2012-04-02,1,40.39,39.61,0,39.87,35.31,34.27,40,40.18,1.0,bull confirmed,27669300,32228996.0,0.8585219347199026,-2.52,0
10,0,39.84,11,2012-04-03,1,40.33,39.44,0,40.12,35.31,34.27,40,40.18,1.0,bull confirmed,31036400,32299740.0,0.9608869916599948,-1.24,0
11,2,38.95,12,2012-04-04,0,39.35,38.56,4,39.19,40.18,34.27,36,38.61,1.0,bull correction,41342900,32618522.0,1.2674669931396647,0.38,1
12,0,38.89,12,2012-04-05,0,39.23,38.42,0,38.71,40.18,34.27,36,38.61,1.0,bull correction,28832300,32597954.0,0.8844818911027361,-0.99,0
13,3,38.50,12,2012-04-09,0,38.84,37.78,2,37.88,40.18,34.27,34,37.85,1.0,bull correction,29376400,32519790.0,0.903339166704336,-0.50,0
14,3,37.68,12,2012-04-10,0,38.60,37.42,1,38.49,40.18,34.27,33,37.48,1.0,bull correction,38841000,32743118.0,1.1862340049594544,0.82,1
15,4,38.60,13,2012-04-11,1,38.78,38.22,3,38.23,40.18,37.48,36,38.61,1.0,bull confirmed,32142200,32897490.0,0.9770411055676285,-0.63,0
16,1,39.33,13,2012-04-12,1,39.46,38.59,2,38.70,40.18,37.48,38,39.39,1.0,bull confirmed,33631100,32977122.0,1.0198312636257343,-1.42,0
