,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,30.59,3,2012-03-20,1,30.67,30.31,0,30.35,29.81,28.65,7,30.41,1.0,bull confirmed,10180400,15463144.0,0.6583654656517458,0.56,1
1,1,30.82,3,2012-03-21,1,30.94,30.49,1,30.54,29.81,28.65,8,30.71,1.0,bull confirmed,19870800,15650108.0,1.2696909184268887,0.67,1
2,1,30.95,3,2012-03-22,1,31.02,30.74,1,30.78,29.81,28.65,9,31.02,1.0,bull confirmed,14252800,15675876.0,0.9092187256393199,1.04,1
3,0,30.98,3,2012-03-23,1,31.03,30.90,0,30.94,29.81,28.65,9,31.02,1.0,bull confirmed,16206600,15531432.0,1.043471072081441,1.10,1
4,0,31.16,3,2012-03-26,1,31.16,31.03,0,31.09,29.81,28.65,9,31.02,1.0,bull confirmed,11536400,15457420.0,0.7463341230295871,0.97,1
5,0,31.15,3,2012-03-27,1,31.20,31.05,0,31.13,29.81,28.65,9,31.02,1.0,bull confirmed,11430400,15286192.0,0.7477598083289808,0.82,1
6,1,31.49,3,2012-03-28,1,31.56,31.16,1,31.19,29.81,28.65,10,31.33,1.0,bull confirmed,26260600,15499864.0,1.6942471237166985,0.35,1
7,1,31.99,3,2012-03-29,1,32.24,31.32,2,31.36,29.81,28.65,12,31.96,1.0,bull confirmed,41063600,16055492.0,2.5576045878880573,-0.15,0
8,0,32.08,3,2012-03-30,1,32.13,31.77,0,31.91,29.81,28.65,12,31.96,1.0,bull confirmed,26555800,16315712.0,1.6276212769629668,-0.50,0
9,0,32.13,3,2012-04-02,1,32.16,31.91,0,32.00,29.81,28.65,12,31.96,1.0,bull confirmed,14579000,16224120.0,0.8986003555200529,-0.92,0
10,0,31.97,3,2012-04-03,1,32.10,31.84,0,31.93,29.81,28.65,12,31.96,1.0,bull confirmed,12989200,16207840.0,0.8014146240338009,-0.71,0
11,0,31.84,3,2012-04-04,1,31.90,31.73,0,31.76,29.81,28.65,11,31.65,1.0,bull confirmed,12487400,16162564.0,0.7726125632046994,-0.54,0
12,0,31.84,3,2012-04-05,1,31.86,31.67,0,31.76,29.81,28.65,11,31.65,1.0,bull confirmed,11531400,16103672.0,0.7160727068956695,-0.66,0
13,0,31.58,3,2012-04-09,1,31.68,31.52,0,31.62,29.81,28.65,11,31.65,1.0,bull confirmed,9806800,16005388.0,0.6127186669888914,-0.19,0
14,0,31.21,3,2012-04-10,1,31.47,31.18,0,31.46,29.81,28.65,10,31.33,1.0,bull confirmed,17290600,16014700.0,1.0796705526797254,0.84,1
15,0,31.26,3,2012-04-11,1,31.41,31.13,0,31.39,29.81,28.65,10,31.33,1.0,bull confirmed,12026600,16043400.0,0.7496291309822107,0.88,1
16,0,31.30,3,2012-04-12,1,31.32,31.13,0,31.27,29.81,28.65,9,31.02,1.0,bull confirmed,10640600,15985344.0,0.6656472328653046,0.69,1
17,0,31.18,3,2012-04-13,1,31.46,31.18,0,31.30,29.81,28.65,10,31.33,1.0,bull confirmed,10525600,15897556.0,0.6620891915713334,0.95,1
18,0,31.39,3,2012-04-16,1,31.55,31.26,0,31.30,29.81,28.65,10,31.33,1.0,bull confirmed,14147600,15917508.0,0.888807469108858,0.55,1
19,1,32.05,3,2012-04-17,1,32.28,31.72,1,31.72,29.81,28.65,13,32.28,1.0,bull confirmed,22614400,16038680.0,1.4099913459212354,0.07,1
20,0,32.14,3,2012-04-18,1,32.22,31.95,0,31.99,29.81,28.65,12,31.96,1.0,bull confirmed,11779800,15982548.0,0.7370414279375228,0.33,1
21,0,31.99,3,2012-04-19,1,32.22,31.82,0,32.20,29.81,28.65,12,31.96,1.0,bull confirmed,10731200,15711780.0,0.6830034534597608,0.82,1
22,0,32.13,3,2012-04-20,1,32.22,31.96,0,32.05,29.81,28.65,12,31.96,1.0,bull confirmed,13461000,15652432.0,0.8599941529852997,1.08,1
23,0,31.94,3,2012-04-23,1,32.10,31.78,0,32.06,29.81,28.65,12,31.96,1.0,bull confirmed,10472200,15535648.0,0.6740755197337118,1.14,1
24,0,32.12,3,2012-04-24,1,32.22,31.94,0,32.04,29.81,28.65,12,31.96,1.0,bull confirmed,10288000,15521516.0,0.6628218532261926,1.22,1
25,0,32.47,3,2012-04-25,1,32.52,32.20,0,32.30,29.81,28.65,13,32.28,1.0,bull confirmed,18596000,15671616.0,1.1866038575728246,0.97,1
26,1,32.81,3,2012-04-26,1,32.92,32.42,1,32.48,29.81,28.65,14,32.60,1.0,bull confirmed,16782000,15755336.0,1.0651629390829875,0.75,1
27,1,33.21,3,2012-04-27,1,33.73,32.90,3,32.92,29.81,28.65,17,33.59,1.0,bull confirmed,25103000,15961860.0,1.5726863911849873,0.16,1
28,0,33.08,3,2012-04-30,1,33.33,32.91,0,33.12,29.81,28.65,16,33.26,1.0,bull confirmed,26517600,16257172.0,1.6311324011334813,0.41,1
29,0,33.34,3,2012-05-01,1,33.37,33.06,0,33.17,29.81,28.65,16,33.26,1.0,bull confirmed,13841000,16237156.0,0.852427604932785,0.09,1
30,0,33.44,3,2012-05-02,1,33.48,33.21,0,33.26,29.81,28.65,16,33.26,1.0,bull confirmed,16558600,16299832.0,1.0158755010481089,-0.16,0
31,0,33.56,3,2012-05-03,1,33.65,33.46,0,33.53,29.81,28.65,17,33.59,1.0,bull confirmed,15612000,16336744.0,0.9556371820480262,-0.01,0
32,0,33.37,3,2012-05-04,1,33.63,33.35,0,33.50,29.81,28.65,17,33.59,1.0,bull confirmed,13160800,16377560.0,0.8035873475658156,0.20,1
33,0,33.49,3,2012-05-07,1,33.57,33.30,0,33.36,29.81,28.65,16,33.26,1.0,bull confirmed,8965400,16307160.0,0.5497830400879123,-0.18,0
34,0,33.43,3,2012-05-08,1,33.49,33.21,0,33.38,29.81,28.65,16,33.26,1.0,bull confirmed,10561600,16276668.0,0.6488797338619919,-0.25,0
35,0,33.28,3,2012-05-09,1,33.45,33.15,0,33.19,29.81,28.65,16,33.26,1.0,bull confirmed,14070800,16377104.0,0.8591751020204793,-0.20,0
36,0,33.55,3,2012-05-10,1,33.67,33.46,0,33.46,29.81,28.65,17,33.59,1.0,bull confirmed,12659200,16161000.0,0.7833178639935647,-0.99,0
37,0,33.57,3,2012-05-11,1,33.69,33.46,0,33.46,29.81,28.65,17,33.59,1.0,bull confirmed,10604000,16067196.0,0.6599782563180283,-1.48,0
38,0,33.31,3,2012-05-14,1,33.48,33.20,0,33.42,29.81,28.65,16,33.26,1.0,bull confirmed,15411800,16135516.0,0.9551476382905882,-1.02,0
39,0,33.18,3,2012-05-15,1,33.44,33.05,0,33.18,29.81,28.65,16,33.26,1.0,bull confirmed,16397800,16256700.0,1.0086794982991627,-1.03,0
40,0,33.08,3,2012-05-16,1,33.30,32.90,0,33.22,29.81,28.65,16,33.26,1.0,bull confirmed,17804400,16349564.0,1.0889831679915134,-0.77,0
41,2,32.56,4,2012-05-17,0,33.07,32.50,3,33.01,33.59,28.65,14,32.60,1.0,bull correction,22310800,16577104.0,1.3458804384650056,0.19,1
42,3,32.09,4,2012-05-18,0,32.63,31.84,2,32.61,33.59,28.65,12,31.96,1.0,bull correction,31913000,16540268.0,1.929412510123778,0.51,1
43,0,32.29,4,2012-05-21,0,32.33,32.13,0,32.16,33.59,28.65,13,32.28,1.0,bull correction,13488800,16075192.0,0.8391066184466102,0.41,1
44,0,32.15,4,2012-05-22,0,32.32,32.03,0,32.32,33.59,28.65,13,32.28,1.0,bull correction,15260600,16017532.0,0.9527435312756047,0.38,1
45,0,32.31,4,2012-05-23,0,32.32,31.99,0,32.07,33.59,28.65,13,32.28,1.0,bull correction,18000000,16016172.0,1.1238640544070082,0.08,1
46,0,32.75,4,2012-05-24,0,32.87,32.33,0,32.41,33.59,28.65,14,32.60,1.0,bull correction,20204600,16161904.0,1.2501373600536174,-1.07,0
47,0,32.60,4,2012-05-25,0,32.80,32.51,0,32.77,33.59,28.65,14,32.60,1.0,bull correction,8999600,15982068.0,0.5631061011628783,-0.69,0
48,0,32.70,4,2012-05-29,0,32.82,32.53,0,32.82,33.59,28.65,14,32.60,1.0,bull correction,10533800,15734768.0,0.6694601407532669,-0.96,0
49,0,32.53,4,2012-05-30,0,32.61,32.43,0,32.53,33.59,28.65,14,32.60,1.0,bull correction,13884600,15799412.0,0.8788048567883412,-0.19,0
50,0,32.39,4,2012-05-31,0,32.60,32.36,0,32.49,33.59,28.65,14,32.60,1.0,bull correction,15147600,15898756.0,0.9527537877806289,-0.20,0
51,3,31.68,4,2012-06-01,0,32.26,31.64,1,32.07,33.59,28.65,11,31.65,1.0,bull correction,20843400,15918208.0,1.309406184414728,0.93,1
52,0,31.91,4,2012-06-04,0,31.96,31.45,0,31.65,33.59,28.65,11,31.65,1.0,bull correction,13397200,15901096.0,0.8425331184718337,0.45,1
53,0,31.74,4,2012-06-05,0,31.92,31.66,0,31.78,33.59,28.65,12,31.96,1.0,bull correction,12275200,15822468.0,0.7758081735415739,0.85,1
