,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,2,81.61,4,2012-04-19,0,83.29,80.62,5,83.22,84.75,82.26,11,80.63,0.0,bear confirmed,13939100,5763572.0,2.418482843625446,0.47,1
1,4,82.17,5,2012-04-20,1,83.74,81.93,3,83.00,84.75,80.63,14,83.08,0.0,bear correction,11021200,5875324.0,1.8758454852872795,1.24,1
2,0,81.53,5,2012-04-23,1,82.16,81.24,0,82.04,84.75,80.63,12,81.44,0.0,bear correction,5217500,5907498.0,0.8831996219042308,1.94,1
3,0,81.02,5,2012-04-24,1,81.75,80.64,0,81.38,84.75,80.63,12,81.44,0.0,bear correction,6223800,5954480.0,1.0452298101597453,2.23,1
4,0,81.56,5,2012-04-25,1,81.57,81.18,0,81.50,84.75,80.63,12,81.44,0.0,bear correction,5699600,6009050.0,0.9485026751316764,1.96,1
5,0,82.08,5,2012-04-26,1,82.28,81.32,0,81.32,84.75,80.63,13,82.26,0.0,bear correction,4741200,6033458.0,0.7858180167989899,1.04,1
6,0,83.41,5,2012-04-27,1,83.54,82.05,0,82.42,84.75,80.63,14,83.08,0.0,bear correction,7373300,6075714.0,1.2135693023075147,-1.30,0
7,0,83.47,5,2012-04-30,1,83.72,83.16,0,83.60,84.75,80.63,14,83.08,0.0,bear correction,4507200,6085932.0,0.7405932238480483,-1.67,0
8,1,83.25,5,2012-05-01,1,83.95,83.19,1,83.28,84.75,80.63,15,83.91,0.0,bear correction,5297900,6093256.0,0.8694694593498123,-3.12,0
9,0,83.52,5,2012-05-02,1,83.69,83.00,0,83.00,84.75,80.63,14,83.08,0.0,bear correction,4348300,6090726.0,0.7139214602659847,-4.78,0
10,0,83.12,5,2012-05-03,1,83.58,82.90,0,83.48,84.75,80.63,14,83.08,0.0,bear correction,3935200,6091052.0,0.6460624535794474,-4.43,0
11,0,82.11,5,2012-05-04,1,82.95,82.01,0,82.95,84.75,80.63,13,82.26,0.0,bear correction,4688500,6101492.0,0.7684186097433218,-3.40,0
12,0,81.80,5,2012-05-07,1,82.25,81.54,0,81.99,84.75,80.63,12,81.44,0.0,bear correction,5089700,6130050.0,0.8302868655231197,-3.96,0
13,2,80.13,6,2012-05-08,0,81.26,79.63,5,80.43,83.91,80.63,10,79.84,0.0,bear confirmed,12379500,6296750.0,1.9660142136816612,-2.18,0
14,3,78.74,6,2012-05-09,0,79.73,78.42,1,79.65,83.91,80.63,9,79.05,0.0,bear confirmed,8975700,6388948.0,1.4048791757265828,-0.43,0
15,0,78.69,6,2012-05-10,0,79.42,78.57,0,79.40,83.91,80.63,9,79.05,0.0,bear confirmed,7129500,6422318.0,1.1101132021179891,-1.93,0
16,0,78.71,6,2012-05-11,0,79.31,78.52,0,78.53,83.91,80.63,9,79.05,0.0,bear confirmed,5366500,6447926.0,0.8322831248373508,-1.75,0
17,3,77.84,6,2012-05-14,0,78.53,77.65,1,78.40,83.91,80.63,8,78.26,0.0,bear confirmed,6050000,6482692.0,0.9332542715279393,0.33,1
18,0,77.95,6,2012-05-15,0,78.58,77.81,0,77.93,83.91,80.63,8,78.26,0.0,bear confirmed,4890300,6454234.0,0.7576886738224862,0.28,1
19,0,78.31,6,2012-05-16,0,78.53,77.92,0,78.04,83.91,80.63,8,78.26,0.0,bear confirmed,4949100,6418938.0,0.7710153922658234,0.04,1
20,3,76.76,6,2012-05-17,0,78.44,76.66,2,78.18,83.91,80.63,6,76.72,0.0,bear confirmed,9094100,6483350.0,1.4026853401405137,1.64,1
21,0,76.96,6,2012-05-18,0,78.04,76.82,0,77.26,83.91,80.63,7,77.49,0.0,bear confirmed,7990700,6306340.0,1.2670899444051542,1.02,1
22,0,78.17,6,2012-05-21,0,78.22,76.99,0,77.09,83.91,80.63,7,77.49,0.0,bear confirmed,6622500,6282616.0,1.0540991204937562,-0.31,0
23,0,78.23,6,2012-05-22,0,78.76,77.94,0,78.76,83.91,80.63,8,78.26,0.0,bear confirmed,5063400,6293822.0,0.8045032096554368,-1.05,0
24,0,78.35,6,2012-05-23,0,78.43,77.66,0,77.92,83.91,80.63,8,78.26,0.0,bear confirmed,4236500,6251534.0,0.6776736717739998,-1.23,0
25,0,78.40,6,2012-05-24,0,78.89,77.80,0,78.68,83.91,80.63,8,78.26,0.0,bear confirmed,5010000,6207552.0,0.8070814388667223,-3.55,0
26,0,77.98,6,2012-05-25,0,78.62,77.78,0,78.50,83.91,80.63,8,78.26,0.0,bear confirmed,3681300,6165814.0,0.5970501218492805,-3.47,0
27,0,77.86,6,2012-05-29,0,78.57,77.31,0,78.29,83.91,80.63,7,77.49,0.0,bear confirmed,5380300,6126680.0,0.878175455548519,-2.69,0
28,0,77.18,6,2012-05-30,0,77.53,76.96,0,77.43,83.91,80.63,7,77.49,0.0,bear confirmed,5375600,6141502.0,0.8752907676330643,-0.65,0
29,0,77.12,6,2012-05-31,0,77.91,77.05,0,77.59,83.91,80.63,7,77.49,0.0,bear confirmed,6816400,6182688.0,1.1024978132488652,-0.83,0
30,3,74.85,6,2012-06-01,0,76.08,74.67,2,75.50,83.91,80.63,4,75.21,0.0,bear confirmed,10832500,6278566.0,1.725314347257001,0.90,1
31,3,74.51,6,2012-06-04,0,74.91,74.24,1,74.75,83.91,80.63,3,74.46,0.0,bear confirmed,7035200,6264846.0,1.1229645549148375,0.23,1
32,0,75.17,6,2012-06-05,0,75.45,74.24,0,74.43,83.91,80.63,3,74.46,0.0,bear confirmed,7237300,6288762.0,1.1508306404344766,0.37,1
33,0,76.53,6,2012-06-06,0,76.53,75.48,0,75.89,83.91,80.63,5,75.96,0.0,bear confirmed,5936000,6294600.0,0.943030534108601,-0.59,0
34,4,76.29,7,2012-06-07,1,77.50,75.97,4,77.34,83.91,74.46,7,77.49,0.0,bear correction,8321500,6363480.0,1.3076964176834058,1.16,1
35,2,75.75,8,2012-06-08,0,76.20,74.17,4,74.58,77.49,74.46,3,74.46,0.0,bear confirmed,12060100,6503574.0,1.8543803760824433,2.37,1
36,4,74.74,9,2012-06-11,1,76.87,74.74,3,76.81,77.49,74.46,6,76.72,0.0,bear correction,9511900,6611740.0,1.4386379379709426,3.16,1
37,0,75.54,9,2012-06-12,1,75.61,74.81,0,75.10,77.49,74.46,4,75.21,0.0,bear correction,7762000,6678390.0,1.1622561725206224,1.80,1
38,0,75.94,9,2012-06-13,1,76.77,75.00,0,75.06,77.49,74.46,6,76.72,0.0,bear correction,8838500,6763100.0,1.306871109402493,0.58,1
39,1,77.45,9,2012-06-14,1,77.62,76.07,1,76.38,77.49,74.46,7,77.49,0.0,bear correction,7646300,6807582.0,1.1232035104388018,-1.80,0
40,1,78.12,9,2012-06-15,1,78.34,77.46,1,77.81,77.49,74.46,8,78.26,1.0,bull confirmed,9516800,6842552.0,1.3908261128304176,-1.86,0
41,0,77.90,9,2012-06-18,1,78.22,77.62,0,78.21,77.49,74.46,7,77.49,1.0,bull confirmed,6343400,6860032.0,0.9246895641303131,-1.83,0
42,0,77.34,9,2012-06-19,1,77.91,77.01,0,77.66,77.49,74.46,7,77.49,1.0,bull confirmed,7601600,6877810.0,1.105235532822221,-0.43,0
43,0,76.52,9,2012-06-20,1,77.40,76.10,0,77.34,77.49,74.46,6,76.72,1.0,bull confirmed,7917500,6884528.0,1.1500425301487625,-0.27,0
44,2,75.65,10,2012-06-21,0,76.96,75.56,3,76.90,78.26,74.46,5,75.96,1.0,bull correction,5762200,6872440.0,0.8384503902544075,0.47,1
45,0,76.26,10,2012-06-22,0,76.47,75.94,0,76.13,78.26,74.46,5,75.96,1.0,bull correction,5325400,6863670.0,0.7758822903781796,0.16,1
46,0,76.07,10,2012-06-25,0,76.25,75.70,0,75.96,78.26,74.46,5,75.96,1.0,bull correction,4524400,6849684.0,0.660526821383293,-0.04,0
47,0,76.91,10,2012-06-26,0,77.19,76.44,0,76.45,78.26,74.46,6,76.72,1.0,bull correction,4488500,6814728.0,0.6586469775462792,-0.45,0
48,0,76.25,10,2012-06-27,0,77.26,76.00,0,77.05,78.26,74.46,6,76.72,1.0,bull correction,5940300,6781680.0,0.8759333970343631,0.83,1
49,0,76.12,10,2012-06-28,0,76.19,75.43,0,75.98,78.26,74.46,5,75.96,1.0,bull correction,4922600,6772358.0,0.7268664769346216,1.28,1
