,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,0,79.36,3,2012-03-20,1,79.70,78.83,0,79.20,78.26,75.96,8,79.05,1.0,bull confirmed,2485300,3105788.0,0.8002155974586804,-0.18,0,-0.22681451612903225,1
1,0,78.97,3,2012-03-21,1,79.62,78.88,0,79.43,78.26,75.96,8,79.05,1.0,bull confirmed,2433800,3098532.0,0.7854687316445336,-0.40,0,-0.5065214638470306,1
2,0,78.67,3,2012-03-22,1,78.86,77.92,0,78.61,78.26,75.96,7,78.26,1.0,bull confirmed,3064200,3091048.0,0.9913142726997446,0.18,1,0.22880386424304056,1
3,0,78.58,3,2012-03-23,1,78.76,78.18,0,78.73,78.26,75.96,7,78.26,1.0,bull confirmed,2326100,3048264.0,0.7630900735631821,0.66,1,0.8399083736319675,1
4,0,79.16,3,2012-03-26,1,79.36,78.70,0,78.98,78.26,75.96,8,79.05,1.0,bull confirmed,2572500,3026716.0,0.849931080418513,0.10,1,0.12632642748863063,1
5,0,79.18,3,2012-03-27,1,79.43,78.99,0,79.39,78.26,75.96,8,79.05,1.0,bull confirmed,2308400,3011026.0,0.7666489761297312,-0.31,0,-0.39151300833543823,1
6,0,78.57,3,2012-03-28,1,79.60,78.20,0,79.31,78.26,75.96,8,79.05,1.0,bull confirmed,2289600,3002920.0,0.7624578743356466,-0.55,0,-0.7000127275041365,1
7,0,78.85,3,2012-03-29,1,78.89,77.92,0,78.06,78.26,75.96,7,78.26,1.0,bull confirmed,2207100,2972640.0,0.7424713386081059,-1.33,0,-1.6867469879518073,1
8,0,79.24,3,2012-03-30,1,79.31,78.84,0,79.25,78.26,75.96,8,79.05,1.0,bull confirmed,2471800,2953802.0,0.8368198003793077,-2.56,0,-3.230691569914185,0
9,0,79.26,3,2012-04-02,1,79.37,78.21,0,78.87,78.26,75.96,8,79.05,1.0,bull confirmed,2640900,2936168.0,0.8994376343587969,-4.13,0,-5.21069896543023,0
10,0,78.87,3,2012-04-03,1,79.25,78.34,0,79.25,78.26,75.96,8,79.05,1.0,bull confirmed,2298400,2912240.0,0.7892206686262121,-3.06,0,-3.8798022061620387,0
11,2,78.02,4,2012-04-04,0,78.21,77.41,3,78.15,79.84,75.96,6,77.49,1.0,bull correction,2392700,2882182.0,0.8301696423057253,-0.87,0,-1.115098692642912,1
12,0,77.52,4,2012-04-05,0,77.98,77.25,0,77.60,79.84,75.96,6,77.49,1.0,bull correction,2048400,2834910.0,0.7225626210355884,-1.41,0,-1.8188854489164086,1
13,3,76.68,4,2012-04-09,0,77.07,76.30,1,76.60,79.84,75.96,5,76.72,1.0,bull correction,1932700,2775586.0,0.696321425457543,0.06,1,0.0782472613458529,1
14,3,75.13,4,2012-04-10,0,76.74,75.00,2,76.56,79.84,75.96,3,75.21,0.0,bear confirmed,3651000,2773662.0,1.3163103507204554,2.55,1,3.394116864102223,2
15,0,75.81,4,2012-04-11,0,76.11,75.61,0,75.82,79.84,75.96,4,75.96,0.0,bear confirmed,2527700,2761248.0,0.9154194045590979,1.58,1,2.084157762828123,2
16,0,77.15,4,2012-04-12,0,77.22,75.57,0,76.13,79.84,75.96,4,75.96,0.0,bear confirmed,2476000,2739726.0,0.9037400090374,-0.05,0,-0.06480881399870382,1
17,0,76.11,4,2012-04-13,0,76.91,76.01,0,76.82,79.84,75.96,5,76.72,0.0,bear confirmed,2609700,2731810.0,0.9553006980719743,1.59,1,2.0890815924320063,2
18,0,76.74,4,2012-04-16,0,77.22,76.32,0,76.42,79.84,75.96,5,76.72,0.0,bear confirmed,3060200,2747254.0,1.1139122920559947,0.65,1,0.8470158978368517,1
19,4,77.68,5,2012-04-17,1,77.87,76.98,3,77.01,79.84,75.21,6,77.49,0.0,bear correction,2354200,2730428.0,0.8622091481628521,0.92,1,1.184346035015448,1
20,0,77.39,5,2012-04-18,1,77.84,77.00,0,77.19,79.84,75.21,6,77.49,0.0,bear correction,1781600,2722274.0,0.6544528581619631,1.49,1,1.9253133479777749,1
21,0,77.10,5,2012-04-19,1,77.77,76.50,0,77.45,79.84,75.21,6,77.49,0.0,bear correction,2565000,2714392.0,0.9449629972384239,2.24,1,2.9053177691309986,2
22,0,77.70,5,2012-04-20,1,77.99,77.20,0,77.27,79.84,75.21,6,77.49,0.0,bear correction,3177200,2727480.0,1.1648848020883746,1.67,1,2.1492921492921493,2
23,0,77.39,5,2012-04-23,1,77.49,76.41,0,76.85,79.84,75.21,6,77.49,0.0,bear correction,2769900,2722246.0,1.0175053981161144,1.98,1,2.5584700865744927,2
24,1,78.60,5,2012-04-24,1,79.72,78.50,2,79.35,79.84,75.21,8,79.05,0.0,bear correction,5701200,2774556.0,2.054815256927595,0.99,1,1.2595419847328244,1
25,0,78.88,5,2012-04-25,1,79.28,78.61,0,79.04,79.84,75.21,8,79.05,0.0,bear correction,2962900,2783202.0,1.0645652022382852,0.64,1,0.8113590263691683,1
26,0,79.34,5,2012-04-26,1,79.55,78.62,0,78.70,79.84,75.21,8,79.05,0.0,bear correction,2750900,2781214.0,0.989100443187759,0.06,1,0.07562389715149988,1
27,0,79.37,5,2012-04-27,1,79.53,78.83,0,79.42,79.84,75.21,8,79.05,0.0,bear correction,2618000,2760634.0,0.9483328829536983,-0.61,0,-0.7685523497543152,1
28,0,79.37,5,2012-04-30,1,79.46,78.80,0,79.28,79.84,75.21,8,79.05,0.0,bear correction,2072900,2751116.0,0.7534760439036376,-1.19,0,-1.4993070429633362,1
29,1,79.59,5,2012-05-01,1,79.90,78.82,1,79.17,79.84,75.21,9,79.84,0.0,bear correction,2294200,2740308.0,0.837205160879726,-1.81,0,-2.2741550446035936,0
30,0,79.52,5,2012-05-02,1,79.58,78.96,0,79.20,79.84,75.21,8,79.05,0.0,bear correction,2100200,2734178.0,0.7681284832223798,-2.00,0,-2.515090543259557,0
31,0,79.40,5,2012-05-03,1,79.81,79.15,0,79.50,79.84,75.21,8,79.05,0.0,bear correction,2343600,2728050.0,0.8590751635783802,-2.01,0,-2.531486146095718,0
32,0,78.76,5,2012-05-04,1,79.27,78.43,0,79.20,79.84,75.21,8,79.05,0.0,bear correction,2823800,2713900.0,1.0404952282692803,-1.72,0,-2.1838496698831893,0
33,0,78.18,5,2012-05-07,1,78.72,77.90,0,77.90,79.84,75.21,7,78.26,0.0,bear correction,2753500,2718474.0,1.0128844344290215,-1.94,0,-2.481453057047838,0
34,2,77.78,6,2012-05-08,0,78.06,76.66,4,77.38,79.84,75.21,5,76.72,0.0,bear confirmed,2710400,2712424.0,0.9992538039775493,-1.59,0,-2.044227307791206,0
35,0,77.52,6,2012-05-09,0,78.02,76.37,0,76.95,79.84,75.21,5,76.72,0.0,bear confirmed,3192800,2726326.0,1.1710998611317942,-1.18,0,-1.5221878224974201,1
36,0,77.39,6,2012-05-10,0,77.89,77.17,0,77.40,79.84,75.21,6,77.49,0.0,bear confirmed,2828500,2717342.0,1.0409068862145434,-1.96,0,-2.532626954386872,0
37,0,77.04,6,2012-05-11,0,77.70,76.60,0,76.81,79.84,75.21,5,76.72,0.0,bear confirmed,2601800,2718874.0,0.956940262770544,-2.35,0,-3.0503634475597092,0
38,3,76.24,6,2012-05-14,0,76.88,75.71,1,75.91,79.84,75.21,4,75.96,0.0,bear confirmed,2631900,2715102.0,0.9693558474046279,-0.70,0,-0.9181532004197271,1
39,0,76.19,6,2012-05-15,0,76.79,75.94,0,76.34,79.84,75.21,4,75.96,0.0,bear confirmed,2611300,2713290.0,0.9624109475949861,-0.94,0,-1.2337577109856936,1
40,0,76.34,6,2012-05-16,0,77.16,76.26,0,76.84,79.84,75.21,5,76.72,0.0,bear confirmed,2770600,2697744.0,1.0270062689417527,-0.50,0,-0.6549646319098769,1
41,0,75.43,6,2012-05-17,0,76.60,75.35,0,76.52,79.84,75.21,4,75.96,0.0,bear confirmed,2777200,2690272.0,1.0323119744025884,0.58,1,0.7689248309691105,1
42,3,74.69,6,2012-05-18,0,75.83,74.48,1,75.83,79.84,75.21,3,75.21,0.0,bear confirmed,3602900,2710266.0,1.3293529122233758,1.14,1,1.5263087428035882,1
43,0,75.54,6,2012-05-21,0,75.69,74.91,0,75.02,79.84,75.21,3,75.21,0.0,bear confirmed,2450000,2720100.0,0.9007021800669093,1.14,1,1.5091342335186657,1
44,0,75.25,6,2012-05-22,0,76.01,74.84,0,75.75,79.84,75.21,3,75.21,0.0,bear confirmed,3000900,2739132.0,1.0955660406289291,0.28,1,0.37209302325581395,1
45,3,75.84,6,2012-05-23,0,75.92,74.19,1,74.57,79.84,75.21,2,74.46,0.0,bear confirmed,3200000,2740990.0,1.1674613916869452,-0.34,0,-0.44831223628691985,1
46,0,76.01,6,2012-05-24,0,76.02,75.16,0,75.99,79.84,75.21,3,75.21,0.0,bear confirmed,2322100,2728214.0,0.8511429088773828,-1.91,0,-2.512827259571109,0
47,0,75.83,6,2012-05-25,0,76.20,75.49,0,75.91,79.84,75.21,4,75.96,0.0,bear confirmed,2346000,2710090.0,0.8656539081727913,-1.93,0,-2.5451668205195834,0
48,4,76.68,7,2012-05-29,1,76.92,76.14,3,76.36,79.84,74.46,5,76.72,0.0,bear correction,2142200,2652792.0,0.8075265606952976,-2.88,0,-3.755868544600939,0
49,0,75.53,7,2012-05-30,1,76.13,75.22,0,76.08,79.84,74.46,4,75.96,0.0,bear correction,2697100,2655026.0,1.015846925792817,0.16,1,0.21183635641466966,1
50,0,75.50,7,2012-05-31,1,76.07,75.01,0,75.53,79.84,74.46,4,75.96,0.0,bear correction,3683200,2678984.0,1.3748495698369232,0.97,1,1.2847682119205297,1
51,2,74.10,8,2012-06-01,0,75.11,73.98,3,74.28,76.72,74.46,2,74.46,0.0,bear confirmed,3539200,2701092.0,1.3102848773755207,2.82,1,3.805668016194332,2
52,3,73.90,8,2012-06-04,0,74.23,73.33,1,74.05,76.72,74.46,1,73.73,0.0,bear confirmed,2899900,2697806.0,1.0749105013481326,2.28,1,3.085250338294993,2
