,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,1,33.39,3,2012-04-30,1,33.58,32.84,1,32.88,32.93,31.33,7,33.26,1.0,bull confirmed,19808600,14616512.0,1.3552207257107578,-0.59,0
1,1,33.50,3,2012-05-01,1,33.62,33.07,1,33.14,32.93,31.33,8,33.59,1.0,bull confirmed,14590000,14549026.0,1.0028162709998594,-0.62,0
2,0,33.44,3,2012-05-02,1,33.56,33.26,0,33.46,32.93,31.33,7,33.26,1.0,bull confirmed,11528800,14562558.0,0.7916741001134553,-1.02,0
3,0,33.33,3,2012-05-03,1,33.51,33.24,0,33.45,32.93,31.33,7,33.26,1.0,bull confirmed,10569400,14577286.0,0.7250595206816962,-0.66,0
4,0,33.05,3,2012-05-04,1,33.28,32.86,0,33.28,32.93,31.33,7,33.26,1.0,bull confirmed,11932400,14609370.0,0.8167634880901777,-0.69,0
5,0,32.80,3,2012-05-07,1,33.03,32.76,0,32.77,32.93,31.33,6,32.93,1.0,bull confirmed,11573700,14671054.0,0.7888799264183746,-0.27,0
6,2,32.88,4,2012-05-08,0,32.90,32.58,3,32.78,33.59,31.33,5,32.60,1.0,bull correction,8762600,14516076.0,0.6036479831050761,-0.76,0
7,0,32.42,4,2012-05-09,0,32.76,32.42,0,32.63,33.59,31.33,5,32.60,1.0,bull correction,11965500,14566148.0,0.8214594551696166,0.12,1
8,0,32.67,4,2012-05-10,0,32.87,32.55,0,32.59,33.59,31.33,5,32.60,1.0,bull correction,9452700,14450402.0,0.6541478915257859,-0.31,0
9,0,32.36,4,2012-05-11,0,32.63,32.30,0,32.51,33.59,31.33,5,32.60,1.0,bull correction,12111400,14331560.0,0.8450859501687186,-0.17,0
10,3,32.53,4,2012-05-14,0,32.67,32.09,1,32.21,33.59,31.33,4,32.28,1.0,bull correction,16272700,14396006.0,1.130362129607337,-0.53,0
11,0,32.12,4,2012-05-15,0,32.51,31.98,0,32.41,33.59,31.33,4,32.28,1.0,bull correction,10652700,14235798.0,0.7483036778127928,-0.24,0
12,0,32.54,4,2012-05-16,0,32.64,32.14,0,32.30,33.59,31.33,4,32.28,1.0,bull correction,15367600,14171244.0,1.0844213817784805,-0.76,0
13,0,32.36,4,2012-05-17,0,32.72,32.34,0,32.52,33.59,31.33,5,32.60,1.0,bull correction,13906000,14111964.0,0.9854050081193518,-0.36,0
14,0,32.19,4,2012-05-18,0,32.52,32.02,0,32.51,33.59,31.33,4,32.28,1.0,bull correction,18690600,13667336.0,1.367537902046163,-0.23,0
15,3,32.00,4,2012-05-21,0,32.24,31.96,1,32.11,33.59,31.33,3,31.96,1.0,bull correction,9300000,12962916.0,0.7174311705792122,-0.01,0
16,0,31.88,4,2012-05-22,0,32.12,31.79,0,32.05,33.59,31.33,3,31.96,1.0,bull correction,12327600,12992000.0,0.9488608374384236,-0.05,0
17,3,31.78,4,2012-05-23,0,32.02,31.50,1,31.88,33.59,31.33,2,31.65,1.0,bull correction,11236800,12916684.0,0.8699446390420328,0.20,1
18,0,32.00,4,2012-05-24,0,32.06,31.73,0,31.83,33.59,31.33,3,31.96,1.0,bull correction,8651700,12854558.0,0.6730453120208412,-0.36,0
19,0,31.96,4,2012-05-25,0,32.13,31.80,0,31.97,33.59,31.33,3,31.96,1.0,bull correction,6591600,12741470.0,0.5173343421128017,-0.08,0
20,0,31.99,4,2012-05-29,0,32.13,31.85,0,32.08,33.59,31.33,3,31.96,1.0,bull correction,8792400,12546208.0,0.700801389551329,-0.08,0
21,0,31.83,4,2012-05-30,0,32.04,31.74,0,31.83,33.59,31.33,3,31.96,1.0,bull correction,9668200,12544624.0,0.7707046460699022,0.42,1
22,0,31.98,4,2012-05-31,0,32.22,31.70,0,32.01,33.59,31.33,3,31.96,1.0,bull correction,13443100,12536466.0,1.072319743059966,0.64,1
23,0,31.64,4,2012-06-01,0,31.90,31.50,0,31.64,33.59,31.33,2,31.65,1.0,bull correction,13371600,12573958.0,1.0634360318365943,1.09,1
24,0,31.88,4,2012-06-04,0,31.89,31.59,0,31.64,33.59,31.33,2,31.65,1.0,bull correction,10915800,12532444.0,0.8710032935315729,0.86,1
25,0,31.91,4,2012-06-05,0,31.96,31.71,0,31.83,33.59,31.33,3,31.96,1.0,bull correction,10560500,12528324.0,0.8429299880814066,1.15,1
26,0,32.25,4,2012-06-06,0,32.25,31.94,0,32.13,33.59,31.33,3,31.96,1.0,bull correction,12613900,12540588.0,1.0058459778759976,0.79,1
27,4,32.62,5,2012-06-07,1,32.74,32.35,3,32.40,33.59,31.65,5,32.60,1.0,bull confirmed,53370900,13354216.0,3.996558090718317,0.75,1
28,0,32.73,5,2012-06-08,1,32.81,32.55,0,32.75,33.59,31.65,5,32.60,1.0,bull confirmed,50924300,14047006.0,3.6252778706010376,0.77,1
29,1,32.74,5,2012-06-11,1,32.99,32.71,1,32.87,33.59,31.65,6,32.93,1.0,bull confirmed,46814300,14631528.0,3.199549630086482,0.68,1
30,0,33.06,5,2012-06-12,1,33.06,32.67,0,32.86,33.59,31.65,6,32.93,1.0,bull confirmed,10467000,14558534.0,0.7189597524036417,0.69,1
31,1,33.04,5,2012-06-13,1,33.37,32.92,1,33.04,33.59,31.65,7,33.26,1.0,bull confirmed,11566500,14561046.0,0.7943454062297448,0.69,1
32,0,33.37,5,2012-06-14,1,33.50,32.99,0,33.14,33.59,31.65,7,33.26,1.0,bull confirmed,12909600,14600276.0,0.884202463021932,0.57,1
33,1,33.50,5,2012-06-15,1,33.64,33.44,1,33.57,33.59,31.65,8,33.59,1.0,bull confirmed,16053000,14617120.0,1.0982327572052497,1.07,1
34,0,33.42,5,2012-06-18,1,33.60,33.31,0,33.31,33.59,31.65,8,33.59,1.0,bull confirmed,8254900,14504602.0,0.5691228204676005,0.81,1
35,0,33.75,5,2012-06-19,1,33.91,33.43,0,33.51,33.59,31.65,8,33.59,1.0,bull confirmed,11901100,14508138.0,0.8203051280598517,0.72,1
