,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,2,28.03,4,2012-03-20,0,28.17,27.81,3,28.13,28.65,25.17,17,27.81,1.0,bull correction,41566800,53840324.0,0.7720384446423465,0.47,1
1,0,27.96,4,2012-03-21,0,28.17,27.88,0,28.01,28.65,25.17,18,28.08,1.0,bull correction,37928600,53404760.0,0.7102101011220723,0.25,1
2,0,28.04,4,2012-03-22,0,28.12,27.86,0,27.87,28.65,25.17,18,28.08,1.0,bull correction,31749500,52839462.0,0.6008672079212313,0.11,1
3,0,28.05,4,2012-03-23,0,28.14,27.80,0,28.13,28.65,25.17,17,27.81,1.0,bull correction,35912200,52246058.0,0.6873666908994359,0.21,1
4,0,28.56,4,2012-03-26,0,28.58,28.18,0,28.21,28.65,25.17,19,28.36,1.0,bull correction,36758300,51993808.0,0.7069745689717514,-0.26,0
5,4,28.50,5,2012-03-27,1,28.65,28.39,3,28.61,28.65,27.81,20,28.65,1.0,bull confirmed,36274900,51515384.0,0.7041566457118906,-0.51,0
6,0,28.21,5,2012-03-28,1,28.65,28.08,0,28.50,28.65,27.81,20,28.65,1.0,bull confirmed,41344800,50894374.0,0.8123648401687777,-0.86,0
7,0,28.15,5,2012-03-29,1,28.21,27.87,0,28.09,28.65,27.81,18,28.08,1.0,bull confirmed,37038500,50337932.0,0.7357970128768897,-0.53,0
8,0,28.26,5,2012-03-30,1,28.40,28.08,0,28.39,28.65,27.81,19,28.36,1.0,bull confirmed,31749400,49491850.0,0.6415076421673468,-1.01,0
9,0,28.30,5,2012-04-02,1,28.44,28.00,0,28.23,28.65,27.81,19,28.36,1.0,bull confirmed,35853600,46890864.0,0.7646180287912802,-1.60,0
10,2,27.99,6,2012-04-03,0,28.21,27.74,3,28.18,28.65,27.81,17,27.81,1.0,bull correction,42752100,46224344.0,0.9248827847075558,-1.40,0
11,3,27.35,6,2012-04-04,0,27.77,27.21,2,27.74,28.65,27.81,15,27.26,0.0,bear confirmed,49455900,46179396.0,1.0709516425896952,-0.21,0
12,0,27.62,6,2012-04-05,0,27.72,27.21,0,27.30,28.65,27.81,15,27.26,0.0,bear confirmed,50368600,46002134.0,1.0949187705074725,-0.62,0
13,0,27.25,6,2012-04-09,0,27.52,27.14,0,27.36,28.65,27.81,15,27.26,0.0,bear confirmed,31056400,45641206.0,0.6804465245725541,-0.02,0
14,3,26.70,6,2012-04-10,0,27.33,26.55,2,27.22,28.65,27.81,13,26.72,0.0,bear confirmed,54131300,45840078.0,1.1808727725114254,0.85,1
15,0,26.59,6,2012-04-11,0,26.75,26.49,0,26.66,28.65,27.81,13,26.72,0.0,bear confirmed,43014000,45678062.0,0.9416774293095009,0.70,1
16,0,27.14,6,2012-04-12,0,27.20,26.66,0,26.71,28.65,27.81,13,26.72,0.0,bear confirmed,38304000,45432694.0,0.843093301929223,0.03,1
17,0,27.00,6,2012-04-13,0,27.30,26.92,0,27.07,28.65,27.81,14,26.99,0.0,bear confirmed,39749200,44879480.0,0.8856876238316487,1.41,1
18,0,27.23,6,2012-04-16,0,27.33,26.96,0,27.16,28.65,27.81,14,26.99,0.0,bear confirmed,38124800,44597510.0,0.8548638702026189,0.92,1
19,4,27.55,7,2012-04-17,1,27.70,27.34,3,27.40,28.65,26.72,16,27.53,0.0,bear correction,34361500,44447970.0,0.7730724260298052,0.42,1
20,0,27.29,7,2012-04-18,1,27.44,27.20,0,27.41,28.65,26.72,15,27.26,0.0,bear correction,40552900,44698234.0,0.9072595575028758,0.93,1
21,0,27.17,7,2012-04-19,1,27.76,27.11,0,27.28,28.65,26.72,16,27.53,0.0,bear correction,54781200,45009010.0,1.217116306268456,0.97,1
22,1,28.41,7,2012-04-20,1,28.82,28.08,4,28.17,28.65,26.72,20,28.65,0.0,bear correction,106045000,46136728.0,2.2984941628283653,-0.39,0
23,0,28.15,7,2012-04-23,1,28.48,28.07,0,28.31,28.65,26.72,19,28.36,0.0,bear correction,61398200,46355060.0,1.3245199121735578,-0.10,0
24,0,27.97,7,2012-04-24,1,28.50,27.89,0,28.22,28.65,26.72,19,28.36,0.0,bear correction,40871100,46280376.0,0.8831194457019969,0.08,1
25,0,28.22,7,2012-04-25,1,28.32,27.93,0,27.97,28.65,26.72,18,28.08,0.0,bear correction,62495500,46863890.0,1.3335534032706204,-0.36,0
26,0,28.14,7,2012-04-26,1,28.24,27.97,0,28.15,28.65,26.72,18,28.08,0.0,bear correction,40308100,46477172.0,0.8672666228487396,-0.31,0
27,0,28.02,7,2012-04-27,1,28.23,27.94,0,28.15,28.65,26.72,18,28.08,0.0,bear correction,41419100,46439328.0,0.8918970575973881,-0.87,0
28,0,28.05,7,2012-04-30,1,28.14,27.97,0,28.02,28.65,26.72,18,28.08,0.0,bear correction,35697200,45259170.0,0.78872856042212,-1.19,0
29,0,28.05,7,2012-05-01,1,28.33,28.00,0,28.08,28.65,26.72,18,28.08,0.0,bear correction,43832300,44735086.0,0.9798192854709165,-1.32,0
30,2,27.86,8,2012-05-02,0,27.98,27.72,3,27.91,28.65,26.72,17,27.81,0.0,bear confirmed,37385300,44466194.0,0.8407578125530599,-0.91,0
31,0,27.83,8,2012-05-03,0,27.95,27.70,0,27.94,28.65,26.72,17,27.81,0.0,bear confirmed,31501300,44111156.0,0.7141345377572966,-0.89,0
32,3,27.15,8,2012-05-04,0,27.66,27.09,2,27.56,28.65,26.72,15,27.26,0.0,bear confirmed,57927200,44569006.0,1.2997193610286035,0.15,1
33,3,26.86,8,2012-05-07,0,27.04,26.79,1,26.90,28.65,26.72,14,26.99,0.0,bear confirmed,48641400,44830326.0,1.0850110704080091,0.02,1
34,3,26.73,8,2012-05-08,0,26.97,26.44,2,26.71,28.65,26.72,12,26.46,0.0,bear confirmed,46328300,45065524.0,1.0280208879852368,-0.08,0
35,0,26.95,8,2012-05-09,0,27.02,26.38,0,26.46,28.65,26.72,12,26.46,0.0,bear confirmed,50309300,45167098.0,1.113848403543659,-0.58,0
36,0,26.94,8,2012-05-10,0,27.18,26.68,0,27.04,28.65,26.72,13,26.72,0.0,bear confirmed,43839200,44857410.0,0.9773011861362482,-0.73,0
37,4,27.30,9,2012-05-11,1,27.64,26.89,4,26.89,28.65,26.46,16,27.53,0.0,bear correction,43459300,44179714.0,0.9836935567305846,-1.48,0
38,0,26.88,9,2012-05-14,1,27.20,26.85,0,27.01,28.65,26.46,14,26.99,0.0,bear correction,40528900,44044008.0,0.9201910053235846,-0.64,0
39,2,26.65,10,2012-05-15,0,27.16,26.59,3,27.02,27.53,26.46,13,26.72,0.0,bear confirmed,61822800,44375664.0,1.3931690126371967,-0.40,0
40,3,26.37,10,2012-05-16,0,26.74,26.23,1,26.73,27.53,26.46,12,26.46,0.0,bear confirmed,60083700,44538680.0,1.3490229167097003,-0.69,0
41,0,26.21,10,2012-05-17,0,26.64,26.20,0,26.45,27.53,26.46,12,26.46,0.0,bear confirmed,48484000,44821552.0,1.0817117622343821,-0.57,0
42,3,25.82,10,2012-05-18,0,26.29,25.73,2,26.28,27.53,26.46,10,25.93,0.0,bear confirmed,56205300,45210710.0,1.2431855195372954,-0.19,0
43,3,26.24,10,2012-05-21,0,26.28,25.63,1,25.67,27.53,26.46,9,25.68,0.0,bear confirmed,38787900,45293900.0,0.8563603487445329,-0.17,0
44,0,26.25,10,2012-05-22,0,26.36,26.02,0,26.19,27.53,26.46,11,26.19,0.0,bear confirmed,39504900,45402526.0,0.8701035708894258,-0.37,0
45,3,25.68,10,2012-05-23,0,25.93,25.26,1,25.89,27.53,26.46,8,25.42,0.0,bear confirmed,65171000,45726912.0,1.425221978689486,0.07,1
46,0,25.64,10,2012-05-24,0,25.84,25.37,0,25.72,27.53,26.46,8,25.42,0.0,bear confirmed,52575000,45938674.0,1.1444605475552037,-0.55,0
47,0,25.63,10,2012-05-25,0,25.90,25.59,0,25.76,27.53,26.46,9,25.68,0.0,bear confirmed,29507200,45547452.0,0.6478342630450546,-0.45,0
48,4,26.07,11,2012-05-29,1,26.21,25.77,3,25.91,27.53,25.42,11,26.19,0.0,bear correction,37758800,44990100.0,0.8392690836428459,-0.93,0
49,0,25.88,11,2012-05-30,1,26.00,25.68,0,25.89,27.53,25.42,10,25.93,0.0,bear correction,41585500,44926026.0,0.9256438573044498,0.01,1
50,0,25.75,11,2012-05-31,1,25.95,25.53,0,25.84,27.53,25.42,10,25.93,0.0,bear correction,39134000,44877370.0,0.872020798010222,0.03,1
51,2,25.09,12,2012-06-01,0,25.54,25.08,4,25.37,26.19,25.42,7,25.17,0.0,bear confirmed,56634300,45251484.0,1.251545695164384,1.06,1
52,0,25.18,12,2012-06-04,0,25.38,24.98,0,25.24,26.19,25.42,7,25.17,0.0,bear confirmed,47926300,45575020.0,1.051591420036678,0.31,1
53,0,25.14,12,2012-06-05,0,25.36,25.04,0,25.15,26.19,25.42,7,25.17,0.0,bear confirmed,45715400,45771084.0,0.9987834240499963,0.69,1
54,0,25.89,12,2012-06-06,0,25.90,25.41,0,25.47,26.19,25.42,8,25.42,0.0,bear confirmed,46860500,45973128.0,1.0193019713603129,-0.20,0
55,4,25.78,13,2012-06-07,1,26.20,25.73,4,26.14,26.19,25.17,11,26.19,0.0,bear correction,37792800,46003486.0,0.8215203517403007,0.10,1
56,0,26.15,13,2012-06-08,1,26.18,25.62,0,25.76,26.19,25.17,10,25.93,0.0,bear correction,42551100,46027612.0,0.9244689904833646,0.33,1
57,2,25.49,14,2012-06-11,0,26.29,25.42,3,26.22,26.19,25.17,8,25.42,0.0,bear confirmed,46361900,46214080.0,1.003198592290488,0.83,1
58,0,25.83,14,2012-06-12,0,25.84,25.44,0,25.67,26.19,25.17,9,25.68,0.0,bear confirmed,35337900,46285850.0,0.7634709095760367,1.25,1
59,0,25.69,14,2012-06-13,0,25.97,25.62,0,25.77,26.19,25.17,9,25.68,0.0,bear confirmed,32984600,46228470.0,0.7135126903399571,1.59,1
60,0,25.88,14,2012-06-14,0,25.98,25.47,0,25.87,26.19,25.17,9,25.68,0.0,bear confirmed,39458900,46162606.0,0.8547805988249451,0.70,1
61,4,26.48,15,2012-06-15,1,26.53,26.01,4,26.10,26.19,25.42,12,26.46,1.0,bull confirmed,62314400,46419776.0,1.3424106139590162,0.60,1
62,0,26.32,15,2012-06-18,1,26.49,26.20,0,26.45,26.19,25.42,12,26.46,1.0,bull confirmed,58679900,46586002.0,1.259603689537471,0.02,1
63,1,27.08,15,2012-06-19,1,27.44,26.50,3,26.63,26.19,25.42,15,27.26,1.0,bull confirmed,75725800,47479390.0,1.5949193955524703,-0.60,0
64,0,27.28,15,2012-06-20,1,27.39,27.02,0,27.28,26.19,25.42,15,27.26,1.0,bull confirmed,36257100,47121906.0,0.7694319495480509,-0.67,0
65,0,26.58,15,2012-06-21,1,27.47,26.51,0,27.31,26.19,25.42,15,27.26,1.0,bull confirmed,48456600,47230758.0,1.0259543156178015,-0.20,0
66,0,27.08,15,2012-06-22,1,27.10,26.49,0,26.72,26.19,25.42,14,26.99,1.0,bull confirmed,45098100,47366640.0,0.9521067992156506,-0.10,0
67,2,26.34,16,2012-06-25,0,26.74,26.12,4,26.72,27.26,25.42,11,26.19,1.0,bull correction,42217200,47416000.0,0.890357685169563,0.61,1
68,0,26.48,16,2012-06-26,0,26.70,26.41,0,26.46,27.26,25.42,12,26.46,1.0,bull correction,38421300,47421930.0,0.8102011031604998,0.65,1
69,0,26.61,16,2012-06-27,0,26.90,26.49,0,26.63,27.26,25.42,13,26.72,1.0,bull correction,33781700,47410334.0,0.7125387473541106,0.47,1
70,0,26.38,16,2012-06-28,0,26.50,25.95,0,26.44,27.26,25.42,11,26.19,1.0,bull correction,45328400,47505844.0,0.9541647128719574,0.24,1
71,4,26.98,17,2012-06-29,1,27.07,26.58,3,26.86,27.26,26.19,14,26.99,1.0,bull confirmed,55227200,47514764.0,1.1623166222608199,-0.52,0
72,0,26.95,17,2012-07-02,1,27.01,26.65,0,27.01,27.26,26.19,14,26.99,1.0,bull confirmed,30589100,46005646.0,0.6648988256789178,-0.72,0
73,0,27.13,17,2012-07-03,1,27.13,26.61,0,26.66,27.26,26.19,14,26.99,1.0,bull confirmed,20938100,45196444.0,0.4632687474262356,-1.29,0
74,0,27.08,17,2012-07-05,1,27.15,26.79,0,26.98,27.26,26.19,14,26.99,1.0,bull confirmed,28801900,44955060.0,0.6406820500295184,-1.83,0
75,0,26.62,17,2012-07-06,1,27.08,26.42,0,27.00,27.26,26.19,14,26.99,1.0,bull confirmed,38294800,44471046.0,0.8611175909826811,-0.70,0
76,0,26.46,17,2012-07-09,1,26.66,26.27,0,26.57,27.26,26.19,12,26.46,1.0,bull confirmed,30680800,44278500.0,0.6929051345461116,-0.49,0
77,2,26.23,18,2012-07-10,0,26.66,26.03,3,26.53,26.99,26.19,11,26.19,1.0,bull correction,37534100,44200800.0,0.8491724131689924,-0.07,0
78,3,25.84,18,2012-07-11,0,26.23,25.67,2,26.20,26.99,26.19,9,25.68,0.0,bear confirmed,39184900,44270554.0,0.8851233259922612,1.02,1
79,3,25.25,18,2012-07-12,0,25.74,25.17,2,25.71,26.99,26.19,7,25.17,0.0,bear confirmed,63523600,44664380.0,1.4222429596022603,1.80,1
80,4,25.92,19,2012-07-13,1,26.00,25.33,3,25.37,26.99,25.17,10,25.93,0.0,bear correction,39085000,44698374.0,0.8744165951092538,0.64,1
