,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,1,26.09,5,2012-04-20,1,26.25,25.85,1,25.85,25.93,25.17,27,26.19,1.0,bull confirmed,9299600,8980512.0,1.0355311590252316,-0.03,0
1,0,25.85,5,2012-04-23,1,25.91,25.60,0,25.87,25.93,25.17,25,25.68,1.0,bull confirmed,6355200,8990664.0,0.7068665896089543,0.50,1
2,2,25.15,6,2012-04-24,0,25.86,25.05,4,25.67,26.19,25.17,23,25.17,1.0,bull correction,13254400,9131552.0,1.4514947732871697,1.07,1
3,0,25.68,6,2012-04-25,0,25.69,25.19,0,25.24,26.19,25.17,24,25.42,1.0,bull correction,8388400,9181816.0,0.9135883359021788,1.24,1
4,4,25.99,7,2012-04-26,1,26.09,25.61,3,25.68,26.19,25.17,26,25.93,1.0,bull confirmed,6228400,9115864.0,0.683248455659277,0.96,1
5,1,26.06,7,2012-04-27,1,26.28,25.87,1,25.93,26.19,25.17,27,26.19,1.0,bull confirmed,9349200,9104144.0,1.0269169731937455,0.28,1
6,0,26.35,7,2012-04-30,1,26.38,26.15,0,26.15,26.19,25.17,27,26.19,1.0,bull confirmed,9552400,9162032.0,1.0426071421710816,-0.10,0
7,0,26.22,7,2012-05-01,1,26.38,26.03,0,26.36,26.19,25.17,27,26.19,1.0,bull confirmed,10164000,9226168.0,1.1016491353723452,-0.61,0
8,1,26.92,7,2012-05-02,1,26.98,26.16,2,26.16,26.19,25.17,29,26.72,1.0,bull confirmed,10581200,9291616.0,1.1387900662274464,-1.44,0
9,1,26.95,7,2012-05-03,1,27.04,26.74,1,26.90,26.19,25.17,30,26.99,1.0,bull confirmed,10340800,9373688.0,1.1031730520580587,-1.61,0
10,0,26.34,7,2012-05-04,1,26.87,26.27,0,26.83,26.19,25.17,29,26.72,1.0,bull confirmed,7205600,9400592.0,0.7665049179881437,-0.84,0
11,0,26.25,7,2012-05-07,1,26.45,26.20,0,26.24,26.19,25.17,27,26.19,1.0,bull confirmed,6864000,9444368.0,0.7267823532501063,-0.93,0
12,2,25.61,8,2012-05-08,0,25.95,25.10,7,25.86,26.99,25.17,23,25.17,1.0,bull correction,14058800,9604000.0,1.4638483965014577,-0.35,0
13,0,25.48,8,2012-05-09,0,25.65,25.22,0,25.31,26.99,25.17,24,25.42,1.0,bull correction,9026000,9683568.0,0.9320944511361928,-0.28,0
14,0,25.34,8,2012-05-10,0,25.80,25.26,0,25.68,26.99,25.17,24,25.42,1.0,bull correction,9458800,9730976.0,0.9720299382096924,-0.76,0
15,0,25.50,8,2012-05-11,0,25.75,25.12,0,25.25,26.99,25.17,23,25.17,1.0,bull correction,6328400,9716136.0,0.6513288821811469,-0.66,0
16,0,25.32,8,2012-05-14,0,25.55,25.19,0,25.36,26.99,25.17,24,25.42,1.0,bull correction,5636400,9688640.0,0.5817534762360868,-0.06,0
