,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,0,57.76,3,2012-03-20,1,57.97,57.50,0,57.55,56.92,54.16,12,57.49,1.0,bull confirmed,6139000,11986304.0,0.5121678876157321,-0.05,0,-0.0865650969529086,1
1,0,57.76,3,2012-03-21,1,57.89,57.46,0,57.76,56.92,54.16,12,57.49,1.0,bull confirmed,6120400,11951990.0,0.5120820884220953,-0.01,0,-0.01731301939058172,1
2,0,58.03,3,2012-03-22,1,58.24,57.54,0,57.58,56.92,54.16,13,58.07,1.0,bull confirmed,7321000,11892032.0,0.6156222923046288,-0.44,0,-0.7582285024987075,1
3,0,57.95,3,2012-03-23,1,58.05,57.82,0,58.02,56.92,54.16,12,57.49,1.0,bull confirmed,6006400,11718624.0,0.5125516442886128,-0.19,0,-0.32786885245901637,1
4,0,57.98,3,2012-03-26,1,58.30,57.80,0,58.05,56.92,54.16,13,58.07,1.0,bull confirmed,7818800,11279838.0,0.6931659834121732,0.08,1,0.1379786133149362,1
5,0,57.71,3,2012-03-27,1,58.21,57.55,0,58.02,56.92,54.16,13,58.07,1.0,bull confirmed,7936900,10767794.0,0.7370961963053899,-0.05,0,-0.08664009703690868,1
6,0,57.75,3,2012-03-28,1,57.85,57.54,0,57.69,56.92,54.16,12,57.49,1.0,bull confirmed,7534600,10203910.0,0.7384032199421594,0.06,1,0.1038961038961039,1
7,0,57.59,3,2012-03-29,1,57.71,57.38,0,57.57,56.92,54.16,12,57.49,1.0,bull confirmed,6917400,10134522.0,0.6825580920343357,0.26,1,0.45146726862302483,1
8,0,57.76,3,2012-03-30,1,58.00,57.59,0,57.71,56.92,54.16,12,57.49,1.0,bull confirmed,8670300,10120996.0,0.8566646997983203,-0.34,0,-0.5886426592797784,1
9,0,58.06,3,2012-04-02,1,58.37,57.93,0,57.95,56.92,54.16,13,58.07,1.0,bull confirmed,8595200,10049098.0,0.8553205471774681,-1.04,0,-1.7912504305890458,1
10,0,57.66,3,2012-04-03,1,58.10,57.53,0,57.95,56.92,54.16,13,58.07,1.0,bull confirmed,6954100,9891618.0,0.7030295751412964,-0.56,0,-0.9712105445716268,1
11,0,57.81,3,2012-04-04,1,58.06,57.33,0,57.33,56.92,54.16,12,57.49,1.0,bull confirmed,8372200,9864214.0,0.8487447656751972,-1.01,0,-1.7471025774087527,1
12,0,57.85,3,2012-04-05,1,58.00,57.44,0,57.52,56.92,54.16,12,57.49,1.0,bull confirmed,7696300,9799878.0,0.7853465114565712,-1.29,0,-2.22990492653414,0
13,0,57.42,3,2012-04-09,1,57.70,57.33,0,57.34,56.92,54.16,12,57.49,1.0,bull confirmed,6890400,9699044.0,0.7104205321679127,-0.02,0,-0.034831069313827935,1
14,0,57.02,3,2012-04-10,1,57.50,56.98,0,57.36,56.92,54.16,12,57.49,1.0,bull confirmed,9436700,9668180.0,0.9760575413366321,0.58,1,1.0171869519466854,1
15,0,57.10,3,2012-04-11,1,57.52,57.00,0,57.36,56.92,54.16,12,57.49,1.0,bull confirmed,7593800,9570216.0,0.7934826131406021,0.27,1,0.47285464098073554,1
16,0,56.80,3,2012-04-12,1,57.04,56.68,0,56.87,56.92,54.16,11,56.92,1.0,bull confirmed,27847200,9899988.0,2.8128518943659326,0.41,1,0.721830985915493,1
17,0,56.56,3,2012-04-13,1,57.15,56.55,0,56.76,56.92,54.16,11,56.92,1.0,bull confirmed,29792000,10237818.0,2.9099950790295352,1.46,1,2.5813295615275815,2
18,0,57.40,3,2012-04-16,1,57.67,56.62,0,56.73,56.92,54.16,12,57.49,1.0,bull confirmed,32810100,10641758.0,3.083146600401926,-0.12,0,-0.20905923344947736,1
19,0,57.60,3,2012-04-17,1,57.76,57.44,0,57.51,56.92,54.16,12,57.49,1.0,bull confirmed,8894700,10470842.0,0.8494732324296365,-0.02,0,-0.034722222222222224,1
20,0,57.37,3,2012-04-18,1,57.76,57.35,0,57.52,56.92,54.16,12,57.49,1.0,bull confirmed,6081800,10395454.0,0.5850441933560574,0.61,1,1.0632734878856545,1
21,0,57.21,3,2012-04-19,1,57.51,56.92,0,57.48,56.92,54.16,12,57.49,1.0,bull confirmed,7721200,10371846.0,0.7444383574534369,0.75,1,1.3109596224436288,1
22,0,58.02,3,2012-04-20,1,58.11,57.23,0,57.33,56.92,54.16,13,58.07,1.0,bull confirmed,11092600,10430202.0,1.0635076866200674,-2.17,0,-3.740089624267494,0
23,0,57.28,3,2012-04-23,1,57.58,57.05,0,57.51,56.92,54.16,12,57.49,1.0,bull confirmed,8420500,10415572.0,0.8084529587045244,-2.12,0,-3.701117318435754,0
24,0,57.58,3,2012-04-24,1,57.58,57.20,0,57.44,56.92,54.16,12,57.49,1.0,bull confirmed,6962300,10388908.0,0.6701666816185108,-2.48,0,-4.307051059395623,0
25,0,57.98,3,2012-04-25,1,58.06,57.64,0,57.78,56.92,54.16,12,57.49,1.0,bull confirmed,6994200,10390804.0,0.6731144192499444,-2.53,0,-4.363573646084856,0
26,0,57.96,3,2012-04-26,1,58.19,57.75,0,57.76,56.92,54.16,13,58.07,1.0,bull confirmed,8415000,10419150.0,0.8076474568462878,-2.05,0,-3.536922015182885,0
27,2,55.85,4,2012-04-27,0,56.56,55.43,4,56.42,58.07,54.16,9,55.80,1.0,bull correction,30719500,10800506.0,2.844264889070938,-0.14,0,-0.25067144136078784,1
28,3,55.16,4,2012-04-30,0,55.61,54.86,1,55.11,58.07,54.16,8,55.25,1.0,bull correction,19195000,10967940.0,1.7501007481806063,0.53,1,0.9608411892675852,1
29,0,55.10,4,2012-05-01,0,55.24,54.86,0,54.90,58.07,54.16,8,55.25,1.0,bull correction,11899600,11000300.0,1.0817523158459315,0.51,1,0.925589836660617,1
30,0,55.45,4,2012-05-02,0,55.57,54.95,0,55.18,58.07,54.16,8,55.25,1.0,bull correction,9689200,10993330.0,0.8813707948365054,-0.27,0,-0.48692515779981965,1
31,0,55.91,4,2012-05-03,0,56.13,55.61,0,55.72,58.07,54.16,9,55.80,1.0,bull correction,12079900,11094338.0,1.088834683060855,-0.32,0,-0.5723484170989089,1
32,0,55.71,4,2012-05-04,0,56.12,55.68,0,55.93,58.07,54.16,9,55.80,1.0,bull correction,12006500,10931202.0,1.098369602903688,-0.52,0,-0.9334051337282355,1
33,0,55.69,4,2012-05-07,0,55.90,54.92,0,55.00,58.07,54.16,8,55.25,1.0,bull correction,11124300,10798146.0,1.0302046295725211,-0.58,0,-1.0414796193212426,1
34,0,55.61,4,2012-05-08,0,55.85,55.57,0,55.58,58.07,54.16,9,55.80,1.0,bull correction,11481800,10669718.0,1.0761109150213717,-0.38,0,-0.6833303362704549,1
35,0,55.18,4,2012-05-09,0,55.72,55.10,0,55.41,58.07,54.16,8,55.25,1.0,bull correction,13842600,10677208.0,1.296462520913707,0.54,1,0.9786154403769481,1
36,0,55.59,4,2012-05-10,0,55.76,55.32,0,55.47,58.07,54.16,9,55.80,1.0,bull correction,8109500,10544548.0,0.7690704238816116,-0.15,0,-0.26983270372369134,1
37,0,55.19,4,2012-05-11,0,55.60,55.14,0,55.52,58.07,54.16,8,55.25,1.0,bull correction,11318000,10531568.0,1.0746737807703468,-0.14,0,-0.25366914296068127,1
38,0,55.11,4,2012-05-14,0,55.26,54.86,0,55.04,58.07,54.16,8,55.25,1.0,bull correction,9902700,10589178.0,0.9351717385428784,-0.17,0,-0.30847396116857195,1
39,0,55.23,4,2012-05-15,0,55.66,55.04,0,55.23,58.07,54.16,8,55.25,1.0,bull correction,12824700,10707004.0,1.1977860473387327,-0.50,0,-0.9053050878145935,1
40,0,55.72,4,2012-05-16,0,56.17,55.47,0,55.76,58.07,54.16,9,55.80,1.0,bull correction,12375000,10757964.0,1.150310597804566,-1.64,0,-2.9432878679109833,0
41,0,55.44,4,2012-05-17,0,55.82,55.39,0,55.58,58.07,54.16,9,55.80,1.0,bull correction,10261800,10813784.0,0.94895551825337,-1.21,0,-2.1825396825396823,0
