,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,0,50.71,5,2012-03-20,1,51.86,50.66,0,51.77,49.03,47.12,12,51.53,1.0,bull confirmed,5378100,6794284.0,0.7915624368954844,0.60,1,1.1831985801617038,1
1,2,49.96,6,2012-03-21,0,50.90,49.95,4,50.90,52.05,47.12,9,50.01,1.0,bull correction,6252500,6817748.0,0.9170916848202662,1.36,1,2.722177742193755,2
2,3,49.87,6,2012-03-22,0,50.18,49.43,1,49.63,52.05,47.12,8,49.52,1.0,bull correction,7550900,6827502.0,1.1059535390835478,3.92,1,7.860437136555043,2
3,0,49.67,6,2012-03-23,0,49.98,49.54,0,49.86,52.05,47.12,9,50.01,1.0,bull correction,6471200,6871294.0,0.9417731216274547,4.89,1,9.844976847191464,2
4,0,51.00,6,2012-03-26,0,51.00,49.86,0,49.88,52.05,47.12,9,50.01,1.0,bull correction,5098400,6882256.0,0.7408035969600666,3.72,1,7.294117647058823,2
5,4,51.31,7,2012-03-27,1,51.44,50.15,3,51.14,52.05,49.52,11,51.02,1.0,bull confirmed,7455900,6931460.0,1.0756608275889927,3.67,1,7.152601832001559,2
6,1,51.32,7,2012-03-28,1,51.80,50.80,1,51.27,52.05,49.52,12,51.53,1.0,bull confirmed,5435300,6910252.0,0.7865559750932383,3.35,1,6.527669524551832,2
7,1,53.79,7,2012-03-29,1,53.98,50.89,4,50.91,52.05,49.52,16,53.62,1.0,bull confirmed,17258500,7087626.0,2.435018439178365,0.83,1,1.5430377393567578,1
8,1,54.56,7,2012-03-30,1,55.01,53.45,2,53.66,52.05,49.52,18,54.70,1.0,bull confirmed,10802600,6930546.0,1.5586939326281075,-0.74,0,-1.3563049853372433,1
9,0,54.72,7,2012-04-02,1,54.86,53.79,0,54.56,52.05,49.52,18,54.70,1.0,bull confirmed,9105900,6935188.0,1.3129997341095871,-1.44,0,-2.6315789473684212,0
10,0,54.98,7,2012-04-03,1,55.17,54.35,0,54.63,52.05,49.52,18,54.70,1.0,bull confirmed,7948100,6943432.0,1.1446932871237163,-1.27,0,-2.309930883957803,0
11,0,54.67,7,2012-04-04,1,54.87,54.31,0,54.76,52.05,49.52,18,54.70,1.0,bull confirmed,4791300,6831302.0,0.7013743500140969,-0.56,0,-1.0243277848911652,1
12,0,54.62,7,2012-04-05,1,54.79,54.24,0,54.45,52.05,49.52,18,54.70,1.0,bull confirmed,4826800,6665408.0,0.7241567207888849,-0.89,0,-1.6294397656536068,1
13,0,53.82,7,2012-04-09,1,54.49,53.70,0,54.17,52.05,49.52,17,54.16,1.0,bull confirmed,4755600,6488996.0,0.732871464245008,-0.72,0,-1.3377926421404682,1
14,2,53.28,8,2012-04-10,0,53.99,52.96,3,53.65,54.70,49.52,15,53.09,1.0,bull correction,5841700,6465284.0,0.9035488618906764,0.50,1,0.9384384384384384,1
15,0,53.71,8,2012-04-11,0,54.19,53.55,0,53.76,54.70,49.52,16,53.62,1.0,bull correction,6496000,6498156.0,0.9996682135670488,-0.65,0,-1.2102029417240738,1
16,0,54.11,8,2012-04-12,0,54.26,53.43,0,53.72,54.70,49.52,16,53.62,1.0,bull correction,4303200,6407360.0,0.6716026569445138,0.23,1,0.42506006283496583,1
17,0,53.73,8,2012-04-13,0,54.20,53.45,0,54.05,54.70,49.52,16,53.62,1.0,bull correction,5655400,6370856.0,0.8876986075340583,1.35,1,2.512562814070352,2
18,0,53.10,8,2012-04-16,0,54.01,53.10,0,54.01,54.70,49.52,16,53.62,1.0,bull correction,6628000,6397032.0,1.0361054939228067,1.69,1,3.182674199623352,2
19,0,53.78,8,2012-04-17,0,54.06,53.04,0,53.33,54.70,49.52,15,53.09,1.0,bull correction,5896300,6321420.0,0.9327492873436665,0.57,1,1.0598735589438453,1
20,0,53.06,8,2012-04-18,0,53.41,52.86,0,53.41,54.70,49.52,15,53.09,1.0,bull correction,6551300,6280904.0,1.0430504908210665,1.43,1,2.6950621937429324,2
21,4,54.34,9,2012-04-19,1,54.94,52.75,3,53.02,54.70,53.09,18,54.70,1.0,bull confirmed,10754500,6391128.0,1.6827233001748674,-0.31,0,-0.5704821494295178,1
22,1,55.08,9,2012-04-20,1,55.27,54.55,1,54.76,54.70,53.09,19,55.25,1.0,bull confirmed,8378800,6438264.0,1.301406714605055,-1.48,0,-2.6870007262164126,0
23,0,54.79,9,2012-04-23,1,54.92,54.52,0,54.65,54.70,53.09,18,54.70,1.0,bull confirmed,4471400,6335422.0,0.7057777682370645,-2.81,0,-5.128673115532031,0
24,0,54.35,9,2012-04-24,1,54.80,54.12,0,54.63,54.70,53.09,18,54.70,1.0,bull confirmed,5030600,6304540.0,0.7979329181827699,-1.47,0,-2.704691812327507,0
25,0,54.49,9,2012-04-25,1,55.08,54.31,0,54.42,54.70,53.09,18,54.70,1.0,bull confirmed,6091300,6312292.0,0.9649902127468121,-2.04,0,-3.7438062029730226,0
26,2,54.03,10,2012-04-26,0,54.31,52.27,5,52.71,55.25,53.09,14,52.57,0.0,bear confirmed,9384700,6380346.0,1.4708763443236463,-2.45,0,-4.5345178604479,0
27,4,53.60,11,2012-04-27,1,54.37,53.31,3,54.25,55.25,52.57,17,54.16,0.0,bear correction,7509600,6390352.0,1.1751465333990991,-2.95,0,-5.503731343283582,0
28,2,51.98,12,2012-04-30,0,53.21,51.36,5,52.72,54.16,52.57,12,51.53,0.0,bear confirmed,9874300,6449684.0,1.5309742306754874,-0.84,0,-1.6160061562139285,1
29,4,52.88,13,2012-05-01,1,53.12,51.98,3,52.09,54.16,51.53,15,53.09,0.0,bear correction,4887100,6419678.0,0.7612687116082769,-1.21,0,-2.2881996974281393,0
30,0,52.45,13,2012-05-02,1,53.15,52.36,0,52.55,54.16,51.53,15,53.09,0.0,bear correction,5175400,6373142.0,0.8120641278666002,-1.34,0,-2.5548141086749285,0
31,2,51.58,14,2012-05-03,0,52.32,51.27,3,52.32,53.09,51.53,12,51.53,0.0,bear confirmed,7296800,6383876.0,1.143004657358633,-0.40,0,-0.7754943776657619,1
32,3,50.65,14,2012-05-04,0,51.59,50.60,1,51.51,53.09,51.53,11,51.02,0.0,bear confirmed,5787500,6355710.0,0.9105985011902683,0.45,1,0.8884501480750246,1
33,3,51.14,14,2012-05-07,0,51.31,50.23,1,50.31,53.09,51.53,10,50.51,0.0,bear confirmed,4076600,6337152.0,0.6432858167201922,-0.08,0,-0.15643332029722332,1
34,0,51.67,14,2012-05-08,0,51.81,50.83,0,51.13,53.09,51.53,11,51.02,0.0,bear confirmed,4702900,6324092.0,0.743648258121482,-0.81,0,-1.5676407973679118,1
35,0,51.11,14,2012-05-09,0,51.80,50.77,0,51.25,53.09,51.53,11,51.02,0.0,bear confirmed,6635800,6366044.0,1.042374196596819,-0.29,0,-0.5674036392095481,1
36,0,51.18,14,2012-05-10,0,51.70,50.94,0,51.43,53.09,51.53,11,51.02,0.0,bear confirmed,4030800,6335008.0,0.6362738610590547,-0.38,0,-0.7424775302852676,1
37,0,51.10,14,2012-05-11,0,51.50,50.93,0,51.10,53.09,51.53,11,51.02,0.0,bear confirmed,3937800,6328600.0,0.6222229245014695,-1.12,0,-2.191780821917808,0
