,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,2,74.32,4,2012-03-20,0,75.06,74.15,4,74.86,77.49,73.00,16,74.46,1.0,bull correction,4558100,4756018.0,0.9583857756635908,-0.14,0,-0.1883745963401507,1
1,3,73.83,4,2012-03-21,0,74.55,73.56,1,74.53,77.49,73.00,15,73.73,1.0,bull correction,3380400,4737114.0,0.7135990394151376,-1.07,0,-1.4492753623188406,1
2,3,73.25,4,2012-03-22,0,73.56,72.78,1,73.37,77.49,73.00,14,73.00,1.0,bull correction,5156800,4745806.0,1.0866015172133037,0.23,1,0.31399317406143346,1
3,0,73.01,4,2012-03-23,0,73.45,72.76,0,73.23,77.49,73.00,14,73.00,1.0,bull correction,3819500,4730234.0,0.8074653389240363,1.02,1,1.3970688946719627,1
4,0,74.53,4,2012-03-26,0,74.55,73.64,0,73.69,77.49,73.00,15,73.73,1.0,bull correction,3560400,4727168.0,0.7531782242560451,-0.69,0,-0.9258016905943915,1
5,0,74.18,4,2012-03-27,0,74.53,73.95,0,74.47,77.49,73.00,16,74.46,1.0,bull correction,3633100,4730358.0,0.7680391209291136,-0.81,0,-1.0919385279050957,1
6,0,72.76,4,2012-03-28,0,74.32,72.40,0,74.32,77.49,73.00,14,73.00,1.0,bull correction,4873200,4724940.0,1.0313781762308092,0.36,1,0.4947773501924134,1
7,0,73.48,4,2012-03-29,0,73.53,72.30,0,72.41,77.49,73.00,14,73.00,1.0,bull correction,3752900,4724728.0,0.7943102756391479,-0.65,0,-0.884594447468699,1
8,0,74.03,4,2012-03-30,0,74.32,73.44,0,74.05,77.49,73.00,15,73.73,1.0,bull correction,3497300,4704774.0,0.7433513278214852,-2.42,0,-3.2689450222882614,0
9,0,73.84,4,2012-04-02,0,74.59,73.11,0,73.64,77.49,73.00,15,73.73,1.0,bull correction,3336700,4641158.0,0.7189369549582237,-3.79,0,-5.132719393282773,0
10,0,73.37,4,2012-04-03,0,74.18,72.98,0,73.75,77.49,73.00,14,73.00,1.0,bull correction,3265100,4619944.0,0.706740168279096,-2.29,0,-3.1211666893825813,0
11,0,73.12,4,2012-04-04,0,73.27,72.66,0,72.96,77.49,73.00,14,73.00,1.0,bull correction,2970400,4567222.0,0.6503734655333154,-0.67,0,-0.9163019693654267,1
12,0,72.83,4,2012-04-05,0,73.33,72.64,0,72.79,77.49,73.00,14,73.00,1.0,bull correction,2483100,4470996.0,0.5553796066916633,-1.60,0,-2.196896883152547,0
13,3,71.61,4,2012-04-09,0,72.14,71.37,2,72.14,77.49,73.00,12,71.56,0.0,bear confirmed,3201500,4436556.0,0.7216183003212402,-0.31,0,-0.4329004329004329,1
14,3,70.05,4,2012-04-10,0,71.47,69.93,2,71.24,77.49,73.00,10,70.15,0.0,bear confirmed,5025100,4455590.0,1.1278192113726802,2.46,1,3.5117773019271947,2
15,0,71.08,4,2012-04-11,0,71.43,70.63,0,70.90,77.49,73.00,11,70.85,0.0,bear confirmed,3710400,4434332.0,0.8367438432665845,1.40,1,1.9696117051209905,1
16,4,72.45,5,2012-04-12,1,72.71,71.04,3,71.05,77.49,70.15,13,72.27,0.0,bear correction,2742900,4369078.0,0.6277983592877032,-0.69,0,-0.9523809523809523,1
17,0,71.23,5,2012-04-13,1,72.24,71.17,0,71.90,77.49,70.15,12,71.56,0.0,bear correction,3252200,4298526.0,0.7565849316719266,1.07,1,1.5021760494173804,1
18,0,71.30,5,2012-04-16,1,72.26,71.06,0,71.52,77.49,70.15,12,71.56,0.0,bear correction,3183300,4261614.0,0.7469705139883621,-0.12,0,-0.16830294530154277,1
19,0,72.51,5,2012-04-17,1,72.83,71.50,0,71.74,77.49,70.15,13,72.27,0.0,bear correction,3021600,4214338.0,0.7169809350839919,-1.24,0,-1.7101089504895877,1
20,0,72.48,5,2012-04-18,1,72.70,72.16,0,72.26,77.49,70.15,13,72.27,0.0,bear correction,2604000,4189346.0,0.6215767329793243,-1.24,0,-1.7108167770419427,1
21,0,71.76,5,2012-04-19,1,72.82,71.40,0,72.38,77.49,70.15,13,72.27,0.0,bear correction,2660600,4186564.0,0.6355092147164119,0.76,1,1.0590858416945375,1
22,0,72.30,5,2012-04-20,1,72.78,71.95,0,71.95,77.49,70.15,13,72.27,0.0,bear correction,3620900,4120706.0,0.8787086484694613,0.89,1,1.2309820193637622,1
23,0,71.18,5,2012-04-23,1,71.63,70.86,0,71.49,77.49,70.15,12,71.56,0.0,bear correction,4870900,4039974.0,1.2056760761331633,1.69,1,2.3742624332677718,2
24,0,71.27,5,2012-04-24,1,72.07,70.74,0,71.61,77.49,70.15,12,71.56,0.0,bear correction,3732700,4024440.0,0.9275079265686654,1.41,1,1.9783920303072822,1
25,0,71.24,5,2012-04-25,1,72.37,70.82,0,71.98,77.49,70.15,13,72.27,0.0,bear correction,4127400,3995694.0,1.0329619835753188,1.55,1,2.175743964065132,2
26,0,72.52,5,2012-04-26,1,72.62,70.99,0,71.29,77.49,70.15,13,72.27,0.0,bear correction,3088200,3986354.0,0.7746928647079512,-0.30,0,-0.4136789851075565,1
27,1,73.19,5,2012-04-27,1,73.28,72.71,1,72.86,77.49,70.15,14,73.00,0.0,bear correction,2768900,3912304.0,0.7077415251984508,-2.25,0,-3.07419046317803,0
28,0,72.87,5,2012-04-30,1,73.60,72.59,0,73.17,77.49,70.15,14,73.00,0.0,bear correction,2480300,3878500.0,0.639499806626273,-2.44,0,-3.3484287086592563,0
29,0,72.68,5,2012-05-01,1,73.40,72.00,0,72.74,77.49,70.15,14,73.00,0.0,bear correction,2424300,3850638.0,0.6295839806286646,-2.33,0,-3.205833791964777,0
30,0,72.79,5,2012-05-02,1,72.90,72.16,0,72.46,77.49,70.15,13,72.27,0.0,bear correction,2222400,3823072.0,0.581312619798947,-4.05,0,-5.563951092182992,0
31,0,72.22,5,2012-05-03,1,72.89,71.89,0,72.70,77.49,70.15,13,72.27,0.0,bear correction,2308000,3805722.0,0.6064552271553203,-3.23,0,-4.472445306009416,0
32,2,70.94,6,2012-05-04,0,72.05,70.77,3,71.99,73.00,70.15,11,70.85,0.0,bear confirmed,2525000,3762152.0,0.6711584220945884,-2.05,0,-2.8897659994361433,0
33,0,70.43,6,2012-05-07,0,70.89,70.35,0,70.41,73.00,70.15,11,70.85,0.0,bear confirmed,2824700,3752866.0,0.7526780865610443,-2.64,0,-3.7484026693170525,0
34,3,70.35,6,2012-05-08,0,70.51,69.34,2,70.08,73.00,70.15,9,69.45,0.0,bear confirmed,3030000,3752384.0,0.8074866538179462,-2.36,0,-3.3546552949538024,0
