,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,0,28.11,7,2012-03-20,1,28.61,27.98,0,28.50,28.65,27.53,19,28.36,1.0,bull confirmed,10588000,15466304.0,0.6845850178555911,0.79,1,2.8103877623621485,2
1,0,28.16,7,2012-03-21,1,28.38,28.12,0,28.24,28.65,27.53,19,28.36,1.0,bull confirmed,8427200,15274800.0,0.5517060779846544,0.63,1,2.237215909090909,2
2,0,28.29,7,2012-03-22,1,28.34,27.98,0,28.02,28.65,27.53,18,28.08,1.0,bull confirmed,9368000,15087928.0,0.6208937370326794,0.41,1,1.4492753623188406,1
3,0,28.65,7,2012-03-23,1,28.70,28.20,0,28.34,28.65,27.53,20,28.65,1.0,bull confirmed,10151200,14910632.0,0.6808027989692187,-0.19,0,-0.6631762652705061,1
4,1,28.96,7,2012-03-26,1,29.11,28.28,1,28.79,28.65,27.53,21,28.93,1.0,bull confirmed,16363600,14903728.0,1.097953478485383,-0.26,0,-0.8977900552486188,1
5,0,28.90,7,2012-03-27,1,29.01,28.84,0,28.94,28.65,27.53,21,28.93,1.0,bull confirmed,10662000,14784504.0,0.721160479918704,0.13,1,0.44982698961937717,1
6,0,28.79,7,2012-03-28,1,29.02,28.59,0,28.87,28.65,27.53,21,28.93,1.0,bull confirmed,8992000,14623968.0,0.6148809953632284,-0.09,0,-0.3126085446335533,1
7,0,28.70,7,2012-03-29,1,28.75,28.35,0,28.59,28.65,27.53,20,28.65,1.0,bull confirmed,8691200,14562744.0,0.5968106010790274,0.49,1,1.7073170731707317,1
8,0,28.46,7,2012-03-30,1,28.75,28.37,0,28.73,28.65,27.53,20,28.65,1.0,bull confirmed,12002000,14511432.0,0.8270720629087467,0.36,1,1.264933239634575,1
9,0,28.70,7,2012-04-02,1,28.92,28.25,0,28.46,28.65,27.53,20,28.65,1.0,bull confirmed,11777600,14346328.0,0.8209487473031427,-0.54,0,-1.8815331010452963,1
10,0,29.03,7,2012-04-03,1,29.09,28.55,0,28.66,28.65,27.53,21,28.93,1.0,bull confirmed,15691600,14336832.0,1.0944956319499315,-0.72,0,-2.480192903892525,0
11,0,28.70,7,2012-04-04,1,28.87,28.51,0,28.82,28.65,27.53,20,28.65,1.0,bull confirmed,10308800,14300192.0,0.7208854258740023,0.49,1,1.7073170731707317,1
12,1,29.19,7,2012-04-05,1,29.22,28.48,1,28.54,28.65,27.53,22,29.22,1.0,bull confirmed,13395600,14266336.0,0.9389656881766979,0.52,1,1.7814319972593353,1
13,0,28.82,7,2012-04-09,1,29.03,28.63,0,28.86,28.65,27.53,21,28.93,1.0,bull confirmed,13295600,14253464.0,0.9327978097113796,0.32,1,1.1103400416377516,1
14,2,28.16,8,2012-04-10,0,28.89,28.12,3,28.82,29.22,27.53,19,28.36,1.0,bull correction,10679200,14239792.0,0.7499547746203035,1.29,1,4.580965909090909,2
15,0,28.31,8,2012-04-11,0,28.69,28.21,0,28.47,29.22,27.53,19,28.36,1.0,bull correction,14171200,14273696.0,0.9928192389693602,1.07,1,3.7795831861533027,2
16,4,29.19,9,2012-04-12,1,29.22,28.27,3,28.34,29.22,28.36,22,29.22,1.0,bull confirmed,17164000,14352168.0,1.1959168816864463,0.04,1,0.1370332305584104,1
17,1,29.71,9,2012-04-13,1,29.83,29.02,2,29.04,29.22,28.36,24,29.81,1.0,bull confirmed,21497200,14474576.0,1.48516958286032,-0.52,0,-1.7502524402558062,1
18,0,29.14,9,2012-04-16,1,29.68,28.96,0,29.68,29.22,28.36,23,29.52,1.0,bull confirmed,18308400,14165936.0,1.2924243057430163,-0.65,0,-2.230610844200412,0
19,0,29.45,9,2012-04-17,1,29.55,29.25,0,29.34,29.22,28.36,23,29.52,1.0,bull confirmed,10328800,14041848.0,0.7355726966991809,-0.76,0,-2.5806451612903225,0
20,0,29.38,9,2012-04-18,1,29.54,29.26,0,29.33,29.22,28.36,23,29.52,1.0,bull confirmed,8480000,13944456.0,0.6081269860939716,0.00,0,0.0,1
21,0,29.23,9,2012-04-19,1,29.49,29.07,0,29.25,29.22,28.36,22,29.22,1.0,bull confirmed,8522400,13853992.0,0.6151584323132279,0.49,1,1.6763599042080055,1
22,0,29.19,9,2012-04-20,1,29.46,29.08,0,29.38,29.22,28.36,22,29.22,1.0,bull confirmed,7841200,13555976.0,0.5784312394769657,0.60,1,2.055498458376156,2
23,2,28.49,10,2012-04-23,0,29.14,28.10,5,29.00,29.81,28.36,19,28.36,1.0,bull correction,17347200,13110896.0,1.3231132334510167,1.17,1,4.106704106704107,2
24,0,28.69,10,2012-04-24,0,28.76,28.34,0,28.55,29.81,28.36,19,28.36,1.0,bull correction,9430800,12861736.0,0.7332447190643627,1.00,1,3.4855350296270475,2
25,4,29.38,11,2012-04-25,1,29.52,28.84,4,28.88,29.81,28.36,23,29.52,1.0,bull confirmed,12150800,12663184.0,0.9595375065228461,0.09,1,0.3063308373042886,1
26,0,29.72,11,2012-04-26,1,29.79,29.31,0,29.40,29.81,28.36,23,29.52,1.0,bull confirmed,11107600,12526120.0,0.8867550366753632,-1.64,0,-5.518169582772543,0
27,1,29.79,11,2012-04-27,1,29.96,29.64,1,29.85,29.81,28.36,24,29.81,1.0,bull confirmed,9787200,12287840.0,0.7964947460253389,-1.38,0,-4.632426988922457,0
28,0,29.66,11,2012-04-30,1,29.95,29.50,0,29.94,29.81,28.36,24,29.81,1.0,bull confirmed,9375200,12155912.0,0.7712461228742031,-1.07,0,-3.607552258934592,0
29,1,29.69,11,2012-05-01,1,30.24,29.68,1,29.78,29.81,28.36,25,30.11,1.0,bull confirmed,17178000,12189216.0,1.4092784966645926,-1.19,0,-4.008083529808016,0
30,2,29.47,12,2012-05-02,0,29.72,29.11,3,29.33,30.11,28.36,22,29.22,1.0,bull correction,25366800,12480160.0,2.032570095255189,-1.15,0,-3.9022734984730234,0
31,3,28.08,12,2012-05-03,0,29.55,27.83,4,29.43,30.11,28.36,18,28.08,0.0,bear confirmed,47838000,13149296.0,3.638065490350206,0.42,1,1.4957264957264957,1
32,3,28.41,12,2012-05-04,0,28.68,27.81,1,28.03,30.11,28.36,17,27.81,0.0,bear confirmed,23403600,13399552.0,1.7465957070803562,0.03,1,0.10559662090813093,1
33,4,28.59,13,2012-05-07,1,28.73,28.21,3,28.21,30.11,27.81,20,28.65,0.0,bear correction,13476800,13447208.0,1.0022006055085932,-0.44,0,-1.5389996502273522,1
34,0,28.50,13,2012-05-08,1,28.72,28.02,0,28.53,30.11,27.81,20,28.65,0.0,bear correction,14596800,13422888.0,1.0874559930768997,-0.37,0,-1.2982456140350878,1
35,0,28.32,13,2012-05-09,1,28.70,28.12,0,28.30,30.11,27.81,20,28.65,0.0,bear correction,17672800,13537600.0,1.3054603474766575,0.08,1,0.2824858757062147,1
36,0,28.50,13,2012-05-10,1,28.82,28.38,0,28.54,30.11,27.81,20,28.65,0.0,bear correction,13468000,13502608.0,0.9974369395897444,-0.71,0,-2.491228070175439,0
37,0,28.44,13,2012-05-11,1,28.70,28.28,0,28.31,30.11,27.81,20,28.65,0.0,bear correction,8139600,13441920.0,0.6055384945007856,-1.22,0,-4.289732770745429,0
38,0,28.15,13,2012-05-14,1,28.55,27.94,0,28.18,30.11,27.81,19,28.36,0.0,bear correction,16246400,13522576.0,1.2014278936202687,-0.06,0,-0.21314387211367672,1
39,0,28.13,13,2012-05-15,1,28.44,28.09,0,28.09,30.11,27.81,19,28.36,0.0,bear correction,12589200,13571288.0,0.927634871502248,0.48,1,1.7063633131887666,1
40,0,28.40,13,2012-05-16,1,28.56,28.11,0,28.27,30.11,27.81,19,28.36,0.0,bear correction,17339600,13652040.0,1.2701105475811674,0.40,1,1.408450704225352,1
41,2,27.79,14,2012-05-17,0,28.58,27.79,3,28.28,28.65,27.81,17,27.81,0.0,bear confirmed,17814800,13794456.0,1.291446360769863,1.15,1,4.138179201151494,2
42,3,27.22,14,2012-05-18,0,27.85,27.19,2,27.76,28.65,27.81,15,27.26,0.0,bear confirmed,25934800,14122744.0,1.8363853370138268,1.63,1,5.988243938280676,2
43,4,28.09,15,2012-05-21,1,28.11,27.23,3,27.37,28.65,27.26,18,28.08,0.0,bear correction,13272000,14219032.0,0.9333968725859819,0.98,1,3.4887860448558206,2
44,1,28.61,15,2012-05-22,1,28.82,28.13,2,28.13,28.65,27.26,20,28.65,0.0,bear correction,18594400,14436736.0,1.2879919671593358,-0.22,0,-0.7689619014330653,1
45,0,28.80,15,2012-05-23,1,28.87,28.37,0,28.42,28.65,27.26,20,28.65,0.0,bear correction,16558000,14512184.0,1.1409723029972607,-0.96,0,-3.3333333333333335,0
46,1,28.94,15,2012-05-24,1,29.24,28.70,2,28.93,28.65,27.26,22,29.22,1.0,bull confirmed,12749600,14467256.0,0.8812728550597294,-1.81,0,-6.254319281271596,0
47,0,28.85,15,2012-05-25,1,29.10,28.75,0,28.85,28.65,27.26,21,28.93,1.0,bull confirmed,11780000,14436992.0,0.8159594463999149,-1.26,0,-4.3674176776429805,0
48,0,29.07,15,2012-05-29,1,29.23,28.76,0,29.04,28.65,27.26,22,29.22,1.0,bull confirmed,18006400,14476992.0,1.2437942909687316,-1.57,0,-5.400756793945648,0
49,0,28.39,15,2012-05-30,1,28.94,28.39,0,28.69,28.65,27.26,21,28.93,1.0,bull confirmed,18346400,14525552.0,1.2630432220407184,-0.27,0,-0.9510390982740402,1
50,2,27.84,16,2012-05-31,0,28.60,27.72,5,28.46,29.22,27.26,17,27.81,1.0,bull correction,21004000,14733872.0,1.4255587397528633,0.39,1,1.4008620689655173,1
