,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction
0,0,30.55,13,2012-03-20,1,30.71,30.49,0,30.60,30.41,29.52,17,30.71,1.0,bull confirmed,5135500,9050488.0,0.5674279663151865,0.89,1
1,0,30.31,13,2012-03-21,1,30.68,30.19,0,30.51,30.41,29.52,16,30.41,1.0,bull confirmed,6108500,9019928.0,0.6772227006690076,1.09,1
2,2,30.16,14,2012-03-22,0,30.32,30.05,3,30.18,31.02,29.52,15,30.11,1.0,bull correction,5656000,8927950.0,0.6335160927200533,0.50,1
3,0,30.32,14,2012-03-23,0,30.51,30.00,0,30.20,31.02,29.52,15,30.11,1.0,bull correction,6630600,8929788.0,0.7425260263737504,-0.06,0
4,4,31.06,15,2012-03-26,1,31.06,30.39,3,30.52,31.02,30.11,18,31.02,1.0,bull confirmed,9993300,8970550.0,1.1140119613624582,-0.19,0
5,1,31.44,15,2012-03-27,1,32.07,31.19,3,31.88,31.02,30.11,21,31.96,1.0,bull confirmed,12943400,9091274.0,1.4237168520055605,-0.85,0
6,2,31.40,16,2012-03-28,0,31.75,30.79,3,31.00,31.96,30.11,18,31.02,1.0,bull correction,13627200,9236978.0,1.4752876969069322,-1.31,0
7,3,30.66,16,2012-03-29,0,31.12,30.40,2,31.05,31.96,30.11,16,30.41,1.0,bull correction,9331100,9314704.0,1.0017602277002038,-0.99,0
8,0,30.26,16,2012-03-30,0,30.91,30.13,0,30.90,31.96,30.11,16,30.41,1.0,bull correction,11758400,9404790.0,1.2502565182210341,-0.84,0
9,4,30.87,17,2012-04-02,1,31.38,30.27,3,30.32,31.96,30.41,19,31.33,1.0,bull confirmed,12633200,9474328.0,1.3334138315667348,-1.77,0
10,2,30.59,18,2012-04-03,0,30.82,30.39,3,30.75,31.33,30.41,16,30.41,1.0,bull correction,9350800,9539146.0,0.9802554652166976,-0.70,0
11,3,30.09,18,2012-04-04,0,30.39,30.08,1,30.22,31.33,30.41,15,30.11,0.0,bear confirmed,8872600,9540244.0,0.9300181420936404,-0.01,0
12,3,29.67,18,2012-04-05,0,30.12,29.64,1,30.04,31.33,30.41,14,29.81,0.0,bear confirmed,10495000,9540176.0,1.1000845267424835,0.18,1
13,3,29.42,18,2012-04-09,0,29.57,29.15,2,29.39,31.33,30.41,12,29.22,0.0,bear confirmed,6560500,9458510.0,0.6936081898734578,0.67,1
14,0,29.10,18,2012-04-10,0,29.56,28.98,0,29.28,31.33,30.41,12,29.22,0.0,bear confirmed,7277300,9495978.0,0.766356029889707,2.59,1
15,0,29.89,18,2012-04-11,0,29.94,29.41,0,29.43,31.33,30.41,13,29.52,0.0,bear confirmed,10572800,9558154.0,1.1061550169624803,2.20,1
16,4,30.08,19,2012-04-12,1,30.24,29.82,3,29.87,31.33,29.22,15,30.11,0.0,bear correction,7012800,9426426.0,0.743951100873226,2.11,1
17,0,29.85,19,2012-04-13,1,30.17,29.73,0,30.04,31.33,29.22,15,30.11,0.0,bear correction,6996600,9307868.0,0.7516866375844607,2.61,1
18,0,30.09,19,2012-04-16,1,30.25,29.84,0,29.95,31.33,29.22,15,30.11,0.0,bear correction,5515600,9215912.0,0.5984866174937434,1.90,1
19,1,31.69,19,2012-04-17,1,31.86,30.10,5,30.14,31.33,29.22,20,31.65,1.0,bull confirmed,19573100,9343762.0,2.094777242827889,0.15,1
20,1,32.09,19,2012-04-18,1,32.51,31.30,2,31.41,31.33,29.22,22,32.28,1.0,bull confirmed,16564300,9276914.0,1.7855398896658954,-0.19,0
21,0,32.19,19,2012-04-19,1,32.26,31.88,0,32.16,31.33,29.22,21,31.96,1.0,bull confirmed,9288700,9201386.0,1.0094892226018992,-0.21,0
22,0,32.46,19,2012-04-20,1,32.57,32.14,0,32.18,31.33,29.22,22,32.28,1.0,bull confirmed,9579000,9207248.0,1.0403760168076281,-0.23,0
23,0,31.99,19,2012-04-23,1,32.25,31.78,0,32.22,31.33,29.22,21,31.96,1.0,bull confirmed,5834900,9053740.0,0.6444739963816059,-0.31,0
24,0,31.84,19,2012-04-24,1,32.04,31.67,0,32.01,31.33,29.22,21,31.96,1.0,bull confirmed,6397000,8946452.0,0.7150320596366023,-0.47,0
25,0,31.90,19,2012-04-25,1,32.33,31.86,0,32.08,31.33,29.22,22,32.28,1.0,bull confirmed,6750400,8880770.0,0.7601142693707865,-1.04,0
26,0,31.98,19,2012-04-26,1,32.12,31.72,0,31.95,31.33,29.22,21,31.96,1.0,bull confirmed,4764200,8695038.0,0.5479216997096505,-1.40,0
27,0,32.23,19,2012-04-27,1,32.38,31.98,0,32.10,31.33,29.22,22,32.28,1.0,bull confirmed,4944600,8545658.0,0.5786096284218254,-1.83,0
28,0,31.68,19,2012-04-30,1,32.13,31.62,0,32.02,31.33,29.22,21,31.96,1.0,bull confirmed,9116300,8574226.0,1.0632213333308453,-1.35,0
29,0,31.37,19,2012-05-01,1,31.99,31.34,0,31.69,31.33,29.22,21,31.96,1.0,bull confirmed,9126400,8604998.0,1.0605929251813888,-0.57,0
30,2,30.86,20,2012-05-02,0,31.22,30.51,5,31.12,32.28,29.22,17,30.71,1.0,bull correction,10721900,8704094.0,1.231822634268426,-0.20,0
31,0,30.58,20,2012-05-03,0,30.96,30.54,0,30.93,32.28,29.22,17,30.71,1.0,bull correction,7561000,8714262.0,0.8676580988728593,0.19,1
32,3,30.40,20,2012-05-04,0,30.68,30.33,1,30.43,32.28,29.22,16,30.41,1.0,bull correction,5086900,8671464.0,0.5866252803448183,-0.36,0
33,0,30.33,20,2012-05-07,0,30.57,30.12,0,30.41,32.28,29.22,16,30.41,1.0,bull correction,6302000,8678024.0,0.7262021861197895,-0.65,0
34,3,30.80,20,2012-05-08,0,30.82,29.98,1,30.30,32.28,29.22,15,30.11,1.0,bull correction,9139400,8703728.0,1.0500557921846823,-1.09,0
35,0,30.66,20,2012-05-09,0,30.98,30.33,0,30.52,32.28,29.22,16,30.41,1.0,bull correction,6982200,8700118.0,0.8025408391012627,-1.04,0
36,0,30.77,20,2012-05-10,0,30.85,30.61,0,30.79,32.28,29.22,17,30.71,1.0,bull correction,5307200,8592538.0,0.6176522000833746,-1.77,0
37,0,30.04,20,2012-05-11,0,30.63,29.93,0,30.63,32.28,29.22,15,30.11,1.0,bull correction,7557700,8475240.0,0.8917387590203936,-1.55,0
