,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
0,1,55.24,3,2012-04-20,1,55.27,54.54,1,54.57,54.70,51.53,9,55.25,1.0,bull confirmed,8997700,9086348.0,0.9902438251319452,-3.03,0,-5.485155684286749,0
1,2,52.66,4,2012-04-23,0,53.28,52.30,5,52.32,55.25,51.53,4,52.57,1.0,bull correction,38007300,9717432.0,3.9112493918146276,-0.55,0,-1.044436004557539,1
2,3,51.10,4,2012-04-24,0,52.50,50.99,3,52.42,55.25,51.53,1,51.02,0.0,bear confirmed,30090600,10209224.0,2.9473934551734784,1.15,1,2.2504892367906066,2
3,0,50.74,4,2012-04-25,0,51.68,50.58,0,51.22,55.25,51.53,1,51.02,0.0,bear confirmed,28011800,10685960.0,2.6213648563161382,1.46,1,2.877414268821443,2
4,4,52.14,5,2012-04-26,1,52.57,50.92,3,50.94,55.25,51.02,4,52.57,0.0,bear correction,25092900,11084356.0,2.2638121691508286,0.04,1,0.07671653241273495,1
5,0,52.21,5,2012-04-27,1,52.59,52.13,0,52.34,55.25,51.02,4,52.57,0.0,bear correction,9027900,11148240.0,0.8098049557598329,-0.29,0,-0.5554491476728596,1
6,0,52.11,5,2012-04-30,1,52.18,51.77,0,52.03,55.25,51.02,3,52.05,0.0,bear correction,7482600,11152764.0,0.670918886116482,0.24,1,0.4605641911341393,1
7,0,52.25,5,2012-05-01,1,52.42,51.73,0,52.14,55.25,51.02,3,52.05,0.0,bear correction,9915700,11187242.0,0.8863399933602938,-0.02,0,-0.03827751196172249,1
8,0,52.20,5,2012-05-02,1,52.47,52.03,0,52.15,55.25,51.02,3,52.05,0.0,bear correction,7347700,10856300.0,0.6768143842745686,0.37,1,0.7088122605363985,1
9,0,52.18,5,2012-05-03,1,52.36,52.02,0,52.36,55.25,51.02,3,52.05,0.0,bear correction,6891900,10421534.0,0.6613133920591728,0.53,1,1.0157148332694519,1
10,0,51.92,5,2012-05-04,1,52.34,51.90,0,52.06,55.25,51.02,3,52.05,0.0,bear correction,6944500,10262818.0,0.6766659995334615,0.99,1,1.9067796610169492,1
11,0,52.35,5,2012-05-07,1,52.50,51.79,0,51.79,55.25,51.02,3,52.05,0.0,bear correction,8658200,10237464.0,0.8457367957533233,0.25,1,0.4775549188156638,1
12,0,52.23,5,2012-05-08,1,52.51,51.86,0,52.24,55.25,51.02,3,52.05,0.0,bear correction,10273300,10197754.0,1.0074081018232053,0.62,1,1.187057246793031,1
13,0,52.57,5,2012-05-09,1,52.75,51.89,0,52.08,55.25,51.02,4,52.57,0.0,bear correction,11157600,10205668.0,1.0932748351210329,0.14,1,0.2663115845539281,1
14,0,52.71,5,2012-05-10,1,53.08,52.62,0,52.85,55.25,51.02,4,52.57,0.0,bear correction,7740700,10130794.0,0.7640763399196548,2.22,1,4.21172453044963,2
15,1,52.91,5,2012-05-11,1,53.12,52.37,1,52.61,55.25,51.02,5,53.09,0.0,bear correction,7473600,9954588.0,0.7507693939719052,2.68,1,5.065205065205065,2
16,0,52.60,5,2012-05-14,1,53.03,52.47,0,52.62,55.25,51.02,4,52.57,0.0,bear correction,6201000,9881646.0,0.6275270334517145,3.54,1,6.730038022813688,2
17,0,52.85,5,2012-05-15,1,53.12,52.50,0,52.50,55.25,51.02,5,53.09,0.0,bear correction,10561400,9899854.0,1.0668238137653343,3.90,1,7.379375591296121,2
18,0,52.71,5,2012-05-16,1,53.13,52.68,0,53.01,55.25,51.02,5,53.09,0.0,bear correction,10838100,9935474.0,1.0908488110381045,4.80,1,9.10643141718839,2
19,1,54.93,5,2012-05-17,1,55.66,54.54,4,54.62,55.25,51.02,9,55.25,0.0,bear correction,29292400,10222984.0,2.8653473388983097,3.01,1,5.479701438194065,2
20,0,55.59,5,2012-05-18,1,55.77,55.00,0,55.10,55.25,51.02,9,55.25,0.0,bear correction,16630700,10399686.0,1.599154051381936,2.57,1,4.623133657132578,2
21,1,56.14,5,2012-05-21,1,56.19,55.34,1,55.55,55.25,51.02,10,55.80,1.0,bull confirmed,11149900,10496826.0,1.0622163309175554,2.35,1,4.185963662272889,2
22,1,56.75,5,2012-05-22,1,56.95,56.01,2,56.09,55.25,51.02,12,56.92,1.0,bull confirmed,12074400,10586778.0,1.1405169731527383,1.52,1,2.6784140969162995,2
23,1,57.51,5,2012-05-23,1,57.61,56.36,1,56.45,55.25,51.02,13,57.49,1.0,bull confirmed,15682200,10725730.0,1.4621102712822345,1.10,1,1.9127108328986264,1
24,0,57.94,5,2012-05-24,1,58.04,57.40,0,57.62,55.25,51.02,13,57.49,1.0,bull confirmed,11302700,10824284.0,1.0441983968639403,0.43,1,0.742147048671039,1
25,1,58.16,5,2012-05-25,1,58.33,57.70,1,57.76,55.25,51.02,14,58.07,1.0,bull confirmed,10179900,10892782.0,0.9345546436162956,0.60,1,1.031636863823934,1
26,0,58.49,5,2012-05-29,1,58.56,58.07,0,58.24,55.25,51.02,14,58.07,1.0,bull confirmed,10036900,10851978.0,0.9248912963148285,-0.16,0,-0.2735510343648487,1
27,1,58.27,5,2012-05-30,1,58.73,58.18,1,58.25,55.25,51.02,15,58.65,1.0,bull confirmed,9979700,10886534.0,0.9167013119143338,0.44,1,0.7551055431611464,1
28,1,58.61,5,2012-05-31,1,59.36,58.22,1,58.24,55.25,51.02,16,59.23,1.0,bull confirmed,16765500,11063614.0,1.5153728248292104,0.05,1,0.08530967411704488,1
29,0,58.37,5,2012-06-01,1,58.67,58.00,0,58.26,55.25,51.02,15,58.65,1.0,bull confirmed,15300700,11223572.0,1.3632647431673268,2.38,1,4.077437039575124,2
30,0,58.76,5,2012-06-04,1,58.89,58.24,0,58.68,55.25,51.02,15,58.65,1.0,bull confirmed,13876800,11386892.0,1.2186644081633513,1.38,1,2.3485364193328797,2
31,0,58.33,5,2012-06-05,1,58.68,58.26,0,58.54,55.25,51.02,15,58.65,1.0,bull confirmed,9341000,11434558.0,0.8169095823380318,1.97,1,3.3773358477627293,2
32,0,58.71,5,2012-06-06,1,58.75,58.29,0,58.42,55.25,51.02,15,58.65,1.0,bull confirmed,10846900,11527200.0,0.9409830661392186,1.02,1,1.7373530914665305,1
33,0,58.66,5,2012-06-07,1,58.84,58.58,0,58.84,55.25,51.02,15,58.65,1.0,bull confirmed,12546700,11631102.0,1.078719798003663,1.56,1,2.6593931128537336,2
34,1,60.75,5,2012-06-08,1,60.76,58.84,2,58.94,55.25,51.02,18,60.42,1.0,bull confirmed,18012600,11848874.0,1.5201950835159526,-0.42,0,-0.691358024691358,1
35,0,60.14,5,2012-06-11,1,60.98,60.08,0,60.90,55.25,51.02,18,60.42,1.0,bull confirmed,10491400,11924868.0,0.8797917092247898,0.52,1,0.8646491519787163,1
36,0,60.30,5,2012-06-12,1,60.42,59.93,0,60.26,55.25,51.02,18,60.42,1.0,bull confirmed,8987800,11965796.0,0.7511242879286928,0.08,1,0.13266998341625208,1
37,0,59.73,5,2012-06-13,1,60.33,59.63,0,60.19,55.25,51.02,17,59.82,1.0,bull confirmed,10748900,12051456.0,0.891917126030249,1.29,1,2.1597187343043696,2
38,0,60.22,5,2012-06-14,1,60.37,59.74,0,59.75,55.25,51.02,17,59.82,1.0,bull confirmed,9994400,12027742.0,0.830945658794477,0.07,1,0.11624045167718366,1
39,0,60.33,5,2012-06-15,1,60.61,60.19,0,60.60,55.25,51.02,18,60.42,1.0,bull confirmed,12742000,12065548.0,1.0560647556165703,-0.40,0,-0.6630200563567048,1
40,0,60.66,5,2012-06-18,1,60.80,60.05,0,60.08,55.25,51.02,18,60.42,1.0,bull confirmed,7553500,12086044.0,0.6249770396334814,0.05,1,0.08242664029014177,1
41,0,60.38,5,2012-06-19,1,60.78,60.29,0,60.63,55.25,51.02,18,60.42,1.0,bull confirmed,7906000,12107530.0,0.652982069835879,0.69,1,1.142762504140444,1
42,1,61.02,5,2012-06-20,1,61.04,60.36,1,60.43,55.25,51.02,19,61.03,1.0,bull confirmed,8989800,12096264.0,0.7431881447031911,0.06,1,0.09832841691248771,1
43,0,60.29,5,2012-06-21,1,61.14,60.27,0,60.99,55.25,51.02,19,61.03,1.0,bull confirmed,9843600,12138182.0,0.810961641537423,0.53,1,0.8790844252778238,1
44,0,59.93,5,2012-06-22,1,60.87,59.83,0,60.63,55.25,51.02,18,60.42,1.0,bull confirmed,11400700,12218842.0,0.933042591106424,2.16,1,3.604204905723344,2
45,0,60.71,5,2012-06-25,1,60.76,59.72,0,59.72,55.25,51.02,18,60.42,1.0,bull confirmed,11830600,12321602.0,0.9601511232062194,1.05,1,1.7295338494481964,1
46,0,61.07,5,2012-06-26,1,61.37,60.78,0,60.98,55.25,51.02,19,61.03,1.0,bull confirmed,10811800,12400946.0,0.8718528409042342,1.93,1,3.1603078434583267,2
47,0,61.08,5,2012-06-27,1,61.22,60.78,0,61.08,55.25,51.02,19,61.03,1.0,bull confirmed,8797800,12363374.0,0.7116018653160537,2.22,1,3.6345776031434185,2
48,0,60.82,5,2012-06-28,1,60.86,60.10,0,60.48,55.25,51.02,18,60.42,1.0,bull confirmed,8578400,12375796.0,0.6931594541474342,2.73,1,4.488655047681684,2
49,1,62.09,5,2012-06-29,1,62.09,61.05,1,61.39,55.25,51.02,20,61.64,1.0,bull confirmed,10663400,12461472.0,0.8557095020556159,1.81,1,2.9151232082460945,2
50,1,61.76,5,2012-07-02,1,62.29,61.58,1,61.98,55.25,51.02,21,62.25,1.0,bull confirmed,10425200,12490022.0,0.8346822767806173,2.45,1,3.9669689119170983,2
51,1,63.00,5,2012-07-03,1,63.02,61.71,1,62.02,55.25,51.02,22,62.88,1.0,bull confirmed,9394700,11917770.0,0.7882934475157685,1.35,1,2.142857142857143,2
52,0,63.30,5,2012-07-05,1,63.49,62.66,0,62.66,55.25,51.02,22,62.88,1.0,bull confirmed,12440500,11564768.0,1.0757241303932772,1.09,1,1.7219589257503949,1
53,1,63.55,5,2012-07-06,1,63.55,62.98,1,62.98,55.25,51.02,23,63.51,1.0,bull confirmed,8009200,11164716.0,0.7173671054418223,1.62,1,2.5491738788355627,2
54,0,63.90,5,2012-07-09,1,63.90,63.24,0,63.46,55.25,51.02,23,63.51,1.0,bull confirmed,11150400,10885866.0,1.02430068494321,1.09,1,1.705790297339593,1
55,1,64.21,5,2012-07-10,1,64.63,63.80,1,64.05,55.25,51.02,24,64.14,1.0,bull confirmed,13328200,10971872.0,1.2147607992510303,0.89,1,1.3860769350568447,1
56,0,64.35,5,2012-07-11,1,64.51,63.92,0,64.23,55.25,51.02,24,64.14,1.0,bull confirmed,12243900,11067098.0,1.1063333856806907,0.52,1,0.8080808080808081,1
57,0,64.39,5,2012-07-12,1,64.67,63.80,0,64.18,55.25,51.02,24,64.14,1.0,bull confirmed,10195800,11072700.0,0.9208052236581864,-0.69,0,-1.0715949681627581,1
58,1,65.17,5,2012-07-13,1,65.22,64.25,1,64.36,55.25,51.02,25,64.78,1.0,bull confirmed,8180100,11089348.0,0.7376538277994342,-0.83,0,-1.2735921436243671,1
59,0,64.99,5,2012-07-16,1,65.17,64.63,0,64.94,55.25,51.02,25,64.78,1.0,bull confirmed,8080600,11113122.0,0.7271224053870731,-1.01,0,-1.5540852438836743,1
60,0,65.10,5,2012-07-17,1,65.10,64.39,0,64.92,55.25,51.02,25,64.78,1.0,bull confirmed,12176300,11217758.0,1.085448625295714,-0.86,0,-1.3210445468509984,1
61,0,64.87,5,2012-07-18,1,65.42,64.76,0,64.91,55.25,51.02,25,64.78,1.0,bull confirmed,9495100,11234496.0,0.8451736508696073,-0.68,0,-1.0482503468475413,1
