open,high,low,close,volume,50ma,label
78.01,78.97,75.73,78.85,204165500,138824658.0,1
78.43,79.33,78.26,78.4,161010500,140074746.0,2
77.78,78.66,77.49,77.99,155967700,141903118.0,1
78.14,78.31,77.34,77.56,107622200,142980138.0,1
78.04,79.0,77.46,78.98,148935500,144895912.0,1
78.88,80.19,78.86,79.96,151782400,146801452.0,2
80.46,80.86,79.41,80.36,163865100,148864268.0,1
79.74,80.23,79.01,79.36,152059600,150521504.0,2
79.21,79.45,77.8,78.01,182759500,152868002.0,2
78.31,80.52,78.12,80.5,149587900,153789888.0,1
81.62,82.26,81.0,81.89,208639900,156432374.0,1
81.24,81.44,80.28,81.24,143245200,156559088.0,1
81.58,82.58,81.12,82.46,160324500,154974008.0,0
81.47,83.26,81.36,82.79,149384200,156341766.0,0
83.27,83.8,81.46,81.77,222431300,159291846.0,0
82.78,82.87,81.11,81.48,174153700,160878214.0,0
81.33,82.15,80.74,81.04,153584200,161991480.0,0
81.21,81.29,78.53,78.75,214911200,164939474.0,0
79.38,79.41,75.24,75.49,262696700,169259426.0,1
75.33,79.37,74.42,79.34,256382000,172954068.0,0
79.86,80.71,78.42,79.16,238632800,176479660.0,1
78.1,78.69,76.06,76.44,208679800,179072138.0,2
76.95,77.37,74.22,74.56,257746300,182187614.0,2
74.25,75.04,72.43,74.39,241632300,182599186.0,2
73.21,73.87,72.22,72.9,269037300,184823422.0,2
80.11,80.42,78.85,79.37,226444400,186766230.0,0
79.93,79.98,78.35,79.08,134017100,187144580.0,0
78.73,78.88,78.14,78.46,101680600,181647592.0,0
77.79,77.86,75.86,75.99,126536200,179455556.0,0
76.11,77.65,75.63,75.75,152749800,179831526.0,0
75.5,76.43,75.32,76.25,106847300,178940496.0,0
76.84,76.95,75.51,75.71,97637400,178476732.0,1
75.09,75.26,73.54,73.55,132498100,178286556.0,1
73.06,74.53,73.03,74.1,115029600,178511788.0,1
74.11,74.36,72.7,73.93,124313000,178260138.0,0
73.35,74.69,72.98,74.06,120176000,177661722.0,0
74.76,74.93,73.97,74.24,83300000,174567666.0,0
73.52,74.75,73.43,73.74,99886500,173149046.0,0
73.2,73.84,72.56,72.64,88156600,172753616.0,1
73.06,73.29,71.79,71.98,119084000,171089674.0,1
72.09,72.46,70.4,71.06,140224000,169842960.0,2
70.96,71.24,68.98,68.98,179305000,169436456.0,2
69.48,70.71,67.95,69.01,183073100,170515632.0,2
69.55,73.07,69.49,73.03,157776500,171576566.0,1
74.11,74.67,71.9,72.47,173717600,173014506.0,2
72.54,74.53,71.99,74.24,146224400,172484718.0,1
74.93,75.02,73.03,73.56,124057500,167871648.0,1
73.46,73.63,72.67,73.17,82126800,163715594.0,1
74.29,74.69,73.56,74.46,95127200,161490700.0,1
74.06,75.47,73.72,75.36,132357400,159631668.0,1
75.57,75.66,74.36,75.18,122918600,158006730.0,1
74.06,74.51,72.94,73.0,130246900,157391458.0,2
73.06,73.84,71.37,73.43,139248900,157057082.0,1
73.03,73.71,72.65,73.24,97053600,156845710.0,2
73.88,74.67,73.58,74.36,100363900,155874278.0,1
75.12,75.12,74.23,74.39,94941700,154737464.0,1
74.38,75.55,74.04,75.51,86879100,153197744.0,1
76.48,76.58,74.25,74.32,147816200,153112876.0,2
74.75,75.03,73.74,74.97,108845100,151634588.0,1
74.76,75.27,74.22,74.45,73395000,150110730.0,2
74.33,74.62,73.81,74.37,86393300,147665798.0,1
74.3,74.77,74.11,74.71,83813800,146477170.0,1
74.29,76.5,74.22,76.22,110103000,145472740.0,0
75.91,76.77,75.87,76.44,90351100,144292078.0,0
76.54,76.67,75.57,76.22,89735800,141638168.0,1
76.18,76.54,75.14,75.17,81587800,139786850.0,1
75.34,75.76,74.87,75.74,71117900,138137524.0,1
75.12,75.44,74.22,74.27,76095600,135361212.0,2
74.34,74.75,73.82,74.43,69134100,131489960.0,2
74.82,75.05,74.42,74.76,50749300,127377306.0,2
74.39,74.69,73.6,74.04,70709100,124018832.0,2
75.21,75.99,74.72,75.99,105375200,121952740.0,2
76.09,77.22,75.94,77.1,100023000,118798274.0,2
77.41,78.07,77.29,78.0,60428200,115174192.0,1
78.15,79.94,78.03,79.37,121095800,112215362.0,1
79.0,79.17,78.28,78.84,104732600,109781126.0,1
78.76,79.88,78.61,79.88,94851400,108997812.0,1
80.41,80.66,78.76,79.14,127989400,109523988.0,1
78.87,79.07,77.71,78.65,117330500,109339874.0,1
78.1,78.52,77.12,77.93,107010400,108425086.0,2
78.46,79.01,78.07,78.72,77856800,107845276.0,1
78.74,79.58,78.73,78.97,75315100,107398830.0,1
79.48,79.57,78.48,78.98,73406200,106216992.0,1
78.93,79.16,78.54,78.89,63175000,105179900.0,0
79.54,80.07,78.85,79.94,109215400,104877948.0,0
79.77,79.95,78.55,78.63,99367800,104461784.0,0
77.34,78.84,76.47,78.57,121993900,105235662.0,1
79.03,79.33,77.88,78.19,141283100,106063594.0,1
74.75,75.57,74.17,74.82,219328200,108687026.0,2
75.44,75.52,74.22,74.8,101658200,108338510.0,2
74.82,76.23,74.38,76.14,100984100,107553712.0,2
76.89,78.0,76.49,77.43,94785600,105863324.0,2
78.49,79.6,78.43,79.47,115581900,104513500.0,1
80.14,80.21,78.46,78.96,96125400,103280478.0,2
78.44,79.46,78.1,79.09,83039600,101466918.0,2
79.85,80.41,79.58,80.12,86230200,100267034.0,1
80.32,81.31,80.06,81.01,75525800,99296400.0,1
81.04,81.33,80.42,80.79,72611700,99106098.0,2
80.6,81.18,80.3,80.66,61176500,98427084.0,2
80.74,81.25,80.73,81.12,55410600,96888148.0,2
80.85,81.25,80.85,81.24,48734700,95404470.0,2
81.46,82.33,81.45,82.33,69708100,94193694.0,2
82.57,83.45,82.36,82.55,85042300,93109562.0,2
82.5,82.85,82.03,82.44,64335600,92455202.0,2
82.49,83.21,82.39,83.16,63633500,91720594.0,2
83.64,84.7,83.48,84.7,110690300,92035566.0,2
84.94,86.92,84.93,86.92,153346200,93364908.0,1
87.66,88.19,84.98,85.73,203179900,94472182.0,2
85.52,87.42,84.7,87.41,141330700,95121894.0,1
87.05,87.54,86.4,86.59,105032200,95754638.0,1
86.18,87.49,85.67,86.67,109335100,96213474.0,1
88.86,88.98,88.02,88.3,106752100,96672240.0,1
88.21,88.35,87.64,88.18,66854200,95807264.0,1
88.24,88.56,87.9,88.01,50701700,95014276.0,1
87.64,87.76,86.62,86.75,75674900,94733058.0,2
87.2,87.37,85.89,86.93,84580300,94792908.0,1
87.0,88.23,86.84,88.2,91973000,95210010.0,0
88.28,88.38,87.5,87.59,84093800,95369974.0,1
87.97,88.64,87.66,88.38,97799100,95943274.0,1
88.61,89.19,88.31,88.92,82416600,96576620.0,1
88.92,89.29,86.52,86.61,121999500,97602428.0,2
86.92,87.57,85.79,86.33,125995800,98014840.0,2
87.14,87.54,85.73,87.53,178058300,99575546.0,2
88.52,89.58,88.18,89.25,149590000,101358782.0,2
90.16,91.08,89.89,90.34,150118500,101939236.0,1
91.39,91.45,90.77,91.45,99507800,101834740.0,1
91.46,91.78,91.01,91.73,93375800,101805228.0,0
91.51,92.0,91.42,91.75,81718700,100879814.0,0
91.37,91.48,90.64,91.31,84142100,100216046.0,0
91.79,92.14,91.39,91.49,142897300,100933784.0,0
89.76,90.84,89.25,90.27,159941600,102575480.0,0
89.94,90.53,87.95,88.02,129697400,103663126.0,1
87.39,87.91,86.41,86.93,144125800,105077518.0,1
86.81,89.15,86.29,89.04,148522500,106784468.0,0
88.7,89.01,87.13,87.18,133777700,107275714.0,0
87.75,88.44,85.79,86.17,135898700,108006332.0,0
