,open,high,low,close,adj_close,volume
2013-01-02,34.9200,35.4000,34.1000,35.1200,27.9268,13767900
2013-01-03,35.0000,35.0000,34.1600,34.8300,27.6962,16739300
2013-01-04,34.6200,34.8900,34.2500,34.3908,27.3470,21372100
2013-01-07,34.1500,35.4500,34.1500,34.4600,27.4020,17897100
2013-01-08,34.2900,34.6400,33.3600,33.7100,26.8056,17863300
2013-01-09,33.6100,33.9500,33.6100,33.9000,26.9567,18800400
2013-01-10,33.6600,34.0000,33.3300,34.0000,27.0362,15658100
2013-01-11,33.5900,33.9000,33.3500,33.8500,27.2350,11191500
2013-01-14,34.0100,34.2500,33.8000,34.0900,27.4281,11584900
2013-01-15,33.7100,34.7200,33.7100,34.6000,27.8385,13040200
2013-01-16,34.4700,35.5400,34.4500,35.5400,28.5948,16512700
2013-01-17,35.7500,36.7000,35.7500,36.4200,29.3028,14424800
2013-01-18,36.4300,37.3200,36.0400,37.3200,30.0269,17842200
2013-01-22,36.9800,37.2500,35.9300,36.4200,29.3028,15809700
2013-01-23,36.9100,37.8400,36.5000,37.8000,30.4131,10981600
2013-01-24,37.7900,38.5200,37.2300,37.4600,30.1396,11327100
2013-01-25,37.5200,37.8400,36.6400,37.6000,30.2522,8934600
2013-01-28,37.6500,37.8700,36.7100,36.8900,29.6810,7140100
2013-01-29,36.7100,37.4600,36.2500,37.3100,30.0189,8838500
2013-01-30,36.8100,37.5250,36.8100,36.9300,29.7131,10841800
2013-01-31,36.8400,36.9300,36.2700,36.6900,29.5200,10720700
2013-02-01,36.8400,37.2000,36.5200,37.1800,29.9143,9527500
2013-02-04,36.6400,37.3000,36.5500,37.2800,29.9947,6348000
2013-02-05,37.4200,37.7300,37.1800,37.2000,29.9304,7284400
2013-02-06,36.9600,37.2800,36.8600,37.1400,29.8821,5738900
2013-02-07,37.5700,37.5700,35.8000,36.4200,29.3028,9872500
2013-02-08,36.3700,36.4200,35.8250,36.2500,29.1660,13858700
2013-02-11,36.1300,36.1800,35.7500,35.8500,28.8442,6032100
2013-02-12,35.7700,35.9000,35.2000,35.4200,28.4982,7473800
2013-02-13,35.4200,35.5700,35.1500,35.2700,28.3775,4859800
2013-02-14,35.0500,36.7300,35.0100,36.5700,29.4235,7570100
2013-02-15,36.9300,37.8100,36.9300,37.5800,30.2361,13296300
2013-02-19,37.5400,38.3300,37.1100,38.1900,30.7269,8292700
2013-02-20,38.1600,39.1300,37.6100,38.6100,31.0648,8096400
2013-02-21,38.4900,39.0250,38.1900,38.7800,31.2016,7260900
2013-02-22,38.7900,38.8500,38.1400,38.4600,30.9442,4490400
2013-02-25,38.5400,38.6100,37.3700,37.3700,30.0672,4665600
2013-02-26,37.6000,37.6000,36.9600,37.0900,29.8419,4463000
