,open,high,low,close,adj_close,volume
1998-01-02,58.2500,58.8100,57.8100,57.8100,5.9126,33200
1998-01-05,57.5600,58.1900,57.1200,57.3800,5.8686,105800
1998-01-06,57.5600,57.5600,56.0000,56.3100,5.7591,48800
1998-01-07,56.2500,56.8800,55.9400,56.8800,5.8174,154100
1998-01-08,56.6200,57.4400,56.5000,57.1900,5.8491,38300
1998-01-09,57.0600,57.1200,55.1200,55.3800,5.6640,94000
1998-01-12,54.0000,54.5000,53.6900,53.7500,5.4973,63300
1998-01-13,53.8100,54.6300,53.6200,54.6300,5.5873,93300
1998-01-14,54.8700,55.9400,54.6900,55.6900,5.6957,231500
1998-01-15,55.6900,57.4400,55.5300,57.0600,5.8359,174400
1998-01-16,57.3100,58.8100,57.3100,57.9400,5.9259,130000
1998-01-20,58.1900,58.1900,56.0000,56.7500,5.8041,206200
1998-01-21,57.1200,58.6200,57.1200,58.1900,5.9514,248800
1998-01-22,58.2500,58.7500,57.7500,58.0000,5.9320,135900
1998-01-23,58.2500,58.4400,56.0600,56.6900,5.7980,150600
1998-01-26,56.6900,58.1200,56.6900,57.6300,5.8942,98400
1998-01-27,57.5000,57.5600,56.2500,56.2500,5.7530,215300
1998-01-28,56.7500,57.6900,56.7500,57.5600,5.8870,99700
1998-01-29,59.4400,59.4400,56.5600,57.0000,5.8297,215000
1998-01-30,57.5000,57.8700,56.6200,56.6200,5.7909,75500
1998-02-02,56.8800,58.6200,56.6900,58.3800,5.9709,69200
1998-02-03,58.4400,58.4400,57.7500,57.9400,5.9259,51300
1998-02-04,58.1900,58.1900,57.6300,58.0600,5.9381,148700
1998-02-05,57.9400,59.0000,57.9400,58.7500,6.0087,31400
1998-02-06,58.7500,60.7500,58.7500,60.2500,6.1621,147800
1998-02-09,60.4400,60.4400,59.4400,59.9400,6.1304,135000
1998-02-10,60.1900,60.2500,58.1200,58.1200,5.9443,53400
1998-02-11,58.3800,59.7500,57.2200,59.0000,6.0343,189700
1998-02-12,59.0000,59.8800,57.2500,59.5600,6.0915,69900
1998-02-13,59.5600,60.3100,59.5600,60.0000,6.1365,68100
1998-02-17,60.0600,62.8800,60.0600,61.3800,6.2777,123900
1998-02-18,61.3800,61.6900,61.0000,61.5000,6.2900,64900
1998-02-19,61.7500,63.0000,61.1200,62.1900,6.3605,45200
1998-02-20,62.0000,62.2500,60.2500,60.6300,6.2010,63200
1998-02-23,60.8700,63.3800,60.7500,63.3800,6.4822,128800
1998-02-24,63.0000,63.0000,59.5000,60.1900,6.1560,449300
1998-02-25,60.0000,60.0000,58.2500,58.5600,5.9893,322700
1998-02-26,59.0000,59.0000,58.0000,58.3800,5.9709,184600
1998-02-27,57.3800,58.6200,57.3800,58.5000,5.9831,293300
1998-03-02,58.6200,58.6200,56.6200,57.4400,5.8747,62800
1998-03-03,57.1900,58.0000,56.7500,56.7500,5.8041,87600
1998-03-04,55.5000,58.0000,55.0000,57.6900,5.9003,917500
1998-03-05,57.4400,58.8800,57.0000,58.1900,5.9514,139300
1998-03-06,58.3800,60.2500,58.1900,59.4400,6.0793,102600
1998-03-09,59.3100,60.1900,58.6900,59.6900,6.1048,67400
1998-03-10,59.6900,59.9400,59.0600,59.2500,6.0598,332100
1998-03-11,59.5000,60.1900,59.5000,59.6900,6.1048,68900
1998-03-12,59.5600,60.6300,59.5600,60.6300,6.2010,68700
1998-03-13,60.3800,60.9400,59.0000,59.5000,6.0854,148400
1998-03-16,59.2500,60.0000,59.1300,59.8800,6.1243,102200
1998-03-17,60.1200,60.2500,59.7500,59.7500,6.1110,100800
1998-03-18,59.5000,59.7500,58.5000,58.9400,6.0281,70200
1998-03-19,58.9400,60.0000,58.9400,59.6900,6.1048,34500
1998-03-20,59.4400,59.4400,58.8800,59.0000,6.0343,86700
