,open,high,low,close,adj_close,volume
2001-07-19,15.1000,15.2900,15.0000,15.1700,11.5709,34994300
2001-07-20,15.0500,15.0500,14.8000,15.0100,11.4488,9238500
2001-07-23,15.0000,15.0100,14.5500,15.0000,11.4412,7501000
2001-07-24,14.9500,14.9700,14.7000,14.8600,11.3344,3537300
2001-07-25,14.7000,14.9500,14.6500,14.9500,11.4031,4208100
2001-07-26,14.9500,14.9900,14.5000,14.5000,11.0598,6335300
2001-07-27,14.5100,14.5900,14.5000,14.5100,11.0675,3524000
2001-07-30,14.5000,14.7800,14.5000,14.7000,11.2124,3654300
2001-07-31,14.7100,15.0100,14.6000,14.9600,11.4107,1429000
2001-08-01,15.0000,15.5000,14.9000,15.5000,11.8226,2087900
2001-08-02,15.4000,15.5000,15.1000,15.4000,11.7463,1717400
2001-08-03,15.4000,15.4000,14.9800,15.1500,11.5556,983600
2001-08-06,15.1500,15.2200,15.0200,15.1000,11.5175,777400
2001-08-07,15.1000,15.5500,15.1000,15.5000,11.8226,788900
2001-08-08,15.4000,15.6000,15.0000,15.0000,11.4412,2190300
2001-08-09,15.0500,15.5000,15.0000,15.5000,11.8226,928000
2001-08-10,15.4000,15.4000,15.1200,15.1900,11.5861,703300
2001-08-13,15.1500,15.3400,14.9000,15.0100,11.4488,1770400
2001-08-14,15.0500,15.0600,14.6500,14.7000,11.2124,1000800
2001-08-15,14.7500,14.9000,14.7000,14.7900,11.2810,530900
2001-08-16,14.7800,14.7800,14.0500,14.0500,10.7166,1522700
2001-08-17,14.0600,14.8000,13.9000,14.5200,11.0751,2342400
2001-08-20,14.5200,14.5200,14.5200,14.5200,11.0751,1434900
2001-08-21,15.2500,15.6000,15.0100,15.4600,11.7921,1038200
2001-08-22,15.3200,15.3900,14.7800,15.3400,11.7005,829000
2001-08-23,15.4500,15.4500,15.2500,15.2500,11.6319,470000
2001-08-24,15.2500,15.4800,15.0000,15.4000,11.7463,689000
2001-08-27,15.4800,15.6500,15.4000,15.4800,11.8073,827700
2001-08-28,15.4200,15.5800,15.2500,15.3600,11.7158,736900
2001-08-29,15.2900,15.3100,15.0000,15.0100,11.4488,397400
2001-08-30,15.0400,15.0400,14.8500,14.9500,11.4031,640100
2001-08-31,15.0000,15.1000,14.9000,14.9000,11.3649,3337900
2001-09-04,15.0000,15.6500,15.0000,15.3800,11.7310,1068600
2001-09-05,15.3800,15.3800,14.9000,14.9100,11.3726,1053200
2001-09-06,14.7500,15.0100,14.4000,14.5000,11.0598,1384500
2001-09-07,14.4500,14.6400,14.3500,14.5200,11.0751,1408500
2001-09-10,14.5800,15.1600,14.5500,15.1500,11.5556,622100
2001-09-17,15.1400,15.1400,14.4700,14.6000,11.1361,1934300
2001-09-18,14.6000,15.0000,14.3500,14.5500,11.0980,902800
2001-09-19,14.6900,14.6900,13.7200,13.9500,10.6403,2415400
2001-09-20,13.9000,13.9000,12.8400,12.9500,9.8776,3498900
2001-09-21,13.0000,13.0000,12.1600,12.7500,9.7250,2051800
2001-09-24,13.2800,13.2800,12.9500,13.2000,10.0683,1964200
2001-09-25,13.2000,13.2000,13.2000,13.2000,10.0683,1827300
2001-09-26,12.9600,12.9600,12.2000,12.2000,9.3055,3327200
2001-09-27,12.2600,12.2600,11.6100,11.8500,9.0386,2347500
2001-09-28,12.1000,13.4500,12.1000,12.7500,9.7250,2844000
2001-10-01,12.6500,13.0000,12.6500,12.7000,9.6869,878800
2001-10-02,12.5500,12.7000,12.1200,12.5800,9.5954,1900400
2001-10-03,13.0600,13.0600,12.6000,12.9500,9.8776,2539400
2001-10-04,13.8000,13.8000,12.9700,13.4900,10.2895,3108500
2001-10-05,13.7400,13.7400,13.3200,13.5500,10.3352,2172300
2001-10-08,13.6900,13.6900,13.2300,13.2300,10.0911,576100
2001-10-09,13.8000,13.8000,13.3800,13.4000,10.2208,1601100
2001-10-10,13.3500,13.7500,13.3000,13.6700,10.4268,1700400
2001-10-11,15.5000,15.5000,14.7000,15.1600,11.5632,4214100
2001-10-12,15.2600,16.5500,12.7500,16.5500,12.6235,5193300
2001-10-15,16.5100,17.9500,16.5100,17.5000,13.3481,3277900
2001-10-16,17.6500,18.0500,16.9000,17.4500,13.3099,1996000
2001-10-17,17.6500,17.7400,16.8500,16.9800,12.9514,1877100
2001-10-18,16.9800,16.9800,16.6100,16.7000,12.7379,942000
2001-10-19,16.7000,16.8500,16.5400,16.8500,12.8523,2062500
2001-10-22,17.0000,17.5700,16.9700,17.5000,13.3481,469600
2001-10-23,17.5000,17.7300,17.2700,17.6200,13.4396,915400
2001-10-24,17.7600,17.7600,17.5700,17.7400,13.5311,472600
2001-10-25,17.7400,17.7500,17.1300,17.7400,13.5311,265100
2001-10-26,17.7000,17.7800,17.5000,17.6200,13.4396,566500
2001-10-29,17.7200,17.7300,17.4000,17.5500,13.3862,616200
2001-10-30,17.4600,17.4600,17.1500,17.3500,13.2337,574700
2001-10-31,17.4200,17.6000,17.1000,17.5700,13.4015,718600
2001-11-01,17.5200,18.5900,17.5200,18.3100,13.9659,1089900
2001-11-02,18.5000,19.1000,18.1000,18.2500,13.9201,2372800
2001-11-05,18.2500,18.2700,17.7700,18.1000,13.8057,1552700
2001-11-06,17.9800,17.9800,17.3500,17.9700,13.7066,562600
2001-11-07,18.9000,18.9000,17.9600,18.9000,14.4159,1987000
2001-11-08,18.7000,19.9700,18.7000,19.9500,15.2168,1747200
2001-11-09,19.7500,19.9500,19.6500,19.9500,15.2168,1325400
2001-11-12,19.7500,19.7500,19.0000,19.4900,14.8659,2398300
2001-11-13,19.7000,21.2400,19.6600,20.8000,15.8651,1463000
2001-11-14,21.0000,21.4000,19.9700,20.2100,15.4151,1391400
2001-11-15,20.0500,20.4500,20.0500,20.2500,15.4456,628200
2001-11-16,20.2500,21.2500,20.2000,21.0400,16.0482,639100
2001-11-19,21.1000,22.2500,21.1000,22.0000,16.7804,1430000
2001-11-20,21.9600,21.9600,21.1500,21.2500,16.2084,1017400
2001-11-21,21.2100,21.2100,19.8000,20.3500,15.5219,1442600
2001-11-23,20.6200,20.6200,20.2600,20.5500,15.6745,286500
2001-11-26,20.6800,21.6000,20.2700,21.5000,16.3991,1064900
2001-11-27,21.6000,22.7500,21.5000,22.5000,17.1618,1210000
2001-11-28,22.1000,22.1000,20.8600,21.8500,16.6660,1415900
2001-11-29,21.8300,22.2400,21.0100,21.4300,16.3457,1326400
