,open,high,low,close,adj_close,volume
1998-01-02,21.8100,21.8800,21.3100,21.6900,13.6527,454200
1998-01-05,21.6300,21.9400,21.5600,21.7500,13.6904,876200
1998-01-06,21.5600,21.6300,21.1300,21.2500,13.3757,829900
1998-01-07,21.0000,22.6300,20.7500,22.5600,14.2003,1952800
1998-01-08,22.6300,22.9400,22.1300,22.4400,14.1247,1751700
1998-01-09,22.2500,22.3100,21.8800,21.8800,13.7722,1315600
1998-01-12,21.5600,22.3100,21.5600,22.2500,14.0051,1239500
1998-01-13,22.2500,22.4400,21.9400,22.1900,13.9674,1425600
1998-01-14,22.3100,22.3100,21.5000,22.0600,13.8855,1253500
1998-01-15,22.0000,22.2500,21.9400,22.0000,13.8478,625400
1998-01-16,22.0000,22.1900,21.5000,21.9400,13.8100,2835300
1998-01-20,21.8100,22.0600,21.8100,22.0000,13.8478,1373600
1998-01-21,21.9400,22.0000,21.6300,21.9400,13.8100,1855700
1998-01-22,21.8100,22.1900,21.7500,22.0600,13.8855,1174900
1998-01-23,22.1900,22.3800,21.6900,22.0600,13.8855,1290200
1998-01-26,21.9400,22.1900,21.8100,22.0600,13.8855,1223900
1998-01-27,22.0000,22.1300,21.5600,21.5600,13.5708,1216300
1998-01-28,21.6900,21.7500,21.2500,21.4400,13.4953,1663200
1998-01-29,21.3100,22.0000,21.3100,21.6900,13.6527,2342600
1998-01-30,21.6300,21.7500,21.0600,21.0600,13.2561,1216500
1998-02-02,21.1900,21.6900,21.1900,21.5600,13.5708,1235100
1998-02-03,21.6300,22.0000,21.5600,21.8100,13.7282,1550400
1998-02-04,21.6300,21.9400,21.5000,21.9400,13.8359,932400
1998-02-05,21.8800,21.9400,21.5600,21.8800,13.7981,1282000
1998-02-06,21.9400,22.1300,21.8100,22.0600,13.9116,1250800
1998-02-09,22.0000,22.6300,21.9400,22.5000,14.1891,1273000
1998-02-10,22.6300,22.8800,22.3800,22.4400,14.1512,1401700
1998-02-11,22.3800,22.6300,22.1900,22.5600,14.2269,1010500
1998-02-12,22.3800,22.8800,22.3100,22.6900,14.3089,1111500
1998-02-13,22.5600,22.6900,22.3100,22.4400,14.1512,810700
1998-02-17,22.8100,22.8100,22.2500,22.3100,14.0692,1241000
1998-02-18,22.3100,22.5600,22.2500,22.5600,14.2269,1251400
1998-02-19,22.5000,22.5600,22.2500,22.4400,14.1512,989300
1998-02-20,22.4400,22.5600,22.2500,22.5000,14.1891,885100
1998-02-23,22.5600,22.5600,22.0000,22.1300,13.9557,835200
1998-02-24,22.0600,22.3800,22.0000,22.2500,14.0314,974800
1998-02-25,22.1900,22.4400,22.1300,22.3800,14.1134,486500
1998-02-26,22.4400,22.4400,22.1900,22.4400,14.1512,556200
1998-02-27,22.2500,22.5000,22.2500,22.4400,14.1512,458600
1998-03-02,22.4400,22.8100,22.3100,22.6300,14.2710,999900
1998-03-03,22.6300,22.8100,22.5000,22.8100,14.3845,755100
1998-03-04,22.7500,23.1300,22.6300,23.1300,14.5863,1281600
1998-03-05,22.8800,23.0600,22.5600,22.6900,14.3089,1042000
1998-03-06,22.7500,23.1900,22.7500,23.1300,14.5863,599300
1998-03-09,23.0600,23.3800,23.0600,23.0600,14.5422,705400
1998-03-10,23.0000,23.3100,22.6900,23.3100,14.6999,987100
1998-03-11,23.1900,23.4400,22.9400,23.3800,14.7440,1013600
1998-03-12,23.3100,23.5600,23.1900,23.5600,14.8575,1059900
1998-03-13,23.5000,23.6300,23.4400,23.5000,14.8197,990400
1998-03-16,23.0000,23.0000,22.3800,22.6300,14.2710,1515700
1998-03-17,22.3100,22.4400,22.0000,22.0000,13.8737,1624500
1998-03-18,22.0000,22.1900,21.9400,22.1300,13.9557,1557400
1998-03-19,22.1900,22.1900,21.8100,22.1300,13.9557,951700
1998-03-20,22.3800,22.3800,21.9400,21.9400,13.8359,1381100
1998-03-23,21.8800,22.0600,21.6300,22.0600,13.9116,1647900
1998-03-24,22.2500,22.3100,22.0600,22.1900,13.9936,1272300
1998-03-25,22.1900,22.3100,21.5000,21.8800,13.7981,1216300
1998-03-26,21.9400,22.0000,21.6300,21.6300,13.6404,1139100
1998-03-27,21.8800,21.8800,21.4400,21.6300,13.6404,1044800
1998-03-30,22.0000,22.0000,21.3800,21.6300,13.6404,1368800
1998-03-31,21.8800,21.9400,21.5000,21.9400,13.8359,2092700
1998-04-01,22.0000,22.3100,21.7500,22.1300,13.9557,1762500
1998-04-02,22.1300,22.7500,21.9400,22.5600,14.2269,1775100
1998-04-03,22.6900,22.6900,22.3100,22.3800,14.1134,1991100
1998-04-06,22.3800,22.5000,21.8100,21.8100,13.7539,1276700
1998-04-07,21.8100,21.8800,21.5000,21.6300,13.6404,1058600
1998-04-08,21.6300,21.7500,21.3800,21.5000,13.5584,887600
1998-04-09,21.5000,21.7500,21.3800,21.5600,13.5963,1762000
1998-04-13,21.8800,21.9400,21.4400,21.5000,13.5584,1420400
1998-04-14,21.6300,21.6900,21.4400,21.6900,13.6782,1459900
1998-04-15,21.8100,22.0000,21.6300,22.0000,13.8737,1409500
1998-04-16,21.9400,22.3800,21.8100,22.0600,13.9116,2984900
1998-04-17,22.0600,22.1900,21.9400,22.1300,13.9557,1306700
1998-04-20,22.0000,22.0000,21.6300,21.7500,13.7161,974400
1998-04-21,21.7500,22.0600,21.5600,22.0000,13.8737,1851000
1998-04-22,21.8800,21.8800,21.5000,21.5600,13.5963,1460700
1998-04-23,21.5000,21.9400,21.5000,21.5600,13.5963,1176100
1998-04-24,21.5600,21.7500,21.2500,21.6300,13.6404,1543200
1998-04-27,21.5000,21.5600,21.2500,21.2500,13.4008,1013900
1998-04-28,21.5000,21.6300,21.3100,21.6300,13.6404,1717100
1998-04-29,21.5000,21.6300,21.3800,21.5000,13.5584,2229700
1998-04-30,21.6900,21.8800,21.4400,21.5000,13.5584,1891900
1998-05-01,21.5000,21.5600,21.2500,21.3100,13.4386,1379000
1998-05-04,21.3800,21.4400,21.0600,21.2500,13.4008,1753300
1998-05-05,21.2500,21.2500,21.0600,21.1300,13.3251,1595800
1998-05-06,21.0000,21.1300,21.0000,21.0600,13.3069,2631500
1998-05-07,21.0000,21.0600,20.8800,20.9400,13.2311,1565100
1998-05-08,21.1300,21.1900,20.6900,20.9400,13.2311,1385700
1998-05-11,21.0000,21.0000,20.6900,20.7500,13.1110,676400
1998-05-12,20.6900,20.8100,20.5000,20.6900,13.0731,1073900
1998-05-13,20.5000,20.5600,20.1900,20.2500,12.7951,1757700
1998-05-14,20.3800,20.5000,20.1300,20.1900,12.7572,1106300
1998-05-15,20.2500,20.3100,19.9400,20.0000,12.6371,1795800
1998-05-18,20.0000,20.0000,19.6300,19.8100,12.5171,1274600
1998-05-19,19.8800,20.1300,19.7500,19.8100,12.5171,1301000
1998-05-20,19.8100,20.0000,19.8100,20.0000,12.6371,1243500
1998-05-21,20.0000,20.1300,19.5000,19.9400,12.5992,1997100
1998-05-22,19.6300,19.8100,19.4400,19.5000,12.3212,1974400
1998-05-26,19.6300,19.7500,19.3100,19.3100,12.2011,1514900
1998-05-27,19.2500,19.3100,18.5000,18.8100,11.8852,2332100
1998-05-28,18.9400,19.5000,18.8100,19.2500,12.1632,2680000
1998-05-29,19.5000,19.5000,18.8800,18.9400,11.9674,1697700
1998-06-01,18.8800,19.6900,18.8100,19.5000,12.3212,2273600
1998-06-02,19.4400,19.7500,19.2500,19.3100,12.2011,1974400
1998-06-03,19.3800,19.5000,19.0000,19.1900,12.1253,2481400
1998-06-04,19.0000,19.0600,18.5600,18.6300,11.7715,2191200
1998-06-05,18.8800,22.0000,18.8100,21.2500,13.4269,7170000
1998-06-08,20.5600,20.8100,19.9400,20.0000,12.6371,3993700
1998-06-09,20.0000,20.3100,19.8800,19.9400,12.5992,2422000
1998-06-10,19.5600,20.0600,19.5600,19.9400,12.5992,2438800
1998-06-11,19.8100,20.2500,19.6900,20.2500,12.7951,1599200
1998-06-12,20.1900,20.1900,19.6300,20.0600,12.6750,1290500
1998-06-15,19.6900,19.9400,19.4400,19.4400,12.2833,1352600
1998-06-16,19.5600,19.6900,19.1900,19.6300,12.4033,1620800
1998-06-17,19.6300,20.6900,19.6300,20.6900,13.0731,2088600
1998-06-18,20.5000,20.8800,20.0000,20.4400,12.9151,1390100
1998-06-19,20.4400,20.5600,20.0600,20.4400,12.9151,1612000
1998-06-22,20.1900,20.3100,19.8100,19.9400,12.5992,1032500
1998-06-23,20.0000,20.1300,19.8800,20.1300,12.7193,1286400
1998-06-24,20.0000,20.6300,20.0000,20.3800,12.8772,1536000
1998-06-25,20.2500,20.4400,19.6900,20.0000,12.6371,2396000
1998-06-26,20.0600,20.0600,19.5000,19.7500,12.4792,907700
1998-06-29,19.8100,19.9400,19.0600,19.4400,12.2833,1371900
1998-06-30,19.4400,19.6300,19.0600,19.3800,12.2454,1644700
1998-07-01,19.3100,19.6900,19.1300,19.6900,12.4413,1454400
1998-07-02,19.5000,19.5600,19.1900,19.4400,12.2833,892800
1998-07-06,19.1900,19.8800,19.0900,19.7500,12.4792,1847700
1998-07-07,19.6300,19.6900,19.0000,19.0000,12.0053,1303500
1998-07-08,19.0000,19.1300,18.6300,18.8800,11.9294,2808000
1998-07-09,18.7500,18.7500,18.1900,18.1900,11.4935,2098300
1998-07-10,18.1900,18.7500,18.1300,18.1900,11.4935,1624900
1998-07-13,18.1900,18.2500,17.7500,17.8100,11.2534,1052600
1998-07-14,18.3100,18.3100,17.6300,17.8800,11.2976,1421100
1998-07-15,17.9400,18.1300,17.6900,17.8100,11.2534,1741400
1998-07-16,17.8100,18.0600,17.1300,17.6900,11.1775,1883500
1998-07-17,17.9400,18.0000,17.5000,17.6300,11.1396,2125600
1998-07-20,17.7500,17.8800,17.3800,17.4400,11.0196,1344700
1998-07-21,17.5600,17.6300,17.2500,17.3100,10.9374,1261300
1998-07-22,17.2500,17.5000,17.2500,17.4400,11.0196,700900
1998-07-23,17.3100,17.5000,17.1300,17.1300,10.8237,1328400
1998-07-24,17.1300,17.2500,17.0000,17.2500,10.8995,1543100
1998-07-27,17.0600,17.1900,16.4400,16.5600,10.4635,2003700
1998-07-28,16.5000,16.8800,16.3800,16.7500,10.5836,2430100
1998-07-29,17.0000,17.2500,16.9400,17.1300,10.8237,2720200
1998-07-30,17.0600,17.6300,17.0600,17.5600,11.0954,1666500
1998-07-31,17.5000,17.6300,17.0600,17.1300,10.8237,1088300
1998-08-03,17.0600,17.2500,16.8100,17.0000,10.7416,1961700
1998-08-04,17.0000,17.0000,16.4400,16.5000,10.4256,2840500
1998-08-05,16.5000,16.9400,16.4400,16.6900,10.5717,1745500
1998-08-06,16.6900,16.8800,16.3800,16.5600,10.4893,1301000
1998-08-07,16.5000,16.8100,16.4400,16.6300,10.5337,1364700
1998-08-10,16.7500,17.9400,16.7500,17.8100,11.2811,2176900
1998-08-11,17.5000,17.8800,17.1900,17.7500,11.2431,1444900
1998-08-12,17.6900,18.1300,17.2500,17.7500,11.2431,1261100
1998-08-13,17.5600,17.6900,17.1900,17.4400,11.0467,848800
1998-08-14,17.4400,17.5000,16.7500,17.0000,10.7680,691400
1998-08-17,17.0000,17.2500,16.8100,16.8100,10.6477,584700
1998-08-18,17.0000,17.3800,16.8800,17.1900,10.8884,763400
1998-08-19,17.3800,17.4400,17.0000,17.0600,10.8060,917500
1998-08-20,16.2500,16.6900,16.2500,16.6200,10.5273,1098000
1998-08-21,16.5000,16.5600,16.2500,16.5000,10.4513,1261500
1998-08-24,16.5000,16.6200,16.2500,16.3100,10.3310,915200
1998-08-25,16.3100,16.5000,16.0600,16.1900,10.2550,1923000
1998-08-26,16.1200,16.1900,15.8100,15.8100,10.0143,1505600
1998-08-27,15.7500,15.9400,15.1900,15.1900,9.6216,2069700
1998-08-28,15.5000,16.0000,15.2500,15.6200,9.8939,1991400
1998-08-31,15.5000,15.7500,14.8700,15.0000,9.5012,1808800
1998-09-01,15.0000,16.0000,14.8700,15.9400,10.0966,1848300
1998-09-02,15.6900,16.0000,15.5600,15.5600,9.8559,1467400
1998-09-03,15.3100,15.3700,14.8700,15.1900,9.6216,1445200
1998-09-04,15.1900,15.1900,14.8100,15.0000,9.5012,1321000
1998-09-08,15.0000,15.2500,14.8100,15.0000,9.5012,1837300
1998-09-09,15.0000,15.8100,14.8700,15.5000,9.8179,1299300
1998-09-10,15.3700,16.3100,15.2500,16.1200,10.2106,2000100
1998-09-11,15.8700,16.3700,15.8100,16.2500,10.2930,1545200
1998-09-14,16.2500,17.0600,16.2500,16.7500,10.6097,1452300
1998-09-15,16.7500,16.9400,16.6200,16.8100,10.6477,452700
1998-09-16,16.6900,16.8700,16.1200,16.2500,10.2930,1218900
1998-09-17,15.6200,15.9400,15.2500,15.5600,9.8559,1717800
1998-09-18,15.5000,15.9400,15.4400,15.9400,10.0966,2290800
1998-09-21,15.6200,16.2500,15.1200,16.0600,10.1726,901400
1998-09-22,16.0600,16.2500,16.0000,16.1200,10.2106,721600
1998-09-23,16.2500,16.8700,16.1900,16.6900,10.5717,964200
1998-09-24,16.6200,17.4400,16.6200,16.9400,10.7300,2328000
1998-09-25,17.0000,17.0600,16.0000,16.8100,10.6477,1408000
1998-09-28,17.0000,17.4400,17.0000,17.3700,11.0024,923000
1998-09-29,17.3700,17.9400,17.3100,17.5000,11.0847,1403500
1998-09-30,17.1900,17.1900,16.3700,16.7500,10.6097,922900
1998-10-01,16.4400,16.6900,16.0600,16.1200,10.2106,908900
1998-10-02,16.2500,17.2500,16.0600,17.0600,10.8060,1405200
1998-10-05,17.1900,17.3700,16.4400,17.0600,10.8060,1063700
1998-10-06,17.1900,17.2500,16.7500,16.9400,10.7300,724900
1998-10-07,16.9400,16.9400,16.4400,16.7500,10.6097,987200
1998-10-08,16.0000,16.6900,16.0000,16.5600,10.4893,1224800
1998-10-09,16.6200,16.8700,16.3700,16.5000,10.4513,1187700
1998-10-12,16.5000,16.8100,16.3700,16.5600,10.4893,760400
