,open,high,low,close,adj_close,volume
1998-01-02,61.3100,61.3800,59.2500,60.0000,15.6116,687450
1998-01-05,60.3800,60.8800,59.6900,60.8100,15.8224,1067050
1998-01-06,60.4400,61.0000,59.8800,60.9400,15.8562,590950
1998-01-07,60.7500,60.7500,59.6300,60.1300,15.6455,780100
1998-01-08,60.0000,60.1900,59.3100,59.8800,15.5804,500950
1998-01-09,59.8100,59.8100,58.5600,58.6900,15.2708,914050
1998-01-12,57.5600,59.9400,57.5600,59.9400,15.5960,874800
1998-01-13,60.0000,60.1900,59.3100,60.1300,15.6455,1016050
1998-01-14,60.0600,60.0600,58.7500,60.0000,15.6116,495250
1998-01-15,60.0600,60.3100,58.8800,59.1900,15.4009,663450
1998-01-16,59.0600,59.9400,58.8800,59.5000,15.4815,983000
1998-01-20,60.2500,61.2500,60.1900,61.2500,15.9369,1040900
1998-01-21,61.2500,61.2500,60.5000,61.0600,15.8874,606650
1998-01-22,61.0000,62.1900,60.9400,61.0000,15.8718,813150
1998-01-23,61.0000,61.5000,60.3100,60.5600,15.7573,569900
1998-01-26,60.7500,60.8800,60.0600,60.5600,15.7573,426800
1998-01-27,60.8100,61.2500,60.0000,60.6300,15.7755,563450
1998-01-28,60.6300,60.6900,59.8100,60.3100,15.6923,691850
1998-01-29,60.3100,61.0600,59.8800,59.9400,15.5960,763700
1998-01-30,60.0600,60.4400,59.7500,59.8100,15.5622,871050
1998-02-02,59.8800,61.5000,59.8800,61.5000,16.0019,868600
1998-02-03,61.6300,62.3800,61.2500,62.1900,16.1815,562850
1998-02-04,62.2500,62.5000,61.6300,61.8100,16.0826,486900
1998-02-05,61.8100,61.8800,60.7500,61.3100,15.9525,1181600
1998-02-06,61.3100,61.3800,60.4400,61.0000,15.8718,522500
1998-02-09,61.0000,61.0000,60.3100,60.7500,15.8068,512650
1998-02-10,60.8100,61.0000,60.1900,60.4400,15.7261,582650
1998-02-11,60.7500,60.9400,60.0600,60.7500,15.8068,836900
1998-02-12,60.5000,60.7500,59.8800,60.6900,15.7912,485050
1998-02-13,60.4400,60.6900,59.5000,60.3800,15.7105,552000
1998-02-17,60.6300,61.0000,59.7500,60.5600,15.7573,661200
1998-02-18,60.5600,61.5000,60.5000,61.2500,15.9369,530300
1998-02-19,61.0000,61.5600,60.1300,60.1300,15.6455,642700
1998-02-20,60.6300,61.0000,59.8800,60.6900,15.7912,896750
1998-02-23,60.7500,61.5600,60.6900,61.0000,15.8718,432200
1998-02-24,60.9400,60.9400,59.6900,59.9400,15.5960,663750
1998-02-25,60.1900,61.5000,60.0600,60.8800,15.8406,680000
1998-02-26,60.9400,61.8100,60.3100,61.8100,16.0826,586050
1998-02-27,61.8100,61.8100,61.0000,61.0600,15.8874,565850
1998-03-02,60.6300,61.8800,60.5600,61.8800,16.1008,719750
1998-03-03,61.8100,62.2500,61.6300,62.1300,16.1658,582050
1998-03-04,61.8800,62.5600,61.0000,62.3800,16.2309,779100
1998-03-05,61.8100,62.3800,61.1300,61.2500,15.9369,625250
1998-03-06,61.7500,63.6300,61.7500,63.0600,16.4078,611750
1998-03-09,63.0600,63.8100,62.7500,63.0600,16.4078,661700
