,open,high,low,close,adj_close,volume
1998-01-02,36.6300,37.5000,35.8800,37.5000,8.9134,276200
1998-01-05,36.8800,38.5000,36.8800,38.2500,9.0916,704500
1998-01-06,38.1300,40.0000,38.1300,39.3800,9.3602,832700
1998-01-07,39.5000,39.5000,37.5000,38.0000,9.0465,697600
1998-01-08,37.7500,39.1300,37.3800,38.8800,9.2560,538600
1998-01-09,38.6300,38.8800,34.7500,35.9400,8.5560,1315900
1998-01-12,34.5000,36.3800,34.3800,35.7500,8.5108,730800
1998-01-13,36.0000,37.2500,35.6300,36.3800,8.6608,748600
1998-01-14,36.5000,37.5000,35.8400,37.3800,8.8989,406200
1998-01-15,37.2500,38.5000,37.0000,37.8800,9.0179,674000
1998-01-16,38.2500,38.7500,38.0000,38.1900,9.0917,454400
1998-01-20,38.0000,38.2500,36.7500,38.0600,9.0607,708200
1998-01-21,37.5000,38.5600,37.0000,37.8800,9.0179,429200
1998-01-22,37.1300,37.9400,36.7500,37.5000,8.9274,596400
1998-01-23,37.3800,38.6300,37.3800,38.5600,9.1798,813200
1998-01-26,38.2500,39.0000,38.1300,38.1300,9.0774,556100
1998-01-27,38.0000,38.1300,36.5000,37.7500,8.9869,1011000
1998-01-28,37.7500,38.0000,36.6300,36.8100,8.7632,910600
1998-01-29,36.9400,38.4400,36.5000,37.1900,8.8536,1369700
1998-01-30,37.5000,38.8800,37.1300,38.6300,9.1964,816800
1998-02-02,39.1300,40.6300,38.8100,39.1900,9.3298,1530700
1998-02-03,39.2500,40.1300,38.5000,39.6900,9.4488,616800
1998-02-04,39.5000,40.5000,39.0000,40.3100,9.5964,664300
1998-02-05,40.5000,41.2500,39.2500,39.5000,9.4036,737700
1998-02-06,40.0000,44.0000,39.7500,42.6900,10.1630,1709700
1998-02-09,42.6300,43.4400,42.2500,42.6900,10.1630,828700
1998-02-10,42.6300,44.1300,42.6300,43.8100,10.4296,790500
1998-02-11,43.7500,45.3800,43.7500,44.7500,10.6534,1491700
1998-02-12,44.6300,45.7500,44.3800,45.3800,10.8034,1278800
1998-02-13,45.0000,45.2500,44.1300,44.3800,10.5653,833700
1998-02-17,44.8800,45.3800,43.3800,43.5000,10.3558,875800
1998-02-18,43.6300,44.3800,43.5000,44.2500,10.5344,573500
1998-02-19,44.0000,44.7500,43.0000,43.7500,10.4153,441700
1998-02-20,44.0000,44.0000,41.7500,42.2500,10.0582,801100
1998-02-23,42.6300,44.6300,42.5000,43.8100,10.4296,691100
1998-02-24,43.5600,45.3800,43.2500,43.3800,10.3273,780900
1998-02-25,43.7500,45.0000,43.6300,44.8800,10.6843,461600
1998-02-26,47.8800,49.8800,47.0000,49.8800,11.8747,3776400
1998-02-27,50.0000,50.0600,47.3800,47.3800,11.2795,1072800
1998-03-02,48.0000,48.5600,47.3800,48.0000,11.4271,979900
1998-03-03,47.6300,48.1300,46.8800,48.0000,11.4271,451700
1998-03-04,47.3800,48.4400,46.2500,48.0000,11.4271,923400
1998-03-05,47.0000,48.1300,45.8800,46.4400,11.0557,2237300
1998-03-06,47.0000,47.7500,46.1300,46.3100,11.0248,641400
1998-03-09,45.8800,47.2500,45.5000,45.6900,10.8772,679400
1998-03-10,46.2500,47.2500,46.1900,47.1300,11.2200,549000
1998-03-11,47.3800,47.5000,45.4400,46.1300,10.9819,1113500
1998-03-12,46.0000,46.7500,45.6300,46.0000,10.9510,538700
1998-03-13,46.3800,46.6300,45.6300,46.1300,10.9819,613500
1998-03-16,45.7500,46.6300,45.0000,46.5600,11.0843,602700
