,open,high,low,close,adj_close,volume
2001-06-15,13.1600,13.1600,12.7500,12.8600,12.5359,511400
2001-06-18,12.8500,13.1500,12.7000,13.1100,12.7796,408000
2001-06-19,13.4000,13.6000,13.1500,13.5500,13.2085,216400
2001-06-20,13.5000,13.6500,13.3000,13.5500,13.2085,54400
2001-06-21,13.5300,13.9000,13.5200,13.8800,13.5302,80700
2001-06-22,14.0000,14.9800,14.0000,14.5500,14.1833,127900
2001-06-25,14.7500,14.8500,14.4000,14.6500,14.2807,87100
2001-06-26,14.7000,14.7800,14.6500,14.7000,14.3295,48900
2001-06-27,14.6000,15.1500,14.5500,15.1100,14.7292,139800
2001-06-28,15.0100,15.2500,14.9000,15.0000,14.6219,195100
2001-06-29,15.1000,15.9000,15.0000,15.0000,14.6219,130700
2001-07-02,15.2500,15.6000,14.3100,14.4000,14.0370,42000
2001-07-03,14.4500,15.0500,14.4500,14.9700,14.5927,35600
2001-07-05,14.9000,15.4500,14.9000,15.2000,14.8169,97100
2001-07-06,15.4000,15.4000,14.7500,14.9500,14.5732,149700
2001-07-09,15.0000,15.2000,14.8600,14.9000,14.5244,130000
2001-07-10,14.9000,15.1000,14.7000,14.7000,14.3295,189200
2001-07-11,14.7000,14.8000,14.6000,14.6000,14.2320,76800
2001-07-12,14.7000,15.2100,14.7000,15.2100,14.8266,177600
2001-07-13,15.0000,15.8100,15.0000,15.8100,15.4115,144200
2001-07-16,15.8100,15.8100,15.2100,15.5000,15.1093,38600
2001-07-17,15.5000,16.0000,15.5000,15.8500,15.4505,32900
2001-07-18,15.8000,16.7500,15.5000,16.7500,16.3278,102500
2001-07-19,16.9000,17.4000,16.0000,16.4000,15.9866,303700
2001-07-20,16.4000,16.4000,14.7000,14.9500,14.5732,82700
2001-07-23,14.9800,15.0500,14.8100,14.8500,14.4757,55500
2001-07-24,14.8500,14.8500,14.0000,14.1000,13.7446,45600
2001-07-25,14.1000,14.1000,13.5000,13.5000,13.1597,65800
2001-07-26,13.5000,13.9000,13.5000,13.7500,13.4034,653100
2001-07-27,13.8500,14.1500,13.8400,14.1500,13.7933,62000
2001-07-30,14.1500,14.5000,14.1500,14.3800,14.0176,54800
2001-07-31,14.3700,15.0000,14.3700,15.0000,14.6219,268500
2001-08-01,14.9000,15.4000,14.9000,15.0000,14.6219,19200
2001-08-02,15.0000,15.5000,14.9000,15.5000,15.1093,36900
2001-08-03,15.5000,15.5000,15.3000,15.5000,15.1093,34300
2001-08-06,15.5000,15.5900,15.4500,15.5900,15.1971,2700
2001-08-07,15.5900,15.6900,15.3000,15.4000,15.0118,23200
2001-08-08,15.6500,15.7800,15.2000,15.2000,14.8169,28500
2001-08-09,15.2500,15.2500,14.8500,14.9900,14.6122,9400
2001-08-10,15.1000,15.3000,14.9500,14.9500,14.5732,26800
2001-08-13,14.9500,15.8900,14.9500,15.4500,15.0606,55800
2001-08-14,15.4500,15.7000,15.4500,15.5000,15.1093,59200
2001-08-15,15.6500,16.1500,15.5100,16.1500,15.7429,29400
2001-08-16,16.1500,16.1700,16.0500,16.1500,15.7429,12300
2001-08-17,16.1900,16.3000,16.1900,16.2500,15.8404,6100
2001-08-20,16.2500,16.2500,16.2500,16.2500,15.8404,36200
2001-08-21,16.3000,16.6500,16.3000,16.5000,16.0841,92800
2001-08-22,16.4000,16.4000,15.6000,15.7500,15.3530,11600
2001-08-23,15.7000,15.7000,15.2500,15.4800,15.0898,23500
2001-08-24,15.4000,15.4700,14.9500,15.0900,14.7097,11100
2001-08-27,15.0000,15.0400,14.7000,14.9500,14.5732,16900
2001-08-28,14.8500,14.8900,14.4000,14.8900,14.5147,10800
2001-08-29,14.9900,15.4000,14.2500,15.0500,14.6707,209600
2001-08-30,15.1000,15.1000,14.7500,15.0100,14.6317,388900
2001-08-31,15.1000,15.4000,15.1000,15.2500,14.8656,103800
2001-09-04,15.3500,15.4000,15.3500,15.4000,15.0118,17100
2001-09-05,15.3900,16.5600,15.3900,16.2500,15.8404,108600
2001-09-06,16.1500,16.2500,16.1000,16.1000,15.6942,70100
2001-09-07,16.0500,16.2000,16.0500,16.1800,15.7722,48500
2001-09-10,16.1500,16.2000,16.0000,16.0000,15.5967,91400
2001-09-17,14.5000,14.5000,13.9000,13.9000,13.5497,28900
2001-09-18,13.8000,13.8000,12.5000,12.5000,12.1849,111300
2001-09-19,12.5000,12.5000,11.1000,11.4000,11.1127,23300
2001-09-20,11.6500,11.6500,11.3500,11.3500,11.0639,166200
2001-09-21,12.0000,12.0000,11.0500,12.0000,11.6975,280000
2001-09-24,14.5500,14.5500,12.1000,13.7000,13.3547,98800
2001-09-25,13.7000,13.7000,13.7000,13.7000,13.3547,54600
2001-09-26,14.6500,14.6500,14.3100,14.6000,14.2320,25100
2001-09-27,14.5500,15.9000,14.5500,15.8000,15.4018,65100
2001-09-28,15.7500,16.2500,14.9000,16.2500,15.8404,104400
2001-10-01,16.0500,16.0500,14.9000,14.9100,14.5342,180100
2001-10-02,14.9100,14.9100,14.5000,14.5000,14.1345,12600
2001-10-03,14.5100,14.5100,14.4500,14.4500,14.0858,57300
2001-10-04,14.5500,14.5500,14.4000,14.5000,14.1345,83300
2001-10-05,14.5100,14.5100,14.4000,14.4000,14.0370,49100
2001-10-08,14.4100,14.4100,14.3700,14.3700,14.0078,53900
2001-10-09,14.3300,14.3300,14.3200,14.3300,13.9688,13800
2001-10-10,14.3000,14.5000,14.3000,14.4000,14.0370,74000
2001-10-11,14.5000,14.6000,14.5000,14.6000,14.2320,118600
