,open,high,low,close,adj_close,volume
1998-01-02,43.0000,43.0600,42.3800,42.8100,14.1425,444000
1998-01-05,43.0600,43.1300,42.0600,42.5000,14.0401,564300
1998-01-06,42.1300,42.1900,41.7500,41.8800,13.8353,253600
1998-01-07,41.8800,41.8800,40.8800,41.5000,13.7097,358100
1998-01-08,41.5600,41.5600,40.7500,41.0000,13.5446,325100
1998-01-09,40.9400,41.8100,40.9400,41.3800,13.6701,306600
1998-01-12,41.1300,41.8100,41.0000,41.7500,13.7923,268300
1998-01-13,41.7500,41.7500,41.1900,41.4400,13.6899,193300
1998-01-14,41.4400,41.4400,41.1300,41.2500,13.6271,139500
1998-01-15,41.1900,41.1900,40.2500,40.3100,13.3166,155400
1998-01-16,40.6300,40.8100,40.4400,40.5000,13.3794,251100
1998-01-20,37.5000,37.6300,36.5000,37.0600,12.2430,1051500
1998-01-21,36.8800,36.8800,35.7500,36.8100,12.1604,1026300
1998-01-22,36.3800,36.6300,36.1300,36.3800,12.0183,492700
1998-01-23,36.1300,36.3800,35.6300,36.0000,11.8928,323500
1998-01-26,36.0600,36.2500,35.5600,36.1900,11.9555,273000
1998-01-27,36.1900,36.4400,35.8100,36.2500,11.9754,563700
1998-01-28,36.0600,36.5000,36.0600,36.5000,12.0580,284000
1998-01-29,36.5000,37.0000,36.3800,36.7500,12.1405,383800
1998-01-30,36.7500,36.8800,36.5600,36.6300,12.1009,486500
1998-02-02,36.7500,36.8800,36.5000,36.6900,12.1207,233000
1998-02-03,36.6300,36.8100,36.3800,36.6300,12.1009,189200
1998-02-04,36.6300,36.6300,36.2500,36.5000,12.0580,557800
1998-02-05,36.9400,37.1300,36.6300,36.9400,12.2033,210000
1998-02-06,37.0000,37.5600,36.7500,37.5600,12.4081,251100
1998-02-09,37.4400,37.9400,37.4400,37.8800,12.5138,271700
1998-02-10,37.8100,38.3100,37.8100,37.9400,12.5337,357200
1998-02-11,37.8100,37.8800,37.6300,37.7500,12.4709,280600
1998-02-12,37.5000,37.9400,37.3800,37.8100,12.4907,496100
1998-02-13,37.6300,37.8800,37.4400,37.5000,12.3883,181800
1998-02-17,37.4400,38.0000,37.1300,38.0000,12.5535,360600
1998-02-18,38.0000,38.2500,37.9400,38.0000,12.5535,267600
1998-02-19,38.0000,38.1900,38.0000,38.1900,12.6163,386300
1998-02-20,38.1300,38.3100,37.8100,38.3100,12.6559,798600
1998-02-23,38.3100,38.6300,38.0600,38.6300,12.7616,347100
1998-02-24,38.4400,38.5000,38.1300,38.5000,12.7187,228500
1998-02-25,38.5600,38.7500,38.3800,38.3800,12.6790,342500
1998-02-26,38.2500,38.4400,38.0600,38.1900,12.6163,152800
1998-02-27,38.1300,38.4900,38.0600,38.4400,12.6988,218800
1998-03-02,38.1900,38.5000,38.1900,38.4400,12.6988,219700
1998-03-03,38.4400,38.5000,38.3800,38.4400,12.6988,416300
1998-03-04,38.3800,38.5000,38.2500,38.3800,12.6790,146700
1998-03-05,38.1900,38.4400,38.1300,38.3100,12.6559,293600
1998-03-06,37.3800,38.1300,37.3800,38.1300,12.8062,3544900
1998-03-09,38.0000,38.0600,37.7500,37.8100,12.6987,309000
1998-03-10,37.8100,38.2500,37.7500,38.1300,12.8062,290000
1998-03-11,38.0600,38.8800,38.0600,38.7500,13.0144,543800
1998-03-12,38.7500,38.7500,38.4400,38.5600,12.9506,241700
1998-03-13,38.4400,38.7500,38.3800,38.6900,12.9943,425000
1998-03-16,38.6900,39.6900,38.6300,39.5000,13.2663,395400
1998-03-17,39.5000,40.3100,39.5000,40.3100,13.5384,351500
1998-03-18,40.1300,41.0000,40.1300,40.8800,13.7298,668800
1998-03-19,40.7500,41.5000,40.6300,41.5000,13.9380,431500
1998-03-20,41.7500,42.4400,41.6300,42.3100,14.2101,521300
1998-03-23,42.2500,42.3100,41.8100,42.0600,14.1261,293400
1998-03-24,42.0000,42.2500,41.7500,42.0600,14.1261,291300
1998-03-25,42.0000,42.4400,41.8800,42.4400,14.2538,222000
1998-03-26,42.3800,42.3800,41.8800,41.9400,14.0858,452000
1998-03-27,41.6900,41.8100,41.0600,41.3800,13.8977,412800
1998-03-30,41.3800,41.8100,41.2500,41.5000,13.9380,366000
1998-03-31,41.2500,42.2500,41.1300,42.1300,14.1496,414900
1998-04-01,42.1900,42.1900,41.6300,42.0000,14.1060,200100
1998-04-02,41.8800,42.1900,41.8100,42.1900,14.1698,386000
1998-04-03,42.1900,42.5600,42.0000,42.5000,14.2739,254700
1998-04-06,42.3100,42.3800,42.0600,42.1900,14.1698,179800
1998-04-07,42.0600,42.0600,41.6300,41.8100,14.0422,235300
1998-04-08,41.6900,41.8800,41.5000,41.8800,14.0657,453200
1998-04-09,41.8100,41.8800,41.3100,41.8800,14.0657,731700
1998-04-13,42.0000,42.0000,41.6300,41.8100,14.0422,796600
1998-04-14,41.6900,42.3100,41.5600,42.2500,14.1899,526400
1998-04-15,42.1300,42.5000,42.0000,42.3100,14.2101,357100
1998-04-16,42.0600,42.0600,41.7500,41.9400,14.0858,325300
1998-04-17,41.9400,42.1300,41.5600,42.1300,14.1496,287900
1998-04-20,41.9400,41.9400,41.5600,41.6900,14.0019,149800
1998-04-21,41.5000,41.5000,41.0600,41.3100,13.8742,373900
1998-04-22,41.1900,41.1900,41.0000,41.0000,13.7701,285400
1998-04-23,41.0600,41.3100,39.7500,39.7500,13.3503,387700
1998-04-24,39.7500,40.5600,39.4400,39.8800,13.3940,398800
1998-04-27,39.7500,39.8100,38.1900,39.5600,13.2865,128000
1998-04-28,39.6300,39.6900,39.0600,39.2500,13.1824,592600
1998-04-29,39.3800,39.3800,38.8800,39.0600,13.1186,242900
1998-04-30,39.1900,39.8800,39.1900,39.6300,13.3100,442400
1998-05-01,39.6900,39.6900,39.2500,39.3100,13.2025,258000
1998-05-04,39.4400,39.5000,39.0000,39.2500,13.1824,175300
1998-05-05,39.0600,39.1900,38.5600,38.9400,13.0783,165800
1998-05-06,39.1300,39.1300,38.7500,39.0000,13.0984,135300
1998-05-07,38.8800,39.0000,38.8800,39.0000,13.0984,118300
1998-05-08,38.8800,39.0600,38.6300,38.8100,13.0346,163500
1998-05-11,38.8100,39.2500,38.7500,38.8800,13.0581,288200
1998-05-12,38.8800,38.9400,38.6900,38.9400,13.0783,100100
1998-05-13,38.8100,38.8800,38.5000,38.6900,12.9943,124900
1998-05-14,38.6300,38.8100,38.5600,38.6900,12.9943,175900
1998-05-15,38.6900,38.8800,38.5000,38.5600,12.9506,225400
1998-05-18,38.3800,38.5600,38.1300,38.3800,12.8902,134400
1998-05-19,38.3100,38.3800,37.8800,38.3100,12.8667,149200
1998-05-20,38.3100,38.9400,38.2500,38.9400,13.0783,144600
1998-05-21,38.9400,39.1900,38.7500,39.0000,13.0984,96100
1998-05-22,38.8800,39.1300,38.5600,38.5600,12.9506,201900
1998-05-26,38.6300,38.6900,38.1900,38.1900,12.8264,121600
1998-05-27,38.1300,38.6900,37.6300,38.2500,12.8465,158600
1998-05-28,38.2500,38.8800,38.2500,38.6900,12.9943,217500
1998-05-29,38.5600,39.1300,38.5600,39.1300,13.1421,163000
1998-06-01,39.0000,40.6900,38.9400,40.5600,13.6223,190200
1998-06-02,40.3100,40.7500,40.1300,40.3800,13.5619,175700
1998-06-03,40.2500,40.8800,40.1900,40.5000,13.6022,105000
1998-06-04,40.3100,40.6300,40.1900,40.3100,13.5384,133800
1998-06-05,40.2500,40.8800,40.2500,40.8800,13.7298,167700
1998-06-08,40.0600,40.1300,39.7500,39.8100,13.5837,1874800
1998-06-09,39.8800,39.8800,39.2500,39.3800,13.4370,261000
1998-06-10,39.4400,40.1900,39.3800,40.1200,13.6895,174600
1998-06-11,40.0000,40.5000,39.7500,40.3100,13.7543,260500
1998-06-12,40.1300,40.3800,39.7500,40.1300,13.6929,275100
1998-06-15,40.0000,40.1300,39.6900,39.8100,13.5837,227000
1998-06-16,40.0000,40.0600,39.7500,39.8100,13.5837,283000
1998-06-17,39.8100,39.9400,39.4400,39.5600,13.4984,364200
1998-06-18,39.7500,40.3100,39.6300,40.1900,13.7134,308200
1998-06-19,40.1900,40.1900,39.5600,39.6900,13.5428,212700
1998-06-22,39.7500,40.1300,39.6900,39.6900,13.5428,121200
1998-06-23,39.8100,39.8100,39.5000,39.7500,13.5632,105600
1998-06-24,39.6300,39.8800,39.6300,39.6300,13.5223,353200
1998-06-25,40.0000,40.0600,39.3100,39.3800,13.4370,254300
1998-06-26,39.3100,39.6300,39.1300,39.4400,13.4575,213700
1998-06-29,39.6300,40.1300,39.3100,39.8800,13.6076,197000
1998-06-30,39.5600,40.0600,39.5600,39.7500,13.5632,227100
1998-07-01,40.0600,40.3100,39.6900,40.3100,13.7543,204800
1998-07-02,40.1900,40.3800,39.9400,40.3800,13.7782,107100
1998-07-06,40.2500,40.4400,39.8800,40.1900,13.7134,155100
1998-07-07,40.0600,40.3800,40.0000,40.2500,13.7339,106000
1998-07-08,40.3100,40.4400,39.9400,40.3100,13.7543,99800
1998-07-09,40.1300,40.2500,40.0000,40.1300,13.6929,127900
1998-07-10,40.0000,40.1900,39.3800,39.8800,13.6076,375900
1998-07-13,39.8800,39.8800,39.4400,39.4400,13.4575,91500
1998-07-14,39.4400,39.8100,39.3100,39.6300,13.5223,188700
1998-07-15,39.3800,39.7500,39.1300,39.5000,13.4779,141600
1998-07-16,39.3800,39.4400,39.1300,39.3100,13.4131,299900
1998-07-17,39.3100,39.3100,38.8800,39.3100,13.4131,154900
1998-07-20,39.1900,39.2500,38.7500,39.0600,13.3278,82600
1998-07-21,39.0000,39.1900,38.6300,39.0000,13.3073,212100
1998-07-22,39.0000,39.5000,38.8100,39.5000,13.4779,67900
1998-07-23,39.3800,39.4400,38.7500,39.0000,13.3073,99100
1998-07-24,39.0000,39.0000,38.4400,38.8800,13.2664,246700
1998-07-27,38.8800,39.0000,38.5000,39.0000,13.3073,181200
1998-07-28,38.7500,38.8100,38.1900,38.5000,13.1367,114600
1998-07-29,38.5600,38.5600,38.1900,38.3100,13.0719,123500
1998-07-30,38.3100,38.9400,38.2500,38.5000,13.1367,190300
1998-07-31,38.6300,38.6300,37.6300,37.8100,12.9013,185900
1998-08-03,38.0000,38.3100,37.6900,38.3100,13.0719,121400
1998-08-04,38.0600,38.5000,37.3100,37.3800,12.7546,153100
1998-08-05,37.3800,37.7500,37.0000,37.7500,12.8808,167400
1998-08-06,37.6300,37.7500,37.2500,37.6300,12.8399,68600
1998-08-07,37.5000,38.1900,37.3100,38.0600,12.9866,199900
1998-08-10,38.0600,38.1300,37.8100,38.1300,13.0105,130200
1998-08-11,37.7500,38.0000,37.5000,37.8800,12.9252,182500
1998-08-12,37.7500,39.3800,37.5000,39.3800,13.4370,278900
1998-08-13,38.8100,39.3800,38.3800,38.5600,13.1572,191800
1998-08-14,38.5000,39.0000,38.4400,38.6900,13.2016,141600
1998-08-17,39.2500,39.2500,38.8100,39.1300,13.3517,226200
1998-08-18,38.8800,39.1300,38.6900,39.0000,13.3073,322300
1998-08-19,38.8100,39.0000,38.5600,38.8100,13.2425,467200
1998-08-20,38.8800,39.0000,38.5600,38.7500,13.2220,84600
1998-08-21,38.5000,39.7500,38.4400,39.5000,13.4779,254800
1998-08-24,39.5600,40.0000,39.4400,39.9400,13.6281,109200
1998-08-25,39.9400,40.0000,39.4400,39.8800,13.6076,240400
1998-08-26,39.6900,40.5000,39.5000,40.1300,13.6929,299500
1998-08-27,39.8800,40.1300,39.4400,39.6300,13.5223,122700
1998-08-28,39.6300,39.6900,38.8800,39.5000,13.4779,174400
1998-08-31,39.4400,41.0000,39.2500,39.5600,13.4984,310300
1998-09-01,39.7500,40.0000,39.5000,39.8800,13.6076,353700
1998-09-02,39.7500,39.7500,38.7500,39.0000,13.3073,218100
1998-09-03,38.7500,39.0600,38.4400,38.8100,13.2425,121800
1998-09-04,38.8100,39.0000,38.5000,39.0000,13.3073,144600
1998-09-08,38.1300,39.1900,38.0000,39.1900,13.5888,1733500
1998-09-09,39.1300,39.1900,38.5600,39.1300,13.5680,100300
1998-09-10,38.8800,39.1900,38.2500,39.0000,13.5230,142000
1998-09-11,38.9400,39.5000,38.3800,39.5000,13.6963,258200
1998-09-14,39.5600,39.6300,39.0600,39.5600,13.7171,155500
1998-09-15,39.4400,39.9400,39.3100,39.9400,13.8489,139900
1998-09-16,39.6900,40.3800,39.5600,40.3100,13.9772,163500
1998-09-17,39.9400,40.0600,39.5100,40.0000,13.8697,137900
1998-09-18,40.0000,40.6300,39.8800,40.3100,13.9772,303600
1998-09-21,40.0000,40.4400,39.7500,40.4400,14.0223,108200
1998-09-22,40.5000,41.1900,40.5000,41.1900,14.2823,406100
1998-09-23,41.1900,41.5000,40.6900,41.3800,14.3482,491400
1998-09-24,41.2500,41.3800,40.0000,40.7500,14.1298,152100
1998-09-25,40.5000,41.4400,40.4400,40.8100,14.1506,270300
1998-09-28,41.3800,41.3800,40.8100,41.3100,14.3239,163600
1998-09-29,41.5000,41.9400,41.3800,41.8800,14.5216,313400
1998-09-30,41.7500,42.2500,41.5600,41.9400,14.5424,189000
1998-10-01,42.4400,42.7500,42.1900,42.5600,14.7574,256800
1998-10-02,42.4400,43.6300,42.4400,43.2500,14.9966,426200
1998-10-05,43.1900,43.9400,42.8800,43.9400,15.2359,246100
1998-10-06,43.8800,43.9400,43.3100,43.8100,15.1908,309300
1998-10-07,43.8800,44.3100,42.8800,43.4400,15.0625,541800
1998-10-08,43.1900,43.5300,42.5000,43.1900,14.9758,366100
1998-10-09,43.0000,43.0600,41.3800,42.0000,14.5632,343900
1998-10-12,41.5600,41.5600,39.6900,39.8100,13.8038,231700
1998-10-13,39.9400,40.5000,39.7500,40.1300,13.9148,216300
1998-10-14,40.4400,41.6300,40.3800,41.0600,14.2372,326600
1998-10-15,40.8100,41.9400,40.8100,41.8800,14.5216,388500
1998-10-16,41.8800,41.8800,40.8800,40.8800,14.1748,390200
1998-10-19,41.1300,41.3800,40.5000,40.6900,14.1090,148000
1998-10-20,40.9400,41.2500,39.7500,39.8800,13.8281,244300
1998-10-21,39.9400,40.0000,39.3800,39.8100,13.8038,191800
1998-10-22,39.8800,40.2500,39.6300,40.0600,13.8905,136200
