,open,high,low,close,adj_close,volume
1998-01-02,51.4400,51.6300,51.1900,51.2500,18.8774,269600
1998-01-05,51.3800,51.6900,50.7500,51.0600,18.8074,381100
1998-01-06,51.0600,51.0600,50.6300,50.9400,18.7632,877900
1998-01-07,50.7500,50.8100,50.2500,50.7500,18.6932,1263200
1998-01-08,50.7500,51.0000,50.5600,50.8800,18.7411,523500
1998-01-09,51.0000,51.0000,50.3800,50.5600,18.6232,375900
1998-01-12,50.4400,51.1900,50.3800,51.1300,18.8332,398400
1998-01-13,51.1300,51.1900,50.4400,51.0000,18.7853,280800
1998-01-14,50.9400,50.9400,50.5600,50.8100,18.7153,297900
1998-01-15,50.5600,50.5600,50.0000,50.1300,18.4648,310100
1998-01-16,50.1300,50.2500,49.9400,50.1300,18.4648,432100
1998-01-20,50.1300,50.2500,49.7500,50.1300,18.4648,363900
1998-01-21,49.8800,50.3100,49.8800,50.3100,18.5311,711400
1998-01-22,50.2500,50.6900,50.1900,50.6900,18.6711,270100
1998-01-23,50.6300,50.7500,50.0000,50.4400,18.5790,255800
1998-01-26,50.5000,50.5600,50.3100,50.4400,18.5790,202600
1998-01-27,50.2500,50.5000,49.8800,49.8800,18.3727,387400
1998-01-28,49.6900,49.8800,49.1300,49.3800,18.1886,1000100
1998-01-29,49.3100,50.0600,49.0600,49.7500,18.3249,459800
1998-01-30,49.7500,49.7500,49.2500,49.3100,18.1628,314400
1998-02-02,49.4400,50.1900,49.3800,49.8800,18.3727,852300
1998-02-03,49.7500,49.8800,49.3100,49.3100,18.1628,465000
1998-02-04,49.3100,49.3800,48.9400,48.9400,18.0265,649300
1998-02-05,49.0000,49.5000,49.0000,49.5000,18.2328,1786200
1998-02-06,48.8800,49.3800,48.8800,49.3100,18.3838,973500
1998-02-09,49.1300,49.1900,48.8100,49.0000,18.2682,622000
1998-02-10,49.0000,49.5000,48.6300,49.0600,18.2906,208900
1998-02-11,49.1900,49.1900,48.5000,49.0000,18.2682,187800
1998-02-12,48.7500,49.3100,48.5000,49.0600,18.2906,573000
1998-02-13,49.0600,49.3800,49.0000,49.1300,18.3167,391700
1998-02-17,49.0000,49.1900,49.0000,49.1300,18.3167,255000
1998-02-18,49.1900,49.3800,49.1300,49.1900,18.3391,159300
1998-02-19,49.1900,49.2500,48.8800,48.9400,18.2459,338700
1998-02-20,49.1300,49.3100,48.8800,49.3100,18.3838,838300
1998-02-23,49.3100,49.3100,48.8100,48.9400,18.2459,755500
1998-02-24,48.8100,48.8800,48.3800,48.7500,18.1750,222400
1998-02-25,48.8100,48.9400,48.5000,48.6900,18.1526,301400
1998-02-26,48.5600,48.6300,48.1900,48.3800,18.0371,328500
1998-02-27,48.3800,48.3800,48.0000,48.0000,17.8954,502000
1998-03-02,47.8100,48.4400,47.8100,48.2500,17.9886,207300
1998-03-03,48.3800,48.5000,48.0600,48.1300,17.9439,393400
1998-03-04,48.1900,48.2500,48.0000,48.1900,17.9662,252000
1998-03-05,48.0000,48.2500,48.0000,48.1900,17.9662,221600
1998-03-06,48.2500,48.5600,48.1900,48.3800,18.0371,198000
1998-03-09,48.5000,48.8800,48.2500,48.8100,18.1974,427800
1998-03-10,48.9400,49.7500,48.9400,49.6900,18.5255,708100
1998-03-11,49.7500,49.8100,49.6300,49.6300,18.5031,621300
