,open,high,low,close,adj_close,volume
1998-01-02,51.0000,51.1900,50.1300,50.1900,4.3272,109600
1998-01-05,50.0000,50.3100,49.5000,50.3100,4.3376,121100
1998-01-06,49.8100,50.6300,49.7500,50.3100,4.3376,169900
1998-01-07,49.0000,49.9400,48.3100,49.8100,4.2945,447300
1998-01-08,49.5000,49.5000,48.4400,48.5000,4.1815,176900
1998-01-09,48.1300,48.1900,46.6900,47.3800,4.0850,191100
1998-01-12,45.8100,47.4400,45.3800,47.3800,4.0850,339900
1998-01-13,47.3100,47.6300,46.8100,46.9400,4.0470,140300
1998-01-14,47.1900,48.0000,47.1900,48.0000,4.1384,217600
1998-01-15,48.0600,48.5600,47.6900,47.9400,4.1333,193100
1998-01-16,48.1900,48.5000,47.5600,48.0600,4.1436,95900
1998-01-20,48.1300,49.5600,48.0000,49.2500,4.2462,177200
1998-01-21,49.0600,49.7500,49.0600,49.5600,4.2729,233800
1998-01-22,49.0000,49.5600,48.5600,49.2500,4.2462,200500
1998-01-23,49.3800,49.3800,48.7500,48.8800,4.2143,125100
1998-01-26,49.1300,49.3100,48.3800,48.6300,4.1927,139000
1998-01-27,48.6300,49.2500,48.5600,49.1900,4.2410,212600
1998-01-28,49.1300,49.6300,48.9400,49.2500,4.2462,249500
1998-01-29,49.0000,50.0000,48.9400,50.0000,4.3109,379100
1998-01-30,51.0000,54.4400,51.0000,54.4400,4.6937,1015000
1998-02-02,54.4400,56.4400,53.8100,56.1900,4.8446,698200
1998-02-03,55.7500,59.1300,55.1900,58.6900,5.0601,641900
1998-02-04,58.1900,60.3800,58.0000,59.5600,5.1351,729000
1998-02-05,59.6300,61.1900,59.5600,60.8800,5.2489,460800
1998-02-06,60.0000,61.3100,59.3100,61.3100,5.2860,577500
1998-02-09,61.0600,61.7500,60.5600,61.3800,5.2920,211900
1998-02-10,60.6300,61.5000,60.2500,61.3800,5.2920,310300
1998-02-11,61.1300,61.8800,60.1300,60.1900,5.1894,312600
1998-02-12,60.1900,60.5000,59.5000,60.5000,5.2161,210000
1998-02-13,60.5000,60.7500,59.6300,59.9400,5.1679,204300
1998-02-17,60.2500,60.8100,59.8800,60.6300,5.2373,176600
1998-02-18,60.4400,61.6900,60.3800,61.4400,5.3072,182400
1998-02-19,61.2500,61.5000,60.5600,61.4400,5.3072,237100
1998-02-20,61.3800,61.3800,60.6900,61.0600,5.2744,231100
1998-02-23,61.0000,61.3800,60.5000,61.3100,5.2960,165900
1998-02-24,61.0600,61.5000,60.6900,61.4400,5.3072,128700
1998-02-25,61.1900,62.1900,61.0000,61.6900,5.3288,380600
1998-02-26,61.0600,61.4400,61.0000,61.3100,5.2960,160900
1998-02-27,61.3100,61.7500,61.2500,61.4400,5.3072,92900
1998-03-02,61.6900,62.6300,61.6300,62.2500,5.3772,126400
1998-03-03,62.2500,62.4400,62.0000,62.1300,5.3668,110500
1998-03-04,62.0000,62.4400,61.6900,62.0000,5.3556,75700
1998-03-05,61.1300,61.3800,61.0600,61.0600,5.2744,143900
1998-03-06,61.0600,62.6300,61.0600,62.5000,5.3988,118400
1998-03-09,62.2500,62.5000,62.0600,62.3100,5.3824,88400
1998-03-10,62.4400,63.6300,62.3800,63.3100,5.4688,192600
1998-03-11,63.0000,63.5000,62.8800,63.3100,5.4688,109800
1998-03-12,63.3100,64.8800,63.3100,64.2500,5.5500,180700
1998-03-13,64.5000,64.9400,64.0600,64.6900,5.5880,141600
1998-03-16,64.6900,65.0000,64.4400,65.0000,5.6148,98400
1998-03-17,65.0000,66.0000,65.0000,65.6900,5.6744,144900
1998-03-18,65.4400,65.9400,65.3100,65.7500,5.6795,73800
1998-03-19,65.8800,66.6300,65.8800,66.0900,5.7089,130000
1998-03-20,65.8100,66.1300,65.4400,65.5600,5.6631,110500
1998-03-23,65.3100,65.5000,64.7500,64.7500,5.5932,100200
1998-03-24,64.6300,65.5600,64.5000,65.1300,5.6260,96200
1998-03-25,65.3100,65.8100,64.0600,64.7500,5.5932,193400
1998-03-26,64.5000,65.7500,64.1900,65.3100,5.6415,124300
1998-03-27,65.5600,65.6900,63.6300,64.4400,5.5664,212300
1998-03-30,63.8800,64.3100,62.6900,63.3100,5.4688,146300
1998-03-31,63.5600,63.9400,63.1900,63.2500,5.4636,165000
1998-04-01,63.3800,66.3100,63.3800,66.1900,5.7175,251700
1998-04-02,65.3100,66.9400,65.3100,66.5600,5.7495,218800
1998-04-03,66.5600,66.5600,65.2500,65.9400,5.6960,181600
1998-04-06,65.9400,67.2500,65.9400,66.6300,5.7556,221900
1998-04-07,66.3800,66.3800,64.6300,65.3100,5.6415,274100
1998-04-08,65.3100,65.3100,63.6900,63.8800,5.5180,159900
1998-04-09,64.1900,64.3100,63.3100,63.5600,5.4904,203400
1998-04-13,62.0600,63.3800,62.0000,62.5600,5.4040,269400
1998-04-14,62.5600,62.9400,62.1900,62.6900,5.4152,215400
1998-04-15,62.5600,63.5000,62.5000,63.1900,5.4584,610900
1998-04-16,63.3800,63.5000,62.8800,63.0000,5.4420,550900
1998-04-17,62.8800,63.0000,62.6300,62.6300,5.4100,199600
1998-04-20,62.8800,62.8800,62.0000,62.2500,5.3772,174400
1998-04-21,62.1300,62.1900,60.5600,61.3100,5.2960,211600
1998-04-22,61.5600,61.7500,61.1900,61.1900,5.2856,162300
1998-04-23,61.7500,61.9400,59.8100,60.8800,5.2589,229300
1998-04-24,60.0000,60.9400,59.6900,60.5600,5.2312,382200
1998-04-27,59.4400,60.0000,59.0000,59.3100,5.1232,276900
1998-04-28,63.2500,63.2500,60.8800,60.9400,5.2640,377600
1998-04-29,61.3800,62.0000,61.1900,61.5600,5.3176,283100
1998-04-30,62.8800,65.1900,62.7500,65.0000,5.6148,474300
1998-05-01,65.1300,66.3800,65.0600,66.3100,5.7279,271800
1998-05-04,67.5000,69.0000,67.5000,69.0000,5.9603,893700
1998-05-05,68.6300,68.6300,67.9400,68.0600,5.8791,372300
1998-05-06,67.8800,67.8800,66.1300,66.1300,5.7124,292900
1998-05-07,66.3800,66.3800,65.2500,65.7500,5.6795,166900
1998-05-08,66.0000,66.5000,65.5000,65.5000,5.6579,174000
1998-05-11,65.2500,66.2500,65.0600,66.2500,5.7227,216500
1998-05-12,66.2500,66.2500,65.1300,65.4400,5.6528,675100
1998-05-13,65.1900,65.6900,65.0000,65.3800,5.6476,143200
1998-05-14,65.3800,66.6300,65.2500,66.5600,5.7495,232000
1998-05-15,66.5600,66.5600,65.8100,65.8100,5.6847,95800
1998-05-18,65.8800,66.2500,65.0000,65.6300,5.6692,117000
1998-05-19,65.3800,66.1900,65.3800,65.8100,5.6960,242000
1998-05-20,66.0000,66.1900,65.5000,65.8800,5.7020,200700
1998-05-21,65.9400,66.6300,65.0600,66.1900,5.7288,286300
1998-05-22,66.1900,66.1900,65.5000,65.7500,5.6908,104800
1998-05-26,65.7500,66.1900,64.6300,64.6300,5.5938,182200
1998-05-27,62.8800,63.5600,62.2500,62.9400,5.4475,360500
1998-05-28,62.9400,63.8800,62.6300,63.8800,5.5289,496100
1998-05-29,64.0000,64.3800,63.8800,63.9400,5.5341,245600
1998-06-01,63.9400,64.9400,63.7500,64.0600,5.5445,106200
1998-06-02,64.2500,66.3100,64.2500,65.3100,5.6527,219900
1998-06-03,65.2500,65.3800,64.1300,64.3800,5.5722,202200
