,open,high,low,close,adj_close,volume
1998-01-02,110.3000,110.4000,108.6000,110.1000,553.0989,816356
1998-01-05,110.3000,110.4000,107.6000,109.4000,549.5824,1346844
1998-01-06,109.1000,109.8000,108.6000,108.9000,547.0706,1693867
1998-01-07,109.1000,109.1000,106.8000,107.9000,542.0470,1148444
1998-01-08,107.5000,107.7000,106.5000,107.3000,539.0328,906667
1998-01-09,107.1000,107.5000,102.3000,103.2000,518.4360,1429333
1998-01-12,101.0000,101.9000,100.1000,101.2000,508.3888,2452622
1998-01-13,101.5000,103.1000,100.9000,101.0000,507.3841,1959111
1998-01-14,102.0000,102.3000,99.9400,100.6000,505.3747,1890844
1998-01-15,100.9000,101.3000,100.3000,100.5000,504.8723,1173333
1998-01-16,101.0000,102.2000,100.9000,101.5000,509.8959,1432889
1998-01-20,103.3000,104.0000,102.0000,103.9000,521.9526,1478400
1998-01-21,103.1000,104.9000,103.1000,104.3000,523.9620,1439289
1998-01-22,104.3000,105.4000,103.6000,104.9000,526.9762,1321956
1998-01-23,104.9000,106.8000,104.1000,106.6000,535.5163,1710222
1998-01-26,107.6000,108.8000,106.8000,108.0000,542.5493,1350400
1998-01-27,108.0000,111.4000,107.8000,111.1000,558.1225,1947022
1998-01-28,111.0000,111.9000,110.3000,111.3000,559.1272,1032533
1998-01-29,111.0000,112.4000,110.3000,110.6000,555.6107,1229511
1998-01-30,110.6000,111.6000,110.2000,110.3000,554.1036,964978
1998-02-02,111.1000,112.3000,111.1000,112.2000,563.6485,987022
1998-02-03,111.7000,113.7000,111.5000,113.6000,570.6815,790756
1998-02-04,112.3000,114.2000,112.1000,113.1000,568.1697,802133
1998-02-05,113.0000,113.9000,111.8000,113.2000,568.6721,626489
1998-02-06,113.4000,113.9000,113.0000,113.9000,572.1886,893867
1998-02-09,113.3000,113.6000,112.8000,113.4000,569.6768,472178
1998-02-10,113.3000,115.5000,112.8000,114.9000,577.2122,1009778
1998-02-11,115.3000,117.0000,115.0000,116.2000,583.7429,755911
1998-02-12,116.2000,119.2000,115.4000,118.8000,596.8043,1081600
1998-02-13,118.0000,118.0000,116.3000,117.5000,590.2736,787911
