,open,high,low,close,adj_close,volume
1998-01-02,36.7500,36.9400,36.1900,36.6900,8.6925,130000
1998-01-05,36.5000,36.6300,35.8800,36.3800,8.6191,149400
1998-01-06,36.1300,36.5600,36.0000,36.5600,8.6617,126300
1998-01-07,36.3800,36.6300,36.1300,36.5600,8.6617,229800
1998-01-08,36.5600,36.6900,36.3800,36.5000,8.6475,290300
1998-01-09,36.5000,36.5600,36.1300,36.4400,8.6333,226000
1998-01-12,36.3800,36.6300,36.0000,36.6300,8.6783,299500
1998-01-13,36.6300,36.8800,36.5000,36.6300,8.6783,175600
1998-01-14,36.8100,37.2500,36.6300,37.1300,8.7968,100000
1998-01-15,37.1300,37.3800,37.1300,37.3800,8.8560,229500
1998-01-16,37.4400,37.5600,37.3100,37.4400,8.8702,88200
1998-01-20,37.5000,37.5600,37.1900,37.4400,8.8702,166000
1998-01-21,37.4400,37.6300,37.2500,37.3800,8.8560,144200
1998-01-22,37.3800,37.7500,37.3100,37.7500,8.9437,119400
1998-01-23,37.8800,38.1300,37.0000,37.2500,8.8252,146700
1998-01-26,37.1900,37.7500,37.0000,37.7500,8.9437,125000
1998-01-27,37.7500,37.8800,37.4400,37.4400,8.8702,66500
1998-01-28,37.6300,37.7500,37.3800,37.5000,8.8844,176200
1998-01-29,37.5000,37.8800,37.3800,37.4400,8.8702,47400
1998-01-30,37.3800,37.3800,36.7500,37.1300,8.7968,92200
1998-02-02,37.2500,37.5000,37.1300,37.3100,8.8394,83900
1998-02-03,37.2500,37.7500,37.2500,37.5600,8.8987,214000
1998-02-04,37.2500,37.7500,37.1300,37.7500,9.0769,78500
1998-02-05,37.8800,38.0000,37.2500,37.5600,9.0313,124100
1998-02-06,37.7500,37.8100,37.0600,37.8100,9.0914,99100
1998-02-09,37.8800,38.0000,37.5000,37.6300,9.0481,231300
1998-02-10,37.5000,37.6900,37.5000,37.6300,9.0481,112900
1998-02-11,37.6300,37.6300,36.5000,36.7500,8.8365,293200
1998-02-12,36.5600,36.7500,36.4400,36.5600,8.7908,97200
1998-02-13,36.5600,36.5600,35.9400,36.2500,8.7163,57800
1998-02-17,36.5000,36.6300,36.3800,36.5600,8.7908,83900
1998-02-18,36.6300,36.8100,36.2500,36.6300,8.8076,208900
1998-02-19,36.5000,36.8100,36.1300,36.2500,8.7163,41100
1998-02-20,36.0000,36.2500,35.6300,36.1900,8.7018,51700
1998-02-23,36.0600,36.4400,36.0600,36.3100,8.7307,42800
1998-02-24,36.7500,37.0000,36.1300,36.1300,8.6874,85200
1998-02-25,36.5000,36.6300,36.0000,36.1300,8.6874,74200
1998-02-26,36.0600,36.3100,35.7500,36.0600,8.6706,55900
1998-02-27,36.1900,36.4400,36.0000,36.4400,8.7620,44900
1998-03-02,36.5000,36.7500,36.3800,36.6300,8.8076,36600
1998-03-03,36.3800,37.0000,36.3800,36.6300,8.8076,91900
1998-03-04,36.6900,36.8800,36.6900,36.8100,8.8509,51500
1998-03-05,36.7500,36.8100,36.3800,36.5000,8.7764,45900
1998-03-06,36.6300,36.9400,36.1900,36.3800,8.7475,45300
1998-03-09,36.2500,36.5000,35.3800,35.3800,8.5071,111800
1998-03-10,35.3800,35.3800,34.2500,34.9400,8.4013,166000
1998-03-11,35.0000,35.1300,34.7500,35.0000,8.4157,66500
1998-03-12,35.1300,35.2500,34.7500,34.8100,8.3700,61600
1998-03-13,34.8800,34.8800,34.4400,34.5600,8.3099,79100
1998-03-16,34.5000,34.9400,34.5000,34.5600,8.3099,42600
1998-03-17,34.5600,36.5000,34.5600,36.4400,8.7620,516100
1998-03-18,36.0000,36.2500,35.7500,36.0000,8.6562,589700
1998-03-19,35.6300,36.0000,35.6300,35.8800,8.6273,155300
1998-03-20,35.8800,36.5000,35.8800,36.3800,8.7475,391500
1998-03-23,36.2500,36.6900,36.2500,36.6300,8.8076,72600
1998-03-24,38.0000,38.0000,37.1900,37.1900,8.9423,202500
1998-03-25,37.3100,37.5000,37.0000,37.4400,9.0024,136100
1998-03-26,37.5000,38.0000,37.3800,38.0000,9.1371,77400
1998-03-27,37.8800,38.6300,37.7500,38.5600,9.2717,79300
1998-03-30,38.5000,38.5600,37.8800,37.9400,9.1226,115100
1998-03-31,37.8800,38.5000,37.6300,38.5000,9.2573,101900
1998-04-01,38.3800,38.3800,37.9400,38.0000,9.1371,40800
1998-04-02,38.0600,38.5000,37.8800,38.1900,9.1827,138000
1998-04-03,38.1300,38.4400,38.0000,38.4400,9.2429,59800
1998-04-06,38.3800,38.6300,38.3100,38.5600,9.2717,157400
1998-04-07,38.5600,39.3800,38.4400,39.1300,9.4088,162100
1998-04-08,39.1300,39.2500,38.6300,38.7500,9.3174,56300
1998-04-09,38.8800,38.8800,38.5600,38.6300,9.2885,60000
1998-04-13,38.5600,38.5600,38.3100,38.5000,9.2573,67400
1998-04-14,38.5000,38.5600,38.3800,38.4400,9.2429,104500
1998-04-15,38.4400,38.5300,38.1900,38.3800,9.2284,134200
1998-04-16,38.3800,38.3800,37.8100,38.0000,9.1371,65700
1998-04-17,38.2500,38.3800,38.0000,38.0600,9.1515,74900
1998-04-20,38.0600,38.0600,37.8800,38.0000,9.1371,61700
1998-04-21,38.0600,38.1300,37.8100,38.0000,9.1371,229700
1998-04-22,38.0000,38.0000,37.8800,38.0000,9.1371,76300
1998-04-23,38.0000,38.0000,37.6300,37.7500,9.0769,74000
1998-04-24,37.6300,37.6900,37.0600,37.3100,8.9711,62300
1998-04-27,37.0600,37.0600,36.5600,37.0000,8.8966,105100
1998-04-28,36.8800,37.1300,36.7500,37.0000,8.8966,56700
1998-04-29,37.0600,37.1900,36.9400,37.1300,8.9279,59500
1998-04-30,37.1300,37.3800,37.0000,37.3800,8.9880,139700
1998-05-01,37.3800,38.5000,37.3800,38.4400,9.2429,200800
1998-05-04,38.4400,38.5000,38.3800,38.4400,9.2429,311900
1998-05-05,37.8800,37.9400,37.7500,37.9400,9.2579,88200
1998-05-06,37.8800,38.2500,37.8800,38.1900,9.3189,136200
1998-05-07,38.1900,38.2500,38.0000,38.1300,9.3042,83300
1998-05-08,38.1300,38.1300,37.9400,38.1300,9.3042,98100
1998-05-11,38.1900,38.3800,37.5000,37.5600,9.1652,191400
1998-05-12,37.3800,37.3800,36.5000,37.1900,9.0749,118400
1998-05-13,37.0600,37.4400,36.8800,37.0000,9.0285,42300
1998-05-14,36.9400,37.1300,36.8800,37.0600,9.0431,74900
1998-05-15,37.2500,37.2500,36.8100,36.9400,9.0139,182100
1998-05-18,36.8800,37.0600,36.8100,37.0000,9.0285,183400
1998-05-19,37.0600,37.5000,37.0000,37.5000,9.1505,78400
1998-05-20,37.3800,37.7500,37.3800,37.6300,9.1822,62000
1998-05-21,37.7500,38.1300,37.6300,38.0600,9.2872,131100
1998-05-22,38.0600,38.1300,37.8800,38.0000,9.2725,103000
1998-05-26,37.8800,38.0600,37.8800,38.0000,9.2725,70600
1998-05-27,38.0600,38.1300,37.8800,38.1300,9.3042,179700
1998-05-28,38.0600,38.6900,38.0600,38.6900,9.4409,62900
1998-05-29,38.8100,39.1300,38.6900,39.0000,9.5165,235000
1998-06-01,39.0000,39.2500,38.6900,38.7500,9.4555,58700
1998-06-02,38.5600,39.1300,38.5600,38.9400,9.5019,168000
1998-06-03,38.9400,39.0000,38.8100,38.8800,9.4873,142200
1998-06-04,38.7500,38.8800,38.5000,38.8800,9.4873,130800
1998-06-05,38.9400,38.9400,38.6900,38.8800,9.4873,134900
1998-06-08,38.8800,38.9400,38.7500,38.8800,9.4873,43100
1998-06-09,38.8100,38.9400,38.6900,38.9400,9.5019,27100
1998-06-10,38.9400,39.0600,38.6200,38.6200,9.4238,179200
1998-06-11,38.6300,38.6300,38.3100,38.3100,9.3482,217400
1998-06-12,38.1900,38.3800,37.7500,38.0000,9.2725,204100
1998-06-15,37.7500,38.0000,37.1300,38.0000,9.2725,96200
1998-06-16,37.8800,38.2500,37.7500,37.8800,9.2432,50200
1998-06-17,37.8800,38.1300,37.7500,37.9400,9.2579,30200
1998-06-18,38.0000,38.3100,38.0000,38.0600,9.2872,63600
1998-06-19,37.8100,37.9400,37.5000,37.6300,9.1822,94800
1998-06-22,37.7500,38.1300,37.6300,37.6900,9.1969,44800
1998-06-23,37.6900,38.3100,37.6900,38.3100,9.3482,58000
1998-06-24,38.1900,38.6300,38.0600,38.0600,9.2872,300500
1998-06-25,38.0600,38.2500,37.5000,37.8100,9.2262,76500
1998-06-26,37.8100,38.3100,37.7500,38.1900,9.3189,119500
1998-06-29,38.1900,38.5000,38.0000,38.5000,9.3945,193500
1998-06-30,39.0000,39.8800,38.8800,39.5000,9.6385,291500
1998-07-01,39.5000,39.5000,38.7500,39.1300,9.5483,83000
1998-07-02,39.1300,39.4400,39.0000,39.3100,9.5922,56600
1998-07-06,39.3100,39.5000,39.2500,39.3800,9.6093,86900
1998-07-07,39.3800,39.7500,39.2500,39.5000,9.6385,79600
1998-07-08,39.4400,39.8800,39.3800,39.8800,9.7313,55400
1998-07-09,39.6300,41.0000,39.6300,40.6900,9.9289,214200
1998-07-10,40.6900,40.6900,40.3100,40.4400,9.8679,254600
1998-07-13,40.3800,40.5600,40.2500,40.4400,9.8679,104000
1998-07-14,40.3800,40.3800,40.0000,40.0000,9.7606,115300
1998-07-15,40.0000,40.0000,39.7500,39.9400,9.7459,119700
1998-07-16,39.8800,40.4400,39.7500,40.4400,9.8679,207100
1998-07-17,40.3100,40.3800,39.9400,39.9400,9.7459,86900
1998-07-20,39.8800,40.1300,39.7500,40.1300,9.7923,161100
1998-07-21,40.1900,40.2500,40.0000,40.1300,9.7923,80700
1998-07-22,40.0000,40.0000,39.2500,39.5600,9.6532,96300
1998-07-23,39.5000,39.9400,39.4400,39.6300,9.6703,72000
1998-07-24,39.7500,39.7500,39.3800,39.4400,9.6239,43700
1998-07-27,39.5000,39.5000,39.2500,39.3800,9.6093,88600
1998-07-28,39.3800,39.3800,38.0600,38.5000,9.3945,111400
1998-07-29,38.6300,38.6900,38.1300,38.2500,9.3335,115600
1998-07-30,38.2500,38.2500,37.8800,38.0000,9.2725,115700
1998-07-31,38.0000,38.1300,37.9400,38.0000,9.2725,54100
1998-08-03,38.0000,38.1300,37.6300,37.8100,9.2262,87900
1998-08-04,37.9400,37.9400,36.7500,36.8100,8.9821,148000
1998-08-05,36.3100,36.6900,36.1900,36.6300,9.0755,288300
1998-08-06,36.5000,36.7500,36.3800,36.6900,9.0903,152400
1998-08-07,36.6900,37.6300,36.6900,37.5600,9.3059,74200
1998-08-10,37.4400,38.0000,37.0600,37.7500,9.3530,34800
1998-08-11,38.1300,38.1300,37.2500,37.4400,9.2762,135800
1998-08-12,38.1300,38.1300,37.2500,37.8800,9.3852,152500
1998-08-13,37.8800,37.9400,37.5600,37.8100,9.3678,53500
1998-08-14,37.6300,38.2500,37.5000,38.0600,9.4298,506900
1998-08-17,38.0600,38.3100,37.8100,38.2500,9.4769,172000
1998-08-18,38.2500,38.2500,37.8800,38.2500,9.4769,389500
1998-08-19,38.1900,38.2500,38.0000,38.1900,9.4620,100200
1998-08-20,38.1300,38.5000,38.0000,38.5000,9.5388,115500
1998-08-21,38.5000,38.5000,37.9400,38.0000,9.4149,38100
1998-08-24,38.0000,38.7500,37.9400,38.7500,9.6007,156500
1998-08-25,38.6300,38.8800,38.5000,38.7500,9.6007,91000
1998-08-26,38.7500,38.7800,37.7500,37.9400,9.4000,96000
1998-08-27,37.7500,37.7500,36.7500,36.9400,9.1523,81000
1998-08-28,36.8100,37.0000,36.1300,36.2500,8.9813,95800
1998-08-31,36.3800,36.5000,33.3800,34.2500,8.4858,146500
1998-09-01,33.7500,34.2500,33.3800,34.0000,8.4239,245800
1998-09-02,34.1300,34.5000,33.8100,34.2500,8.4858,166400
1998-09-03,34.3800,34.7500,34.2500,34.4400,8.5329,72800
1998-09-04,34.3100,35.0600,34.0000,35.0600,8.6865,136900
1998-09-08,35.0000,35.0000,34.8100,34.9400,8.6568,118300
1998-09-09,34.8100,34.8800,34.3100,34.3800,8.5180,85900
1998-09-10,34.3100,34.3800,33.5000,33.6900,8.3471,93800
1998-09-11,33.4400,33.5000,31.7500,33.0000,8.1761,149800
