,open,high,low,close,adj_close,volume
1998-01-02,34.5600,34.6900,34.1300,34.1900,8.2383,10700
1998-01-05,34.1900,34.5000,34.0000,34.4400,8.2985,6200
1998-01-06,34.3800,34.6300,34.2500,34.3100,8.2672,31100
1998-01-07,34.3100,34.3800,34.2500,34.2500,8.2527,4900
1998-01-08,34.2500,34.2500,33.6300,33.8100,8.1467,8700
1998-01-09,33.7500,34.3100,33.7500,33.8800,8.1636,24500
1998-01-12,33.8100,33.9400,33.5600,33.7500,8.1322,10900
1998-01-13,33.8100,34.1900,33.6300,34.1300,8.2238,15500
1998-01-14,34.1300,34.4400,34.0000,34.0000,8.1925,6000
1998-01-15,34.1900,34.2500,33.5600,33.7500,8.1322,14000
1998-01-16,34.0000,34.0000,33.7200,33.9400,8.1780,15100
1998-01-20,33.9400,35.0000,33.8100,34.9400,8.4190,89900
1998-01-21,34.9400,35.3800,34.7500,35.0000,8.4334,45500
1998-01-22,34.7500,35.9400,34.7500,35.6900,8.5997,283300
1998-01-23,35.9400,36.9400,35.9400,36.7500,8.8551,39100
1998-01-26,36.5000,36.6300,35.6900,35.8800,8.6455,72300
1998-01-27,35.8100,37.0000,35.8100,36.8800,8.8864,48900
1998-01-28,36.9400,37.4400,36.6300,37.1300,8.9467,52400
1998-01-29,36.9400,37.1900,36.7500,36.8100,8.8696,52800
1998-01-30,36.8100,37.3800,36.8100,37.0000,8.9154,60300
1998-02-02,37.2500,38.3800,37.2500,38.3100,9.2310,82700
1998-02-03,38.3100,39.5000,38.3100,39.1900,9.4430,58200
1998-02-04,39.1300,39.5000,38.6900,38.8800,9.3683,230500
1998-02-05,39.4400,39.4400,38.8800,39.1300,9.4286,100000
1998-02-06,39.3800,39.3800,38.5000,38.5000,9.2768,34400
1998-02-09,38.9400,39.5000,38.6900,39.5000,9.5177,81900
1998-02-10,39.5000,39.5000,39.0000,39.1300,9.4286,15700
1998-02-11,39.1900,39.3800,38.7500,39.1300,9.4286,36000
1998-02-12,39.3800,39.5000,39.0000,39.1900,9.4430,31200
1998-02-13,39.1900,39.5000,38.7500,39.4400,9.5033,34600
1998-02-17,39.4400,39.5000,39.0000,39.1900,9.4430,18700
1998-02-18,39.0000,39.4400,39.0000,39.3800,9.4888,21200
1998-02-19,39.3800,39.3800,37.7500,37.7500,9.0961,35800
1998-02-20,38.0000,38.6300,37.5000,38.3800,9.2479,36300
1998-02-23,38.6300,38.9400,38.1300,38.8100,9.3515,45400
1998-02-24,38.9400,39.7500,38.8100,39.6900,9.5635,122600
1998-02-25,39.7500,41.5000,39.7500,40.5000,9.7587,70600
1998-02-26,40.5000,40.6300,39.7500,40.5600,9.7732,40000
1998-02-27,40.5600,41.5000,40.5600,41.3100,9.9539,33600
1998-03-02,41.5000,42.0000,40.2500,40.6900,9.8045,44000
1998-03-03,40.1300,42.0000,40.1300,42.0000,10.1201,62400
1998-03-04,42.0000,43.0000,42.0000,42.5600,10.2551,28200
1998-03-05,42.0000,43.0000,42.0000,42.1900,10.1659,65600
1998-03-06,41.5000,42.8800,41.5000,42.4400,10.2262,101400
1998-03-09,42.3100,42.9400,42.2500,42.6300,10.2719,69800
1998-03-10,42.5000,42.9400,42.4400,42.6300,10.2719,11100
1998-03-11,42.8800,43.1900,42.6300,43.1900,10.4069,44800
1998-03-12,42.9400,42.9400,42.3800,42.5600,10.2551,21600
1998-03-13,42.6900,42.9400,42.6300,42.8800,10.3322,56900
1998-03-16,42.5000,43.1300,42.3800,42.9400,10.3466,43500
1998-03-17,43.0000,43.0000,42.2500,42.2500,10.1804,18300
1998-03-18,42.2500,43.6300,42.0000,43.0000,10.3611,106800
1998-03-19,43.0000,44.0600,43.0000,43.7500,10.5418,36000
1998-03-20,43.3800,44.5000,43.1900,44.2500,10.6623,30000
1998-03-23,43.8800,45.0000,43.6300,44.5600,10.7370,38500
1998-03-24,44.3800,45.4400,44.3800,45.3800,10.9346,25800
1998-03-25,45.3800,46.1300,45.0600,45.2500,10.9032,41100
1998-03-26,45.1300,45.1300,44.5000,44.9400,10.8285,15900
1998-03-27,44.5000,45.0000,44.2500,44.3800,10.7779,19200
1998-03-30,44.3800,44.6300,42.6300,43.3100,10.5181,33700
1998-03-31,42.5600,44.1300,42.5600,43.3100,10.5181,56700
1998-04-01,43.5000,43.8800,42.7500,43.7500,10.6249,13000
1998-04-02,43.8800,44.4400,43.8800,44.4400,10.7925,27200
1998-04-03,44.3800,44.8800,44.3800,44.5600,10.8217,14500
1998-04-06,44.5000,44.8800,44.1300,44.7500,10.8678,24300
1998-04-07,44.7500,44.7500,43.8800,43.9400,10.6711,28300
1998-04-08,43.9400,44.3100,43.8100,44.1300,10.7172,12400
1998-04-09,44.1300,44.6900,44.0000,44.6900,10.8532,24600
1998-04-13,44.6300,44.7500,43.9400,44.0000,10.6857,25100
1998-04-14,44.2500,46.5600,44.2500,46.3100,11.2467,45500
1998-04-15,46.0600,46.3800,45.2500,45.2500,10.9892,76300
1998-04-16,45.1300,45.1300,44.6900,44.8800,10.8994,30100
1998-04-17,44.7500,45.8100,44.7500,45.6900,11.0961,20500
1998-04-20,45.7500,46.5000,45.7500,46.1900,11.2175,51500
1998-04-21,46.1300,46.5000,45.7500,46.0000,11.1714,22100
1998-04-22,46.2500,46.3800,45.0000,45.5600,11.0645,13600
1998-04-23,46.0000,46.0000,45.1900,45.2500,10.9892,19000
1998-04-24,45.0000,45.5000,44.7500,45.3800,11.0208,26800
1998-04-27,45.1300,45.1300,43.5000,43.6300,10.5958,44400
1998-04-28,43.5000,44.0000,43.5000,43.9400,10.6711,23800
1998-04-29,44.0000,44.0000,43.8800,44.0000,10.6857,20200
1998-04-30,44.1200,44.2500,43.8800,43.8800,10.6565,45000
1998-05-01,43.8800,44.1300,43.3800,43.6900,10.6104,17700
1998-05-04,43.8100,43.9400,43.6900,43.8100,10.6395,47200
1998-05-05,43.8100,43.8800,43.1300,43.1300,10.4744,7600
1998-05-06,43.3800,43.3800,42.5000,42.5000,10.3214,11500
1998-05-07,42.5000,43.0000,42.0000,42.8800,10.4137,184000
1998-05-08,43.0600,44.0000,43.0600,43.2500,10.5035,30300
1998-05-11,44.0000,44.0000,43.2500,43.7500,10.6249,24100
1998-05-12,43.6300,43.8800,43.0000,43.0000,10.4428,6900
1998-05-13,42.7500,42.9400,42.5600,42.9400,10.4282,39000
1998-05-14,42.6900,42.8800,42.1300,42.3800,10.2922,18600
1998-05-15,42.2500,42.6300,42.2500,42.3100,10.2752,7500
1998-05-18,42.5600,42.5600,42.0000,42.0000,10.1999,13600
1998-05-19,42.0000,42.8100,41.9400,42.8100,10.3967,16600
1998-05-20,42.7500,42.8100,42.7500,42.7500,10.3821,18700
1998-05-21,42.5000,42.7500,42.4400,42.6300,10.3529,33600
1998-05-22,42.3800,42.3800,42.1300,42.1900,10.2461,5700
1998-05-26,42.2500,43.2500,42.2500,43.0000,10.4428,50600
1998-05-27,42.7500,42.7500,42.1300,42.1300,10.2315,43900
1998-05-28,42.0000,42.3800,41.8800,42.3800,10.2922,17800
1998-05-29,42.4400,43.6900,42.4400,43.1300,10.4744,20200
1998-06-01,43.2500,44.3100,43.2500,44.0600,10.7002,26700
1998-06-02,44.0000,44.2500,43.8800,44.0600,10.7002,22600
1998-06-03,44.9400,44.9400,44.3800,44.3800,10.7779,47800
1998-06-04,44.3800,44.9400,44.3800,44.8800,10.8994,15600
1998-06-05,44.8800,44.8800,44.3800,44.3800,10.7779,7600
1998-06-08,44.6300,44.9400,44.5000,44.5000,10.8071,21200
1998-06-09,44.6300,44.6300,43.5000,43.8800,10.6565,18300
1998-06-10,43.6200,44.0000,43.0600,43.0600,10.4574,23800
1998-06-11,43.0600,43.0600,42.0000,42.0000,10.1999,17300
