,open,high,low,close,adj_close,volume
1998-01-02,23.8800,24.0600,23.3800,24.0600,8.4210,59900
1998-01-05,23.9400,24.1900,23.6900,24.0600,8.4210,90400
1998-01-06,24.0600,24.1300,23.2500,23.7500,8.3125,337600
1998-01-07,23.6300,23.6900,23.3100,23.3100,8.1585,57300
1998-01-08,23.1900,23.6300,23.0600,23.0600,8.0710,34300
1998-01-09,23.2500,23.2500,22.3100,22.3800,7.8330,33900
1998-01-12,22.1300,22.9400,21.6300,22.6900,7.9415,63800
1998-01-13,22.6300,22.8100,22.5000,22.7500,7.9625,69100
1998-01-14,22.6900,22.9400,21.8100,22.1300,7.7455,239900
1998-01-15,22.3800,22.5000,21.8100,21.8800,7.6580,131700
1998-01-16,21.9400,22.0600,21.8800,21.9400,7.6790,66000
1998-01-20,22.0000,22.2500,21.7500,22.1300,7.7455,79200
1998-01-21,22.1300,22.1300,21.5600,21.8800,7.6580,54600
1998-01-22,21.8800,21.8800,21.5600,21.7500,7.6125,33900
1998-01-23,21.7500,21.7500,21.3100,21.5000,7.5250,72900
1998-01-26,21.1300,21.3800,21.0000,21.3100,7.4585,73600
1998-01-27,21.1900,21.6900,21.1900,21.6900,7.5915,103500
1998-01-28,21.9400,22.5600,21.9400,22.4400,7.8540,126900
1998-01-29,22.4400,22.8800,21.6300,21.8800,7.6580,89600
1998-01-30,21.8100,22.5600,21.4400,22.1300,7.7455,121700
1998-02-02,22.2500,22.9400,22.1300,22.6900,7.9415,87400
1998-02-03,22.8100,22.8100,22.6300,22.7500,7.9625,88200
1998-02-04,22.7500,22.8100,22.4400,22.7500,7.9625,124500
1998-02-05,22.6300,23.1300,22.5600,23.1300,8.0955,39800
1998-02-06,23.1900,23.5000,22.8800,22.9400,8.0290,59200
1998-02-09,22.9400,23.3800,22.6300,23.2500,8.1375,39800
1998-02-10,23.3100,23.5000,23.1300,23.1300,8.0955,38200
1998-02-11,23.0600,24.0000,23.0600,23.7500,8.3125,83300
1998-02-12,23.6900,23.9400,23.5600,23.8800,8.3580,97700
1998-02-13,23.6900,23.9400,23.5600,23.6900,8.2915,25200
1998-02-17,23.5600,23.8800,23.5600,23.6900,8.2915,29600
1998-02-18,23.5600,23.8100,23.5000,23.5600,8.2460,35500
1998-02-19,23.5000,24.0000,23.5000,23.8800,8.3580,56500
1998-02-20,23.8100,24.1300,23.6900,24.0000,8.4000,67000
1998-02-23,24.0000,24.3800,23.8800,24.3100,8.5084,41800
1998-02-24,24.1300,24.1300,23.6900,23.8800,8.3580,61300
1998-02-25,23.6900,24.0000,23.3800,23.3800,8.1830,103400
1998-02-26,23.2500,24.5000,23.2500,24.3100,8.5084,71200
1998-02-27,24.1900,24.4400,24.0600,24.3800,8.5329,36600
1998-03-02,24.3100,25.0000,24.1900,24.4400,8.5539,75200
1998-03-03,24.3100,25.5000,24.2500,25.0000,8.7499,579900
1998-03-04,24.8800,24.8800,24.0000,24.4400,8.5539,76300
1998-03-05,24.3800,25.0000,24.0600,24.9400,8.7289,144800
1998-03-06,24.7500,25.1900,24.5600,24.6900,8.6414,70600
1998-03-09,24.8800,25.3800,24.4400,24.5600,8.5959,46200
1998-03-10,24.4400,25.1900,24.3100,25.0000,8.7499,46100
1998-03-11,24.8800,24.9400,24.1900,24.8800,8.7079,181100
1998-03-12,24.8800,24.9400,24.6900,24.6900,8.6729,25300
1998-03-13,24.6300,24.7500,24.4400,24.6300,8.6519,18500
1998-03-16,24.8800,25.3100,24.7500,25.1900,8.8486,40400
1998-03-17,25.2500,25.2500,24.6300,25.0000,8.7818,26300
1998-03-18,24.8800,25.1300,24.8100,24.8800,8.7397,30300
1998-03-19,24.8100,25.1900,24.6900,25.0000,8.7818,64600
1998-03-20,24.8800,25.2500,24.7500,25.1900,8.8486,71500
1998-03-23,25.0000,25.5600,24.8800,25.2500,8.8697,65900
1998-03-24,25.5600,25.6900,25.0000,25.6300,9.0031,80800
1998-03-25,25.5000,25.9400,24.6900,25.1900,8.8486,979400
1998-03-26,25.3100,25.6300,24.7500,24.8100,8.7151,46300
1998-03-27,24.6300,24.8100,24.1300,24.7500,8.6940,75200
1998-03-30,24.9400,25.4400,24.7500,25.0000,8.7818,51400
1998-03-31,25.1900,25.6300,24.9400,25.2500,8.8697,45700
1998-04-01,24.7500,25.6300,24.7500,25.5600,8.9786,118200
1998-04-02,25.7500,26.1900,25.5000,26.0000,9.1331,67000
1998-04-03,25.8800,26.1300,25.4400,25.5000,8.9575,58600
1998-04-06,25.4400,25.5000,24.9400,25.0000,8.7818,41000
1998-04-07,24.9400,25.0000,24.1300,24.8100,8.7151,71700
1998-04-08,24.8800,25.0600,24.4400,25.0600,8.8029,45600
1998-04-09,25.0000,25.5600,24.7500,24.8100,8.7151,122800
1998-04-13,24.7500,25.1300,24.6900,24.9400,8.7608,10900
1998-04-14,24.8800,25.8100,24.8800,25.7500,9.0453,42000
1998-04-15,25.5600,25.7500,25.3100,25.3100,8.8907,39300
1998-04-16,25.2500,25.3800,25.1300,25.3100,8.8907,40200
1998-04-17,25.3100,25.6300,25.3100,25.6300,9.0031,22500
1998-04-20,25.6900,25.8100,25.3100,25.8100,9.0664,66400
1998-04-21,25.7500,25.7500,25.1900,25.3800,8.9153,89800
1998-04-22,25.3100,25.8100,25.3100,25.7500,9.0453,24900
1998-04-23,25.6300,25.6300,25.0000,25.1900,8.8486,69600
1998-04-24,24.8100,25.3100,24.7500,24.8800,8.7397,70800
1998-04-27,24.8800,24.8800,24.6300,24.6300,8.6519,72200
1998-04-28,24.6900,25.0600,24.5600,24.7500,8.6940,32000
1998-04-29,24.7500,25.2500,24.6300,24.8800,8.7397,53400
1998-04-30,24.9400,25.5000,24.7500,24.8800,8.7397,75400
1998-05-01,24.8800,25.0600,24.8800,25.0600,8.8029,36000
1998-05-04,25.0000,25.5000,24.7500,25.4400,8.9364,46000
1998-05-05,25.1300,25.1300,24.3800,24.5600,8.6273,115200
1998-05-06,24.5000,25.0600,24.4400,24.5000,8.6062,51700
1998-05-07,24.4400,24.8100,24.3100,24.5000,8.6062,17500
1998-05-08,24.5000,25.1300,24.5000,24.8800,8.7397,45600
1998-05-11,24.8100,24.9400,24.3800,24.9400,8.7608,36000
1998-05-12,24.8800,25.0000,24.4400,25.0000,8.7818,28700
1998-05-13,25.0000,25.6300,25.0000,25.5000,8.9575,35100
1998-05-14,25.4400,25.4400,25.0000,25.2500,8.8697,22300
1998-05-15,25.2500,25.4400,25.0000,25.0600,8.8029,19300
1998-05-18,25.1300,25.2500,24.8800,25.0600,8.8029,44900
1998-05-19,25.1900,25.5600,25.0000,25.5600,8.9786,68400
1998-05-20,25.7500,25.8800,25.5600,25.8100,9.0664,126700
1998-05-21,25.8100,26.1300,25.3100,25.3800,8.9153,78400
1998-05-22,25.3800,25.5000,25.2500,25.3800,8.9153,25500
1998-05-26,25.3800,25.3800,24.6900,24.7500,8.6940,34500
1998-05-27,24.8800,24.8800,23.8800,24.0000,8.4306,43400
1998-05-28,24.0000,24.4400,23.8800,24.0000,8.4306,41300
1998-05-29,24.1300,24.4400,24.0600,24.3100,8.5395,47500
1998-06-01,24.3100,25.0000,24.0600,24.0600,8.4516,62400
1998-06-02,24.1900,24.6300,23.8800,24.2500,8.5184,49800
1998-06-03,24.1300,24.1300,23.7500,23.9400,8.4095,45300
1998-06-04,23.8100,24.2500,23.5000,24.2500,8.5184,32000
1998-06-05,24.2500,24.6900,23.8800,24.6900,8.6729,16300
1998-06-08,24.6900,24.6900,23.6900,24.4400,8.5851,35200
1998-06-09,24.4400,24.4400,23.6300,24.1900,8.4973,69300
1998-06-10,24.0000,24.1900,23.7500,23.7500,8.3428,12900
1998-06-11,23.4400,23.5600,22.7500,23.2500,8.1987,52700
1998-06-12,23.5000,23.5000,22.1300,22.8100,8.0436,76800
1998-06-15,22.9400,22.9400,22.6300,22.6900,8.0013,50300
1998-06-16,22.6300,23.0600,22.5600,22.9400,8.0894,52900
1998-06-17,22.8800,23.0000,22.1900,22.5000,7.9343,406200
1998-06-18,22.1300,22.1300,21.5000,21.8100,7.6909,74200
1998-06-19,21.3100,22.3800,21.3100,22.0000,7.7579,122700
1998-06-22,21.8100,22.2500,21.5000,21.9400,7.7368,39700
1998-06-23,22.1300,22.4400,21.7500,21.8100,7.6909,89400
1998-06-24,21.6300,22.0000,21.6300,21.8800,7.7156,59300
1998-06-25,21.6300,22.7500,21.6300,22.0000,7.7579,78500
1998-06-26,22.1900,22.2500,21.6300,22.2500,7.8461,61800
1998-06-29,22.2500,22.4400,21.6300,21.9400,7.7368,44200
1998-06-30,22.0000,22.5000,21.5600,22.0600,7.7791,78200
1998-07-01,22.3100,23.1900,22.3100,23.0600,8.1317,98800
1998-07-02,22.7500,23.3100,22.5000,23.3100,8.2199,96200
1998-07-06,23.1300,23.8800,23.0600,23.8800,8.4209,90700
1998-07-07,23.7500,23.9400,23.6900,23.8800,8.4209,30300
1998-07-08,23.9400,25.0000,23.8100,25.0000,8.8158,114500
1998-07-09,24.9400,25.0600,24.2500,24.4400,8.6184,167600
1998-07-10,24.7500,24.7500,23.7500,24.1900,8.5302,60300
1998-07-13,24.0000,24.1300,23.3800,23.3800,8.2446,37700
1998-07-14,23.2500,23.5600,23.0000,23.1300,8.1564,19900
1998-07-15,23.1900,23.2500,23.0000,23.1300,8.1564,19200
1998-07-16,23.0600,23.3100,22.7500,22.9400,8.0894,73600
1998-07-17,23.0600,23.2500,23.0000,23.1300,8.1564,30500
1998-07-20,23.1900,23.3800,22.8100,23.1300,8.1564,83600
1998-07-21,22.8100,22.8800,22.0000,22.5000,7.9343,72200
1998-07-22,22.3800,22.3800,21.5000,21.5000,7.5816,89600
1998-07-23,21.5000,21.7500,21.1300,21.7500,7.6698,86000
1998-07-24,21.6300,21.7500,20.6900,20.9400,7.3841,110300
1998-07-27,20.8800,21.0000,20.1300,20.8800,7.3630,37900
