,open,high,low,close,adj_close,volume
2001-01-02,29.5000,29.8800,29.0000,29.5600,6.7965,164000
2001-01-03,29.4400,32.0000,29.4400,31.9400,7.3437,342900
2001-01-04,31.6300,34.0000,31.6300,34.0000,7.8174,544900
2001-01-05,34.0000,34.0600,33.3100,33.8100,7.7737,361800
2001-01-08,34.0000,35.2500,33.4400,33.8800,7.7898,400100
2001-01-09,32.7500,32.7500,30.8100,30.9400,7.1138,600800
2001-01-10,30.8800,30.8800,30.1300,30.8800,7.1000,234200
2001-01-11,30.9400,31.2500,29.9400,30.1900,6.9414,206700
2001-01-12,30.1900,30.2500,29.2500,29.8800,6.8701,262100
2001-01-16,29.9400,30.0000,29.6900,30.0000,6.8977,116300
2001-01-17,29.8800,29.9400,29.3100,29.5000,6.7827,77700
2001-01-18,29.5000,30.0000,29.1900,29.8100,6.8540,128200
2001-01-19,29.7500,30.0000,29.6300,30.0000,6.8977,173700
2001-01-22,29.7500,30.4400,29.5000,30.3100,6.9690,124500
2001-01-23,30.3100,32.1900,30.1300,32.1900,7.4012,275800
2001-01-24,32.0600,32.3800,30.5000,30.5000,7.0126,118500
2001-01-25,30.3800,31.9400,30.3800,31.5600,7.2564,103200
2001-01-26,30.5600,31.1900,30.3100,30.3800,6.9851,170500
2001-01-29,30.4000,31.3200,30.3600,31.2000,7.1736,125100
2001-01-30,31.3500,31.8000,31.0500,31.8000,7.3115,83300
2001-01-31,31.7500,32.6000,31.7500,32.3400,7.4357,153600
2001-02-01,32.3000,32.3500,31.6000,31.9800,7.3529,85700
2001-02-02,31.9800,32.6300,31.9000,32.3000,7.4265,130100
2001-02-05,32.4500,33.0000,32.3800,32.8800,7.5599,117800
2001-02-06,32.7500,33.6500,32.7500,33.3100,7.6587,149400
2001-02-07,33.1000,33.2900,33.0000,33.1600,7.6242,74400
2001-02-08,32.9500,33.0000,31.9500,32.4800,7.4679,88100
2001-02-09,32.4000,32.4000,31.6600,31.8600,7.3253,70800
2001-02-12,31.7000,32.2900,31.6700,31.9000,7.3345,70800
2001-02-13,31.9000,31.9500,31.6400,31.8500,7.3230,61100
2001-02-14,31.8400,31.8400,31.6500,31.7300,7.2955,70300
2001-02-15,31.6000,31.6500,30.9000,31.2000,7.1736,274500
2001-02-16,31.0000,31.0500,30.1500,30.4600,7.0035,170000
2001-02-20,30.4500,30.5400,28.9900,29.0000,6.6678,222400
2001-02-21,29.1500,29.4900,29.0000,29.1200,6.6954,188200
2001-02-22,29.1100,29.1100,28.4000,28.8500,6.6333,255900
2001-02-23,28.8500,28.8500,28.0600,28.5000,6.5528,132600
2001-02-26,28.4500,29.6000,28.4500,29.5900,6.8034,141500
2001-02-27,29.5500,29.5500,28.7500,29.0200,6.6724,102900
2001-02-28,29.0200,29.4000,28.1400,28.5800,6.5712,139100
2001-03-01,28.1000,28.1100,26.4000,27.3000,6.2769,318800
2001-03-02,27.1000,28.3900,27.0000,28.2400,6.4930,156000
2001-03-05,28.2400,28.2400,27.6500,27.8600,6.4057,252700
2001-03-06,27.9500,28.1000,27.4500,28.1000,6.4608,437200
2001-03-07,28.0000,28.2500,27.6000,28.2400,6.4930,146400
2001-03-08,28.2400,29.0000,28.2200,28.8500,6.6333,178200
2001-03-09,28.6500,28.6500,28.2500,28.4500,6.5413,150300
2001-03-12,28.3000,28.4900,28.0000,28.0000,6.4378,151800
2001-03-13,27.5000,28.3800,27.4500,28.3800,6.5252,273000
2001-03-14,28.1300,28.1300,27.4000,27.7500,6.3804,251300
2001-03-15,27.5000,27.8500,27.5000,27.6000,6.3459,93900
2001-03-16,27.3500,27.4500,26.6500,26.6900,6.1366,237900
2001-03-19,26.6900,26.7500,25.6500,25.7500,5.9205,477000
2001-03-20,26.0000,26.1500,25.9000,25.9600,5.9688,282800
2001-03-21,25.7500,26.0000,25.3000,25.4800,5.8584,131900
2001-03-22,25.5000,25.5000,24.4000,25.0500,5.7596,130700
2001-03-23,25.3000,25.5500,25.1500,25.5500,5.8745,213900
2001-03-26,25.3500,26.5100,25.3400,26.3000,6.0470,309400
2001-03-27,26.5000,26.5000,25.7000,26.1500,6.0125,199300
2001-03-28,26.1500,26.1500,25.4000,25.8200,5.9366,85100
2001-03-29,25.8200,26.2600,25.2300,25.4500,5.8515,125800
2001-03-30,25.2500,25.8700,25.2500,25.7000,5.9090,139000
2001-04-02,25.7000,25.8500,25.0400,25.2500,5.8056,242400
2001-04-03,25.1000,25.1800,24.7500,25.1100,5.7734,211800
2001-04-04,25.1100,25.6000,24.9000,25.4900,5.8607,180000
2001-04-05,25.7000,26.0000,25.4500,25.9500,5.9665,114800
2001-04-06,25.7500,25.7500,24.9600,25.1000,5.7711,140300
2001-04-09,25.1500,25.6100,24.6000,25.0200,5.7527,185000
2001-04-10,25.1000,26.5300,25.0000,26.2100,6.0263,125600
2001-04-11,26.4000,26.4000,25.5500,26.1000,6.0010,102000
2001-04-12,26.0000,26.3000,25.4000,26.0500,5.9895,107700
2001-04-16,26.2000,26.4000,25.8500,26.1200,6.0056,107500
2001-04-17,26.2000,26.6500,26.0300,26.5500,6.1045,99800
2001-04-18,26.8700,28.1900,26.7000,27.1000,6.2309,182700
2001-04-19,27.7000,28.2000,26.6500,27.9900,6.4355,229100
2001-04-20,27.9000,27.9000,26.8000,27.3700,6.2930,75600
2001-04-23,27.1200,27.2000,26.6000,27.0000,6.2079,274600
2001-04-24,26.9500,26.9700,26.7000,26.8200,6.1665,106600
2001-04-25,26.8200,27.2500,26.7600,26.9900,6.2056,154300
2001-04-26,26.9500,27.9000,26.8700,27.5000,6.3229,268100
2001-04-27,27.5100,28.5000,27.5100,28.2900,6.5045,146900
2001-04-30,28.2900,28.9200,28.1500,28.1500,6.4723,143200
2001-05-01,28.1600,28.1600,27.9100,27.9400,6.4240,108200
2001-05-02,27.9400,28.3100,27.8000,28.1900,6.4815,119700
2001-05-03,28.2000,28.5200,27.4600,28.4000,6.5298,88400
2001-05-04,28.4000,28.6300,28.0000,28.6200,6.5804,133700
2001-05-07,28.6200,29.4000,28.6000,29.0000,6.6678,155500
2001-05-08,28.8500,29.0000,28.2000,28.7000,6.5988,125500
2001-05-09,28.9000,29.4500,28.6300,28.6500,6.5873,64800
2001-05-10,29.0000,29.0000,28.5200,28.7700,6.6149,46900
2001-05-11,28.7800,28.7800,28.0900,28.4700,6.5459,77800
2001-05-14,28.4600,28.6200,28.2500,28.5700,6.5689,36800
2001-05-15,28.5700,28.5700,27.1500,27.4900,6.3206,251200
2001-05-16,27.5000,28.0000,27.4500,27.9400,6.4240,103400
2001-05-17,28.1000,28.7000,28.0900,28.7000,6.5988,152300
2001-05-18,28.5000,28.9800,28.4800,28.6000,6.5758,65800
2001-05-21,28.7000,28.9000,28.6300,28.7900,6.6195,48400
2001-05-22,28.7900,29.5000,28.6600,29.4700,6.7758,157300
2001-05-23,29.4800,29.5000,28.7500,28.8800,6.6402,90400
2001-05-24,28.6500,28.8800,28.2500,28.6000,6.5758,61600
2001-05-25,28.6000,28.8000,28.3600,28.7700,6.6149,65500
2001-05-29,28.7000,29.1000,28.1800,28.9000,6.6448,74900
2001-05-30,28.9100,28.9100,28.2600,28.4300,6.5367,53500
2001-05-31,28.6000,28.8500,28.3000,28.7300,6.6057,67500
2001-06-01,28.6000,28.6000,27.9600,28.0200,6.4424,119400
2001-06-04,27.9000,28.2000,27.9000,28.0900,6.4585,44500
2001-06-05,28.0000,28.3600,27.7000,28.2600,6.4976,162200
2001-06-06,28.2000,28.2700,28.0100,28.0200,6.4424,58100
2001-06-07,27.8500,28.1000,27.8500,27.9500,6.4263,96100
2001-06-08,27.9500,28.2300,27.8500,27.9800,6.4332,111300
2001-06-11,27.9000,28.0500,27.8900,27.8900,6.4125,75200
2001-06-12,27.7500,27.8000,27.1600,27.3000,6.2769,70300
2001-06-13,27.2500,27.8100,27.2500,27.7100,6.3712,44600
2001-06-14,27.6700,27.6800,27.4900,27.4900,6.3206,112900
2001-06-15,27.2500,27.4500,26.8200,26.8200,6.1665,109500
2001-06-18,27.0500,27.2900,26.8000,27.1600,6.2447,63800
2001-06-19,27.0500,27.1000,26.5400,26.6600,6.1297,103800
2001-06-20,26.4500,26.4500,26.0000,26.1600,6.0148,136600
2001-06-21,26.0000,26.5300,25.9500,26.3000,6.0470,135100
2001-06-22,26.3000,26.6300,26.0500,26.4400,6.0792,68900
2001-06-25,27.7500,27.7500,25.8000,25.8300,5.9389,272000
2001-06-26,25.4000,26.3600,25.4000,26.2600,6.0378,119000
2001-06-27,26.2700,27.5500,26.2700,27.4600,6.3137,147400
2001-06-28,27.4600,28.1500,27.4400,27.8200,6.3965,178900
2001-06-29,27.7500,28.9000,27.7000,28.9000,6.6448,155700
2001-07-02,28.6500,29.0500,28.4000,28.8000,6.6218,149700
2001-07-03,28.7500,28.9400,28.5600,28.6800,6.5942,50900
2001-07-05,28.5500,28.7000,28.3000,28.6500,6.5873,67000
2001-07-06,28.6500,28.6500,28.1300,28.2000,6.4838,85500
2001-07-09,28.2000,29.0000,28.1500,28.6000,6.5758,87700
2001-07-10,29.1000,29.8100,29.0500,29.3000,6.7367,242700
2001-07-11,29.2500,29.6000,29.1000,29.4000,6.7597,153200
2001-07-12,29.4200,29.9900,29.3200,29.9800,6.8931,186700
2001-07-13,29.8500,30.7300,29.7500,30.7300,7.0655,125700
2001-07-16,30.7300,31.5000,30.7300,31.3100,7.1989,380700
2001-07-17,31.3100,31.5000,31.2500,31.3200,7.2012,226800
2001-07-18,31.2500,31.3100,30.5200,30.6100,7.0379,307500
2001-07-19,30.8000,31.6300,30.7000,30.8000,7.0816,336600
2001-07-20,30.8000,32.1000,30.7200,31.5500,7.2541,258300
2001-07-23,31.8000,32.4000,31.0400,31.1500,7.1621,219500
2001-07-24,31.1800,31.8700,30.6400,30.7800,7.0770,259200
2001-07-25,30.6000,31.2500,30.4900,30.8000,7.0816,123500
2001-07-26,30.8000,31.0000,30.4800,30.8700,7.0977,96800
2001-07-27,30.9500,31.1300,30.5000,30.6400,7.0448,151300
2001-07-30,30.7500,31.1500,30.4000,30.5800,7.0310,85800
2001-07-31,30.5800,31.8200,30.5800,31.6400,7.2748,172500
2001-08-01,31.6500,32.5000,31.6000,32.1500,7.3920,146600
2001-08-02,32.1500,32.2000,31.7500,32.0600,7.3713,151300
2001-08-03,32.1000,32.1000,31.6500,31.8200,7.3161,95000
2001-08-06,31.9000,32.1500,31.6200,32.0000,7.3575,97000
2001-08-07,32.0000,32.0000,31.6500,31.8400,7.3207,63300
2001-08-08,32.0000,32.2600,31.9000,32.1000,7.3805,123900
2001-08-09,32.1500,32.2000,31.9600,32.1100,7.3828,144400
2001-08-10,32.1100,32.7500,31.9100,32.4800,7.4679,158300
2001-08-13,32.4500,32.4800,32.0000,32.4000,7.4495,97700
2001-08-14,32.4500,33.2000,32.3500,32.7700,7.5346,156900
2001-08-15,32.7500,33.0900,32.6100,33.0000,7.5875,129500
2001-08-16,33.0100,33.6600,33.0000,33.5500,7.7139,111200
2001-08-17,33.4000,33.4000,32.9000,33.0000,7.5875,132400
2001-08-20,33.0000,33.0000,33.0000,33.0000,7.5875,0
2001-08-21,32.3000,32.3500,31.8500,31.9800,7.3529,208100
2001-08-22,32.0200,32.6000,31.9500,32.4200,7.4541,133300
2001-08-23,32.4000,32.6500,32.3800,32.4000,7.4495,55600
2001-08-24,32.4000,33.1400,32.1000,33.0100,7.5898,147200
2001-08-27,32.9500,32.9500,32.5000,32.5000,7.4725,57200
2001-08-28,32.7000,33.5100,32.2400,32.3700,7.4426,250700
2001-08-29,32.3700,32.4700,31.9700,32.0700,7.3736,144100
2001-08-30,32.3900,32.3900,31.7500,32.1900,7.4012,120300
2001-08-31,32.1000,32.8400,31.6800,32.6400,7.5047,79700
2001-09-04,32.6000,32.8200,32.4000,32.5400,7.4817,112900
2001-09-05,32.5000,32.5400,31.9600,32.3300,7.4334,152200
