,open,high,low,close,adj_close,volume
1998-01-02,91.1900,91.1900,90.5600,91.1300,27.5055,361300
1998-01-05,91.3800,92.2500,88.8100,89.8800,27.1282,801000
1998-01-06,88.9400,89.5000,88.6900,88.9400,26.8445,1053700
1998-01-07,89.0000,90.0000,88.7500,89.0000,26.8626,762700
1998-01-08,88.9400,89.0000,87.6300,88.1300,26.6000,755800
1998-01-09,88.6300,88.6300,84.3800,84.5000,25.5044,920100
1998-01-12,83.5000,86.2500,83.5000,85.4400,25.7881,1235200
1998-01-13,86.0000,88.2500,86.0000,88.1300,26.6000,679900
1998-01-14,87.8800,89.1300,87.5600,89.0600,26.8807,494000
1998-01-15,89.3800,89.3800,87.0600,87.7500,26.4853,568700
1998-01-16,88.0000,89.2500,87.2500,88.6300,26.7509,695800
1998-01-20,88.9400,89.6300,88.4400,89.5600,27.0316,707000
1998-01-21,89.2500,89.5000,87.8800,89.0000,26.8626,987200
1998-01-22,89.0600,89.0600,86.8100,86.8800,26.2227,663800
1998-01-23,86.8800,87.8800,86.7500,87.0600,26.2771,778300
1998-01-26,87.0600,87.2500,86.5000,86.5600,26.1262,502000
1998-01-27,85.8800,86.4400,85.1300,85.1300,25.6945,1329000
1998-01-28,87.0000,87.7500,86.6300,87.0000,26.2590,1082300
1998-01-29,87.1300,89.1300,86.8100,88.2500,26.6362,1090600
1998-01-30,88.6300,89.1300,87.9400,88.5000,26.7117,773800
1998-02-02,89.0000,89.4400,88.8100,88.9400,26.8445,952800
1998-02-03,87.9400,90.2500,87.7500,90.0600,27.1826,1090400
1998-02-04,89.2500,91.4400,88.8800,91.3100,27.5598,1712700
1998-02-05,91.6300,91.9400,90.3100,90.5000,27.3154,982600
1998-02-06,90.2500,91.5000,90.1300,91.0000,27.4663,1006200
1998-02-09,91.2500,91.8800,90.6900,91.3800,27.5810,679700
1998-02-10,91.7500,92.6300,91.3800,92.1300,27.8073,942000
1998-02-11,94.5000,94.8800,92.4400,93.7500,28.2963,1756800
1998-02-12,94.0000,94.4400,92.5000,93.5600,28.2389,1487100
1998-02-13,92.7500,93.2500,91.7500,92.3100,27.8617,822100
1998-02-17,92.0600,93.5600,92.0000,93.3100,28.1635,1604600
1998-02-18,93.0600,94.3800,93.0600,94.0000,28.3718,1095600
1998-02-19,94.2500,94.3800,92.8800,93.0000,28.0699,781200
1998-02-20,93.0000,93.2500,91.2500,92.5000,27.9190,1175300
1998-02-23,93.0000,93.1300,92.2500,93.0000,28.0699,701400
1998-02-24,93.1300,93.2500,92.0000,92.6300,27.9582,955600
1998-02-25,93.1900,93.9400,92.7500,92.8800,28.1152,857600
1998-02-26,92.0000,93.3100,91.8800,93.0000,28.1515,955400
1998-02-27,93.0000,93.4400,92.2500,93.2500,28.2272,557500
1998-03-02,93.2500,93.6300,92.2500,92.2500,27.9245,776400
1998-03-03,92.1300,93.7500,92.0600,93.1300,28.1909,1150200
1998-03-04,93.1300,93.1900,91.7500,91.8100,27.7913,1081800
1998-03-05,91.2500,91.5600,91.0000,91.5600,27.7156,764300
1998-03-06,92.0000,93.6900,91.9400,93.3100,28.2454,1157200
1998-03-09,93.4400,94.3100,92.5600,94.0000,28.4542,892400
1998-03-10,94.1300,95.0000,93.9400,94.7500,28.6813,1056100
1998-03-11,94.7500,96.2500,94.6300,96.0000,29.0596,1217700
1998-03-12,95.7500,97.0000,94.8800,97.0000,29.3623,887000
1998-03-13,97.0000,97.8800,96.6300,96.8100,29.3048,1271700
1998-03-16,97.5000,98.3800,97.0000,98.0000,29.6650,698800
1998-03-17,96.1300,96.3800,94.3100,95.2500,28.8326,2243900
1998-03-18,94.5000,95.0000,94.4400,94.8100,28.6994,1164700
1998-03-19,95.2500,95.2500,94.6300,95.0000,28.7569,1253200
1998-03-20,95.3800,95.3800,94.6300,94.7500,28.6813,1311000
1998-03-23,93.5000,94.8800,93.2500,93.2500,28.2272,642500
1998-03-24,94.0000,94.6300,93.8800,94.1300,28.4936,1098200
1998-03-25,94.4400,95.4400,93.3800,94.5000,28.6056,1050100
1998-03-26,93.5000,95.1300,93.5000,94.9400,28.7388,705600
1998-03-27,95.2500,95.3800,93.8800,94.5000,28.6056,830100
1998-03-30,94.5000,95.0000,91.8800,92.6900,28.0577,1015000
1998-03-31,92.9400,93.5000,91.7500,91.9400,27.8307,1318800
1998-04-01,92.0000,92.3800,91.3800,91.3800,27.6611,1444800
1998-04-02,91.3800,93.0000,90.7500,92.2500,27.9245,1812400
1998-04-03,93.6300,93.8100,92.6300,93.0000,28.1515,1086600
1998-04-06,94.0000,95.5000,93.2500,93.7800,28.3876,1899700
1998-04-07,95.0000,96.2500,94.0000,94.8800,28.7206,1339000
1998-04-08,95.5000,95.6300,93.5600,93.6900,28.3604,931600
1998-04-09,94.0000,94.2500,93.2500,93.7500,28.3786,780700
1998-04-13,93.7500,94.7500,93.3100,94.5600,28.6237,977200
1998-04-14,95.5000,97.5000,94.8800,97.1300,29.4017,1200100
1998-04-15,97.7500,98.7500,96.7500,98.0000,29.6650,1494200
1998-04-16,98.0600,98.7500,96.3100,96.4400,29.1928,722700
1998-04-17,96.4400,97.6900,96.0600,97.0000,29.3623,833700
1998-04-20,97.5000,97.6300,95.1300,95.8100,29.0021,667200
1998-04-21,95.2500,96.5000,94.5000,96.1300,29.0990,1226400
1998-04-22,96.7500,99.3800,96.2500,96.7500,29.2867,2117000
1998-04-23,97.5000,100.3000,97.4400,98.9400,29.9496,2342400
1998-04-24,98.5000,98.9400,96.2500,97.1300,29.4017,1521200
1998-04-27,95.0000,96.0000,94.0000,94.6300,28.6449,1116400
1998-04-28,95.5000,95.8800,92.7500,94.0600,28.4724,786000
1998-04-29,94.3100,96.0000,94.1900,94.8100,28.6994,864100
1998-04-30,95.2500,96.6900,95.1900,96.2500,29.1353,1266700
1998-05-01,96.5000,96.5000,94.8800,95.3100,28.8508,476900
1998-05-04,95.7500,96.3100,94.5000,94.9400,28.7388,533600
1998-05-05,94.1900,94.9400,93.6300,93.7500,28.3786,908900
1998-05-06,94.1300,94.7500,93.0000,93.3100,28.2454,1158400
1998-05-07,93.2500,94.4400,92.2500,93.5600,28.3210,536200
1998-05-08,94.4400,94.9400,93.0000,93.3800,28.2666,824400
1998-05-11,93.2500,95.8100,93.1300,94.0600,28.4724,479200
1998-05-12,94.9400,96.2500,94.1900,95.7500,28.9840,801700
1998-05-13,96.2500,97.3800,95.5000,96.8800,29.3260,1021500
1998-05-14,96.9400,97.2500,96.1900,96.6300,29.2503,799300
1998-05-15,96.8800,97.0000,95.7500,96.1900,29.1172,925700
1998-05-18,96.5000,97.4400,96.1300,96.8100,29.3048,1056500
1998-05-19,96.7500,97.8100,95.8800,97.3800,29.4774,756500
1998-05-20,97.7500,98.1900,95.8800,96.2500,29.1353,861700
1998-05-21,96.2500,96.7500,95.8800,96.2500,29.1353,579100
1998-05-22,96.7500,97.3800,96.4400,96.8800,29.3260,1049800
1998-05-26,96.8800,96.9400,95.0000,95.0000,28.7569,950900
1998-05-27,94.0000,96.7500,94.0000,96.3100,29.2352,1028700
1998-05-28,96.3800,96.6300,95.0000,95.0600,28.8558,799900
1998-05-29,95.3100,95.6300,94.1300,94.1300,28.5735,711000
1998-06-01,94.0000,95.3100,93.8800,95.1900,28.8952,901300
1998-06-02,96.0600,97.0000,95.5600,96.6900,29.3506,921500
1998-06-03,96.6900,96.6900,94.0000,94.8800,28.8011,961500
1998-06-04,94.8800,96.0000,94.6300,95.7500,29.0652,1106800
1998-06-05,95.5000,97.0600,95.3800,96.9400,29.4264,959300
1998-06-08,96.7500,97.0000,95.4400,95.5000,28.9893,883800
1998-06-09,95.6300,95.7500,94.4400,95.0000,28.8376,1224100
1998-06-10,95.0000,95.3800,93.6200,94.0000,28.5340,1124900
1998-06-11,94.0000,94.1300,92.9400,93.3100,28.3245,1127200
1998-06-12,93.6900,94.6300,93.3100,93.6900,28.4399,862600
1998-06-15,93.6900,93.6900,90.2500,90.2500,27.3957,1254600
1998-06-16,90.7500,91.8800,90.0000,91.2500,27.6992,1031500
1998-06-17,91.0000,92.6300,90.6300,91.1900,27.6810,1052600
1998-06-18,90.9400,91.1300,89.6900,90.1300,27.3592,1154200
1998-06-19,90.3800,91.3800,88.2500,88.2500,26.7886,1711300
1998-06-22,88.7500,90.3800,88.5000,88.7500,26.9403,1377400
1998-06-23,88.9400,89.7500,88.5000,88.7500,26.9403,2027400
1998-06-24,89.0000,92.3800,88.6300,92.0600,27.9451,1871900
1998-06-25,91.7500,92.0600,89.0000,89.3800,27.1316,1329700
1998-06-26,89.0000,90.6300,88.7500,89.0000,27.0162,990300
1998-06-29,90.2500,91.5000,90.1300,90.1300,27.3592,1051400
1998-06-30,90.3800,92.1300,89.9400,91.5600,27.7933,982000
1998-07-01,91.9400,93.7500,91.6300,93.7500,28.4581,816000
1998-07-02,46.7500,47.9400,46.5000,47.8100,29.0258,772000
1998-07-06,48.2500,49.3100,48.0600,48.5000,29.4447,2019800
1998-07-07,49.1300,50.9400,48.8800,50.5000,30.6589,3766300
1998-07-08,51.5000,51.6300,50.6300,51.5000,31.2660,2771300
1998-07-09,51.4400,52.3800,50.5000,50.8800,30.8896,2765700
1998-07-10,51.0000,51.6300,50.6300,51.1900,31.0778,2156600
1998-07-13,50.8800,51.3100,50.2500,51.0000,30.9624,1031000
1998-07-14,50.7500,50.9400,50.3800,50.6900,30.7742,1889700
1998-07-15,50.9400,51.1900,49.6300,49.8100,30.2400,2245800
1998-07-16,49.9400,50.1900,49.6300,50.0000,30.3553,1370700
1998-07-17,50.4400,51.0000,50.1300,50.5000,30.6589,1393800
1998-07-20,50.2500,51.1900,50.2500,51.1900,31.0778,1908500
1998-07-21,51.0000,51.1900,49.2500,49.4400,30.0153,1383400
1998-07-22,49.5000,50.3100,48.5000,48.5000,29.4447,2302200
1998-07-23,47.0000,47.5000,45.8800,45.8800,27.8540,3748400
1998-07-24,47.0000,47.1300,45.2500,45.5000,27.6233,2391500
