,open,high,low,close,adj_close,volume
1998-01-02,26.8800,26.9400,26.3800,26.4400,3.3619,31200
1998-01-05,26.3100,26.6300,25.8800,26.3800,3.3542,23393
1998-01-06,26.4400,27.0000,26.2500,27.0000,3.4331,98993
1998-01-07,26.8800,26.8800,26.0000,26.2500,3.3377,35481
1998-01-08,26.3800,26.6900,26.3100,26.3800,3.3542,41289
1998-01-09,26.2500,26.4400,25.8800,25.8800,3.2907,38400
1998-01-12,25.8100,26.0000,25.3800,25.3800,3.2271,48089
1998-01-13,25.6300,26.2500,25.5000,26.1300,3.3225,41481
1998-01-14,26.2500,26.7500,26.2500,26.5000,3.3695,42800
1998-01-15,26.4400,26.5000,25.5600,25.7500,3.2741,27793
1998-01-16,25.7500,26.8800,25.7500,26.5000,3.3695,32193
1998-01-20,26.4400,26.6300,26.0600,26.4400,3.3619,22889
1998-01-21,26.3100,26.5000,26.0600,26.4400,3.3619,39689
1998-01-22,26.4400,27.0000,26.3800,27.0000,3.4331,65481
1998-01-23,27.0000,27.1900,26.8100,27.0600,3.4407,18000
1998-01-26,27.0000,27.1300,26.0000,26.0000,3.3059,41481
1998-01-27,26.0600,26.5000,26.0000,26.3800,3.3542,30993
1998-01-28,26.5000,26.8100,26.5000,26.7500,3.4013,29200
1998-01-29,26.7500,26.9400,26.7500,26.9400,3.4254,24089
1998-01-30,26.8100,26.8100,26.0600,26.0600,3.3136,31289
1998-02-02,26.1900,26.2500,25.7500,26.0600,3.3136,113393
1998-02-03,26.1300,26.7500,26.1300,26.5600,3.3771,41200
1998-02-04,26.5600,26.9400,26.4400,26.9400,3.4254,30889
1998-02-05,27.0000,27.0000,26.7500,26.9400,3.4254,37081
1998-02-06,26.7500,27.0000,26.6900,27.0000,3.4331,83289
1998-02-09,27.0000,27.4400,26.8800,27.3800,3.4814,111200
1998-02-10,27.3800,27.3800,27.0600,27.2500,3.4649,55600
1998-02-11,27.2500,27.3800,27.1300,27.1300,3.4496,23689
1998-02-12,27.0000,27.3100,26.6900,27.2500,3.4649,31600
1998-02-13,27.2500,27.2500,26.9400,27.1300,3.4496,41289
1998-02-17,27.0000,27.0000,26.5000,26.8800,3.4178,26800
1998-02-18,26.7500,27.2500,26.6900,27.2500,3.4649,53793
1998-02-19,27.2500,27.3100,27.0000,27.1300,3.4496,120681
1998-02-20,27.1900,27.1900,27.0600,27.1300,3.4496,21200
1998-02-23,27.0600,27.1900,27.0000,27.1900,3.4572,26489
1998-02-24,27.2500,27.2500,27.0000,27.1300,3.4496,278681
1998-02-25,27.1300,27.1300,27.0600,27.1300,3.4496,109600
1998-02-26,27.1900,27.2500,27.1300,27.2500,3.4649,61289
1998-02-27,27.0600,27.1900,26.8800,26.8800,3.4178,87600
1998-03-02,26.9400,27.3800,26.9400,27.1900,3.4572,200489
1998-03-03,27.2500,27.2500,27.1300,27.1900,3.4572,29881
1998-03-04,27.1900,27.1900,27.0000,27.1300,3.4496,33881
1998-03-05,26.9400,27.0600,26.6900,26.7500,3.4013,39481
1998-03-06,26.6900,27.1300,26.6900,26.8800,3.4178,50193
1998-03-09,26.7500,27.1900,26.7500,27.0600,3.4407,205081
1998-03-10,27.1300,27.8100,27.1300,27.4400,3.4890,128993
1998-03-11,27.3800,27.8800,27.3800,27.7500,3.5284,48681
1998-03-12,27.6300,28.1900,27.6300,28.1300,3.5768,40889
1998-03-13,28.1300,29.0000,28.1300,29.0000,3.6950,92889
1998-03-16,29.0000,29.6900,29.0000,29.5000,3.7587,85600
1998-03-17,29.2500,29.6300,29.2500,29.3100,3.7345,196681
1998-03-18,29.2500,29.6300,29.2500,29.5600,3.7664,87793
1998-03-19,29.6300,29.8100,29.5600,29.6300,3.7753,45481
1998-03-20,29.5600,29.6900,29.5000,29.5000,3.7587,78281
