,open,high,low,close,adj_close,volume
1998-01-02,28.6300,28.8100,28.3100,28.8100,18.9080,22667
1998-01-05,28.9400,29.3100,28.3800,28.9400,18.9934,66467
1998-01-06,28.7500,29.3100,28.5000,28.9400,18.9934,23400
1998-01-07,28.8100,28.8100,27.2500,27.2500,17.8842,23800
1998-01-08,27.2500,28.3800,27.2500,27.5600,18.0877,27467
1998-01-09,27.5000,27.5000,27.1300,27.4400,18.0089,23400
1998-01-12,27.1900,27.6300,27.1300,27.6300,18.1336,12867
1998-01-13,27.6300,28.4400,27.6300,28.3100,18.5799,52600
1998-01-14,28.4400,28.8800,28.1900,28.8800,18.9540,61867
1998-01-15,28.8800,29.5000,28.6900,29.5000,19.3609,55267
1998-01-16,29.4400,29.9400,29.3800,29.5000,19.3609,19600
1998-01-20,29.6300,30.2500,29.6300,30.2500,19.8531,6200
1998-01-21,30.2500,30.3800,29.9400,30.2500,19.8531,40267
1998-01-22,30.0600,30.1300,30.0000,30.0600,19.7284,17267
1998-01-23,30.0600,30.1300,30.0600,30.0600,19.7284,140400
1998-01-26,30.3100,30.3100,30.0000,30.1300,19.7744,62667
1998-01-27,30.0600,30.0600,29.7500,29.7500,19.5250,115867
1998-01-28,29.9400,29.9400,29.7500,29.7500,19.5250,64200
1998-01-29,29.7500,30.1300,29.6300,30.0600,19.7284,24667
1998-01-30,30.1900,30.4400,30.1300,30.1900,19.8137,8067
1998-02-02,30.2500,31.0000,30.2500,30.7500,20.1813,27667
1998-02-03,31.1300,31.5000,31.1300,31.5000,20.6735,5000
1998-02-04,31.3100,31.8800,31.3100,31.8800,20.9229,11467
1998-02-05,32.1300,32.5000,32.1300,32.5000,21.3298,14000
1998-02-06,32.5000,32.5000,32.3800,32.4400,21.2904,32467
1998-02-09,32.3100,32.3800,32.1300,32.2500,21.1657,2467
1998-02-10,32.1300,32.7500,32.0000,32.3100,21.2051,16400
1998-02-11,32.4400,32.6300,32.0000,32.0000,21.0016,69200
1998-02-12,32.1300,32.5000,31.5000,31.5600,20.7129,27667
1998-02-13,31.6900,32.1300,31.6900,31.8100,20.8769,28867
1998-02-17,31.8100,32.3800,31.8100,32.3800,21.2510,28267
1998-02-18,32.3800,32.4400,32.2500,32.3800,21.2510,45200
1998-02-19,32.3100,33.0000,32.2500,33.0000,21.6579,21800
1998-02-20,33.0000,35.0000,32.8800,35.0000,22.9705,47800
1998-02-23,35.0000,35.4400,34.9400,35.3800,23.2199,169200
1998-02-24,35.5000,36.5000,35.4400,36.4400,23.9156,31667
1998-02-25,36.3800,36.5000,36.3100,36.4400,23.9156,9200
1998-02-26,36.3800,37.0000,36.3800,36.8800,24.2044,13667
1998-02-27,37.1900,37.9400,36.7500,37.0000,24.2831,46067
1998-03-02,36.7500,36.9400,36.6300,36.9400,24.2438,7467
1998-03-03,36.8800,36.8800,36.4400,36.6300,24.0403,13600
1998-03-04,36.6300,37.0000,36.5000,37.0000,24.2831,10067
1998-03-05,36.5000,36.5000,35.8800,36.2500,23.7909,17267
1998-03-06,36.1300,37.1900,36.1300,37.1900,24.4078,5000
1998-03-09,37.0000,37.0000,36.5600,36.5600,23.9944,17067
1998-03-10,36.6900,36.8800,36.5600,36.8800,24.2044,4667
1998-03-11,36.8800,37.0000,36.6300,36.6300,24.0403,4200
1998-03-12,37.0000,37.0600,36.6900,36.6900,24.0797,5400
1998-03-13,36.5000,37.1900,36.5000,37.1300,24.3685,14600
1998-03-16,37.1300,37.1300,36.9400,36.9400,24.2438,4067
1998-03-17,36.7500,36.9400,36.6900,36.7500,24.1191,3800
1998-03-18,36.7500,36.8100,36.6300,36.7500,24.1191,2467
1998-03-19,36.5600,36.5600,36.3100,36.5600,23.9944,4067
1998-03-20,36.3800,36.3800,35.5600,35.5600,23.3381,8600
1998-03-23,35.3100,35.3100,34.5000,34.5000,22.6424,9067
1998-03-24,34.3800,34.9400,34.0600,34.8100,22.8458,15667
1998-03-25,35.0000,35.5000,35.0000,35.5000,23.2987,9200
1998-03-26,35.5000,35.8100,35.5000,35.7500,23.4628,2000
1998-03-27,36.0000,36.1900,35.3100,35.4400,23.2593,9600
1998-03-30,35.5600,35.6300,34.7500,34.8800,22.8918,71067
1998-03-31,34.6300,35.0000,34.6300,34.8800,22.8918,64000
1998-04-01,35.0000,35.0000,34.5600,34.8800,22.8918,26600
1998-04-02,34.9400,35.2500,34.6300,35.2500,23.1346,71000
1998-04-03,35.5600,36.6900,35.5600,36.5000,23.9550,33067
1998-04-06,36.6300,36.6900,36.1900,36.1900,23.7515,18267
1998-04-07,36.0000,36.2500,35.3800,35.3800,23.2199,13067
1998-04-08,35.3800,35.3800,34.5000,34.7500,22.8065,19400
1998-04-09,34.7500,34.7500,34.2500,34.5600,22.6818,111067
1998-04-13,34.6900,35.1300,34.6900,35.1300,23.0559,16067
1998-04-14,35.1900,35.1900,34.9400,35.1300,23.0559,95600
1998-04-15,35.0000,35.1300,34.9400,35.0000,22.9705,34067
1998-04-16,34.8100,34.8800,34.3800,34.6300,22.7277,47200
1998-04-17,34.6300,35.1900,34.5000,35.1900,23.0952,90200
1998-04-20,35.2500,36.3800,35.2500,35.8100,23.5021,12467
1998-04-21,35.7500,36.5000,35.7500,36.4400,23.9156,25467
1998-04-22,36.9400,37.7500,36.9400,37.7500,24.7754,25267
1998-04-23,37.7500,38.0000,37.7500,38.0000,24.9394,24067
1998-04-24,38.0000,38.6300,38.0000,38.5000,25.2676,14667
1998-04-27,38.3100,38.3100,36.6900,36.8800,24.2044,16800
1998-04-28,36.8800,37.6300,36.8800,37.0000,24.2831,53200
1998-04-29,37.0000,37.0000,35.0000,36.1300,23.7122,58067
1998-04-30,36.2500,37.1300,36.2500,37.1300,24.3685,215600
1998-05-01,37.2500,38.7500,37.2500,38.7500,25.4317,27600
1998-05-04,38.5000,39.3800,38.2500,39.0000,25.5957,35667
1998-05-05,39.2500,39.5000,39.0000,39.1900,25.7204,15800
1998-05-06,39.3100,39.3100,39.0000,39.0000,25.5957,5000
1998-05-07,39.0000,39.3800,39.0000,39.0000,25.5957,47467
1998-05-08,38.8800,38.8800,38.8100,38.8100,25.4710,9200
1998-05-11,38.8100,38.8100,37.6900,37.9400,24.9001,38800
1998-05-12,37.8800,38.0600,37.8800,38.0600,24.9788,16667
1998-05-13,37.8800,37.8800,37.5600,37.8800,24.8607,6267
1998-05-14,37.9400,37.9400,37.8800,37.9400,24.9001,2667
1998-05-15,38.0000,38.0000,37.0000,37.0600,24.3225,60400
1998-05-18,36.8800,36.9400,36.6900,36.8800,24.2044,11000
1998-05-19,37.0000,37.0000,36.5600,36.9400,24.2438,39867
1998-05-20,36.9400,36.9400,35.9400,36.5000,23.9550,14600
1998-05-21,36.5000,36.5000,36.0000,36.4400,23.9156,22267
1998-05-22,36.5000,36.5000,36.0000,36.0600,23.6662,14800
1998-05-26,36.1900,37.8100,35.9400,37.8100,24.8147,25067
1998-05-27,37.4400,37.8800,37.1300,37.8800,24.8607,31067
1998-05-28,37.5600,37.5600,35.3800,36.0000,23.6268,58600
1998-05-29,35.9400,35.9400,35.7500,35.8100,23.5021,49400
1998-06-01,35.7500,35.9400,35.3800,35.5000,23.2987,34400
1998-06-02,35.5000,35.5000,35.0600,35.2500,23.1346,13867
1998-06-03,35.2500,35.3100,34.8800,34.8800,22.8918,45667
1998-06-04,34.7500,34.8100,34.5000,34.8100,22.8458,11800
1998-06-05,34.8100,34.8800,34.6300,34.6900,22.7671,36600
1998-06-08,34.6900,34.6900,34.3800,34.5000,22.6424,12000
1998-06-09,34.5000,34.5000,34.0000,34.3100,22.5177,29800
1998-06-10,34.0600,34.1200,33.9400,34.0600,22.3536,14400
1998-06-11,34.0600,35.0000,33.9400,34.9400,22.9312,95467
1998-06-12,35.0000,35.5600,35.0000,35.4400,23.2593,41400
1998-06-15,35.4400,35.5000,35.0600,35.5000,23.2987,23600
1998-06-16,35.5000,35.8100,35.1900,35.5000,23.2987,105267
1998-06-17,35.5000,35.5000,35.0000,35.3100,23.1740,71667
1998-06-18,35.2500,35.3800,35.0000,35.3800,23.2199,21667
1998-06-19,35.3800,36.4400,35.3100,36.4400,23.9156,56267
1998-06-22,36.2500,36.3800,35.8800,36.0000,23.6268,27800
1998-06-23,35.8100,36.3800,35.8100,36.3100,23.8303,14867
1998-06-24,36.3100,36.8100,36.3100,36.8100,24.1584,50400
1998-06-25,36.8100,36.8100,35.8100,36.7500,24.1191,31000
1998-06-26,36.8100,37.1300,36.6900,37.1300,24.3685,15667
1998-06-29,37.0900,37.7500,37.0600,37.7500,24.7754,26667
1998-06-30,37.7500,37.7500,37.1300,37.1300,24.3685,83000
1998-07-01,37.3100,37.4400,36.8100,37.4400,24.5719,12200
1998-07-02,37.6300,37.6300,34.2500,35.3100,23.1740,35267
1998-07-06,34.7500,35.3800,34.2500,34.5600,22.6818,49400
1998-07-07,34.7500,35.1300,34.3800,35.0000,22.9705,27400
1998-07-08,35.0600,35.0600,33.4400,33.8100,22.1895,34200
1998-07-09,33.8800,33.8800,33.3100,33.4400,21.9467,48800
1998-07-10,33.5000,33.5000,32.2500,32.5000,21.3298,26067
1998-07-13,32.5600,32.8800,32.5000,32.7500,21.4939,66200
1998-07-14,32.8100,34.1300,32.5000,34.1300,22.3996,51800
1998-07-15,34.1900,35.3800,34.1300,34.9400,22.9312,31200
1998-07-16,34.8800,35.5000,34.5000,35.5000,23.2987,45000
1998-07-17,35.6300,35.6900,35.4400,35.5600,23.3381,5067
1998-07-20,35.4400,36.1900,35.4400,36.1900,23.7515,15000
1998-07-21,36.1300,36.2500,35.6900,35.9400,23.5875,63600
1998-07-22,35.8100,37.4400,35.1300,36.0000,23.6268,42067
1998-07-23,35.8800,36.3100,35.8800,36.1300,23.7122,25800
1998-07-24,36.1300,36.1300,35.8800,35.9400,23.5875,50000
1998-07-27,35.7500,35.7500,33.8100,33.9400,22.2749,54867
1998-07-28,33.7500,33.8800,33.2500,33.3100,21.8614,27467
1998-07-29,33.1900,33.1900,33.0000,33.0600,21.6973,12467
1998-07-30,33.0000,33.8100,33.0000,33.8100,22.1895,30800
1998-07-31,33.9400,33.9400,32.6300,32.6900,21.4545,13067
1998-08-03,32.5600,32.8800,31.4400,32.8100,21.5332,13267
1998-08-04,32.7500,33.0000,32.2500,32.8100,21.5332,19467
1998-08-05,32.6900,32.6900,29.9400,30.6300,20.1025,50000
1998-08-06,30.8100,31.1300,30.8100,30.9400,20.3060,21600
1998-08-07,31.0000,31.0000,30.1300,30.7500,20.1813,68667
1998-08-10,30.7500,31.3800,30.7500,31.1900,20.4700,6067
1998-08-11,31.0600,31.0600,29.0000,29.0000,19.0327,58800
1998-08-12,31.0600,31.0600,28.3100,28.3100,18.5799,36400
1998-08-13,28.1900,28.1900,25.7500,26.9400,17.6808,51200
1998-08-14,26.9400,27.0600,23.7500,23.7500,15.5872,64000
1998-08-17,24.8800,25.8100,24.6300,25.0000,16.4075,162600
1998-08-18,25.0000,25.9400,25.0000,25.6300,16.8210,64267
1998-08-19,25.8100,25.8100,23.3800,24.5000,16.0794,52000
1998-08-20,24.4400,24.9400,23.6300,24.0600,15.7906,22400
1998-08-21,23.7500,24.9400,22.3800,24.2500,15.9153,76267
1998-08-24,24.0600,24.4400,23.8100,24.0000,15.7512,19667
1998-08-25,23.9400,24.5000,23.9400,24.5000,16.0794,46400
1998-08-26,23.8800,24.0600,23.6300,24.0000,15.7512,251400
1998-08-27,23.9400,23.9400,23.4400,23.5600,15.4625,20800
1998-08-28,23.5000,23.5000,21.6300,21.9400,14.3992,212800
1998-08-31,22.0000,22.0000,17.6900,17.7500,11.6493,129600
1998-09-01,17.0000,18.2500,17.0000,18.0000,11.8134,168200
1998-09-02,18.2500,18.5000,17.6900,17.8800,11.7347,15067
1998-09-03,17.8800,18.0000,16.8100,16.9400,11.1177,26600
1998-09-04,16.8800,17.0000,16.0600,16.0600,10.5402,27867
1998-09-08,16.6200,17.3700,16.6200,17.1300,11.2424,45000
1998-09-09,17.1300,17.1300,15.6900,15.9400,10.4614,572667
1998-09-10,15.5600,15.5600,13.6900,13.6900,8.9848,31800
1998-09-11,13.9400,15.7500,13.9400,15.1900,9.9692,58800
1998-09-14,15.1900,18.9400,15.1900,18.3100,12.0169,152600
1998-09-15,18.5000,18.7500,18.1300,18.4400,12.1022,24667
1998-09-16,18.3800,19.1300,18.3800,19.1300,12.5550,34467
1998-09-17,18.8800,18.8800,18.2500,18.4400,12.1022,15000
1998-09-18,18.7500,19.1900,18.5600,19.1900,12.5944,33600
1998-09-21,19.4400,19.4400,18.9400,19.3100,12.6732,8600
1998-09-22,19.3100,20.0600,19.3100,19.5600,12.8372,24067
1998-09-23,19.6900,19.6900,18.9400,18.9400,12.4303,135067
1998-09-24,18.9400,18.9400,18.5000,18.6900,12.2663,35200
1998-09-25,18.5000,18.5000,18.1300,18.1300,11.8987,62600
1998-09-28,18.1300,18.2500,17.5000,18.2500,11.9775,49267
1998-09-29,18.0000,18.1300,17.9400,18.0000,11.8134,38267
1998-09-30,17.8800,18.0000,17.5600,18.0000,11.8134,42067
1998-10-01,17.8800,17.8800,16.0000,16.0000,10.5008,18867
1998-10-02,15.7500,15.7500,14.2500,14.2500,9.3523,64267
1998-10-05,14.3800,14.3800,13.6900,13.6900,8.9848,22600
1998-10-06,13.7500,13.9400,13.3800,13.8800,9.1095,76800
1998-10-07,13.7500,14.4400,13.7500,14.3800,9.4376,125867
1998-10-08,14.2500,14.2500,13.8800,14.2500,9.3523,95467
1998-10-09,14.2500,15.4400,14.2500,15.0000,9.8445,15800
1998-10-12,15.1300,15.8100,15.1300,15.8100,10.3761,7000
1998-10-13,16.0000,16.0600,15.8800,15.8800,10.4221,12267
1998-10-14,15.6900,16.0600,15.6900,16.0000,10.5008,23267
1998-10-15,16.0600,18.2500,16.0600,18.2500,11.9775,65867
1998-10-16,18.1300,19.6900,17.8100,18.5000,12.1416,56400
1998-10-19,18.5000,18.5000,18.3100,18.3800,12.0628,14267
1998-10-20,18.1900,18.2500,17.2500,17.2500,11.3212,68000
1998-10-21,17.1300,17.9400,17.1300,17.8100,11.6887,44200
1998-10-22,17.5600,19.7500,17.5600,19.7500,12.9619,80667
1998-10-23,20.0000,22.5600,20.0000,21.6300,14.1958,31267
1998-10-26,21.8100,22.3100,20.7500,20.8800,13.7036,24800
1998-10-27,20.6900,21.1300,19.5000,21.1300,13.8676,86600
1998-10-28,21.1300,21.1300,20.0600,20.8100,13.6576,43267
