,open,high,low,close,adj_close,volume
2005-09-15,38.0200,38.1000,37.0000,37.0100,28.0681,1529800
2005-09-16,37.0000,37.0000,36.6000,36.6000,27.7571,62400
2005-09-19,36.6000,36.7000,36.4500,36.7000,27.8330,1162300
2005-09-20,36.6000,37.0000,36.6000,36.7000,27.8330,654900
2005-09-21,36.6000,36.6000,36.0000,36.4000,27.6054,424300
2005-09-22,36.4000,37.2000,36.4000,37.2000,28.2122,864800
2005-09-23,37.2000,38.1000,37.2000,37.6800,28.5762,1249900
2005-09-26,37.7500,38.1500,37.7500,37.7500,28.6293,821400
2005-09-27,37.7500,37.9000,37.1400,37.2500,28.2501,1514000
2005-09-28,37.2400,37.4000,36.8000,37.0000,28.0605,875700
2005-09-29,36.9100,36.9100,36.2500,36.6000,27.7571,2659200
2005-09-30,36.6000,36.6000,35.6000,35.8000,27.1504,4014800
2005-10-03,35.3000,35.9000,34.1700,34.7000,26.3162,10007600
2005-10-04,34.0000,34.3000,33.2500,33.9000,25.7095,8040300
2005-10-05,34.0000,34.1000,33.3200,33.6500,25.5199,6304400
2005-10-06,33.4000,33.6500,33.2100,33.3700,25.3075,7552200
2005-10-07,33.2800,33.6000,33.1300,33.6000,25.4820,7055200
2005-10-10,33.6000,33.6000,33.0000,33.0300,25.0497,3400800
2005-10-11,33.0400,33.3900,32.9800,33.0000,25.0269,3675400
2005-10-12,32.9000,33.3000,32.7200,32.7700,24.8525,4134500
2005-10-13,32.5300,32.7000,32.4800,32.5500,24.6856,3184100
2005-10-14,32.5200,32.7500,32.3800,32.3900,24.5643,2487500
2005-10-17,32.3400,32.7700,32.0000,32.4800,24.6326,1910400
2005-10-18,32.3000,32.5500,32.1500,32.4300,24.5946,1737900
2005-10-19,32.2800,33.1600,32.2100,33.1600,25.1483,1784400
2005-10-20,33.1600,34.0600,33.1000,33.5800,25.4668,2789600
2005-10-21,33.7800,34.5010,33.6300,34.0000,25.7853,2881800
2005-10-24,35.2500,36.4800,34.9300,36.2900,27.5220,4013400
2005-10-25,35.3400,37.4700,35.2800,37.1800,28.1970,2900400
2005-10-26,36.8500,37.7200,36.7000,37.0000,28.0605,2208000
2005-10-27,36.9500,37.0000,35.8000,36.2800,27.5144,2033000
2005-10-28,36.5000,37.2000,36.2100,37.1000,28.1363,1430200
2005-10-31,37.2100,37.6000,36.9600,37.2200,28.2273,1211600
2005-11-01,36.9000,36.9600,36.4600,36.5600,27.7268,1574900
2005-11-02,36.2200,36.9000,36.1800,36.8000,27.9922,1201600
2005-11-03,36.7200,37.6200,36.7200,37.4200,28.4638,1887900
2005-11-04,37.3300,37.4200,37.0200,37.1700,28.2737,1731900
2005-11-07,37.1000,37.1700,36.8245,37.0200,28.1596,1658700
2005-11-08,36.6500,37.2000,36.6500,36.9600,28.1139,2119200
2005-11-09,36.9600,38.1800,36.9000,37.8800,28.8137,2152200
2005-11-10,37.7500,39.3000,37.7499,38.9200,29.6048,2513200
2005-11-11,38.5000,38.9600,38.4700,38.9100,29.5972,1229800
2005-11-14,38.8000,39.4000,38.5100,39.3400,29.9243,1160000
2005-11-15,39.0000,39.4000,38.4700,39.2100,29.8254,1793000
2005-11-16,39.3500,40.0000,39.0900,39.8300,30.2970,2568800
2005-11-17,40.1000,41.1800,39.7800,40.0000,30.4263,2628100
2005-11-18,40.4500,40.8700,39.6400,39.9200,30.3655,1556000
2005-11-21,40.1700,42.0000,40.1700,41.5800,31.6282,2906900
2005-11-22,41.4000,42.3900,41.2900,42.1500,32.0617,2368700
2005-11-23,42.2000,43.7600,42.2000,43.4700,33.0658,2149100
2005-11-25,44.1000,44.2500,42.9500,43.4500,33.0506,468300
2005-11-28,43.4000,44.2000,43.1000,43.9000,33.3929,2377400
2005-11-29,43.7500,43.9900,41.7301,42.5500,32.3660,2962200
2005-11-30,42.9000,43.2500,41.3000,42.0500,31.9857,2761100
2005-12-01,41.9500,43.8800,41.8900,43.3100,32.9441,1833000
2005-12-02,43.2500,43.7400,42.6000,43.2300,32.8833,1057900
2005-12-05,43.2200,43.7000,42.9100,43.5200,33.1038,1042900
2005-12-06,43.7000,43.8400,43.4800,43.6100,33.1723,1154900
2005-12-07,43.5900,44.7800,43.2200,43.3600,32.9821,2063900
2005-12-08,43.6500,44.0500,43.3100,43.6500,33.2027,1227800
2005-12-09,43.6400,44.0200,43.3600,43.7600,33.2864,515400
2005-12-12,43.7500,43.7600,42.8800,43.1300,32.8072,1504900
2005-12-13,42.9000,43.3700,42.5100,42.8300,32.5790,1321300
2005-12-14,42.8300,43.0300,41.5200,41.5300,31.5901,1701600
