,open,high,low,close,adj_close,volume
1998-02-27,17.3800,18.0000,17.3800,17.3800,15.2677,50000
1998-03-02,17.2500,17.2500,17.0000,17.2500,15.1535,75000
1998-03-03,17.1200,17.1200,16.7500,17.1200,15.0393,35000
1998-03-04,15.7500,15.7500,15.5000,15.7500,13.8358,60000
1998-03-05,16.1200,16.1200,16.1200,16.1200,14.1608,400
1998-03-06,16.1200,16.3800,16.1200,16.1200,14.1608,3600
1998-03-09,16.1200,16.5000,15.8800,15.8800,13.9500,3200
1998-03-10,15.8800,16.8800,15.8800,16.2500,14.2750,56800
1998-03-11,16.2500,16.5000,16.1200,16.2500,14.2750,10400
1998-03-12,16.2500,16.3800,16.1200,16.3800,14.3892,3800
1998-03-13,16.5000,16.5000,16.5000,16.5000,14.4946,1000
1998-03-16,16.5000,16.5000,16.1200,16.1200,14.1608,7700
1998-03-17,16.1200,16.1200,15.7500,15.8800,13.9500,28000
1998-03-18,15.8800,16.1200,15.7500,16.1200,14.1608,45700
1998-03-19,16.1200,17.3800,16.0000,17.1200,15.0393,383600
1998-03-20,17.2500,17.7500,17.2500,17.7500,15.5927,275600
1998-03-23,17.7500,19.0000,17.3800,18.8800,16.5854,398600
1998-03-24,18.8800,19.8800,18.8800,19.7500,17.3496,261800
1998-03-25,19.7500,20.1200,19.5000,19.8800,17.4638,135600
1998-03-26,19.8800,19.8800,19.2500,19.6200,17.2354,26300
1998-03-27,19.6200,19.7500,18.3800,19.2500,16.9104,62200
1998-03-30,19.2500,19.8800,19.2500,19.8800,17.4638,49500
1998-03-31,19.8800,20.2500,19.8800,20.1200,17.6746,79000
1998-04-01,20.1200,20.6200,20.0000,20.5000,18.0085,150100
1998-04-02,21.7500,23.3800,21.7500,23.2500,20.4242,140500
1998-04-03,23.2500,26.1200,21.7500,24.7500,21.7419,458700
1998-04-06,24.7500,26.0000,23.0000,24.0000,21.0831,105300
1998-04-07,24.0000,24.0000,22.1200,22.1200,19.4316,152800
1998-04-08,22.1200,23.0000,21.0000,22.5000,19.7654,45100
1998-04-09,22.5000,23.0000,22.2500,23.0000,20.2046,151400
1998-04-13,23.0000,23.2500,22.3800,22.6200,19.8708,85900
1998-04-14,22.6200,23.0000,22.5000,22.7500,19.9850,322900
1998-04-15,22.7500,22.8800,21.5000,21.7500,19.1065,23100
1998-04-16,21.7500,21.7500,20.8800,21.2500,18.6673,55400
1998-04-17,21.2500,21.6200,21.0000,21.6200,18.9923,15100
1998-04-20,21.6200,22.1200,21.2500,22.1200,19.4316,92900
1998-04-21,22.1200,22.1200,21.7500,22.1200,19.4316,23100
1998-04-22,22.1200,23.6200,22.1200,23.0000,20.2046,60900
1998-04-23,23.0000,23.5000,23.0000,23.5000,20.6438,242300
1998-04-24,23.5000,23.6200,22.0000,22.0000,19.3261,100900
1998-04-27,22.0000,22.5000,19.8800,20.8800,18.3423,52200
1998-04-28,20.8800,21.8800,20.7500,21.5000,18.8869,29100
1998-04-29,21.5000,22.5000,21.0000,22.5000,19.7654,101300
1998-04-30,22.5000,23.2500,22.3800,23.0000,20.2046,116300
1998-05-01,23.0000,23.1200,22.0000,22.1200,19.4316,61000
1998-05-04,22.1200,22.2500,21.2500,21.6200,18.9923,58400
1998-05-05,21.6200,21.7500,20.7500,21.2500,18.6673,44000
1998-05-06,21.2500,22.0000,20.8800,22.0000,19.3261,47300
1998-05-07,22.0000,22.1200,21.3800,21.3800,18.7815,230900
1998-05-08,21.7500,22.7500,21.7500,22.6200,19.8708,320700
1998-05-11,22.6200,22.7500,22.2500,22.3800,19.6600,375200
1998-05-12,22.3800,22.6200,22.0000,22.0000,19.3261,333300
1998-05-13,22.1200,22.6200,22.1200,22.3800,19.6600,88100
1998-05-14,22.3800,22.5000,22.0000,22.5000,19.7654,35600
1998-05-15,22.5000,22.5000,21.5000,22.0000,19.3261,69200
1998-05-18,22.0000,22.1200,21.0000,21.5000,18.8869,53200
1998-05-19,21.5000,22.0000,21.5000,22.0000,19.3261,21000
1998-05-20,22.0000,22.0000,21.0000,21.0000,18.4477,14100
1998-05-21,21.0000,21.1200,19.5000,21.1200,18.5531,116400
1998-05-22,20.7500,20.7500,20.2500,20.6200,18.1139,45100
1998-05-26,20.6200,21.0000,19.1200,19.5000,17.1300,119500
1998-05-27,19.5000,19.5000,18.7500,19.2500,16.9104,91100
1998-05-28,19.2500,20.5000,18.7500,20.5000,18.0085,163600
1998-05-29,20.5000,22.5000,20.5000,22.5000,19.7654,121900
1998-06-01,22.5000,22.5000,22.0000,22.1200,19.4316,258500
1998-06-02,22.1200,22.5000,22.1200,22.3800,19.6600,123400
1998-06-03,22.3800,22.5000,20.7500,20.7500,18.2281,180600
1998-06-04,20.7500,21.0000,20.0000,20.7500,18.2281,263200
1998-06-05,21.0000,23.0000,21.0000,22.8800,20.0992,290100
1998-06-08,23.2500,23.6300,22.5000,23.0000,20.2046,2718000
1998-06-09,23.0000,23.0000,22.0000,22.3800,19.6600,604900
1998-06-10,22.5000,23.1200,22.5000,22.8800,20.0992,149300
1998-06-11,22.8800,23.0600,22.5600,23.0000,20.2046,697400
1998-06-12,23.0000,23.0000,22.3800,22.5600,19.8181,782000
1998-06-15,22.9400,22.9400,21.8800,21.8800,19.2207,165900
1998-06-16,21.9400,22.0000,21.7500,21.7500,19.1065,95000
1998-06-17,21.9400,21.9400,21.5000,21.9400,19.2734,57400
1998-06-18,21.9400,21.9400,21.3800,21.5000,18.8869,588700
1998-06-19,21.1300,21.3800,21.0600,21.1900,18.6146,698100
1998-06-22,21.0000,21.3800,20.6300,21.1300,18.5619,159500
1998-06-23,21.8800,22.7500,21.6300,22.5000,19.7654,234000
1998-06-24,22.5000,23.0600,22.5000,23.0000,20.2046,275900
1998-06-25,23.0000,23.6300,22.6900,23.0000,20.2046,223500
1998-06-26,23.2500,23.6300,23.1300,23.3800,20.5384,115800
1998-06-29,23.1300,23.1900,21.6300,22.8800,20.0992,188900
1998-06-30,22.9400,24.9400,22.6900,24.9400,21.9088,566300
1998-07-01,25.0000,25.6300,24.3800,24.6900,21.6892,449600
1998-07-02,24.0000,24.6900,24.0000,24.0000,21.0831,5141900
1998-07-06,24.2500,25.3100,24.1900,25.2500,22.1811,991100
1998-07-07,26.0600,27.0000,25.6300,25.8800,22.7346,1096000
1998-07-08,26.1300,27.2500,26.1300,26.5000,23.2792,431200
1998-07-09,26.5000,27.1300,25.6300,25.9400,22.7873,659300
1998-07-10,26.1300,26.6300,25.7500,26.2500,23.0596,334700
1998-07-13,26.9400,27.3100,26.6900,27.2500,23.9381,429600
1998-07-14,27.0000,27.3800,26.0000,26.1300,22.9542,509200
1998-07-15,26.6300,27.0000,26.2500,26.9400,23.6657,225800
1998-07-16,27.3800,27.3800,26.5000,26.9400,23.6657,233300
1998-07-17,26.8800,27.4400,26.3800,27.0000,23.7185,479300
1998-07-20,26.7500,27.4400,26.5600,27.0600,23.7712,244800
1998-07-21,27.5600,28.1300,27.2500,27.4400,24.1050,575300
1998-07-22,27.8100,28.1300,27.5000,27.7500,24.3773,630200
1998-07-23,28.0000,28.5000,27.7500,28.0000,24.5969,496100
1998-07-24,27.8800,28.6300,27.2500,27.8800,24.4915,245300
1998-07-27,27.6300,27.6300,26.3800,26.5600,23.3319,280600
1998-07-28,26.6300,27.2500,26.0000,26.2500,23.0596,421600
1998-07-29,26.3800,26.7500,26.2500,26.2500,23.0596,268000
1998-07-30,26.0000,26.3800,25.7500,25.8800,22.7346,208200
1998-07-31,26.0000,26.1300,24.0000,24.0000,21.0831,335600
1998-08-03,24.0000,24.9400,24.0000,24.9400,21.9088,214700
1998-08-04,24.5000,24.6300,22.5000,23.0000,20.2046,654300
1998-08-05,22.5000,23.6300,22.3800,22.5000,19.7654,446700
1998-08-06,22.5000,23.5000,22.5000,22.8800,20.0992,582600
1998-08-07,23.3800,24.7500,23.0000,23.0000,20.2046,197300
1998-08-10,23.0000,23.5000,22.8800,23.2500,20.4242,286500
1998-08-11,22.3800,22.7500,22.0000,22.7500,19.9850,231200
1998-08-12,22.3800,24.1300,22.0000,24.1300,21.1973,555700
1998-08-13,23.8800,24.9400,23.7500,24.1300,21.1973,171600
1998-08-14,24.2500,24.4400,23.5000,23.5600,20.6965,62600
1998-08-17,23.6900,24.0000,23.1900,23.1900,20.3715,107100
1998-08-18,23.3800,23.3800,22.2500,22.3100,19.5985,111600
1998-08-19,22.3100,22.5000,20.3800,20.7500,18.2281,213100
1998-08-20,20.7500,20.7500,19.7500,20.1300,17.6834,834700
1998-08-21,20.0000,20.2500,19.5000,20.2500,17.7888,462900
1998-08-24,20.1900,20.3800,19.9400,20.0000,17.5692,124100
1998-08-25,20.1900,20.3800,19.8800,20.0000,17.5692,314800
1998-08-26,20.0000,20.0000,19.0600,19.5000,17.1300,438900
1998-08-27,18.6300,18.6300,17.2500,18.0600,15.8650,525400
1998-08-28,18.2500,18.7500,16.7500,17.0000,14.9338,453600
1998-08-31,17.0000,17.1900,14.3800,15.7500,13.8358,412700
1998-09-01,16.0000,17.0000,15.5000,17.0000,14.9338,363300
1998-09-02,17.0000,19.6300,17.0000,19.2500,16.9104,813400
1998-09-03,18.5000,19.2500,18.5000,18.8800,16.5854,444100
1998-09-04,18.5000,18.6900,18.0600,18.6300,16.3657,78000
1998-09-08,20.1300,20.1900,19.8800,20.0000,17.5692,922600
1998-09-09,19.7500,21.0600,19.7500,20.8800,18.3423,394600
1998-09-10,20.6300,21.0000,19.9400,21.0000,18.4477,483700
1998-09-11,20.7500,22.3800,20.6300,22.1300,19.4403,281400
1998-09-14,23.0000,23.5300,22.5600,23.0000,20.2046,231600
