,open,high,low,close,adj_close,volume
2001-01-02,115.3000,115.8000,105.6000,106.6000,46.6401,617000
2001-01-03,107.1000,111.5000,106.5000,106.8000,46.7276,844800
2001-01-04,107.0000,109.3000,95.5000,96.8100,42.3567,1982000
2001-01-05,97.8800,102.4000,96.2500,100.2000,43.8400,1086700
2001-01-08,100.8000,104.0000,100.3000,102.6000,44.8900,439800
2001-01-09,102.9000,105.1000,100.1000,100.8000,44.1025,603900
2001-01-10,101.0000,107.4000,101.0000,107.1000,46.8589,662700
2001-01-11,108.0000,108.0000,99.3800,100.1000,43.7962,893600
2001-01-12,100.3000,101.3000,97.8800,98.8800,43.2624,531700
2001-01-16,98.8800,99.3800,96.1300,98.0600,42.9036,615200
2001-01-17,99.0000,99.6300,94.3800,95.5000,41.7836,619400
2001-01-18,95.5600,96.6300,91.5000,92.0600,40.2785,905200
2001-01-19,90.5000,90.8800,87.0600,88.8800,38.8872,1827100
2001-01-22,88.8800,95.0000,88.8800,92.8800,40.6373,1150500
2001-01-23,93.1300,98.3800,93.1300,97.6900,42.7418,601000
2001-01-24,97.6300,100.5000,94.5000,99.7500,43.6431,782100
2001-01-25,99.7500,99.7500,95.0000,96.8100,42.3567,645200
2001-01-26,97.1300,100.3000,97.0000,98.8100,43.2318,482600
2001-01-29,99.9000,102.0000,95.8700,96.8500,42.3742,482000
2001-01-30,97.7500,97.7500,95.8500,97.3200,42.5799,449900
2001-01-31,97.1000,97.3100,93.8000,96.4700,42.2080,399700
2001-02-01,96.4700,98.2000,95.3000,96.1000,42.0461,382700
2001-02-02,97.7500,101.7000,97.7500,101.0000,44.1900,631300
2001-02-05,101.2000,104.9000,101.0000,102.4000,44.8025,696700
2001-02-06,102.4000,102.9000,98.5500,98.9400,43.2887,617900
2001-02-07,100.7000,104.2000,100.5000,102.8000,44.9775,628500
2001-02-08,103.8000,103.8000,99.4700,101.2000,44.2775,403700
2001-02-09,98.9500,98.9500,94.5000,97.7400,42.7636,1266800
2001-02-12,98.7500,100.7000,98.2500,100.2000,43.8400,652400
2001-02-13,100.6000,101.6000,99.3000,100.3000,43.8837,584600
