,open,high,low,close,adj_close,volume
1998-01-02,42.3800,42.8800,42.2500,42.8800,3.3068,17400
1998-01-05,42.8100,43.5000,42.6200,42.6200,3.2868,40467
1998-01-06,42.5000,42.5600,42.1900,42.4400,3.2729,10000
1998-01-07,42.3800,42.4400,41.9400,42.1200,3.2482,14667
1998-01-08,41.8800,41.8800,41.4400,41.4400,3.1958,9400
1998-01-09,41.0000,41.1300,40.4400,40.5000,3.1233,121467
1998-01-12,40.5000,40.6300,40.3100,40.3100,3.1086,58467
1998-01-13,40.4400,40.6300,40.3100,40.6300,3.1333,48600
1998-01-14,40.6300,42.1200,40.6300,42.0600,3.2436,26400
1998-01-15,42.1900,42.4400,41.8100,41.8100,3.2243,31467
1998-01-16,41.8100,41.8800,41.5000,41.8800,3.2297,21267
1998-01-20,42.1200,42.6900,42.1200,42.6900,3.2922,27867
1998-01-21,42.7500,42.7500,41.7500,42.5600,3.2821,47067
1998-01-22,42.4400,42.6200,42.3800,42.6200,3.2868,51600
1998-01-23,42.7500,42.7500,41.8100,42.0000,3.2389,71467
1998-01-26,42.2500,43.0000,42.2500,43.0000,3.3161,18267
1998-01-27,43.0000,43.0000,42.4400,42.6200,3.2868,51867
1998-01-28,42.5000,42.5000,41.9400,42.0000,3.2474,15267
1998-01-29,42.1200,42.4400,42.0000,42.3100,3.2714,19800
1998-01-30,42.2500,42.2500,42.0000,42.0000,3.2474,135600
1998-02-02,41.8800,42.9400,41.8800,42.9400,3.3201,111000
1998-02-03,43.0600,43.2500,42.9400,43.0000,3.3247,16600
1998-02-04,42.8800,43.0000,42.6900,43.0000,3.3247,14067
1998-02-05,43.1200,43.8800,43.1200,43.6900,3.3781,36067
1998-02-06,43.4400,43.5600,43.1200,43.5600,3.3680,18600
1998-02-09,43.4400,43.5000,43.0600,43.3800,3.3541,33000
1998-02-10,44.0000,44.0000,43.6200,43.7500,3.3827,49200
1998-02-11,43.6900,43.7500,43.3100,43.5600,3.3680,43267
1998-02-12,43.5600,43.5600,42.7500,43.1900,3.3394,50667
1998-02-13,42.9400,43.2500,42.5000,43.2500,3.3441,249067
1998-02-17,43.2500,43.2500,43.0000,43.2500,3.3441,37000
1998-02-18,43.3800,43.4400,43.0000,43.0000,3.3247,27600
1998-02-19,43.0600,43.0600,42.5600,42.9400,3.3201,16467
1998-02-20,42.6900,43.0600,42.5000,42.8100,3.3101,27267
1998-02-23,43.0000,43.3800,42.8100,43.3800,3.3541,16267
1998-02-24,42.8800,43.0600,42.3800,42.7500,3.3054,61200
1998-02-25,42.6200,43.0000,42.6200,42.8800,3.3155,43200
1998-02-26,42.6200,43.6900,42.6200,43.5600,3.3680,27867
1998-02-27,43.4400,43.7500,43.4400,43.5000,3.3634,35400
1998-03-02,43.4400,43.9400,43.4400,43.8800,3.3928,27600
1998-03-03,43.8800,43.9400,43.0000,43.0000,3.3247,49000
1998-03-04,43.1200,43.4400,42.8800,43.2500,3.3441,274600
1998-03-05,43.1900,43.1900,42.3800,42.3800,3.2768,56667
1998-03-06,42.4400,43.7500,42.4400,43.6900,3.3781,11800
1998-03-09,43.7500,44.0000,43.7500,43.7500,3.3827,24267
1998-03-10,42.8800,43.8800,42.8800,43.6900,3.3781,39600
1998-03-11,43.8100,43.9400,43.8100,43.9400,3.3974,5667
1998-03-12,43.8800,43.8800,43.5000,43.5000,3.3634,15067
1998-03-13,43.7500,43.9400,43.6200,43.7500,3.3827,18000
1998-03-16,43.8100,44.3100,43.5600,43.8800,3.3928,31000
1998-03-17,43.7500,44.0000,43.6900,44.0000,3.4021,14400
1998-03-18,43.8100,43.9400,43.8100,43.8800,3.3928,4800
1998-03-19,43.9400,44.0000,43.5000,43.6900,3.3781,19267
1998-03-20,43.3800,43.8800,43.3800,43.5600,3.3680,35400
1998-03-23,43.5000,44.1300,43.5000,44.1300,3.4121,15067
1998-03-24,44.1300,44.5000,44.1300,44.3100,3.4260,28467
1998-03-25,44.4400,44.4400,43.8800,44.0000,3.4021,54867
1998-03-26,43.8800,44.3100,43.6200,44.0600,3.4067,49600
1998-03-27,44.0000,44.0000,43.5000,43.5000,3.3634,15400
1998-03-30,43.5000,43.8800,43.3100,43.8800,3.3928,33867
1998-03-31,43.8100,44.9400,43.8100,44.7500,3.4601,30400
1998-04-01,44.8100,45.2500,44.6300,45.2500,3.4987,59400
1998-04-02,45.1900,45.3700,45.0600,45.0600,3.4840,11400
1998-04-03,45.0600,45.2500,44.5600,44.6300,3.4508,9000
1998-04-06,44.7500,44.8100,43.9400,44.0000,3.4021,16200
1998-04-07,44.2500,44.2500,43.5000,43.7500,3.3827,35200
1998-04-08,43.7500,43.9400,43.3800,43.3800,3.3541,9667
1998-04-09,43.3800,44.0000,43.3100,44.0000,3.4021,41200
1998-04-13,43.9400,43.9400,43.5000,43.5600,3.3680,15667
1998-04-14,43.8100,43.8800,43.6900,43.7500,3.3827,25600
1998-04-15,44.0000,44.1300,43.0000,43.8100,3.3874,263467
1998-04-16,44.0000,44.1300,43.5000,43.5000,3.3634,55867
1998-04-17,43.7500,45.3100,43.7500,45.1900,3.4941,40800
1998-04-20,45.1900,45.1900,44.6900,44.8100,3.4647,34467
1998-04-21,44.9400,46.0000,44.9400,45.9400,3.5521,64867
1998-04-22,46.0000,46.0000,45.8100,45.9400,3.5521,17400
1998-04-23,45.7500,45.9400,45.6300,45.7500,3.5374,38400
1998-04-24,45.6900,45.9400,45.6900,45.7500,3.5374,52467
1998-04-27,45.8700,45.8700,43.6200,44.4400,3.4361,58600
1998-04-28,44.3700,45.1300,44.3700,44.9400,3.4832,55200
1998-04-29,45.0000,45.1300,44.5000,44.5000,3.4491,17667
1998-04-30,44.5000,45.4400,44.5000,45.1300,3.4980,44067
1998-05-01,45.2500,45.6300,45.2500,45.5600,3.5313,21067
1998-05-04,45.7500,46.3800,45.7500,46.0000,3.5654,97867
1998-05-05,46.0000,46.3800,45.6900,45.7500,3.5460,52000
1998-05-06,46.2500,46.3100,45.3100,45.3100,3.5119,65200
1998-05-07,45.5600,45.9400,45.5600,45.8700,3.5553,22467
1998-05-08,45.6300,46.0000,45.6300,45.8100,3.5507,23800
1998-05-11,45.8700,45.9400,45.6900,45.7500,3.5460,11467
1998-05-12,45.8100,46.0600,45.4400,45.5000,3.5267,52200
1998-05-13,45.7500,47.0000,45.7500,46.5000,3.6042,39267
1998-05-14,46.7500,49.6300,46.6200,49.1300,3.8080,181467
1998-05-15,48.8700,50.3700,48.8100,50.0000,3.8754,193467
1998-05-18,49.8100,50.0600,49.6300,50.0600,3.8801,46600
1998-05-19,50.0600,51.4400,50.0600,51.1900,3.9677,90400
1998-05-20,51.2500,52.1900,51.1900,52.0000,4.0305,160467
1998-05-21,52.0600,52.3800,52.0000,52.1200,4.0398,82600
1998-05-22,52.6200,52.6200,52.3800,52.5000,4.0692,24667
1998-05-26,52.5600,52.8100,52.4400,52.5600,4.0739,71800
1998-05-27,52.5000,53.1900,52.2500,53.1300,4.1180,84600
1998-05-28,53.1300,53.1300,51.8100,51.8100,4.0157,368067
1998-05-29,51.7500,51.7500,50.1300,50.5000,3.9142,39000
1998-06-01,50.6200,51.4400,50.3700,50.8800,3.9436,13467
1998-06-02,51.0000,51.8800,51.0000,51.4400,3.9871,35800
1998-06-03,51.5000,52.1900,51.5000,51.6900,4.0064,34800
1998-06-04,51.4400,52.0000,51.3100,51.9400,4.0258,49867
1998-06-05,51.8100,52.2500,51.8100,52.0000,4.0305,56667
1998-06-08,52.0000,52.1900,51.7500,52.0600,4.0351,24867
1998-06-09,51.8100,52.4400,51.3800,51.8800,4.0212,96667
1998-06-10,52.0000,52.0000,51.5000,51.5000,3.9917,9867
1998-06-11,51.7500,51.7500,50.8800,51.0000,3.9530,33267
1998-06-12,51.1200,51.2500,51.0000,51.1900,3.9677,19200
1998-06-15,51.1900,51.1900,50.5000,50.5000,3.9142,11667
1998-06-16,50.5000,52.2500,50.3100,52.2500,4.0498,27400
1998-06-17,52.2500,53.5000,52.0600,53.1900,4.1227,46000
1998-06-18,53.0000,53.0000,52.2500,52.2500,4.0498,18267
1998-06-19,52.2500,52.2500,51.5000,51.5000,3.9917,10000
1998-06-22,51.7500,52.7500,51.5000,52.5600,4.0739,25200
1998-06-23,52.5000,52.5600,52.2500,52.5000,4.0692,33600
1998-06-24,52.3800,52.5000,52.2500,52.2500,4.0498,16800
1998-06-25,52.1200,52.4400,52.0600,52.3800,4.0599,11067
1998-06-26,52.2500,52.4400,52.0600,52.4400,4.0646,9400
1998-06-29,52.3100,52.5000,52.0600,52.1200,4.0398,10867
1998-06-30,52.2500,52.2500,51.5600,51.6900,4.0064,28867
1998-07-01,51.9400,52.8800,51.9400,52.6900,4.0839,60600
1998-07-02,52.5000,52.5600,52.1200,52.1200,4.0398,49867
1998-07-06,52.2500,52.4400,51.7500,51.7500,4.0111,25000
1998-07-07,51.7500,52.0000,51.2500,51.2500,3.9723,25600
1998-07-08,51.4400,52.0000,51.4400,52.0000,4.0305,17067
1998-07-09,52.0000,52.0000,51.4400,51.8100,4.0157,23467
1998-07-10,51.8800,53.8100,51.8100,53.8100,4.1708,35400
1998-07-13,53.7500,53.7500,53.0000,53.0600,4.1126,21000
1998-07-14,52.8800,52.8800,51.7500,51.7500,4.0111,27400
1998-07-15,51.8800,52.2500,50.3700,50.5000,3.9142,55467
1998-07-16,50.6200,50.7500,49.7500,49.9400,3.8708,37467
1998-07-17,49.8700,49.8700,49.3100,49.5000,3.8367,37000
1998-07-20,49.5000,49.5000,48.9400,49.0000,3.7979,29667
1998-07-21,49.0000,49.0600,48.6300,48.9400,3.7933,47667
1998-07-22,48.9400,48.9400,48.5000,48.5000,3.7592,6067
1998-07-23,48.5600,48.6900,47.2500,47.7500,3.7010,37267
1998-07-24,47.6200,47.6200,44.5000,44.8700,3.4778,271600
1998-07-27,44.8700,44.8700,43.6200,44.3700,3.4391,70000
1998-07-28,44.2500,44.2500,40.5000,41.0000,3.1779,222000
1998-07-29,41.0000,41.5600,40.6900,40.8700,3.1771,202800
1998-07-30,40.8700,41.5000,40.6900,41.3700,3.2160,245200
1998-07-31,41.4400,41.9400,41.3100,41.3100,3.2113,79867
1998-08-03,41.3700,41.3700,40.6900,40.6900,3.1631,65800
1998-08-04,40.6900,40.6900,38.8800,38.8800,3.0224,170200
1998-08-05,38.9400,39.4400,38.5600,39.1900,3.0465,189000
1998-08-06,39.1900,39.1900,38.6900,38.8100,3.0170,162067
1998-08-07,38.8100,39.1200,38.6200,38.6900,3.0076,303000
1998-08-10,38.6900,38.6900,37.3100,38.4400,2.9882,141000
1998-08-11,38.4400,38.5000,37.8100,38.0000,2.9540,108267
1998-08-12,38.5000,39.4400,38.5000,39.2500,3.0512,105667
1998-08-13,39.5000,40.1300,39.1900,39.8700,3.0994,108600
1998-08-14,40.0600,40.8700,40.0000,40.5000,3.1483,154867
1998-08-17,40.3700,42.6200,40.3700,42.5600,3.3085,214267
1998-08-18,28.3700,28.7500,28.3100,28.5600,3.3302,168467
1998-08-19,28.5600,28.6300,27.7500,28.0000,3.2649,100600
