,open,high,low,close,adj_close,volume
1998-01-02,60.5000,60.5600,59.3800,59.5600,12.6393,185000
1998-01-05,59.5600,59.5600,58.0000,58.0600,12.3210,449100
1998-01-06,58.0600,58.0600,54.0000,55.2500,11.7247,881000
1998-01-07,55.8800,56.9400,55.7500,56.5600,12.0027,645500
1998-01-08,56.6300,56.7500,55.4400,55.4400,11.7650,182100
1998-01-09,55.1900,55.2500,54.4400,54.8100,11.6313,387000
1998-01-12,54.0000,55.0000,52.8800,52.8800,11.2218,356900
1998-01-13,55.5000,57.8800,55.3800,56.3100,11.9497,430200
1998-01-14,56.3800,57.6900,55.7500,57.2500,12.1491,251100
1998-01-15,57.5000,58.1900,56.0000,56.3100,11.9497,572400
1998-01-16,56.5600,59.7500,56.5000,59.6300,12.6542,357600
1998-01-20,59.6300,61.3800,59.6300,61.2500,12.9980,263600
1998-01-21,61.0600,61.2500,60.1900,61.0000,12.9449,345400
1998-01-22,60.1300,60.1300,55.8100,56.0600,11.8966,470700
1998-01-23,56.2500,57.0000,54.5600,54.5600,11.5783,234000
1998-01-26,54.5600,57.1300,54.5600,56.9400,12.0833,387800
1998-01-27,56.8800,58.3800,56.5600,57.6300,12.2298,317600
1998-01-28,57.7500,58.3800,57.3100,58.0000,12.3083,194000
1998-01-29,58.0000,60.8800,58.0000,59.2500,12.5736,189700
1998-01-30,59.9400,60.1300,58.3800,59.0000,12.5205,346500
1998-02-02,59.5000,60.1300,59.1300,59.2500,12.5736,185700
1998-02-03,59.1300,61.7500,59.1300,61.2500,12.9980,567700
1998-02-04,61.2500,63.3800,61.2500,63.3800,13.4500,404600
1998-02-05,63.3800,64.5000,63.3800,64.4400,13.6749,429700
1998-02-06,64.3100,64.9400,63.9400,64.8800,13.7683,204000
1998-02-09,64.9400,64.9400,62.5600,62.6900,13.3036,179100
1998-02-10,62.7500,63.3100,62.5000,63.0000,13.3693,215100
1998-02-11,63.0000,63.3800,62.6300,62.8100,13.3290,116800
1998-02-12,62.9400,63.6900,62.0600,63.0600,13.3821,227800
