,open,high,low,close,adj_close,volume
1998-01-02,82.2500,83.5600,82.0000,83.5600,25.5941,223600
1998-01-05,83.6900,84.4400,83.1300,83.6300,25.6155,273900
1998-01-06,83.6300,83.6300,81.6900,81.8100,25.0581,373000
1998-01-07,81.8100,82.0000,80.7500,80.8800,24.7732,559800
1998-01-08,80.8800,80.8800,79.4400,79.8100,24.4455,429900
1998-01-09,79.7500,79.7500,76.5600,76.6900,23.4898,625600
1998-01-12,75.6900,77.6300,75.6900,77.5000,23.7379,316600
1998-01-13,77.5600,77.6900,76.4400,76.8100,23.5266,278900
1998-01-14,76.7500,77.3800,76.5000,77.3100,23.6797,240900
1998-01-15,77.2500,78.3800,77.2500,77.6900,23.7961,392300
1998-01-16,78.7500,79.0000,78.1900,78.8800,24.1606,210800
1998-01-20,78.6300,79.0000,78.3800,79.0000,24.1974,207200
1998-01-21,79.1300,79.1300,77.6300,78.5000,24.0442,206400
1998-01-22,78.5000,79.0000,78.5000,78.6900,24.1024,382800
1998-01-23,78.8100,79.0000,78.0000,78.3800,24.0075,408900
1998-01-26,78.3800,79.3800,78.0600,79.1300,24.2372,287100
1998-01-27,79.1900,80.5000,79.1300,80.5000,24.6568,474000
1998-01-28,80.5000,80.5000,79.5600,79.8100,24.4455,214600
1998-01-29,80.0000,80.0000,79.5600,79.6900,24.4087,325400
1998-01-30,79.8100,80.4400,79.3800,80.1900,24.5619,224900
1998-02-02,81.5600,83.5600,81.5600,83.5600,25.5941,220200
1998-02-03,83.3100,84.1900,82.5600,84.1900,25.7871,226700
1998-02-04,84.1300,84.4400,83.1300,83.3800,25.5390,166700
1998-02-05,83.3800,84.0000,82.5600,83.9400,25.7105,150000
1998-02-06,84.0000,84.9400,83.7500,84.7500,25.9586,142100
1998-02-09,84.7500,84.7500,82.5000,82.8800,25.3858,287200
1998-02-10,83.2500,86.4400,83.2500,86.0000,26.3415,209900
1998-02-11,85.7500,86.0000,84.6300,84.8800,25.9984,210200
1998-02-12,84.8800,85.5000,83.3100,85.4400,26.1699,183300
1998-02-13,85.1900,86.3100,84.3800,86.0000,26.3415,143500
1998-02-17,86.0000,86.6900,85.3800,86.1900,26.3997,142400
1998-02-18,86.1300,87.5000,86.1300,86.8800,26.6110,163100
1998-02-19,86.6300,87.0600,86.0000,86.9400,26.6294,137900
1998-02-20,87.0000,87.7500,86.7500,87.5600,26.8193,138900
1998-02-23,87.3100,87.7500,86.0600,86.9400,26.6294,162300
1998-02-24,87.0000,87.1300,84.5600,84.8100,25.9770,279900
1998-02-25,84.0000,84.3800,83.5600,84.2500,25.8054,409600
1998-02-26,84.0600,84.5000,83.8800,84.2500,25.8054,729100
1998-02-27,84.1300,84.5000,83.6900,83.9400,25.7105,394800
1998-03-02,83.6900,84.1300,83.5000,83.6900,25.6339,514400
1998-03-03,83.5600,84.0000,83.5000,84.0000,25.7289,206300
1998-03-04,83.9400,83.9400,83.1900,83.5000,25.5757,172300
1998-03-05,83.0000,83.1300,82.2500,82.3100,25.2112,392600
1998-03-06,82.5600,82.9400,82.0000,82.0600,25.1347,219000
1998-03-09,82.1300,82.9400,82.0000,82.3100,25.2112,253200
1998-03-10,82.5600,82.8100,81.5000,82.3100,25.2112,206500
1998-03-11,82.2500,82.5000,81.4400,81.5600,24.9815,298200
1998-03-12,82.0600,82.5000,81.8800,82.3100,25.2112,410200
1998-03-13,82.3800,82.3800,81.1900,81.5000,24.9631,464800
1998-03-16,81.5000,82.3800,81.3100,82.3800,25.2327,350200
1998-03-17,82.3100,82.7500,81.6900,82.7500,25.3460,329200
1998-03-18,83.2500,83.3800,82.7500,83.2500,25.4991,353400
1998-03-19,82.8800,83.6300,82.8800,83.2500,25.4991,284400
1998-03-20,83.2500,83.4400,82.6300,82.7500,25.3460,238700
1998-03-23,82.9400,83.7500,82.7500,83.3800,25.5390,219800
1998-03-24,83.5000,84.1300,83.5000,83.6900,25.6339,217100
1998-03-25,83.8100,83.8800,83.2500,83.5000,25.5757,252500
1998-03-26,83.0000,83.1300,82.0600,82.6300,25.3092,511600
1998-03-27,82.8800,82.9400,81.9400,82.0000,25.1163,401800
1998-03-30,81.6900,82.1300,81.3800,81.6900,25.1132,237100
1998-03-31,82.1900,83.1900,82.1300,82.8800,25.4790,293700
1998-04-01,82.6300,82.6300,81.6300,82.5000,25.3622,246800
1998-04-02,82.5000,83.2500,82.4400,82.7500,25.4391,489000
1998-04-03,83.2500,83.4400,82.6900,82.8800,25.4790,279800
1998-04-06,83.1300,83.2500,82.8100,83.2500,25.5928,433500
1998-04-07,83.0000,83.3100,82.6300,82.8800,25.4790,303900
1998-04-08,82.7500,83.4400,82.3800,82.4400,25.3438,306500
1998-04-09,82.6900,83.8800,82.4400,82.8800,25.4790,288100
1998-04-13,82.7500,82.9400,81.7500,82.1300,25.2485,342600
1998-04-14,82.3800,83.8800,81.8800,83.8100,25.7649,220900
1998-04-15,84.3800,85.8100,84.3100,85.5000,26.2845,345400
1998-04-16,86.3100,86.3100,85.0000,85.1900,26.1892,291100
1998-04-17,85.4400,87.2500,85.1900,87.1900,26.8040,255700
1998-04-20,87.0600,87.5000,86.4400,86.8800,26.7087,290300
1998-04-21,86.8800,88.9400,86.8100,88.7500,27.2836,456800
1998-04-22,88.5000,88.5000,86.7500,87.9400,27.0346,247100
1998-04-23,87.9400,89.3100,87.9400,88.9400,27.3420,248600
1998-04-24,89.0000,89.2500,88.5000,89.0600,27.3789,459900
1998-04-27,88.8100,88.8100,88.0000,88.0600,27.0715,413200
1998-04-28,88.3100,88.3100,87.0600,87.1900,26.8040,219000
1998-04-29,87.4400,87.4400,86.3100,86.8800,26.7087,229400
1998-04-30,87.1300,88.0600,86.8100,86.9400,26.7272,204500
1998-05-01,87.1900,87.2500,86.3800,87.1900,26.8040,244800
1998-05-04,88.5000,89.9400,88.5000,88.8800,27.3236,260800
1998-05-05,88.7500,89.0000,88.0600,88.1300,27.0930,215400
1998-05-06,88.5000,88.9400,87.5600,87.8100,26.9946,192700
1998-05-07,88.1300,88.1300,87.0000,87.0600,26.7641,132900
1998-05-08,86.5600,88.2500,86.4400,87.6900,26.9577,549100
1998-05-11,87.9400,88.3800,87.8100,88.0600,27.0715,201500
1998-05-12,88.3100,90.6900,88.0600,90.0000,27.6679,382100
1998-05-13,89.8800,90.6300,89.8800,90.2500,27.7447,334800
1998-05-14,90.0000,90.2500,89.5000,90.0000,27.6679,179700
1998-05-15,89.8800,89.9400,88.6300,88.6900,27.2652,128300
1998-05-18,88.0000,88.4400,87.5600,87.9400,27.0346,189600
1998-05-19,87.8100,88.0000,87.0000,87.4400,26.8809,288300
1998-05-20,87.6300,88.6300,87.6300,88.4400,27.1883,227400
