,open,high,low,close,adj_close,volume
1998-01-02,55.8100,56.0000,55.7500,56.0000,3.2413,74600
1998-01-05,56.0000,56.0000,55.8800,55.8800,3.2344,22200
1998-01-06,55.6900,55.6900,55.0000,55.0000,3.1835,76200
1998-01-07,55.0600,55.0600,54.7500,54.7500,3.1690,8200
1998-01-08,54.7500,54.7500,54.5000,54.5000,3.1545,5800
1998-01-09,54.3800,54.3800,54.0000,54.1300,3.1331,42800
1998-01-12,54.1300,54.1300,53.6300,53.6900,3.1076,32600
1998-01-13,53.5600,53.5600,52.7500,53.2500,3.0822,36000
1998-01-14,53.3800,54.3800,53.2500,54.3800,3.1476,46200
1998-01-15,56.0000,56.0000,55.6300,55.6900,3.2234,41600
1998-01-16,55.6900,56.0000,54.7500,54.7500,3.1690,27600
1998-01-20,54.7500,55.5000,54.7500,55.4400,3.2089,23600
1998-01-21,55.4400,57.6300,55.2500,57.3100,3.3172,50000
1998-01-22,57.3100,58.0000,57.2500,58.0000,3.3571,40800
1998-01-23,58.0000,59.0000,57.6900,57.6900,3.3392,33800
1998-01-26,57.7500,57.7500,56.8800,57.1300,3.3067,34800
1998-01-27,56.8800,56.8800,56.5600,56.6300,3.2778,37000
1998-01-28,56.6300,56.6300,55.3800,55.3800,3.2054,36400
1998-01-29,55.3800,55.3800,55.0000,55.0000,3.1835,14000
1998-01-30,55.0000,55.0000,53.6300,53.6300,3.1042,26800
1998-02-02,53.6900,54.1300,53.4400,54.1300,3.1331,81800
1998-02-03,54.1300,56.7500,54.1300,56.7500,3.2847,36600
1998-02-04,58.7500,59.2500,58.3100,59.0600,3.4184,50800
1998-02-05,58.8100,58.8100,58.3800,58.5600,3.3895,38000
1998-02-06,58.5600,58.5600,58.5600,58.5600,3.3895,10600
1998-02-09,58.4400,59.0600,58.2500,59.0600,3.4184,21000
1998-02-10,59.3100,59.5600,59.3100,59.5600,3.4474,10800
1998-02-11,59.5600,60.3100,59.5600,59.9400,3.4694,7400
1998-02-12,59.8800,60.3100,59.8800,60.3100,3.4908,3200
1998-02-13,60.5600,61.4400,60.5600,61.3100,3.5487,6400
1998-02-17,61.1900,61.1900,60.6900,60.8800,3.5238,18000
1998-02-18,60.9400,61.1900,60.9400,61.1900,3.5417,4200
1998-02-19,60.9400,60.9400,60.6300,60.6300,3.5093,14200
1998-02-20,60.3800,60.5000,60.3800,60.4400,3.4983,5000
1998-02-23,60.2500,62.0000,60.2500,62.0000,3.5886,27000
1998-02-24,61.7500,61.7500,61.5600,61.6300,3.5672,7600
1998-02-25,61.6300,62.0000,61.6300,61.8800,3.5817,27400
1998-02-26,61.8800,62.4400,61.8800,62.3100,3.6066,5200
