,open,high,low,close,adj_close,volume
2011-11-17,21.2500,21.9200,21.2500,21.3300,16.2513,17557500
2011-11-18,21.3500,21.5300,20.7500,21.0000,15.9998,2718500
2011-11-21,21.0000,21.2300,20.0200,20.3000,15.4665,2366400
2011-11-22,20.3000,20.7100,19.6500,19.9000,15.1618,2988700
2011-11-23,19.7000,19.7500,19.2200,19.6300,14.9560,1061400
2011-11-25,19.5500,19.8200,19.5000,19.6500,14.9713,279600
2011-11-28,19.8600,20.3200,19.6700,20.0400,15.2684,700300
2011-11-29,20.0000,20.0000,19.7000,19.9900,15.2303,534000
2011-11-30,20.1500,21.4600,20.1216,20.8400,15.8779,569700
2011-12-01,20.9500,21.0500,20.3500,20.8100,15.8551,479900
2011-12-02,20.9500,21.4500,20.9000,21.3700,16.2817,584500
2011-12-05,21.4500,21.9100,21.4000,21.7700,16.5865,2067800
2011-12-06,21.6400,22.2500,21.6100,22.1300,16.8608,524100
2011-12-07,21.9300,22.1000,21.8200,22.0000,16.7617,157600
2011-12-08,21.7200,21.9400,21.6200,21.6900,16.5255,377900
2011-12-09,21.6200,21.9800,21.2500,21.7500,16.5713,492700
2011-12-12,21.4000,21.5900,21.2500,21.5100,16.3884,431500
2011-12-13,21.6500,21.8200,21.2100,21.3100,16.2360,558700
2011-12-14,21.0800,21.1900,20.5500,20.6400,15.7256,1052600
2011-12-15,20.9800,21.8800,20.7900,20.9600,15.9694,712900
2011-12-16,20.9600,21.5000,20.7400,20.9700,15.9770,210300
2011-12-19,21.0700,21.1700,20.7600,20.9900,15.9922,149000
2011-12-20,21.4300,21.6900,21.1700,21.5000,16.3808,320200
2011-12-21,21.3700,21.6800,21.2900,21.4000,16.3046,268600
2011-12-22,21.4300,21.8500,21.4300,21.7900,16.6017,374500
2011-12-23,21.8200,22.4500,21.6300,21.9400,16.7160,542500
2011-12-27,22.8900,22.8900,21.3800,21.6500,16.4951,443100
2011-12-28,21.7700,21.8200,21.0900,21.1900,16.1446,144800
2011-12-29,21.2200,21.4300,21.0200,21.4200,16.3198,289100
2011-12-30,21.4600,21.6400,21.0900,21.5400,16.4113,128000
2012-01-03,22.1100,22.9300,21.7601,22.2400,16.9446,980300
2012-01-04,23.2300,23.2300,21.8500,22.5400,17.1732,393700
2012-01-05,22.4400,22.4400,21.7600,22.1400,16.8684,672500
2012-01-06,22.1400,22.8250,22.0000,22.5500,17.1808,578900
2012-01-09,22.6100,22.7100,22.4800,22.7100,17.3027,418800
2012-01-10,22.9200,24.0000,22.9200,23.8300,18.1560,948800
2012-01-11,23.8000,24.0200,23.5900,23.9500,18.2474,227400
2012-01-12,24.1000,25.0000,23.8500,24.6900,18.8112,1013400
2012-01-13,24.5300,25.3241,24.2800,24.8000,18.8950,540900
2012-01-17,24.9500,25.1300,24.2700,24.3600,18.5598,887800
2012-01-18,24.2100,25.0000,24.2100,24.5000,18.6665,569700
2012-01-19,24.6800,25.1700,24.5900,25.0700,19.1008,956500
2012-01-20,25.0200,25.1950,24.9400,25.1000,19.1236,532000
2012-01-23,25.1800,25.8300,25.0800,25.4800,19.4131,489600
2012-01-24,25.3000,25.8700,25.1800,25.8100,19.6646,408100
2012-01-25,25.8100,25.8900,25.4700,25.7600,19.6265,603700
2012-01-26,25.8500,26.6400,25.1645,25.9500,19.7712,801600
2012-01-27,26.9600,27.4000,26.1700,27.1600,20.6931,2554800
2012-01-30,27.1500,27.5500,26.5700,27.0800,20.6322,675200
2012-01-31,27.2700,27.4900,26.5700,26.8300,20.4417,553600
2012-02-01,27.1300,28.6900,26.9900,28.5900,21.7826,713000
2012-02-02,28.1300,29.0400,27.8700,28.9700,22.0722,571700
2012-02-03,29.2400,31.0300,29.2200,30.7500,23.4283,2728300
2012-02-06,30.6200,30.7800,29.9000,30.5200,23.2531,1650400
2012-02-07,30.5000,30.5000,29.6800,30.0800,22.9179,791900
2012-02-08,30.1800,30.2500,29.0900,29.9000,22.7807,1511100
2012-02-09,29.9900,30.0200,29.4200,29.8000,22.7045,1509800
2012-02-10,29.4900,30.1650,29.3600,30.0400,22.8874,1489800
2012-02-13,30.0100,30.2500,29.9300,30.0100,22.8645,1477600
2012-02-14,29.1900,29.4900,28.7500,29.0600,22.1407,8621700
2012-02-15,29.2400,29.8100,29.1300,29.3800,22.3845,4789300
2012-02-16,29.5000,30.7900,29.3600,30.3200,23.1007,4869500
2012-02-17,30.5600,31.5000,30.1700,31.2900,23.8398,4487500
2012-02-21,32.9100,32.9800,30.3400,30.9300,23.5655,3841400
2012-02-22,31.0500,31.3500,30.3100,31.0200,23.6340,1451700
2012-02-23,31.1700,31.4000,30.5600,31.0000,23.6188,1172000
2012-02-24,30.9500,31.7500,30.8000,31.3900,23.9160,1117000
2012-02-27,31.3900,31.6300,31.0300,31.2900,23.8398,2161700
2012-02-28,31.4700,32.1800,31.4000,31.8800,24.2893,1289800
2012-02-29,32.1800,32.4500,31.6100,32.0000,24.3807,2462100
2012-03-01,32.1300,32.4900,31.3700,32.0000,24.3807,2565300
2012-03-02,31.7300,32.4900,31.7300,32.3300,24.6321,1627300
2012-03-05,32.3000,32.6290,31.3500,31.6400,24.1064,1848400
2012-03-06,31.3700,31.6500,29.7900,29.9800,22.8417,1050600
2012-03-07,29.8000,30.8700,29.8000,30.0100,22.8645,681500
2012-03-08,30.4600,31.9100,30.2500,31.7000,24.1521,3596200
2012-03-09,31.5500,31.9000,31.4500,31.8300,24.2512,640500
2012-03-12,31.9100,32.3000,31.5400,31.9200,24.3198,3487700
2012-03-13,32.0400,32.0600,31.6700,31.9500,24.3426,1291600
2012-03-14,31.8600,32.2900,31.0500,31.7800,24.2131,1888600
2012-03-15,31.9000,32.1300,31.6100,31.7200,24.1674,1337300
2012-03-16,31.7500,32.1000,31.6400,32.0000,24.3807,1708000
2012-03-19,31.9300,32.0600,31.4800,31.5500,24.0379,2131200
2012-03-20,31.1500,31.4900,30.6400,31.1400,23.7255,1751200
2012-03-21,31.3900,31.7400,31.1400,31.2600,23.8169,879700
2012-03-22,31.1700,31.1700,30.7800,30.9700,23.5960,384400
