,open,high,low,close,adj_close,volume
1998-01-02,31.3800,31.6900,31.3800,31.6900,14.0278,3400
1998-01-05,31.8100,32.0000,31.6900,31.8100,14.0809,26000
1998-01-06,32.0000,32.3800,32.0000,32.3800,14.3333,23400
1998-01-07,31.8100,32.0000,31.8100,31.9400,14.3156,76300
1998-01-08,32.0000,32.0000,31.5600,31.6900,14.2035,29400
1998-01-09,31.7500,31.7500,31.4400,31.4400,14.0915,12000
1998-01-12,31.1900,31.1900,30.7500,30.7500,13.7822,30600
1998-01-13,30.9400,32.1300,30.7500,32.0000,14.3424,91600
1998-01-14,31.9400,32.0000,31.8800,32.0000,14.3424,58700
1998-01-15,32.0000,32.0000,31.6900,32.0000,14.3424,33000
1998-01-16,32.2500,32.6900,32.2500,32.4400,14.5397,90400
1998-01-20,32.6300,32.6300,32.2500,32.3100,14.4814,25400
1998-01-21,32.1900,32.3100,32.0600,32.1900,14.4276,27200
1998-01-22,32.1300,32.2500,31.1900,31.9400,14.3156,14300
1998-01-23,31.9400,32.0000,31.6300,32.0000,14.3424,122400
1998-01-26,32.1300,32.1300,31.6900,32.0600,14.3693,11300
1998-01-27,31.9400,32.2500,31.9400,32.1900,14.4276,25400
1998-01-28,32.0600,32.3100,31.9400,32.1300,14.4007,32700
1998-01-29,32.0000,32.4400,32.0000,32.4400,14.5397,57500
1998-01-30,32.3800,33.5000,32.3800,33.3800,14.9610,30000
1998-02-02,33.5600,33.6900,33.1900,33.2500,14.9027,12700
1998-02-03,33.0000,33.0600,32.5600,32.6900,14.6517,8800
1998-02-04,32.7500,33.8100,32.7500,33.2500,14.9027,8200
1998-02-05,33.1300,33.3800,32.8100,33.0600,14.8175,13500
1998-02-06,32.9400,33.3800,32.9400,33.3800,14.9610,6800
1998-02-09,33.4400,34.5600,33.4400,33.9400,15.2120,11500
1998-02-10,33.7500,34.0600,33.4400,33.6900,15.0999,11900
1998-02-11,33.9400,34.1300,32.3800,32.8800,14.7369,176500
1998-02-12,33.0600,33.3800,32.8100,32.9400,14.7638,19800
1998-02-13,33.0600,33.0600,32.7500,32.7500,14.6786,4800
1998-02-17,32.8100,32.8100,32.0000,32.5000,14.5665,27900
1998-02-18,32.0600,32.6300,31.9400,31.9400,14.3156,11200
1998-02-19,31.9400,32.0000,31.5000,31.5600,14.1452,7400
1998-02-20,31.3100,31.3100,29.8800,31.0000,13.8942,36300
1998-02-23,31.1300,31.3800,30.8100,31.0000,13.8942,72900
1998-02-24,31.2500,31.8800,31.1900,31.6900,14.2035,25200
1998-02-25,31.8100,32.7500,31.8100,32.5000,14.5665,17600
1998-02-26,32.4400,33.6300,32.4400,33.3100,14.9296,9000
1998-02-27,33.2500,34.1300,33.1900,34.1300,15.2971,17000
1998-03-02,33.6300,33.6900,31.7500,32.8100,14.7055,97400
1998-03-03,32.6900,32.8100,32.4400,32.7500,14.6786,67400
1998-03-04,32.6300,33.0600,32.6300,32.6900,14.6517,17100
1998-03-05,32.3100,32.5000,32.0000,32.5000,14.5665,17100
1998-03-06,32.3800,33.5600,32.3800,32.9400,14.7638,11100
1998-03-09,32.9400,33.0000,32.0600,32.1300,14.4007,16200
1998-03-10,32.0600,32.5000,32.0600,32.3800,14.5128,5800
1998-03-11,32.2500,32.3800,32.0600,32.1300,14.4007,6600
1998-03-12,32.1900,32.1900,31.8100,31.9400,14.3156,4200
1998-03-13,31.8100,31.9400,31.1300,31.9400,14.3156,11500
1998-03-16,32.0600,32.2500,31.9400,32.2500,14.4545,10600
1998-03-17,32.1300,32.2500,32.0000,32.0000,14.3424,8900
1998-03-18,31.8100,31.9400,31.5000,31.5000,14.1183,6800
1998-03-19,31.5600,31.6300,31.0000,31.1900,13.9794,12000
1998-03-20,31.4400,31.6900,31.3800,31.3800,14.0646,14200
1998-03-23,31.1900,31.2500,31.0000,31.1300,13.9525,2900
1998-03-24,31.0600,31.3800,31.0000,31.0600,13.9211,8100
1998-03-25,31.0000,31.2500,31.0000,31.1900,13.9794,10900
1998-03-26,31.0600,31.1900,30.8800,31.0600,13.9211,23600
1998-03-27,31.6900,32.0600,31.3800,31.6300,14.1766,40300
1998-03-30,31.6300,31.6300,31.2500,31.3800,14.0646,4500
1998-03-31,31.4400,31.6900,31.4400,31.6900,14.2035,11000
1998-04-01,31.5600,31.8100,31.5000,31.6300,14.1766,12900
1998-04-02,31.7500,31.9400,31.6300,31.6900,14.2035,36800
1998-04-03,31.5000,31.6900,31.1300,31.1900,14.1587,19300
1998-04-06,31.2500,31.3100,31.0000,31.0000,14.0724,23500
1998-04-07,31.1300,31.1300,30.9400,31.0000,14.0724,59900
1998-04-08,30.8800,31.0000,30.8800,30.9400,14.0452,25100
1998-04-09,30.9400,31.0600,30.7500,30.9400,14.0452,12200
1998-04-13,30.9400,30.9400,30.7500,30.9400,14.0452,3000
1998-04-14,30.9400,31.0000,30.9400,30.9400,14.0452,67300
1998-04-15,30.7500,30.9400,30.6300,30.6300,13.9045,15700
1998-04-16,30.6300,30.6300,30.0000,30.0000,13.6185,10100
1998-04-17,30.0000,30.5000,29.3800,30.2500,13.7320,61700
1998-04-20,30.2500,30.3100,30.2500,30.3100,13.7592,119300
1998-04-21,30.3100,30.8800,30.2500,30.8100,13.9862,25400
1998-04-22,30.7500,31.6900,30.7500,31.6900,14.3857,13800
1998-04-23,31.5600,31.6300,31.5600,31.5600,14.3266,1400
1998-04-24,31.4400,31.7500,31.3800,31.5600,14.3266,10900
1998-04-27,31.7500,31.7500,31.4400,31.6300,14.3584,37600
1998-04-28,31.5000,31.6300,31.3100,31.4400,14.2722,32900
1998-04-29,31.5600,32.0000,31.4400,32.0000,14.5264,6300
1998-04-30,32.1300,33.0600,32.1300,32.9400,14.9531,23500
1998-05-01,33.0000,34.5000,33.0000,34.0000,15.4343,79800
1998-05-04,34.0000,34.0000,33.4400,33.8800,15.3798,16500
1998-05-05,33.7500,33.8100,33.3800,33.3800,15.1528,18400
1998-05-06,33.3800,33.3800,33.0000,33.1300,15.0393,6600
1998-05-07,33.1300,33.1300,32.2500,32.2500,14.6399,5500
1998-05-08,32.1300,32.2500,31.8800,32.2500,14.6399,4800
1998-05-11,32.2500,32.2500,32.0000,32.0600,14.5536,3800
1998-05-12,32.0000,32.3100,31.7500,32.3100,14.6671,7000
1998-05-13,32.1900,32.1900,32.0000,32.0600,14.5536,5400
1998-05-14,32.0600,32.2500,32.0600,32.2500,14.6399,14300
1998-05-15,32.1900,32.5000,32.0000,32.0600,14.5536,3700
1998-05-18,32.0600,32.4400,31.8800,32.4400,14.7261,43000
1998-05-19,32.3100,32.3800,31.9400,32.0000,14.5264,51700
1998-05-20,32.0000,32.0000,31.5600,31.5600,14.3266,6400
1998-05-21,31.6300,31.6300,31.2500,31.3100,14.2132,9600
1998-05-22,31.1900,31.2500,31.0000,31.0600,14.0997,8200
1998-05-26,31.1300,31.1300,30.8800,30.8800,14.0180,10900
1998-05-27,30.8800,30.8800,30.5000,30.5600,13.8727,14100
1998-05-28,30.5600,31.3100,30.5000,31.2500,14.1859,22800
1998-05-29,31.2500,31.6900,31.2500,31.6900,14.3857,7800
1998-06-01,31.6900,31.8800,31.5600,31.6900,14.3857,55200
1998-06-02,31.7500,31.7500,31.4400,31.4400,14.2722,12000
1998-06-03,31.1900,31.1900,31.0000,31.0600,14.0997,6500
1998-06-04,31.1300,31.1300,31.1300,31.1300,14.1314,600
1998-06-05,31.1300,31.1300,30.9400,30.9400,14.0452,3300
1998-06-08,30.9400,31.1900,30.8100,31.1900,14.1587,19400
1998-06-09,31.1900,31.1900,30.8100,31.0000,14.0724,2300
1998-06-10,30.8800,30.8800,29.3800,29.8100,13.5322,54400
1998-06-11,29.8100,29.8800,29.4400,29.6900,13.4778,24900
1998-06-12,29.6900,29.6900,29.6900,29.6900,13.4778,3300
1998-06-15,29.5600,29.5600,29.0000,29.0000,13.1645,3900
1998-06-16,29.0600,29.1300,29.0000,29.0600,13.1918,18300
1998-06-17,29.0600,29.1900,28.7500,29.0000,13.1645,10600
1998-06-18,28.9400,29.3800,28.8800,29.3800,13.3370,22200
1998-06-19,29.4400,29.8100,29.3100,29.6300,13.4505,8700
1998-06-22,29.6900,30.0600,29.6300,30.0600,13.6457,157400
1998-06-23,29.8800,30.1300,29.8800,29.9400,13.5912,17800
1998-06-24,30.0000,30.1900,30.0000,30.0600,13.6457,10500
1998-06-25,30.0600,30.1300,30.0600,30.0600,13.6457,2000
1998-06-26,30.0000,30.0000,29.6300,29.6300,13.4505,15100
1998-06-29,29.5000,29.5000,28.5000,29.0000,13.1645,75000
1998-06-30,29.1300,29.9400,29.1300,29.9400,13.5912,17900
1998-07-01,29.8100,30.0000,29.8100,30.0000,13.6185,4500
1998-07-02,29.3800,29.8100,29.1900,29.7500,13.6866,38700
1998-07-06,29.6900,30.0000,29.5000,29.8800,13.7464,24300
1998-07-07,30.0000,31.2500,30.0000,30.6900,14.1190,35900
1998-07-08,30.7500,31.0000,30.5600,31.0000,14.2616,12600
1998-07-09,30.5600,30.6900,30.4400,30.4400,14.0040,18500
1998-07-10,30.0000,30.1300,29.9400,30.1300,13.8614,9400
1998-07-13,30.3100,30.3100,29.7500,30.1900,13.8890,86400
1998-07-14,30.3100,30.8100,30.3100,30.5600,14.0592,3600
1998-07-15,30.6900,30.6900,29.9400,30.5000,14.0316,13300
1998-07-16,30.6300,31.6900,30.6300,31.6900,14.5791,40100
1998-07-17,31.6900,31.6900,31.0000,31.0000,14.2616,7800
1998-07-20,31.0600,31.0600,31.0000,31.0000,14.2616,3300
1998-07-21,30.8800,30.8800,30.3800,30.3800,13.9764,51200
1998-07-22,30.4400,30.4400,29.7500,29.7500,13.6866,32300
1998-07-23,29.8800,29.8800,29.3100,29.4400,13.5440,17100
1998-07-24,29.2500,29.2500,28.5600,28.6300,13.1713,8000
1998-07-27,28.5000,28.5000,28.3100,28.4400,13.0839,11200
1998-07-28,28.3800,28.3800,27.8100,28.0000,12.8815,33300
1998-07-29,28.0000,28.4400,28.0000,28.1300,12.9413,32300
1998-07-30,28.0600,28.5000,28.0600,28.4400,13.0839,10000
1998-07-31,28.6300,29.3100,28.6300,29.1300,13.4013,205300
1998-08-03,29.1300,29.4400,29.0000,29.4400,13.5440,191400
1998-08-04,29.3100,29.4400,28.8800,29.0000,13.3415,118300
1998-08-05,29.1900,29.2500,28.8100,28.9400,13.3139,101500
1998-08-06,29.0000,29.1300,28.8800,29.0000,13.3415,110000
1998-08-07,28.8800,29.1900,28.8800,29.0000,13.3415,140300
1998-08-10,29.0000,29.5000,28.8800,29.1300,13.4013,19100
