,open,high,low,close,adj_close,volume
1998-01-02,71.3752,71.6252,70.6876,71.2500,28.8641,525900
1998-01-05,72.0000,73.1252,71.8752,72.5000,29.3705,1047700
1998-01-06,72.1252,72.1252,70.8124,70.8752,28.7123,765300
1998-01-07,69.5624,71.0000,69.5624,71.0000,28.7629,685000
1998-01-08,71.0000,71.5000,67.8752,68.0000,27.5475,491300
1998-01-09,67.9376,67.9376,66.2500,66.2500,26.8386,1518100
1998-01-12,65.0624,66.2500,65.0624,66.1252,26.7880,1091800
1998-01-13,67.0000,67.0000,65.2500,66.0000,26.7373,838900
1998-01-14,66.3752,66.8124,65.8752,66.1876,26.8133,1307500
1998-01-15,66.0624,66.3124,65.4376,65.9376,26.7120,1005400
1998-01-16,66.7500,67.3752,65.8752,66.5000,26.9399,1600100
1998-01-20,66.5000,68.3752,66.3752,68.3124,27.6741,1307800
1998-01-21,68.4376,69.1252,68.0624,68.6252,27.8008,815100
1998-01-22,69.5000,69.5000,67.6252,67.6252,27.3957,642700
1998-01-23,68.5000,69.3752,67.9376,69.1252,28.0034,856000
1998-01-26,69.0000,70.0624,69.0000,69.5000,28.1552,977100
1998-01-27,69.5000,70.4376,69.3752,69.9376,28.3325,832700
1998-01-28,70.0000,72.2500,70.0000,72.1252,29.2187,889500
1998-01-29,72.3752,75.7500,72.3752,75.7500,30.6871,1728500
1998-01-30,75.7500,77.0000,75.0000,76.3752,30.9404,1902200
1998-02-02,77.0000,78.1876,76.6252,78.0624,31.6239,1654100
1998-02-03,77.8124,77.8124,76.7500,77.0624,31.2188,627500
1998-02-04,76.6252,76.9376,75.4376,76.1252,30.8898,998400
1998-02-05,76.5000,76.6876,75.0624,75.5624,30.6614,406200
1998-02-06,75.6252,76.3752,75.5624,75.9376,30.8137,280300
1998-02-09,75.6876,76.0000,75.0624,75.2500,30.5346,279100
1998-02-10,75.0624,76.4376,75.0000,76.0000,30.8390,513100
1998-02-11,76.0624,76.1876,75.4376,75.6876,30.7122,339700
1998-02-12,75.5624,76.9376,75.5000,76.9376,31.2194,758800
1998-02-13,76.8124,77.3124,76.0624,76.8752,31.1941,567000
1998-02-17,76.7500,76.8124,75.8124,75.9376,30.8137,881000
1998-02-18,76.0000,76.4376,74.5000,74.5000,30.2303,684800
1998-02-19,74.2500,74.4376,73.1876,73.5000,29.8245,561400
1998-02-20,73.0000,73.2500,72.2500,72.2500,29.3173,651100
1998-02-23,72.5000,72.5000,70.6252,70.7500,28.7087,1416400
1998-02-24,70.0000,70.8752,69.2500,70.8124,28.7340,1189500
1998-02-25,71.0000,72.4376,71.0000,71.8124,29.1397,648800
1998-02-26,71.6252,72.3124,71.4376,72.2500,29.3173,277800
1998-02-27,72.4376,73.8752,71.7500,73.3752,29.7739,842500
1998-03-02,73.1252,73.5000,70.7500,70.8752,28.7595,731000
1998-03-03,70.6252,72.6252,70.6252,72.3124,29.3426,704000
1998-03-04,72.3752,72.4376,71.4376,71.6876,29.0891,544700
1998-03-05,70.7500,71.6252,70.3752,70.8124,28.7340,447800
1998-03-06,70.8124,71.6252,70.6252,71.6252,29.0638,672700
1998-03-09,71.5000,73.8124,71.1252,71.4376,28.9877,1227600
1998-03-10,72.2500,73.2500,72.0000,73.2500,29.7231,1018700
1998-03-11,73.5000,73.6252,72.2500,72.3124,29.3426,681000
1998-03-12,71.5000,71.5000,70.3124,71.3752,28.9623,1116700
