,open,high,low,close,adj_close,volume
1998-01-02,29.6200,29.6200,28.1200,28.8100,12.0138,87500
1998-01-05,28.6200,28.6200,27.3800,28.6200,11.9345,92300
1998-01-06,28.5000,28.6200,28.0000,28.5000,11.8845,102800
1998-01-07,28.4400,28.8100,28.0000,28.1200,11.7260,188500
1998-01-08,28.0000,28.3800,27.7500,28.2500,11.7802,85900
1998-01-09,28.1200,28.1200,27.0000,27.0600,11.2840,32400
1998-01-12,27.0000,28.6200,26.6200,28.3800,11.8344,56600
1998-01-13,28.4400,28.5600,27.8800,28.5000,11.8845,47200
1998-01-14,28.3800,28.5000,28.2500,28.3100,11.8053,61800
1998-01-15,28.2500,28.5000,28.1200,28.3800,11.8344,142200
1998-01-16,28.3800,28.6200,28.3800,28.5000,11.8845,29100
1998-01-20,28.5000,28.5000,28.2500,28.2500,11.7802,15600
1998-01-21,28.2500,28.3100,27.4400,27.6200,11.5175,39900
1998-01-22,27.7500,27.8100,27.3100,27.3800,11.4174,12400
1998-01-23,27.1200,27.3100,27.0600,27.1200,11.3090,8400
1998-01-26,27.1200,27.1900,26.3800,26.6200,11.1005,32400
1998-01-27,26.4400,27.0000,26.4400,26.6900,11.1297,18300
1998-01-28,26.6200,26.8800,26.6200,26.8800,11.2089,13600
1998-01-29,27.0600,27.2500,27.0000,27.2500,11.3632,18600
1998-01-30,27.1200,28.5000,27.1200,28.5000,11.8845,82000
1998-02-02,28.5600,28.5600,27.3800,27.5600,11.4925,43500
1998-02-03,27.5000,27.6900,27.3800,27.3800,11.4174,10600
1998-02-04,27.3800,27.6200,27.0000,27.1200,11.3090,35000
1998-02-05,27.0600,27.2500,26.6900,26.8100,11.1798,10200
1998-02-06,26.8100,26.9400,26.7500,26.8800,11.2089,25000
1998-02-09,26.6200,26.7500,26.0600,26.2500,10.9462,18700
1998-02-10,26.1200,26.4400,26.1200,26.3100,10.9713,19800
1998-02-11,27.0000,27.1900,26.9400,27.1900,11.3382,42200
1998-02-12,27.1900,28.1200,27.1900,27.6900,11.5467,52800
1998-02-13,27.7500,28.2500,27.6200,28.1900,11.7552,47700
1998-02-17,28.3800,28.7500,28.2500,28.7500,11.9887,40300
1998-02-18,28.6200,28.7500,28.4400,28.6200,11.9345,46500
1998-02-19,28.5000,28.5600,28.3800,28.5600,11.9095,18900
1998-02-20,28.3800,28.8800,28.3800,28.8800,12.0429,28400
1998-02-23,28.5000,28.6200,28.1200,28.5000,11.9971,33700
1998-02-24,28.3800,28.6200,28.1200,28.5000,11.9971,29600
1998-02-25,28.3800,28.5000,28.1200,28.4400,11.9718,24800
1998-02-26,28.5000,29.1200,28.5000,29.0600,12.2328,38900
1998-02-27,29.0000,29.0000,28.3800,28.6900,12.0771,20900
1998-03-02,28.8100,29.3800,28.8100,29.2500,12.3128,48300
1998-03-03,29.1200,29.5000,29.0000,29.5000,12.4180,26400
1998-03-04,29.5000,30.3100,29.5000,30.3100,12.7590,94000
1998-03-05,30.2500,30.2500,29.7500,29.7500,12.5233,22800
1998-03-06,29.6200,29.7500,29.1200,29.1200,12.2581,15000
1998-03-09,29.1200,29.7500,29.0000,29.6900,12.4980,20400
1998-03-10,29.4400,29.5000,29.1200,29.3800,12.3675,54800
1998-03-11,29.2500,29.9400,29.1200,29.6900,12.4980,32600
1998-03-12,29.7500,29.8100,29.2500,29.5000,12.4180,7100
1998-03-13,29.3800,29.3800,28.6200,28.7500,12.1023,26800
1998-03-16,28.5000,28.9400,28.4700,28.7500,12.1023,40200
1998-03-17,28.5000,28.6900,28.3100,28.5600,12.0223,7600
1998-03-18,28.4400,29.0000,28.3800,28.9400,12.1823,12900
1998-03-19,29.0000,29.0000,28.6900,28.6900,12.0771,13400
1998-03-20,28.7500,28.8100,28.6200,28.6200,12.0476,19500
1998-03-23,28.6200,29.9400,28.6200,29.8800,12.5780,135400
1998-03-24,29.8800,29.8800,29.1200,29.1900,12.2875,21600
1998-03-25,29.0000,29.3100,28.5000,28.9400,12.1823,15500
1998-03-26,28.8800,28.9400,28.5000,28.8100,12.1276,14400
1998-03-27,28.8100,29.0600,28.7500,28.9400,12.1823,10600
1998-03-30,28.8800,29.0600,28.5000,29.0600,12.2328,35000
1998-03-31,28.9400,29.7500,28.9400,29.6200,12.4685,37500
1998-04-01,29.6900,30.2500,29.6200,30.1900,12.7085,36400
