,open,high,low,close,adj_close,volume
2008-04-23,20.6000,21.4500,20.2200,20.6000,15.2285,23402800
2008-04-24,20.7200,21.0000,20.3100,20.8100,15.3837,4960900
2008-04-25,21.0000,21.2500,20.7000,21.1700,15.6498,1956800
2008-04-28,21.4900,21.4900,20.8100,21.0000,15.5242,709400
2008-04-29,21.3900,21.3900,20.8200,21.0700,15.5759,859700
2008-04-30,21.0800,21.2000,20.9200,21.1500,15.6351,893300
2008-05-01,21.2200,22.0000,21.0000,21.9100,16.1969,2999000
2008-05-02,22.1600,22.1600,21.4900,22.0100,16.2708,1639400
2008-05-05,22.4500,22.4500,21.5600,21.9100,16.1969,579000
2008-05-06,21.8000,21.8600,21.3700,21.5500,15.9308,1040200
2008-05-07,21.5000,21.6000,20.6500,21.2100,15.6794,1240100
2008-05-08,21.2300,21.3000,21.0300,21.2500,15.7090,888100
2008-05-09,21.2500,21.8400,21.0300,21.6700,16.0195,550400
2008-05-12,21.7000,21.7400,21.2800,21.5000,15.8938,1168000
2008-05-13,21.5300,21.5400,20.8000,21.3200,15.7607,1783900
2008-05-14,20.5100,21.4800,20.5100,21.3000,15.7459,649200
2008-05-15,21.4500,21.4600,21.1000,21.1600,15.6424,470400
2008-05-16,21.4300,21.6500,21.1000,21.6200,15.9825,1002400
2008-05-19,21.8900,22.0900,21.5500,21.7500,16.0786,802900
2008-05-20,21.9700,21.9700,21.4500,21.6500,16.0047,504100
2008-05-21,21.8500,21.8500,21.0500,21.1600,15.6424,407100
2008-05-22,21.3700,21.4500,21.1200,21.3500,15.7829,274600
2008-05-23,21.2500,21.2500,21.0000,21.1400,15.6277,464200
2008-05-27,21.4900,21.4900,21.0500,21.2300,15.6942,320300
2008-05-28,21.1000,21.4200,21.0700,21.4100,15.8273,403800
2008-05-29,21.3900,21.5000,21.0500,21.0600,15.5685,384600
2008-05-30,21.1000,21.5000,21.0500,21.5000,15.8938,784300
2008-06-02,22.3700,22.3700,21.2000,21.6000,15.9677,414900
2008-06-03,21.8600,21.9000,21.2900,21.3200,15.7607,446000
2008-06-04,21.1000,21.6400,21.0700,21.5700,15.9455,850300
2008-06-05,21.4900,21.8900,21.4900,21.8000,16.1156,567400
2008-06-06,21.7500,22.2500,21.7500,22.1000,16.3373,1588900
2008-06-09,22.3000,22.3900,22.1000,22.3300,16.5074,377700
2008-06-10,22.1100,22.2500,21.8400,21.8500,16.1525,594000
2008-06-11,21.7200,22.4300,21.2000,21.7100,16.0490,692300
2008-06-12,22.1100,22.1100,21.4700,21.8500,16.1525,394400
2008-06-13,22.1400,22.4000,21.7100,22.3900,16.5517,460500
2008-06-16,22.4700,23.0000,22.2400,22.7500,16.8178,783000
2008-06-17,22.7500,23.5100,22.3000,23.1800,17.1357,1194300
2008-06-18,23.0000,23.1900,22.4100,23.0400,17.0322,723300
2008-06-19,23.0900,23.0900,22.7000,22.8900,16.9213,683500
2008-06-20,22.8288,23.2000,22.3800,23.0000,17.0027,1330300
2008-06-23,22.9600,22.9600,22.6700,22.7500,16.8178,390500
2008-06-24,22.7800,22.9600,22.3100,22.8800,16.9139,666900
2008-06-25,23.0800,23.3700,22.8500,23.3700,17.2762,717000
