,open,high,low,close,adj_close,volume
1998-01-02,89.0000,89.0000,88.3100,88.6900,19.7210,1028533
1998-01-05,88.7500,89.6900,88.2500,88.8800,19.7633,1338733
1998-01-06,88.4400,88.6900,86.6300,87.0600,19.3586,1199900
1998-01-07,87.0600,87.0600,84.9400,86.2500,19.1785,1459933
1998-01-08,85.5000,85.6300,84.2500,84.5000,18.7893,967067
1998-01-09,84.1300,84.1900,81.3800,82.0000,18.2334,1851467
1998-01-12,80.5000,82.1300,80.2500,81.7500,18.1778,1449767
1998-01-13,83.5000,83.5000,82.2500,82.8100,18.4135,967667
1998-01-14,83.3100,83.6900,82.9400,83.3800,18.5403,1038133
1998-01-15,83.1300,83.2500,81.2500,81.3800,18.0956,1025000
1998-01-16,82.2500,83.2500,82.0000,82.0000,18.2334,1424533
1998-01-20,82.0000,82.7500,81.6900,82.4400,18.3313,1545067
1998-01-21,81.7500,82.5000,81.6300,81.6300,18.1512,876933
1998-01-22,81.0600,81.4400,79.5000,80.0600,17.8020,1258067
1998-01-23,80.4400,80.7500,78.3800,79.0600,17.5797,1052433
1998-01-26,79.5000,80.4400,78.9400,79.3800,17.6508,1384067
1998-01-27,79.6300,83.7500,79.5600,83.5000,18.5670,2359967
1998-01-28,85.0000,85.0000,82.7500,82.9400,18.4424,2429900
1998-01-29,82.5600,84.2500,82.5000,83.7500,18.6226,1691533
1998-01-30,84.3800,84.3800,83.3100,83.6900,18.6092,1470567
1998-02-02,84.2500,86.8800,84.2500,86.6300,19.2629,1970733
1998-02-03,86.7500,87.0000,86.1300,86.9400,19.3319,846333
1998-02-04,86.6300,87.5000,86.2500,87.3100,19.4142,1183333
1998-02-05,87.6300,88.1300,85.8800,86.7500,19.2896,1925267
1998-02-06,86.6300,88.0000,86.5600,86.6300,19.2629,1534433
1998-02-09,86.0000,86.6300,84.6300,85.3800,18.9850,1367967
1998-02-10,85.1300,87.8800,85.1300,86.7500,19.2896,1452400
1998-02-11,87.2500,87.6900,86.6300,87.3800,19.4297,952333
1998-02-12,86.8800,89.5000,85.9400,88.6300,19.7077,1421567
1998-02-13,88.5000,89.0000,88.2500,88.3100,19.6365,894433
1998-02-17,88.2500,89.8800,88.2500,89.0000,19.7899,1062133
1998-02-18,89.0000,89.5000,88.3100,88.6300,19.7077,1329000
1998-02-19,87.6300,87.8100,86.3800,86.6900,19.2763,1498667
1998-02-20,86.4400,88.0000,85.8800,88.0000,19.5676,2187333
1998-02-23,88.3800,88.7500,87.0600,88.7500,19.7343,1113900
1998-02-24,88.0000,88.4400,87.3100,87.3800,19.4297,994833
1998-02-25,87.6900,89.2500,87.6900,89.0000,19.7899,1032200
1998-02-26,88.7500,89.6900,88.5600,89.1300,19.8188,1127367
1998-02-27,88.1300,90.6300,87.8800,90.0600,20.0256,1872600
1998-03-02,89.8100,92.1900,89.6900,91.6300,20.3747,2337700
1998-03-03,91.5000,93.5000,91.3800,92.8800,20.6527,1729100
1998-03-04,93.0000,93.2500,91.5600,91.8800,20.4303,1255333
1998-03-05,90.7500,92.1900,90.6300,91.6300,20.3747,997467
1998-03-06,91.3800,93.7500,91.3800,93.3100,20.7483,910067
1998-03-09,93.1900,94.1900,92.0000,92.3100,20.5259,1060300
1998-03-10,92.5000,92.8100,91.4400,92.2500,20.5126,1368767
1998-03-11,92.6900,93.9400,92.1900,93.6300,20.8195,1063400
1998-03-12,93.7500,93.7500,92.7500,92.9400,20.6660,949833
1998-03-13,93.3100,93.5600,92.1900,92.2500,20.5126,828600
1998-03-16,92.6300,93.9400,92.6300,93.9400,20.8884,864033
1998-03-17,94.0000,96.2500,93.8800,95.7500,21.2909,1690600
1998-03-18,95.5000,97.8100,95.3100,97.0600,21.5822,1157200
1998-03-19,97.0600,97.6300,96.4400,97.2500,21.6244,993233
1998-03-20,97.7500,98.1300,96.3800,97.3800,21.6533,1340767
1998-03-23,97.0000,97.0000,95.0000,95.1300,21.1530,1153067
1998-03-24,96.2500,96.4400,95.6300,95.9400,21.3331,1009567
1998-03-25,96.3800,96.4400,94.0000,95.1300,21.1530,1770233
1998-03-26,94.6300,94.6300,93.0000,93.0000,20.6794,1166433
1998-03-27,93.3800,94.0000,92.3100,92.5000,20.5682,1157633
1998-03-30,92.5000,92.8800,90.6300,91.0000,20.2347,1352100
1998-03-31,91.1300,93.0000,91.1300,91.8100,20.4148,1834900
1998-04-01,92.8100,93.0000,91.8800,92.3800,20.5415,1463833
1998-04-02,92.3800,95.1300,92.2500,94.5000,21.0129,1484500
1998-04-03,97.3800,100.0000,96.6300,99.0000,22.0135,3402933
1998-04-06,103.0000,105.0000,102.2000,104.8000,23.3032,3827000
1998-04-07,105.0000,105.1000,103.0000,103.3000,23.0197,2346833
1998-04-08,103.5000,104.4000,103.2000,103.8000,23.1311,1791933
1998-04-09,106.5000,108.6000,106.4000,107.1000,23.8665,1984433
1998-04-13,107.5000,108.4000,103.0000,105.9000,23.5991,2751033
1998-04-14,106.0000,106.3000,104.1000,104.9000,23.3762,1678033
1998-04-15,105.1000,105.1000,103.1000,103.8000,23.1311,1216367
1998-04-16,103.0000,103.0000,100.8000,102.4000,22.8191,1597267
1998-04-17,105.8000,108.3000,105.0000,107.0000,23.8442,3682133
