,open,high,low,close,adj_close,volume
1999-11-18,45.5000,50.0000,40.0000,44.0000,29.5709,44739900
1999-11-19,42.9400,43.0000,39.8100,40.3800,27.1380,10897100
1999-11-22,41.3100,44.0000,40.0600,44.0000,29.5709,4705200
1999-11-23,42.5000,43.6300,40.2500,40.2500,27.0506,4274400
1999-11-24,40.1300,41.9400,40.0000,41.0600,27.5950,3464400
1999-11-26,40.8800,41.5000,40.7500,41.1900,27.6824,1237100
1999-11-29,41.0000,42.4400,40.5600,42.1300,28.3141,2914700
1999-11-30,42.0000,42.9400,40.9400,42.1900,28.3544,3083000
1999-12-01,42.1900,43.4400,41.8800,42.9400,28.8585,2115400
1999-12-02,43.7500,45.0000,43.1900,44.1300,29.6582,2195900
1999-12-03,44.9400,45.6900,44.3100,44.5000,29.9069,2175700
1999-12-06,45.2500,46.4400,45.1900,45.7500,30.7470,1610000
1999-12-07,45.7500,46.0000,44.3100,45.2500,30.4109,1585100
1999-12-08,45.2500,45.6300,44.8100,45.1900,30.3706,1350400
1999-12-09,45.2500,45.9400,45.2500,45.8100,30.7873,1451400
1999-12-10,45.6900,45.9400,44.7500,44.7500,30.0749,1190800
1999-12-13,45.5000,46.2500,44.3800,45.5000,30.5790,2875900
1999-12-14,45.3800,45.3800,42.0600,43.0000,28.8988,1665900
1999-12-15,42.0000,42.3100,41.0000,41.6900,28.0184,2087100
1999-12-16,42.0000,48.0000,42.0000,47.2500,31.7551,1848300
1999-12-17,46.3800,47.1200,45.4400,45.9400,30.8747,2652400
1999-12-20,46.2500,46.9400,46.1300,46.8800,31.5064,856100
1999-12-21,46.6900,46.6900,46.0000,46.6300,31.3384,1616200
1999-12-22,46.6300,47.5600,46.3100,47.5600,31.9634,1363200
1999-12-23,47.5000,50.0000,47.4400,49.7500,33.4352,1544700
1999-12-27,49.9400,53.1900,49.5600,52.8100,35.4918,1451800
1999-12-28,54.2500,61.5000,53.9400,61.5000,41.3320,2546500
1999-12-29,63.0000,79.0600,62.9400,72.0000,48.3887,7524000
1999-12-30,76.0000,80.0000,74.2500,79.2500,53.2612,4771900
1999-12-31,79.5000,79.9400,76.2500,77.3100,51.9574,1381400
2000-01-03,78.7500,78.9400,67.3800,72.0000,48.3887,3343600
2000-01-04,68.1300,68.8800,64.7500,66.5000,44.6923,3408500
2000-01-05,66.2500,66.3100,61.3100,61.5600,41.3723,4119200
2000-01-06,61.6300,62.0000,58.1300,60.0000,40.3239,1812900
2000-01-07,59.0600,65.9400,59.0000,65.0000,43.6842,2016900
2000-01-10,69.0000,69.6300,67.5600,68.9400,46.3322,1536800
2000-01-11,68.9400,68.9400,66.4400,68.0000,45.7004,1327600
2000-01-12,68.0000,68.0000,64.0600,66.6300,44.7797,1022800
2000-01-13,68.3800,69.8100,66.0000,67.6300,45.4518,811400
2000-01-14,67.0000,69.3800,67.0000,68.3800,45.9558,942000
2000-01-18,68.6300,72.8800,68.1300,71.5000,48.0527,1503400
2000-01-19,72.0000,72.0000,69.8100,70.0000,47.0446,1877600
2000-01-20,70.7500,70.8800,67.5000,68.1300,45.7878,1436300
2000-01-21,69.1300,69.3800,66.4400,68.7500,46.2045,1372200
2000-01-24,68.5000,71.8100,68.0000,68.5000,46.0365,1499200
2000-01-25,68.7500,69.6300,66.4400,67.6900,45.4921,825300
2000-01-26,67.9400,69.2500,67.8800,68.3100,45.9088,731300
2000-01-27,69.8800,70.5000,67.2500,68.4400,45.9961,621300
2000-01-28,69.5000,69.5000,67.4400,68.0600,45.7408,1151100
2000-01-31,67.5600,67.6300,64.7500,66.1900,44.4840,744200
2000-02-01,66.2500,72.0000,66.2500,71.0000,47.7166,1004500
2000-02-02,71.8800,76.5000,71.5600,76.5000,51.4130,1391400
2000-02-03,75.1900,77.7500,73.8100,77.7500,52.2531,1272900
2000-02-04,77.7500,77.7500,75.0000,76.2500,51.2450,819500
2000-02-07,77.6900,80.0000,76.2500,79.5000,53.4292,911500
2000-02-08,80.7500,82.1900,78.2500,79.0000,53.0931,836700
2000-02-09,77.6300,78.6900,75.6900,75.7500,50.9089,846100
2000-02-10,77.0000,78.8100,75.3100,76.6900,51.5407,763100
