,open,high,low,close,adj_close,volume
1998-01-02,50.5000,50.5000,49.6900,50.1300,9.3643,615400
1998-01-05,50.2500,51.2500,50.0600,50.8800,9.5044,564400
1998-01-06,51.0600,51.0600,50.4400,50.6900,9.4690,679400
1998-01-07,50.5600,51.4400,50.5600,50.9400,9.5157,700000
1998-01-08,51.2500,51.5600,51.0000,51.0000,9.5269,634200
1998-01-09,51.3100,51.3100,50.0000,50.0000,9.3401,963900
1998-01-12,49.0000,49.2500,48.5000,48.6900,9.0953,1327600
1998-01-13,48.7500,49.1300,48.5000,48.6900,9.0953,1532000
1998-01-14,48.6900,50.0600,48.6300,49.8800,9.3176,949000
1998-01-15,50.0000,50.3800,50.0000,50.1900,9.3756,521400
1998-01-16,50.4400,52.0000,50.4400,52.0000,9.7137,779900
1998-01-20,51.9400,53.2500,51.0000,51.3800,9.5978,1559800
1998-01-21,50.8800,51.4400,50.3100,50.4400,9.4223,1022700
1998-01-22,50.0000,50.4400,49.8800,50.1300,9.3643,787200
1998-01-23,50.3800,50.8800,50.1300,50.1900,9.3756,530200
1998-01-26,50.1900,51.3800,50.1900,51.1900,9.5624,529200
1998-01-27,50.7500,51.4400,50.6300,51.0600,9.5381,987200
1998-01-28,51.0600,52.3800,50.7500,51.9400,9.7025,1443500
1998-01-29,52.5000,54.3800,52.3800,53.1900,9.9360,1650700
1998-01-30,54.7500,56.3800,54.4400,55.6900,10.4030,1512100
1998-02-02,56.5000,57.7500,56.5000,57.6300,10.7654,1117900
1998-02-03,57.6300,57.7500,57.2500,57.3100,10.7056,546300
1998-02-04,57.3100,57.3100,56.0600,56.3100,10.5188,578900
1998-02-05,56.3800,56.7500,55.6900,55.9400,10.4497,347800
1998-02-06,56.1900,56.6900,55.6300,56.2500,10.5076,271600
1998-02-09,56.3800,56.5600,55.3100,55.5000,10.3675,334700
1998-02-10,55.8800,56.7500,55.3800,56.5600,10.5655,399900
1998-02-11,56.9400,57.3800,56.1900,57.0000,10.6477,295200
1998-02-12,57.0000,57.0000,55.5600,56.1300,10.4851,606600
1998-02-13,56.0000,56.3100,55.2500,56.0000,10.4609,471700
1998-02-17,56.7500,56.7500,55.5000,56.1900,10.4964,842200
1998-02-18,56.0000,56.8800,55.7500,56.8100,10.6122,689800
1998-02-19,56.6900,57.5600,56.1300,56.1900,10.4964,605400
1998-02-20,56.5600,56.5600,54.5000,55.6300,10.3917,613400
1998-02-23,56.4400,56.5000,55.2500,56.4400,10.5431,398100
1998-02-24,56.5600,56.5600,55.3100,55.7500,10.4142,363200
1998-02-25,55.7500,57.1900,55.5600,56.2500,10.5076,498300
1998-02-26,56.1900,56.5600,55.6300,55.9400,10.4497,287900
1998-02-27,55.6900,56.6900,55.4400,56.6300,10.5786,351900
1998-03-02,56.5000,57.0000,56.0000,56.7500,10.6010,656800
1998-03-03,56.9400,57.3800,56.3800,56.7500,10.6010,554300
1998-03-04,56.7500,56.7500,55.3800,55.8100,10.4254,319200
1998-03-05,55.2500,55.5600,54.3800,54.6900,10.2162,595500
1998-03-06,55.0000,55.6300,55.0000,55.3800,10.3450,605900
1998-03-09,55.1300,56.8800,55.1300,56.2500,10.5076,654900
1998-03-10,56.2500,57.0000,56.2500,56.5600,10.6198,780300
1998-03-11,56.1300,58.1300,55.5600,58.1300,10.9146,1054300
1998-03-12,58.0600,58.8800,57.3100,57.6900,10.8320,700800
1998-03-13,57.8800,58.2500,56.2500,57.0000,10.7024,581000
1998-03-16,57.1300,57.5600,56.9400,57.2500,10.7494,636300
1998-03-17,57.2500,58.0000,57.1300,58.0000,10.8902,624900
1998-03-18,58.1300,59.5600,58.1300,59.3100,11.1362,1286300
1998-03-19,59.9400,60.0000,59.1300,59.4400,11.1606,675300
1998-03-20,59.8800,61.5000,59.7500,61.4400,11.5361,1261600
1998-03-23,62.2500,62.2500,60.4400,60.7500,11.4066,1099300
1998-03-24,61.8800,62.4400,61.3100,61.6900,11.5831,723200
1998-03-25,62.0000,62.1300,60.5600,61.1300,11.4779,676300
1998-03-26,59.8800,59.8800,58.5600,58.6900,11.0198,916600
1998-03-27,59.0000,59.1300,57.8800,58.0000,10.8902,660200
1998-03-30,58.1900,58.1900,56.5600,56.7500,10.6555,522500
1998-03-31,56.3800,56.3800,54.2500,55.1300,10.3513,1692600
1998-04-01,55.1300,55.5000,54.4400,55.0600,10.3382,1011100
1998-04-02,55.1300,55.2500,54.3800,54.8800,10.3044,1347200
1998-04-03,55.1900,57.3800,54.8800,57.0000,10.7024,1486100
1998-04-06,56.7500,56.8800,55.5000,55.6300,10.4452,666500
1998-04-07,55.5000,56.1900,55.3100,55.9400,10.5034,558300
1998-04-08,56.7500,57.3800,55.7500,56.0600,10.5260,812200
1998-04-09,56.7500,57.1900,55.6300,55.8800,10.4922,593500
1998-04-13,55.8800,55.8800,54.6300,54.8800,10.3044,1118900
1998-04-14,54.7500,54.7500,52.8800,53.8100,10.1035,2175500
1998-04-15,53.6300,53.6300,52.5000,53.0000,9.9514,2729100
1998-04-16,53.2500,53.3100,52.6900,52.8800,9.9289,1044200
1998-04-17,53.1300,53.6900,52.0000,53.6300,10.0697,1561000
1998-04-20,53.7500,54.4400,53.1300,53.5000,10.0453,1075200
1998-04-21,53.8800,54.0600,53.0000,53.5600,10.0565,855900
1998-04-22,53.5600,53.6900,53.0000,53.0000,9.9514,948300
1998-04-23,53.2500,53.8800,53.1300,53.3800,10.0227,1475100
1998-04-24,54.5000,54.9400,53.2500,54.5000,10.2330,2150800
1998-04-27,54.4400,54.4400,52.6300,52.8800,9.9289,980500
1998-04-28,53.3800,54.1300,53.0600,53.5600,10.0565,1437300
1998-04-29,53.6900,53.6900,52.7500,52.7500,9.9045,795700
1998-04-30,54.2500,56.0000,54.2500,55.4400,10.4095,1381400
1998-05-01,55.6300,55.8800,55.1300,55.6300,10.4452,860600
1998-05-04,56.3800,56.4400,54.3800,54.5600,10.2443,580600
1998-05-05,54.5600,54.5600,54.0000,54.3100,10.1974,387200
1998-05-06,54.7500,54.7500,53.6300,53.6300,10.0697,610900
1998-05-07,53.6900,54.6300,53.0000,54.4400,10.2218,673800
1998-05-08,54.3800,55.6300,54.3100,55.0600,10.3382,739200
1998-05-11,55.3100,55.6900,55.1300,55.4400,10.4095,372700
1998-05-12,55.5000,56.1900,55.3800,55.3800,10.3983,717600
1998-05-13,55.1900,55.8800,55.1900,55.6900,10.4565,643100
1998-05-14,55.5600,56.7500,55.5000,55.7500,10.4677,577800
1998-05-15,55.8100,56.5600,54.3100,54.9400,10.3157,593900
1998-05-18,55.0000,56.3800,54.8100,55.9400,10.5034,536500
1998-05-19,56.0000,57.1300,55.6900,56.5600,10.6198,591300
1998-05-20,57.7500,57.7500,57.7500,57.7500,10.8433,541400
1998-05-21,57.7500,59.5600,57.7500,58.0000,10.8902,1746400
1998-05-22,58.3800,58.3800,57.4400,57.7500,10.8433,434700
1998-05-26,57.8800,57.8800,56.0600,56.0600,10.5260,342100
1998-05-27,56.0600,56.7500,55.1300,56.5000,10.6086,538400
1998-05-28,56.8800,57.2500,56.5000,56.8100,10.6668,395100
1998-05-29,57.2500,57.5000,56.7500,57.1900,10.7381,560400
1998-06-01,57.0600,57.5600,56.3800,56.7500,10.6555,562800
1998-06-02,55.6300,56.3800,54.0600,54.8800,10.3044,2917900
1998-06-03,54.2500,55.0000,54.2500,54.3100,10.1974,707700
1998-06-04,54.0600,54.5000,53.0600,53.8100,10.1035,1327200
1998-06-05,54.0000,55.2500,53.7500,55.2500,10.3739,1830100
1998-06-08,55.6300,55.6300,54.8800,55.0000,10.3269,603300
1998-06-09,55.1300,55.1900,54.5000,54.8100,10.3459,1050000
1998-06-10,54.7500,55.3800,54.7500,55.0600,10.3931,1437400
1998-06-11,54.8800,55.6300,54.3100,54.5000,10.2874,728300
1998-06-12,54.3800,54.5000,53.5000,53.9400,10.1817,1241900
1998-06-15,53.1300,53.7500,52.0000,52.0000,9.8155,1392400
1998-06-16,53.0000,53.0000,51.8800,52.2500,9.8627,1287900
1998-06-17,52.5000,53.3100,52.3800,53.1900,10.0401,736200
1998-06-18,53.0600,53.3800,52.6300,52.8100,9.9684,536500
1998-06-19,53.0600,53.0600,52.1300,52.5600,9.9212,818900
1998-06-22,52.4400,52.7500,52.0000,52.1900,9.8513,526400
1998-06-23,52.5600,52.7500,52.0000,52.5600,9.9212,819500
1998-06-24,52.3100,53.0600,51.5000,53.0000,10.0042,1242800
1998-06-25,53.1300,54.1300,52.3800,53.0000,10.0042,1445200
1998-06-26,53.3100,53.8100,53.3100,53.5000,10.0986,665800
1998-06-29,54.0000,54.6300,53.8100,53.9400,10.1817,1085800
1998-06-30,54.1900,54.5000,53.5000,53.8100,10.1571,1053500
1998-07-01,54.0000,54.5000,53.9400,54.2500,10.2402,550000
1998-07-02,54.2500,54.5000,54.0000,54.3800,10.2647,450300
1998-07-06,54.5000,54.8100,54.2500,54.5600,10.2987,577900
1998-07-07,54.7500,55.1300,54.0000,54.1300,10.2175,861300
1998-07-08,54.1300,54.6300,52.8100,54.5600,10.2987,812700
1998-07-09,54.8800,56.0000,54.7500,55.3800,10.4535,1029700
1998-07-10,55.3800,55.8400,54.3800,54.6300,10.3119,962200
1998-07-13,54.6300,54.6300,53.6900,53.8100,10.1571,789300
1998-07-14,53.8800,55.5000,53.8100,54.9400,10.3704,774200
1998-07-15,55.1300,55.6900,55.0000,55.3100,10.4403,540700
1998-07-16,55.3100,56.2500,55.1900,56.2500,10.6177,563800
1998-07-17,56.2500,56.8800,55.9400,56.6300,10.6894,551400
1998-07-20,56.8800,56.9400,55.6900,55.8800,10.5479,399000
1998-07-21,56.0600,56.0600,54.8800,55.1300,10.4063,370600
1998-07-22,55.3100,55.8800,55.0000,55.6300,10.5007,494900
1998-07-23,56.6300,59.6900,56.5000,56.6900,10.7008,2861800
1998-07-24,58.6300,59.2500,58.1300,58.7500,11.0896,1878500
1998-07-27,58.8100,61.2500,58.3800,58.5000,11.0424,1812500
1998-07-28,58.4400,58.5000,57.3100,57.7500,10.9008,1463900
1998-07-29,58.8800,59.9400,58.1300,59.8100,11.2897,1550700
1998-07-30,59.9400,60.1300,59.3800,59.8800,11.3029,1019300
1998-07-31,59.9400,60.8800,59.1300,59.7500,11.2784,854700
1998-08-03,60.0000,60.0000,59.1300,59.5600,11.2425,1116200
1998-08-04,59.5000,59.8100,57.3100,58.0600,10.9594,856000
1998-08-05,57.8800,59.5000,57.7500,58.6300,11.0669,1327400
1998-08-06,58.0000,58.3800,57.0000,57.2500,10.8065,1178800
1998-08-07,57.2500,58.1300,56.6900,57.8800,10.9254,778700
1998-08-10,57.3800,58.7500,56.8800,57.4400,10.8423,915900
1998-08-11,56.2500,58.0000,55.2500,57.8800,10.9254,785100
1998-08-12,56.2500,58.5000,55.2500,58.4400,11.0311,1044800
1998-08-13,58.5000,59.2500,58.0000,58.0600,10.9594,561700
1998-08-14,58.1900,58.4400,56.6300,57.0000,10.7593,620200
1998-08-17,57.0000,57.2500,56.3800,56.8800,10.7366,528000
1998-08-18,56.8800,57.3100,56.2500,57.1900,10.7951,728500
1998-08-19,57.1900,59.0000,56.3100,58.6300,11.0669,988300
1998-08-20,58.6900,61.0000,58.6300,60.9400,11.5030,1813900
1998-08-21,60.8800,60.8800,57.4400,59.0000,11.1368,1571200
1998-08-24,58.8800,60.1900,58.7500,59.0000,11.1368,620800
1998-08-25,59.1300,60.5000,59.1300,60.1900,11.3614,552500
