,open,high,low,close,adj_close,volume
1998-01-02,49.5000,49.8100,48.1300,48.8800,31.4145,2761300
1998-01-05,48.9400,49.7500,48.1900,48.6300,31.2538,3816100
1998-01-06,48.0600,48.9400,47.5000,47.8800,30.7718,4050900
1998-01-07,47.5000,48.1300,47.3800,48.1300,30.9324,3230600
1998-01-08,47.5000,47.5600,46.0000,46.3800,29.8077,6732800
1998-01-09,46.3100,46.4400,45.0000,45.1300,29.0044,4708500
1998-01-12,44.5000,45.5600,43.9400,45.3800,29.1651,4064500
1998-01-13,45.7500,46.1900,44.6900,45.0600,28.9594,3722700
1998-01-14,45.7500,46.2500,45.1300,46.2500,29.7242,3398400
1998-01-15,45.5000,45.5600,44.1300,44.1300,28.3617,5409100
1998-01-16,44.2500,44.6300,43.0000,43.4400,27.9182,11645700
1998-01-20,43.9400,44.2500,42.8100,43.5000,27.9568,7730300
1998-01-21,43.8800,44.6300,43.0600,44.0000,28.2781,5895800
1998-01-22,44.1900,45.6300,44.0600,45.2500,29.0815,6578900
1998-01-23,45.2500,45.6900,44.2500,44.3100,28.4774,4566600
1998-01-26,44.8800,45.0000,44.0600,44.4400,28.5609,2783600
1998-01-27,44.0600,45.2500,44.0000,45.0000,28.9208,3596600
1998-01-28,45.5000,47.4400,45.1900,47.0600,30.2448,5464000
1998-01-29,47.6900,48.1900,47.2500,47.5000,30.5275,4830400
1998-01-30,48.0000,48.1300,47.3100,47.6300,30.6111,3066400
1998-02-02,48.0600,48.8800,48.0600,48.3100,31.0481,3850300
1998-02-03,48.3800,48.6300,48.0600,48.3100,31.0481,3081700
1998-02-04,48.1300,48.2500,47.3100,47.4400,30.4890,3659600
1998-02-05,47.6300,47.8800,46.0600,46.8100,30.0841,4183500
1998-02-06,46.8100,46.9400,46.3100,46.4400,29.8463,2808000
1998-02-09,46.9400,47.2500,46.3800,46.3800,29.8077,3156500
1998-02-10,46.9400,48.8800,46.6300,48.6300,31.2538,5252000
1998-02-11,48.5600,49.3100,48.5000,49.1900,31.7037,4367900
1998-02-12,49.1300,49.4400,48.5000,49.2500,31.7423,3043600
1998-02-13,48.7500,50.7500,48.5600,50.3800,32.4706,4985900
1998-02-17,51.0000,52.7500,50.9400,52.5000,33.8370,7416300
1998-02-18,51.6300,52.1900,51.3100,51.7500,33.3536,3700200
1998-02-19,51.5000,51.6300,50.2500,50.8100,32.7478,4816900
1998-02-20,50.7500,50.7500,49.9400,50.1300,32.3095,4432000
1998-02-23,50.4400,50.9400,50.2500,50.6900,32.6704,3165400
1998-02-24,50.6900,50.7500,49.0600,50.3100,32.4255,3105700
1998-02-25,50.3800,51.7500,50.3800,51.2500,33.0314,4188400
1998-02-26,51.3100,53.9400,51.2500,53.9400,34.7651,6629900
1998-02-27,53.7500,54.7500,53.5000,54.2500,34.9649,5533700
1998-03-02,54.2500,54.2500,52.5000,52.7500,33.9981,4099800
1998-03-03,53.0000,53.3800,52.0600,52.3800,33.7597,3489300
1998-03-04,52.0000,53.6900,51.5000,53.3100,34.3591,4055300
1998-03-05,52.0600,52.8100,51.9400,52.2500,33.6759,3356300
1998-03-06,52.7500,53.1900,52.3100,52.4400,33.7983,2231100
1998-03-09,52.3100,53.0600,52.0000,52.5600,33.8757,2073700
1998-03-10,52.6900,53.0600,52.0600,52.3800,33.7597,1897400
1998-03-11,52.3800,52.6300,52.1300,52.1900,33.6372,2351400
1998-03-12,52.1300,52.2500,50.1900,51.5000,33.1925,2579700
1998-03-13,51.6900,52.3800,51.5600,51.8100,33.3923,2544700
1998-03-16,51.5600,52.8800,51.1900,51.4400,33.1538,2645900
1998-03-17,52.5000,52.6300,51.6900,52.0000,33.5147,2643400
1998-03-18,51.7500,52.2500,50.8800,50.8800,32.7929,3661600
1998-03-19,51.0000,51.6300,50.5600,51.4400,33.1538,3254700
1998-03-20,52.0600,53.4400,51.9400,53.4400,34.4428,6339200
1998-03-23,52.0000,52.5000,51.4400,51.6300,33.2763,4640400
1998-03-24,51.6300,52.6900,51.6300,52.3800,33.7597,3429300
1998-03-25,52.9400,52.9400,52.0600,52.8800,34.0819,4618300
1998-03-26,52.2500,52.6300,51.5000,52.1300,33.5985,3229100
1998-03-27,52.6300,52.6300,51.1300,51.2500,33.0314,2912900
1998-03-30,50.9400,51.0600,50.2500,50.5000,32.5480,2608100
1998-03-31,50.5600,52.2500,50.5600,52.1300,33.5985,3792100
1998-04-01,52.3800,52.8800,51.8100,52.7500,33.9981,3869000
1998-04-02,52.5000,55.0000,52.2500,54.9400,35.4096,6873800
1998-04-03,55.0000,55.8800,54.2500,54.9400,35.4096,6328600
1998-04-06,55.9400,56.1900,55.2500,56.0600,36.1315,5509600
1998-04-07,56.0000,56.2500,55.4400,55.6300,35.8543,4022300
1998-04-08,55.0000,55.8800,54.8100,55.2500,35.6094,4386300
1998-04-09,54.5600,55.6300,54.5000,55.1900,35.5707,3547700
1998-04-13,54.5600,54.8800,52.5600,53.6300,34.5653,5075300
1998-04-14,53.1900,53.6300,52.9400,53.1300,34.2430,3113200
1998-04-15,53.1900,53.4400,52.5000,52.5600,33.8757,3336100
1998-04-16,52.7500,53.5600,52.0600,53.0000,34.1593,3005600
1998-04-17,53.0000,53.8800,52.8100,53.6900,34.6040,3597400
1998-04-20,53.0000,53.5600,52.8800,53.2500,34.3204,2388200
1998-04-21,53.0000,53.0600,52.5000,53.0600,34.1979,2982500
1998-04-22,52.7500,53.4400,52.6900,53.0000,34.1593,3105700
1998-04-23,51.8800,52.3800,51.2500,51.5000,33.1925,5830200
1998-04-24,50.7500,51.1900,50.3800,50.6900,32.6704,4193000
1998-04-27,49.9400,50.2500,48.3800,50.2500,32.3868,5656400
1998-04-28,50.2500,50.3100,49.5000,49.6900,32.0259,3045800
1998-04-29,49.7500,50.4400,49.7500,50.0600,32.2644,2323500
1998-04-30,50.5000,50.9400,50.0600,50.0600,32.2644,3025700
1998-05-01,51.9400,52.3800,51.1900,51.7500,33.3536,3191100
1998-05-04,51.5600,52.3100,51.0600,51.1300,32.9540,2046700
1998-05-05,51.1300,51.7500,50.6900,50.9400,32.8316,1687700
1998-05-06,50.2500,50.6900,50.0600,50.3100,32.4255,2138300
1998-05-07,50.0600,50.3800,49.5000,49.8800,32.1484,2299200
1998-05-08,49.6300,50.8800,49.6300,50.5000,32.5480,1866700
1998-05-11,50.4400,50.6300,49.0000,49.6300,31.9872,2396500
1998-05-12,49.8800,50.3100,49.1900,49.5000,31.9035,2857300
1998-05-13,49.0600,50.1900,49.0600,49.7500,32.1548,2246300
1998-05-14,49.8800,50.1300,49.5000,49.8800,32.2388,1959200
1998-05-15,49.8800,49.8800,49.4400,49.6300,32.0773,2070700
1998-05-18,49.1900,49.3800,48.0600,48.6300,31.4309,3885500
