,open,high,low,close,adj_close,volume
1998-01-02,63.5600,63.6200,62.5600,63.1200,15.6044,202600
1998-01-05,63.0000,63.1900,62.5600,62.9400,15.5599,258100
1998-01-06,62.6900,62.7500,62.0000,62.2500,15.3893,302800
1998-01-07,62.0000,62.0000,60.5000,61.3800,15.1742,313300
1998-01-08,61.3800,61.3800,59.8100,60.3800,14.9270,253500
1998-01-09,60.0000,60.3800,59.4400,59.5600,14.7243,491500
1998-01-12,58.0000,59.1900,58.0000,59.0000,14.5858,400200
1998-01-13,59.0000,60.0000,58.9400,59.8100,14.7861,182600
1998-01-14,59.9400,60.1900,59.5000,60.1900,14.9567,158100
1998-01-15,60.0000,60.3100,59.5000,59.5000,14.7852,155200
1998-01-16,59.5000,59.8100,59.4400,59.5600,14.8001,247300
1998-01-20,59.5600,60.0000,59.5600,60.0000,14.9094,223800
1998-01-21,60.0000,60.0000,58.7500,59.1900,14.7082,156700
1998-01-22,59.0000,59.0000,58.1200,58.4400,14.5218,200700
1998-01-23,58.6200,58.8100,57.8800,58.0600,14.4274,186100
1998-01-26,58.1900,58.9400,58.0000,58.3100,14.4895,131800
1998-01-27,58.2500,59.2500,58.2500,58.8800,14.6311,174100
1998-01-28,59.1200,59.5000,58.5000,59.5000,14.7852,161900
1998-01-29,59.0000,60.2500,59.0000,59.5000,14.7852,197400
1998-01-30,59.5000,59.5000,58.7500,58.9400,14.6460,152500
1998-02-02,59.5600,60.2500,59.5600,60.2500,14.9716,273600
1998-02-03,60.2500,60.9400,59.6900,60.9400,15.1430,136600
1998-02-04,60.6900,60.6900,59.8800,60.1200,14.9393,328600
1998-02-05,60.2500,60.3800,59.4400,60.1900,14.9567,124200
1998-02-06,60.3800,61.9400,60.3800,61.8800,15.3766,217300
1998-02-09,61.7500,61.9400,61.1900,61.9400,15.3915,133000
1998-02-10,61.9400,62.4400,61.9400,62.1200,15.4362,164600
1998-02-11,62.1200,62.3100,61.7500,62.0000,15.4064,75900
1998-02-12,61.8100,62.0600,61.2500,61.8800,15.3766,126100
1998-02-13,61.8800,62.3100,61.8800,62.0600,15.4213,111000
1998-02-17,62.5000,62.8800,62.3800,62.7500,15.5928,183900
1998-02-18,62.8800,63.5600,62.5000,62.6200,15.5605,232300
1998-02-19,62.6200,62.9400,62.0000,62.2500,15.4685,94100
1998-02-20,62.4400,62.4400,62.0600,62.2500,15.4685,142400
1998-02-23,62.5000,62.5000,61.5000,62.3100,15.4835,121200
1998-02-24,62.3800,62.4400,61.4400,62.0000,15.4064,114900
1998-02-25,62.2500,62.6900,61.4400,61.6900,15.3294,313400
1998-02-26,61.6900,61.6900,60.5600,61.3100,15.2350,212700
1998-02-27,61.9400,62.2500,61.8100,62.0600,15.4213,248700
1998-03-02,62.0600,62.0600,61.1900,61.5600,15.2971,117700
1998-03-03,61.3800,62.0000,61.3800,61.9400,15.3915,197400
1998-03-04,62.0000,62.1200,61.3800,61.5000,15.2822,104500
1998-03-05,61.2500,61.4400,61.1200,61.1900,15.2051,109700
1998-03-06,61.0600,62.5600,61.0000,61.8800,15.3766,168600
1998-03-09,61.7500,61.8100,60.9400,61.5000,15.2822,103500
1998-03-10,61.7500,62.5000,61.6900,62.4400,15.5158,124600
1998-03-11,62.1900,62.6900,61.9400,62.3100,15.4835,87000
1998-03-12,62.3100,63.6900,62.3100,63.5600,15.7941,302100
1998-03-13,63.5000,64.2500,62.9400,63.8100,15.8562,373200
1998-03-16,64.0600,65.0000,64.0600,65.0000,16.1519,224500
1998-03-17,64.9400,65.3100,64.9400,65.3100,16.2289,192800
