,open,high,low,close,adj_close,volume
1998-01-02,49.0000,50.0000,48.7500,50.0000,18.1108,305200
1998-01-05,50.1900,50.2500,49.3100,50.2500,18.2013,336700
1998-01-06,50.0000,50.6300,49.6300,50.1900,18.1796,285300
1998-01-07,50.2500,50.7500,49.5000,49.8100,18.0420,259000
1998-01-08,49.6900,50.6900,49.6900,50.6300,18.3390,258400
1998-01-09,50.6300,50.7500,49.5000,49.5600,17.9514,489900
1998-01-12,49.0000,49.8100,48.8800,49.5000,17.9297,390400
1998-01-13,49.7500,49.9400,49.1300,49.6300,17.9768,223100
1998-01-14,49.8800,51.0000,49.5000,50.6300,18.3390,278200
1998-01-15,51.8800,52.3100,51.5000,52.3100,18.9475,575500
1998-01-16,54.0000,55.3100,54.0000,55.0000,19.9219,805900
1998-01-20,55.0000,55.6300,54.8800,55.1900,19.9907,593300
1998-01-21,54.9400,57.2500,54.7500,56.5000,20.4652,427500
1998-01-22,55.0000,58.5000,55.0000,58.5000,21.1896,467600
1998-01-23,59.0000,61.0000,58.7500,60.2500,21.8235,1230400
1998-01-26,59.5000,59.5600,57.8100,59.0000,21.3707,421800
1998-01-27,59.0000,61.7500,58.1300,61.6900,22.3451,806100
1998-01-28,61.6900,62.7500,60.8800,61.8800,22.4139,934300
1998-01-29,62.0600,65.1900,62.0000,63.2500,22.9101,810000
1998-01-30,63.5000,64.5000,62.3800,63.1300,22.8667,741800
1998-02-02,63.3800,66.5000,63.3800,66.0600,23.9280,614800
1998-02-03,66.0600,67.4400,65.1900,66.0600,23.9280,1030700
1998-02-04,65.0000,65.0000,63.6300,64.5600,23.3846,911500
1998-02-05,64.3100,64.5000,62.5000,62.6900,22.7073,492000
1998-02-06,62.9400,65.0600,62.9400,64.6900,23.4317,545300
1998-02-09,64.7500,65.4400,64.0600,64.3800,23.3194,389900
1998-02-10,64.5600,65.8100,64.5600,65.1900,23.6128,345900
1998-02-11,64.9400,65.8800,64.1900,64.8100,23.4752,224400
1998-02-12,64.3100,65.2500,63.0000,65.1900,23.6128,294000
1998-02-13,64.9400,65.2500,64.3800,64.3800,23.3194,266900
1998-02-17,64.1300,64.5000,63.6300,64.3100,23.2941,278900
1998-02-18,64.3100,64.9400,63.8800,64.3800,23.3194,272300
1998-02-19,64.5000,64.5600,63.4400,63.4400,22.9790,278200
1998-02-20,64.7500,65.5000,63.5600,65.2500,23.6346,614800
1998-02-23,65.5000,65.6900,64.6900,65.0600,23.5657,384700
1998-02-24,64.8100,64.8100,63.8800,64.2500,23.2723,162200
1998-02-25,64.5000,65.0000,63.6900,64.1300,23.2289,205600
1998-02-26,64.3800,64.8800,64.1300,64.5000,23.3629,720600
1998-02-27,64.2500,64.2500,63.3800,63.6300,23.0478,480900
