,open,high,low,close,adj_close,volume
1998-01-02,87.3100,88.0600,87.2500,87.9400,9.6735,231400
1998-01-05,88.0000,91.6300,87.6300,88.5600,9.7417,315100
1998-01-06,88.4400,90.5000,87.8100,90.2500,9.9276,185900
1998-01-07,89.6300,90.0000,87.3800,87.7500,9.6526,481900
1998-01-08,87.0600,87.5600,86.6900,86.8100,9.5492,165100
1998-01-09,86.7500,86.7500,83.0000,83.1300,9.1444,293500
1998-01-12,79.0000,82.5000,79.0000,81.8800,9.0069,699800
1998-01-13,82.1300,83.2500,82.0000,82.8800,9.1169,301500
1998-01-14,83.5000,85.3100,83.1900,83.6900,9.2060,232700
1998-01-15,83.6900,83.6900,82.0000,82.3800,9.0619,191700
1998-01-16,42.0000,42.2500,41.8100,42.0000,9.2401,198900
1998-01-20,41.8800,42.2500,41.3800,41.6900,9.1719,780100
1998-01-21,41.7500,41.8100,41.0600,41.3800,9.1037,487400
1998-01-22,40.5000,40.6900,39.2500,39.7500,8.7451,940800
1998-01-23,39.5000,39.6300,38.4400,38.5000,8.4701,1380500
1998-01-26,38.8800,39.4400,38.0000,38.8800,8.5537,852900
1998-01-27,38.7500,39.8800,38.6300,39.3800,8.6637,790500
1998-01-28,39.4400,41.3800,39.4400,41.3800,9.1037,562400
1998-01-29,44.0000,44.2500,43.3100,43.6900,9.6119,860600
1998-01-30,45.5000,45.5000,44.3800,44.8100,9.8583,563600
1998-02-02,45.5000,46.3800,45.1900,46.3800,10.2037,496800
1998-02-03,47.0000,47.5000,46.7500,46.9400,10.3269,394700
1998-02-04,46.5000,48.5000,46.4400,48.0000,10.5601,445400
1998-02-05,48.1900,49.5000,47.4400,47.7500,10.5051,460300
1998-02-06,47.7500,47.8100,47.1900,47.2500,10.3951,414300
1998-02-09,47.3800,47.7500,46.1900,46.3800,10.2037,485800
1998-02-10,46.4400,48.5000,46.0000,48.1300,10.5887,578300
1998-02-11,48.1900,49.4400,48.1300,49.1300,10.8087,509600
1998-02-12,49.2500,49.5000,48.5600,49.3100,10.8483,292600
1998-02-13,49.1900,49.1900,47.5000,47.5600,10.4633,308800
1998-02-17,48.6300,49.1300,48.2500,48.9400,10.7669,348600
1998-02-18,48.6900,49.0600,48.6300,48.9400,10.7669,188200
1998-02-19,49.0000,50.2500,48.6900,49.8800,10.9737,416300
1998-02-20,50.0000,50.8800,49.9400,50.6900,11.1519,364400
1998-02-23,51.2500,52.3800,51.1300,51.7500,11.3851,293900
1998-02-24,51.0000,51.9400,50.8800,51.4400,11.3169,401000
1998-02-25,51.6900,52.1900,51.6900,52.0000,11.4401,338200
1998-02-26,52.5000,52.9400,52.3100,52.5000,11.5501,592200
1998-02-27,52.5600,52.5600,50.6300,51.0000,11.2201,357700
1998-03-02,51.2500,51.5000,50.1300,50.6900,11.1519,361900
1998-03-03,50.6900,51.1900,50.1900,51.0000,11.2201,253700
1998-03-04,51.0000,51.6900,49.8800,49.8800,10.9737,193300
1998-03-05,49.2500,50.4400,48.8800,49.7500,10.9451,218000
1998-03-06,49.7500,51.5000,49.6300,51.5000,11.3301,287900
1998-03-09,51.6900,52.2500,51.1300,51.1300,11.2487,334300
1998-03-10,51.1300,52.3800,51.1300,52.0000,11.4401,359200
1998-03-11,52.5000,53.1300,52.5000,52.7500,11.6051,229700
1998-03-12,52.6300,53.0600,52.2500,52.7500,11.6051,253400
1998-03-13,53.0000,54.1900,53.0000,53.5000,11.7701,215800
1998-03-16,53.6300,54.3800,53.3100,53.5000,11.7701,233600
1998-03-17,53.5000,55.5600,53.4400,55.1300,12.1287,503000
1998-03-18,55.2500,56.5600,55.2500,55.8800,12.2937,454100
1998-03-19,55.8800,55.8800,54.9400,55.5600,12.2233,340200
1998-03-20,55.6300,55.6300,55.0600,55.2500,12.1551,229800
1998-03-23,55.2500,55.2500,54.2500,54.3100,11.9483,195700
1998-03-24,54.3800,55.2500,54.3800,55.0000,12.1001,203000
1998-03-25,55.5000,57.2500,55.0600,55.1900,12.1419,363700
1998-03-26,55.7500,56.2500,55.2500,55.5600,12.2233,312800
1998-03-27,55.5000,56.0000,54.3100,54.3100,11.9593,163000
1998-03-30,54.4400,54.7500,52.0000,53.2500,11.7259,380500
1998-03-31,54.1300,54.2500,53.0000,53.5000,11.7809,425200
1998-04-01,53.5000,54.0000,53.2500,53.8800,11.8646,217500
1998-04-02,54.0000,56.0000,53.8800,54.0000,11.8910,328200
1998-04-03,54.2500,56.2500,54.1300,55.2500,12.1663,215500
1998-04-06,55.5000,56.5000,55.0000,55.5000,12.2213,371600
1998-04-07,55.5000,55.7500,54.5000,54.5600,12.0143,461800
1998-04-08,54.8100,54.8800,53.1900,53.5600,11.7941,294900
1998-04-09,53.9400,57.4400,53.5600,56.1900,12.3733,767100
1998-04-13,56.8100,57.8800,56.2500,57.3100,12.6199,374900
1998-04-14,57.0000,57.6300,56.0000,56.8800,12.5252,219400
1998-04-15,57.4400,57.4400,56.1900,56.1900,12.3733,387000
1998-04-16,56.1900,56.2500,55.3800,55.9400,12.3182,165200
1998-04-17,56.0000,57.3100,55.8100,57.2500,12.6067,295000
1998-04-20,57.0000,57.3100,55.3100,57.2500,12.6067,344800
1998-04-21,55.6300,57.4400,54.7500,56.1300,12.3601,559300
1998-04-22,56.0000,56.0000,55.2500,55.4400,12.2081,370900
1998-04-23,55.2500,55.2500,52.3800,52.3800,11.5343,476900
1998-04-24,51.0000,52.0000,50.0000,50.3800,11.0939,1000400
1998-04-27,48.5000,49.4400,48.1300,48.8800,10.7636,552100
1998-04-28,56.0000,56.0000,52.5000,53.3800,11.7545,15569000
1998-04-29,53.4400,53.5600,53.1900,53.3100,11.7391,2329300
1998-04-30,53.3800,53.9400,53.3800,53.7500,11.8360,1202200
1998-05-01,53.7500,54.2500,53.4400,54.2500,11.9461,777900
1998-05-04,54.2500,55.3800,54.2500,54.8700,12.0826,1027000
1998-05-05,55.0000,55.4400,54.8100,55.1900,12.1531,504600
1998-05-06,55.3100,55.3100,54.7500,55.0000,12.1112,718400
1998-05-07,54.8100,55.3800,54.5000,55.0600,12.1244,859400
1998-05-08,54.8100,55.6900,54.8100,55.1300,12.1399,465000
1998-05-11,55.0000,55.2500,54.1300,54.1300,11.9197,446900
1998-05-12,54.1300,54.4400,53.1900,54.4400,11.9879,635000
1998-05-13,53.7500,54.0000,53.1900,53.1900,11.7127,587500
1998-05-14,53.2500,53.3100,52.2500,52.2500,11.5057,622600
1998-05-15,52.0000,52.1300,51.4400,51.5600,11.3537,715800
1998-05-18,51.2500,51.4400,50.8800,51.4400,11.3273,638700
1998-05-19,51.4400,51.5600,50.7500,51.0600,11.2436,474000
1998-05-20,51.3100,51.3100,51.3100,51.3100,11.2987,469700
1998-05-21,52.0600,52.1300,51.5000,51.6900,11.3824,275900
1998-05-22,51.4400,51.4400,49.8800,50.0600,11.0234,275600
1998-05-26,50.0000,50.0000,48.7500,49.1300,10.8186,583000
1998-05-27,48.7500,48.7500,47.5600,48.3800,10.6535,544900
1998-05-28,48.6300,49.4400,48.5000,49.0000,10.7900,464400
1998-05-29,48.6900,49.0000,48.6900,48.8800,10.7636,370900
1998-06-01,48.8800,49.5600,48.3800,49.1300,10.8186,560100
1998-06-02,48.9400,49.2500,48.6300,48.8100,10.7482,304000
1998-06-03,49.0600,50.0600,48.6300,48.6900,10.7217,343200
1998-06-04,48.5000,50.0000,47.7500,48.7500,10.7350,446100
1998-06-05,49.0000,50.3100,48.7500,50.2500,11.0653,370600
1998-06-08,50.7500,50.8800,49.3100,50.2500,11.0653,493500
1998-06-09,50.2500,50.9400,49.8800,50.3100,11.0785,366400
1998-06-10,50.2500,50.3800,49.8800,50.0600,11.0234,274600
1998-06-11,50.0000,50.0000,48.9400,49.3100,10.8583,343800
1998-06-12,49.0600,49.1900,47.7500,49.1300,10.8186,320400
1998-06-15,48.6300,49.3800,48.4400,48.5000,10.6799,272800
1998-06-16,48.5000,48.8800,48.0600,48.8100,10.7482,327200
1998-06-17,49.7500,52.0000,49.7500,50.7500,11.1754,405900
1998-06-18,51.0000,51.5000,50.2500,50.3100,11.0785,192600
1998-06-19,51.0000,51.9400,50.1300,51.0000,11.2304,561900
1998-06-22,49.3800,51.4400,48.8800,49.6300,10.9287,469000
1998-06-23,49.6300,50.5600,49.1900,50.5600,11.1335,322300
1998-06-24,50.3100,53.7500,50.1300,53.7500,11.8360,436800
1998-06-25,53.8800,53.9400,52.2500,52.5600,11.5739,223700
