,open,high,low,close,adj_close,volume
2017-07-05,40.8000,40.8200,37.2500,37.2500,35.7302,5883326
2017-07-06,38.0900,38.0900,36.5200,37.0100,35.5000,5088097
2017-07-07,38.1400,38.5900,36.1200,37.9100,36.3633,6014535
2017-07-10,37.6300,38.1700,36.8000,37.2300,35.7110,4721508
2017-07-11,37.3100,37.7800,36.8900,37.3500,35.8261,2791176
2017-07-12,37.7700,37.9900,37.2500,37.3700,35.8453,3260591
2017-07-13,37.4500,37.6500,36.6900,36.8400,35.3369,3860643
2017-07-14,37.0000,37.4950,36.9100,37.3500,35.8261,2872910
2017-07-17,37.7100,38.3700,37.6400,37.6400,36.1043,3917588
2017-07-18,37.5200,37.7800,36.7300,36.7500,35.2506,3198593
2017-07-19,36.5900,37.0900,36.3600,36.5400,35.0492,4230853
2017-07-20,36.5900,36.9000,34.8600,34.9700,33.5432,6397004
2017-07-21,34.7300,34.8800,33.4400,34.1200,32.7279,7737292
2017-07-24,34.2600,34.4600,33.8800,34.3600,32.9581,2850884
2017-07-25,34.8100,35.2800,34.7700,35.2500,33.8118,2871897
2017-07-26,35.5800,36.1800,35.2200,36.0500,34.5792,3826003
2017-07-27,35.9700,37.0400,35.7000,36.1600,34.6847,4593651
2017-07-28,34.8500,37.5000,34.2257,37.1000,35.5863,4261445
2017-07-31,37.1400,37.1700,36.4300,36.8900,35.3849,3318805
2017-08-01,35.4200,35.5400,35.0600,35.2300,33.7926,2955189
2017-08-02,35.3600,35.5500,35.0350,35.3500,33.9077,3405697
2017-08-03,35.2600,35.5100,35.0700,35.3100,33.8693,3181029
2017-08-04,35.4200,35.5400,35.0600,35.2300,33.7926,3110626
2017-08-07,35.1000,35.2700,34.4000,34.5600,33.1499,2054097
2017-08-08,34.7500,35.4700,34.6442,34.9400,33.5144,2155678
2017-08-09,34.7900,35.2900,34.7600,35.0200,33.7542,2252626
2017-08-10,35.0100,35.2900,34.5700,34.7000,33.4458,1971691
2017-08-11,34.5100,34.8900,34.2800,34.2900,33.0506,1185973
2017-08-14,34.5100,34.5400,34.1350,34.2600,33.0217,1927835
2017-08-15,34.0300,34.4200,34.0300,34.3100,33.0699,2153221
2017-08-16,34.3700,34.5100,33.7600,33.8300,32.6072,1367515
2017-08-17,33.7900,34.0900,32.7500,32.8000,31.6145,2200268
2017-08-18,32.7400,33.1300,32.4301,32.7700,31.5856,3179783
2017-08-21,32.7700,32.9900,32.4600,32.5400,31.3639,2340815
2017-08-22,32.6200,32.9450,32.4300,32.6900,31.5085,1872479
2017-08-23,32.5100,33.2400,32.5100,33.0400,31.8458,1565407
2017-08-24,33.0900,33.0900,32.5400,32.8200,31.6338,1781949
2017-08-25,32.8800,33.4100,32.8701,33.2600,32.0579,2035870
2017-08-28,33.2700,33.4000,32.8200,33.2500,32.0482,2510523
2017-08-29,33.1000,33.8100,33.1000,33.7500,32.5301,2192874
2017-08-30,33.6000,33.7300,33.2376,33.5100,32.2988,1637279
2017-08-31,33.9900,34.3500,33.4600,33.9000,32.6747,3592925
2017-09-01,33.9700,34.4400,33.7300,34.3000,33.0603,1723282
2017-09-05,34.8300,35.4500,34.4900,34.9700,33.7060,4386834
2017-09-06,35.3900,35.7400,34.7200,34.7400,33.4844,3285802
2017-09-07,34.7700,35.2500,34.2900,34.7500,33.4940,2064761
2017-09-08,34.7700,34.9800,34.0600,34.4200,33.1759,3018954
2017-09-11,34.5200,35.6000,34.3700,35.4800,34.1976,2825224
2017-09-12,35.3800,36.4000,35.2400,35.9600,34.6603,3537032
2017-09-13,35.9400,36.7300,35.9000,36.0900,34.7856,4296996
2017-09-14,36.3500,37.1400,36.2000,36.3800,35.0651,4785692
2017-09-15,36.3700,36.9100,36.3700,36.9000,35.5663,7621328
2017-09-18,36.9100,37.4900,36.7800,37.3600,36.0097,3251876
2017-09-19,37.3100,37.4500,37.0600,37.3900,36.0386,2958567
2017-09-20,37.5500,37.6800,37.2400,37.5000,36.1446,2138025
2017-09-21,37.1700,37.2600,36.3650,36.5800,35.2579,2565040
2017-09-22,36.5300,36.7400,36.2800,36.6700,35.3446,3587582
2017-09-25,36.8500,38.1000,36.6300,37.5200,36.1639,4722920
2017-09-26,37.3400,37.3400,36.6597,37.0400,35.7012,2621187
2017-09-27,37.1000,37.2000,36.6900,36.9300,35.5952,1991726
2017-09-28,37.1200,37.2400,36.5600,37.0300,35.6916,2119848
2017-09-29,36.8000,37.0500,36.3200,36.6200,35.2964,3244297
2017-10-02,35.9600,36.9100,35.9200,36.8600,35.5277,1906955
2017-10-03,36.8400,37.1000,36.3900,36.6700,35.3446,2465816
2017-10-04,36.7500,37.0900,36.5300,36.7100,35.3832,1970215
2017-10-05,36.8400,36.9200,36.4600,36.4800,35.1615,1901599
2017-10-06,36.1600,36.7100,36.0400,36.5300,35.2097,1826297
2017-10-09,36.5900,36.6700,35.8000,35.8400,34.5446,3157903
2017-10-10,36.0600,36.2300,34.9200,34.9700,33.7060,4200133
2017-10-11,34.8100,34.9000,34.2300,34.3900,33.1470,4178147
2017-10-12,34.1400,34.3000,33.7800,33.9200,32.6940,4645410
2017-10-13,34.2600,34.6000,33.7100,33.7300,32.5109,2853566
2017-10-16,34.0400,34.2250,33.6410,33.7000,32.4819,2891032
2017-10-17,33.6400,34.0700,33.3000,33.7900,32.5687,4621612
2017-10-18,33.8400,34.2600,33.7500,33.8000,32.5783,2626085
2017-10-19,33.5500,33.8900,33.0500,33.1500,31.9518,4573949
2017-10-20,32.0100,33.4300,31.4400,33.2600,32.0579,7142298
2017-10-23,33.1000,33.2600,31.4000,31.4700,30.3325,5762277
2017-10-24,31.5600,31.6600,30.6300,30.6900,29.5807,4114200
