,open,high,low,close,adj_close,volume
1998-01-02,57.5600,58.0000,56.4400,57.1900,18.2704,383100
1998-01-05,57.4400,59.2500,57.3100,58.5600,18.7080,811300
1998-01-06,58.3100,58.3100,57.3800,57.6900,18.4301,1046600
1998-01-07,57.6300,57.6900,56.0600,56.8100,18.1490,935250
1998-01-08,56.2500,56.2500,54.8100,55.1300,17.6123,735150
1998-01-09,54.9400,55.1300,53.3800,53.6300,17.1330,1369600
1998-01-12,51.6300,53.5600,51.2500,53.3800,17.0532,1051200
1998-01-13,54.5000,55.9400,54.0600,54.9400,17.5516,785250
1998-01-14,54.9400,55.7500,54.7500,55.6900,17.7912,702500
1998-01-15,56.0000,56.0000,54.5000,54.8800,17.5324,614300
1998-01-16,55.5000,56.7500,55.1900,56.6300,18.0915,722550
1998-01-20,57.7500,57.9400,56.6900,57.5000,18.3694,637150
1998-01-21,56.7500,57.4400,55.0000,56.2500,18.0582,625150
1998-01-22,55.5000,56.0000,54.8100,55.2500,17.7372,617800
1998-01-23,55.4400,55.7500,53.5000,53.8800,17.2974,617150
1998-01-26,54.1300,55.2500,53.7500,55.2500,17.7372,813650
1998-01-27,55.0000,55.2500,53.0000,54.8800,17.6184,1916950
1998-01-28,54.8800,55.4400,54.4400,54.9400,17.6377,871200
1998-01-29,54.9400,56.4400,54.8100,55.5600,17.8367,996300
1998-01-30,55.5000,55.5000,54.1300,54.1900,17.3969,553850
1998-02-02,55.5000,56.0000,55.5000,55.5000,17.8175,1061500
1998-02-03,55.0000,56.5000,55.0000,56.5000,18.1385,793100
1998-02-04,55.8800,56.3800,55.5000,55.8800,17.9394,781600
1998-02-05,56.1300,56.4400,55.5000,56.0000,17.9780,498850
1998-02-06,56.3800,57.3100,56.3100,56.9400,18.2797,770000
1998-02-09,56.6900,57.2500,56.6900,57.0600,18.3183,543750
1998-02-10,56.8800,57.8800,56.8800,57.6900,18.5205,613550
1998-02-11,57.2500,57.8800,57.2500,57.4400,18.4403,747550
1998-02-12,56.8800,57.6900,56.7500,57.1300,18.3407,653100
1998-02-13,57.1900,57.1900,56.7500,57.0000,18.2990,589150
1998-02-17,57.7500,57.8800,56.7500,57.0000,18.2990,1027600
1998-02-18,57.1300,57.7500,57.0000,57.1900,18.3600,982700
