,open,high,low,close,adj_close,volume
1999-10-01,14.0000,14.2500,14.0000,14.1300,9.9306,3162400
1999-10-04,14.0000,14.1300,14.0000,14.0600,9.8814,533400
1999-10-05,14.0600,14.1900,14.0000,14.1900,9.9727,270600
1999-10-06,14.1300,14.8800,14.1300,14.8800,10.4577,205400
1999-10-07,14.8800,14.8800,14.0600,14.1300,9.9306,214200
1999-10-08,14.1900,14.1900,14.0600,14.0600,9.8814,65600
1999-10-11,14.0600,14.1300,14.0000,14.0600,9.8814,77500
1999-10-12,14.0600,14.1300,14.0000,14.1300,9.9306,49200
1999-10-13,14.1300,14.3800,14.0000,14.0600,9.8814,49900
1999-10-14,14.0000,14.0600,13.2500,13.6300,9.5792,430900
1999-10-15,13.1300,13.1900,12.6900,13.0600,9.1786,158200
1999-10-18,13.0000,13.0000,12.5000,12.8100,9.0029,83800
1999-10-19,12.7500,13.2500,12.7500,13.2500,9.3121,58200
1999-10-20,13.3800,13.5000,13.1300,13.1300,9.2278,62600
1999-10-21,13.1300,13.4400,13.0000,13.4400,9.4456,98200
1999-10-22,13.3800,13.5600,13.3100,13.5000,9.4878,191200
1999-10-25,13.4400,13.9400,13.4400,13.9400,9.7970,153100
1999-10-26,13.8100,14.1300,13.8100,14.0000,9.8392,65600
1999-10-27,14.0000,14.1900,14.0000,14.0600,9.8814,100900
1999-10-28,14.1900,14.5000,14.1300,14.1300,9.9306,255300
1999-10-29,14.1300,15.2500,14.1300,15.2500,10.7177,123200
1999-11-01,15.0000,15.0000,14.6300,14.7500,10.3663,41800
1999-11-02,14.7500,14.8800,14.3100,14.7500,10.3663,66600
1999-11-03,14.6900,14.8800,14.6900,14.7500,10.3663,18500
1999-11-04,14.8800,15.1300,14.5000,14.9400,10.4998,72100
1999-11-05,15.0000,15.8800,14.8800,15.7500,11.0691,122900
1999-11-08,15.8800,17.3800,15.8100,16.6300,11.6876,240000
1999-11-09,16.7500,16.7500,16.1300,16.1300,11.3362,42400
1999-11-10,16.0000,16.1300,15.8100,16.0600,11.2870,59900
1999-11-11,16.0600,16.2500,16.0600,16.1300,11.3362,20000
1999-11-12,16.2500,18.5000,16.2500,18.0000,12.6504,248500
1999-11-15,18.1900,18.1900,17.5000,17.6900,12.4325,99200
1999-11-16,17.6900,17.6900,17.3800,17.4400,12.2568,95300
1999-11-17,17.6900,18.2500,17.2500,17.5000,12.2990,107900
1999-11-18,17.5000,17.5000,17.2500,17.2500,12.1233,67500
1999-11-19,17.2500,17.7500,17.1900,17.6300,12.3904,31200
1999-11-22,17.5600,17.8800,17.5600,17.8100,12.5169,36500
1999-11-23,17.8100,19.3800,17.8100,19.1300,13.4446,65500
1999-11-24,19.0000,19.0000,18.3800,18.5600,13.0440,53800
1999-11-26,18.5000,18.5000,18.3800,18.4400,12.9596,2600
1999-11-29,18.3800,18.3800,17.8800,18.1300,12.7418,20200
1999-11-30,18.1900,18.5000,18.1900,18.3800,12.9175,38100
1999-12-01,18.3800,18.6300,18.2500,18.5600,13.0440,43800
1999-12-02,18.5600,19.0000,18.5600,19.0000,13.3532,33200
1999-12-03,19.1300,19.3800,19.0600,19.1900,13.4867,62000
1999-12-06,19.1900,19.1900,18.2500,18.3800,12.9175,38200
1999-12-07,18.5000,19.0000,18.4400,18.6300,13.0932,112500
1999-12-08,18.5000,18.5000,18.0000,18.1900,12.7839,27700
1999-12-09,18.2500,18.3800,18.1300,18.2500,12.8261,15500
1999-12-10,18.1300,18.1300,17.6300,17.6300,12.3904,22400
1999-12-13,17.7500,18.0000,17.4400,17.4400,12.2568,44500
1999-12-14,17.2500,17.2500,17.0600,17.1300,12.0390,19400
1999-12-15,17.1300,17.1300,16.8800,17.1300,12.0390,11100
1999-12-16,17.0600,17.2500,16.8100,16.8100,11.8141,90700
1999-12-17,16.6900,17.2500,16.6900,17.1200,12.0320,37300
1999-12-20,17.0000,17.0000,16.8100,16.9400,11.9054,31300
1999-12-21,16.9400,17.0600,16.8800,17.0000,11.9476,11800
1999-12-22,17.1300,17.3800,17.1300,17.1900,12.0811,6300
1999-12-23,17.1900,17.2500,17.0000,17.1300,12.0390,3700
1999-12-27,17.0600,17.1300,17.0600,17.1300,12.0390,2400
1999-12-28,17.0600,17.6300,17.0600,17.3800,12.2147,65600
1999-12-29,17.4400,17.4400,17.1300,17.2500,12.1233,9600
1999-12-30,17.1300,17.3800,17.1300,17.3100,12.1655,5100
1999-12-31,17.2500,17.3800,17.1900,17.1900,12.0811,13000
2000-01-03,17.4400,17.5000,16.6200,16.6200,11.6806,64600
2000-01-04,16.6300,16.6300,15.6300,15.8800,11.1605,81900
2000-01-05,15.6300,15.6300,15.0000,15.3100,10.7599,38100
2000-01-06,15.7500,16.2500,15.7500,16.0000,11.2448,41200
2000-01-07,15.8800,16.2500,15.7500,15.8800,11.1605,34700
2000-01-10,16.5000,16.5000,16.0000,16.0000,11.2448,94200
2000-01-11,16.1300,16.8800,16.0000,16.4400,11.5540,39700
2000-01-12,16.5000,17.1300,16.5000,17.1300,12.0390,25100
2000-01-13,17.2500,17.5000,16.8800,16.9400,11.9054,62000
2000-01-14,17.0000,17.7500,16.8800,17.5000,12.2990,183100
2000-01-18,17.7500,18.2500,17.7500,18.0000,12.6504,77300
2000-01-19,18.0000,18.3800,17.9400,18.2500,12.8261,34500
2000-01-20,18.2500,18.2500,17.3800,17.5000,12.2990,42200
2000-01-21,17.4400,17.5000,17.2500,17.3800,12.2147,16000
2000-01-24,17.5000,17.5000,17.0000,17.1300,12.0390,10700
2000-01-25,17.1300,17.5000,17.0600,17.2500,12.1233,19200
2000-01-26,17.2500,17.5000,17.2500,17.4400,12.2568,16600
2000-01-27,17.4400,18.0000,17.4400,17.5000,12.2990,33600
2000-01-28,17.6300,17.6300,17.3100,17.3800,12.2147,3900
2000-01-31,17.1300,17.5000,17.1300,17.5000,12.2990,53900
2000-02-01,17.3800,17.7500,17.3800,17.7500,12.4747,15400
2000-02-02,18.0000,18.1300,17.8800,17.9400,12.6082,92700
2000-02-03,18.0600,18.1300,17.9400,18.0000,12.6504,35200
2000-02-04,18.1300,18.5600,18.1300,18.3800,12.9175,51500
2000-02-07,18.4400,18.5600,18.3800,18.5000,13.0018,25200
2000-02-08,18.5000,18.8800,18.5000,18.5600,13.0440,45300
2000-02-09,18.7500,18.7500,18.3800,18.3800,12.9175,9100
2000-02-10,18.5000,18.5000,17.8800,17.8800,12.5661,9700
2000-02-11,17.8800,18.0000,17.8800,17.9400,12.6082,24700
2000-02-14,18.0600,18.0600,17.8800,18.0000,12.6504,7100
2000-02-15,17.8800,18.0000,17.8800,17.8800,12.5661,4900
2000-02-16,17.8800,18.5000,17.8800,18.5000,13.0018,69000
2000-02-17,18.5000,18.6900,18.3100,18.3800,12.9175,28100
2000-02-18,18.3800,18.5600,18.3800,18.5000,13.0018,5000
2000-02-22,18.6300,18.8100,18.5600,18.5600,13.0440,10700
2000-02-23,18.5600,18.9400,18.5600,18.8100,13.2197,5700
